business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,url
OPERATIONAL,"MQ46+2X8, Senggi, Keerom Regency, Papua, Indonesia","{'location': {'lat': -3.3449536, 'lng': 140.7624493}, 'viewport': {'northeast': {'lat': -3.343603770107278, 'lng': 140.7637991298927}, 'southwest': {'lat': -3.346303429892723, 'lng': 140.7610994701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,arso keerom,ChIJr2v6cQCpa2gRSwaO0ICaHeM,0.0,ChIJr2v6cQCpa2gRSwaO0ICaHeM,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJr2v6cQCpa2gRSwaO0ICaHeM
OPERATIONAL,"Yuwanaim, Arso, Keerom Regency, Papua 99468, Indonesia","{'location': {'lat': -2.900651, 'lng': 140.7566474}, 'viewport': {'northeast': {'lat': -2.899471870107277, 'lng': 140.7581468298928}, 'southwest': {'lat': -2.902171529892722, 'lng': 140.7554471701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grande Arso Hotel,ChIJ_VMoeK9_bGgRWYcsvp-URiQ,4.3,ChIJ_VMoeK9_bGgRWYcsvp-URiQ,"['lodging', 'point_of_interest', 'establishment']",96,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106795380202610496547"">A Google User</a>'], 'photo_reference': 'AUGGfZlFujJYXGEzOGBI8mcHQIukIcY20qABIG5HXneA4ygdf5LetDMuRYCpc3O17dtbYnAsvasy3rlINCodynZ8JgWj9mSLBBjWwR5dJgoKT6r68VtkVlC6Tp3Lwf8crufu996a7UTWPBIxrtRbVPpGp8oJZtmMU4Q_jYGFFHRdCr-tAqFp', 'width': 3024}]","{'compound_code': '3QX4+PM Yuwanaim, Keerom Regency, Papua, Indonesia', 'global_code': '6R923QX4+PM'}",https://www.google.com/maps/place/?q=place_id:ChIJ_VMoeK9_bGgRWYcsvp-URiQ
OPERATIONAL,"4P82+W4, Upt Arso X/Yaturaharja, Arso, Keerom Regency, Papua, Indonesia","{'location': {'lat': -2.8827524, 'lng': 140.7002873}, 'viewport': {'northeast': {'lat': -2.881476970107278, 'lng': 140.7016518298927}, 'southwest': {'lat': -2.884176629892722, 'lng': 140.6989521701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mas rosi pu rumah,ChIJ37k4eth_bGgR5W8SYDYy4pQ,0.0,ChIJ37k4eth_bGgR5W8SYDYy4pQ,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ37k4eth_bGgR5W8SYDYy4pQ
OPERATIONAL,"4MMC+H9Q, Unnamed Road, Upt Arso XIV / Wulukubun, Kec. Skanto, Kabupaten Keerom, Papua 99468, Indonesia","{'location': {'lat': -2.8660389, 'lng': 140.6709778}, 'viewport': {'northeast': {'lat': -2.864344320107278, 'lng': 140.6720830798927}, 'southwest': {'lat': -2.867043979892723, 'lng': 140.6693834201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kantor arang,ChIJqV4pj_uBbGgRAB77NFs-258,0.0,ChIJqV4pj_uBbGgRAB77NFs-258,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJqV4pj_uBbGgRAB77NFs-258
OPERATIONAL,"6H8H+QCP, Arsopura, Skanto, Keerom Regency, Papua 99469, Indonesia","{'location': {'lat': -2.7830251, 'lng': 140.5785843}, 'viewport': {'northeast': {'lat': -2.781760270107278, 'lng': 140.5799221798927}, 'southwest': {'lat': -2.784459929892722, 'lng': 140.5772225201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah om daeng,ChIJv4UkfgSFbGgRJEir_CAohMU,0.0,ChIJv4UkfgSFbGgRJEir_CAohMU,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJv4UkfgSFbGgRJEir_CAohMU
OPERATIONAL,"3QMF+FXR, Arso Kota, Arso, Keerom Regency, Papua 99468, Indonesia","{'location': {'lat': -2.9162507, 'lng': 140.7749097}, 'viewport': {'northeast': {'lat': -2.914903970107277, 'lng': 140.7762304298928}, 'southwest': {'lat': -2.917603629892722, 'lng': 140.7735307701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tempat nongkrong bersama,ChIJQ_s9Y06Ha2gRNzsErKohwM0,1.0,ChIJQ_s9Y06Ha2gRNzsErKohwM0,"['lodging', 'point_of_interest', 'establishment']",1,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107690757144115798427"">A Google User</a>'], 'photo_reference': 'AUGGfZkb5auGgMZFfxU7N6bgdigw97kwzSZgSwz4LpWkU0MhBlBdyGdMzmDEByqdXxd7_2orVNNIv-tG4XrXNC98Xx6ZUt-kfPkqHgirMaIkFP5TUK4cQ4NekoPiEXjeAE8LBzWprKyImSiwou4_4z7swkxfTvQ1d_KHu5n-JhUzYO3EiVVE', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJQ_s9Y06Ha2gRNzsErKohwM0
OPERATIONAL,"4PF3+2FP, Upt Arso X/Yaturaharja, Arso, Keerom Regency, Papua, Indonesia","{'location': {'lat': -2.8774274, 'lng': 140.7036643}, 'viewport': {'northeast': {'lat': -2.876085870107277, 'lng': 140.7049668298927}, 'southwest': {'lat': -2.878785529892722, 'lng': 140.7022671701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,JUAL BELI KAYU SOMEL,ChIJ0_Q3L1h_bGgRgXobc-ZOe30,0.0,ChIJ0_Q3L1h_bGgRgXobc-ZOe30,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0_Q3L1h_bGgRgXobc-ZOe30
OPERATIONAL,"6HJH+XM, Arsopura, Skanto, Keerom Regency, Papua, Indonesia","{'location': {'lat': -2.767555, 'lng': 140.5791694}, 'viewport': {'northeast': {'lat': -2.765590070107278, 'lng': 140.5801929298927}, 'southwest': {'lat': -2.768289729892722, 'lng': 140.5774932701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kandang Sapi,ChIJuQXJJHaPbGgRZ-Y-eMMS2dE,0.0,ChIJuQXJJHaPbGgRZ-Y-eMMS2dE,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJuQXJJHaPbGgRZ-Y-eMMS2dE
OPERATIONAL,"8QRG+QFV, West Koya, Muara Tami, Jayapura City, Papua 99351, Indonesia","{'location': {'lat': -2.6580249, 'lng': 140.7761774}, 'viewport': {'northeast': {'lat': -2.656709470107278, 'lng': 140.7775867798927}, 'southwest': {'lat': -2.659409129892722, 'lng': 140.7748871201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mira_Lokasi,ChIJdyLYj3ZnbGgRCoZWqxin16w,0.0,ChIJdyLYj3ZnbGgRCoZWqxin16w,"['lodging', 'point_of_interest', 'establishment']",0,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111678065896032329744"">A Google User</a>'], 'photo_reference': 'AUGGfZkydV8Hx1kGgyMXkCxVliVUdmPbmarYnuCME5YLksfSbvE8WwxsO_6ldh0O6iFYUuTl7k0_BJ1xvLpPwAQqBJ7FcDqTlFygKwVJdtvrS0PZ6eMtL4yWMqv2lNOfXc4j4gzfayZJQypJAqMM_mjWlnoX4ffC5ZFGVU6HTPdgX2eF_oyW', 'width': 4128}]",,https://www.google.com/maps/place/?q=place_id:ChIJdyLYj3ZnbGgRCoZWqxin16w
OPERATIONAL,"JL. Kampung Wolker, No. 2 RT 002/04, Nafri, Kec. Abepura, Kota Jayapura, Papua 99351, Indonesia","{'location': {'lat': -2.663054, 'lng': 140.700309}, 'viewport': {'northeast': {'lat': -2.661704170107277, 'lng': 140.7016588298928}, 'southwest': {'lat': -2.664403829892722, 'lng': 140.6989591701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mahkota Teluk Bayur Indah Hotel,ChIJ8W1hqmpgbGgRYXpmMRcSMJo,0.0,ChIJ8W1hqmpgbGgRYXpmMRcSMJo,"['lodging', 'point_of_interest', 'establishment']",0,,"{'compound_code': '8PP2+Q4 Nafri, Jayapura City, Papua, Indonesia', 'global_code': '6R928PP2+Q4'}",https://www.google.com/maps/place/?q=place_id:ChIJ8W1hqmpgbGgRYXpmMRcSMJo
