formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,permanently_closed,opening_hours,url
"Lamandau Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.8526377, 'lng': 111.2845025}, 'viewport': {'northeast': {'lat': -1.294883, 'lng': 111.824371}, 'southwest': {'lat': -2.319741, 'lng': 110.8537801}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lamandau Regency,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112099309611124343834"">WAHYU MURTIWIYANTO</a>'], 'photo_reference': 'AUGGfZmvfdqpItJ-spg_It_fQ7AKldosIwlHb3dOaG8PWjPrzZ61SSqvpoXbFF0ObMu1C7wSeclewGf1QIEVQKwtXAYrH42LBkEjceLdjFUy9HyrwgGRRjIDe69lTe4KhmEw6aaDmZcFkdwdP9Wg79ieDcgIxellIjMlQRjai4rPQ7kWjDAE', 'width': 4096}]",ChIJ99ihuVBkBi4R5CeCBJCinuM,ChIJ99ihuVBkBi4R5CeCBJCinuM,"['administrative_area_level_2', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ99ihuVBkBi4R5CeCBJCinuM
"Belantikan Raya, Lamandau Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.4884517, 'lng': 111.3798928}, 'viewport': {'northeast': {'lat': -1.294883, 'lng': 111.648326}, 'southwest': {'lat': -1.989077, 'lng': 111.227466}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Belantikan Raya,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112157440797512878246"">Reza Zulmy</a>'], 'photo_reference': 'AUGGfZk0vvXhxTGwnYvmWJ-WwS6IYgDkWP38BG33H3w30WuGRZgP1pwdyEkRCV-2prPzgFE1k4mnAtI4qd25OCuT2GzIvjmxbIWwGd6rQFXW58-VmIOQZo_dp-6RO73_WgFx1HNyCVfS75N_8w93nPNHoD7EMpTXc1qJyFSgeP6CKsQKIxtm', 'width': 1280}]",ChIJtaxlc3CLBi4RIpmu0GDDqYE,ChIJtaxlc3CLBi4RIpmu0GDDqYE,"['administrative_area_level_3', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJtaxlc3CLBi4RIpmu0GDDqYE
"CC29+6F7, Kahingai, Belantikan Raya, Lamandau Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.599454, 'lng': 111.4186803}, 'viewport': {'northeast': {'lat': -1.598104170107278, 'lng': 111.4200301298927}, 'southwest': {'lat': -1.600803829892722, 'lng': 111.4173304701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Chiwan,,ChIJ0ZSwGouNBi4RN0q20Dci_qo,ChIJ0ZSwGouNBi4RN0q20Dci_qo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0ZSwGouNBi4RN0q20Dci_qo
"CC67+F79, Kahingai, Belantikan Raya, Lamandau Regency, Central Kalimantan 74162, Indonesia","{'location': {'lat': -1.5897441, 'lng': 111.4132806}, 'viewport': {'northeast': {'lat': -1.588394270107277, 'lng': 111.4146304298927}, 'southwest': {'lat': -1.591093929892722, 'lng': 111.4119307701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sendang dores,,ChIJ5-C7fQCNBi4RkFjS2LRuaGk,ChIJ5-C7fQCNBi4RkFjS2LRuaGk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ5-C7fQCNBi4RkFjS2LRuaGk
"CH65+4RJ, Nanga Kemujan, East Bulik, Lamandau Regency, Central Kalimantan 74162, Indonesia","{'location': {'lat': -1.589656, 'lng': 111.5595236}, 'viewport': {'northeast': {'lat': -1.588308370107278, 'lng': 111.5608620798927}, 'southwest': {'lat': -1.591008029892722, 'lng': 111.5581624201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Palikodan,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100831114029680026179"">A Google User</a>'], 'photo_reference': 'AUGGfZk0fxjgBtalTNmjmUZTksYC8SmCmzyRMH6X45bpMMzCVQZD3xQrTDVa6hij6ElbihqKCeS_LCuBpCmkRB9BvLBx0vddb8TsoK6_9RO0IA6gSi9zF1-L6VEyE13lh9gXt6sS_cOgQDAdE8Srgl5y44pM4Ht4eNeXnk-xwc3-86D9SeTV', 'width': 720}]",ChIJzw3D-d3zBi4RERFa2KtaP2E,ChIJzw3D-d3zBi4RERFa2KtaP2E,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJzw3D-d3zBi4RERFa2KtaP2E
"7F3H+9JP, Karang Besi, Belantikan Raya, Lamandau Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.7465278, 'lng': 111.4790704}, 'viewport': {'northeast': {'lat': -1.745177970107278, 'lng': 111.4804202298927}, 'southwest': {'lat': -1.747877629892722, 'lng': 111.4777205701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit sekelentitan,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100421924247592942198"">A Google User</a>'], 'photo_reference': 'AUGGfZl20EvbllOu-iv8gJLA1lfpQdS_nDfH89tZBVMD4nCP_sv-qDd2Zye5lAsGpUu6NcEWGUT_TAK4c85MiukMxjFld4opP7eLT17N7gXtD1NonuXsenIliVRhMu-BxMCLLIpweY3UitOGV4Klb1WcnNCxaPBsL6P0onL_M5hM7mLmeGo8', 'width': 3072}]",ChIJ1zenZy1fBi4RhPjtnHuWJhI,ChIJ1zenZy1fBi4RhPjtnHuWJhI,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,5.0,1.0,True,,https://www.google.com/maps/place/?q=place_id:ChIJ1zenZy1fBi4RhPjtnHuWJhI
"G486+22 Kina Village, Beginci Darat, Hulu Sungai, Lamandau Regency, West Kalimantan 74665, Indonesia","{'location': {'lat': -1.4849375, 'lng': 111.1100625}, 'viewport': {'northeast': {'lat': -1.483587670107278, 'lng': 111.1114123298927}, 'southwest': {'lat': -1.486287329892722, 'lng': 111.1087126701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Silikin Tiga Kina,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112287759390655944556"">HENN CLAUS</a>'], 'photo_reference': 'AUGGfZk10nGzb_VravY4Iqf8RPRhLvHJ3hta1x1Ld2OqaePdpfjsldE_t350QG5n6csszpF6EonPHH4eegpEn7rWglbP5z8i5HGmRJVlqLvsI9oTCt_dm8ag-IRJXlLKgoTJVoNAstuQf32KraxrdiNY6nwPm6s477R6Ozxe9stdKdbrKR4L', 'width': 4000}]",ChIJyadE23qfBi4RUSmK1YUC7lo,ChIJyadE23qfBi4RUSmK1YUC7lo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJyadE23qfBi4RUSmK1YUC7lo
"288F+PM4, Bakonsu, Lamandau, Lamandau Regency, Central Kalimantan 74162, Indonesia","{'location': {'lat': -1.9832319, 'lng': 111.3242138}, 'viewport': {'northeast': {'lat': -1.9786059, 'lng': 111.32641205}, 'southwest': {'lat': -1.9847739, 'lng': 111.32348105}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103157842550101257166"">jaisnan khioiru</a>'], 'photo_reference': 'AUGGfZlIUDeYj5KQWmi5nYlaotZomUXfl9xHFbM8UnrV73idkvMzRAoRT6I_gVJmD_FB8YdDVDDA6EZXLdUn6M4DyNUtZGtiXDwoSr8m8b3aRuclJibxhRxnsZTUNJN8DNLHWsf46KAG10ygNOqh-qTqXH4ofI-U8wwmgtiDKzcFvix2IPvS', 'width': 4608}]",ChIJ9RJmnBBtBi4RtqIxNDD9ZSw,ChIJ9RJmnBBtBi4RtqIxNDD9ZSw,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,8.0,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ9RJmnBBtBi4RtqIxNDD9ZSw
"398X+W59, Buluh River, Belantikan Raya, Lamandau Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.9327024, 'lng': 111.3979863}, 'viewport': {'northeast': {'lat': -1.931352570107278, 'lng': 111.3993361298927}, 'southwest': {'lat': -1.934052229892722, 'lng': 111.3966364701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Pemandian,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115373017122903899018"">A Google User</a>'], 'photo_reference': 'AUGGfZlB0kRN1Hk0NyNr-B1bFZyrT8c5Uj4R9iybYiBSI516c6BDuQOitBauaNYo5BnL0CR3aSH4imMSIwp_WfGqorNM9_K5im9uipQbh4OKXcwKnQk0rcNzkDU0yd5PYZCD7B0frrsWZi-2U5Dn4OPgJ8x32kX1Prhoo1SJudpov0Z0v0K_', 'width': 4000}]",ChIJE27sCAZrBi4RN5fz6sK40ds,ChIJE27sCAZrBi4RN5fz6sK40ds,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,3.0,2.0,True,,https://www.google.com/maps/place/?q=place_id:ChIJE27sCAZrBi4RN5fz6sK40ds
"8529+FR, Benakitan, Batang Kawa, Lamandau Regency, Central Kalimantan 74664, Indonesia","{'location': {'lat': -1.6988074, 'lng': 111.1695519}, 'viewport': {'northeast': {'lat': -1.698091470107278, 'lng': 111.1708887298927}, 'southwest': {'lat': -1.700791129892722, 'lng': 111.1681890701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Riam Keladu,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106350567872607403040"">Hada Adi Praja Hada Adi Praja</a>'], 'photo_reference': 'AUGGfZmnOtbnzs2CKUPwk0C_yy7-C7B-82I-iqKpanv_OdtYTUdJMQt426hUW-fx07v6a9Psxxmjil9M4gUNPdj7MSJTHZHXQFOY_-5tG5Lp3tiQJ_C83-neuV985nRpxD9m73aF6WA5fPSyBNIx8O_MVclP9y_5DHJ3zfg2lZCGZO3g0Tt5', 'width': 5333}]",ChIJ7_7GxdKBBi4RroYbK_50SuY,ChIJ7_7GxdKBBi4RroYbK_50SuY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ7_7GxdKBBi4RroYbK_50SuY
