business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,permanently_closed,url
OPERATIONAL,"88MM+H7V, Mimin, Oksop, Pegunungan Bintang Regency, Papua, Indonesia","{'location': {'lat': -4.6660156, 'lng': 140.3331633}, 'viewport': {'northeast': {'lat': -4.664665770107278, 'lng': 140.3345131298927}, 'southwest': {'lat': -4.667365429892722, 'lng': 140.3318134701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Paradise Lagoon,ChIJewWl7duVQGgRcC3IkmZ-x5A,5.0,ChIJewWl7duVQGgRcC3IkmZ-x5A,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJewWl7duVQGgRcC3IkmZ-x5A
OPERATIONAL,"2HMP+5C7, Dabolding, Kolomdol, Pegunungan Bintang Regency, Papua, Indonesia","{'location': {'lat': -4.967075400000001, 'lng': 140.5860497}, 'viewport': {'northeast': {'lat': -4.965725570107278, 'lng': 140.5873995298927}, 'southwest': {'lat': -4.968425229892723, 'lng': 140.5846998701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali Biru,ChIJJW7RPNotR2gRe-atyWw4ewc,0.0,ChIJJW7RPNotR2gRe-atyWw4ewc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJW7RPNotR2gRe-atyWw4ewc
OPERATIONAL,"XRX9+XX, Bias, Murkim, Pegunungan Bintang Regency, Papua, Indonesia","{'location': {'lat': -4.0001084, 'lng': 140.8199953}, 'viewport': {'northeast': {'lat': -3.998758570107278, 'lng': 140.8213451298927}, 'southwest': {'lat': -4.001458229892722, 'lng': 140.8186454701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung bias tercinta,ChIJk7JDivjRQWgRqRxjI5yHsNk,4.3,ChIJk7JDivjRQWgRqRxjI5yHsNk,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113807543005959967313"">A Google User</a>'], 'photo_reference': 'AUGGfZmg1adZ9u9JLjd7XFK1dSt57LyMb397YEDKH2XQvF343AzoZoqE1dxHToZBKzafAEXE65d8gN9J9k7OPn5dc1oXtcIQuN6M4vPH9mL492PByeoOEDPFYXLGOEdzG1cVUkVb2M2nS9uufUQTLSw0VhZYWBCxlx2Q5WjDJCLoOwBAMF9K', 'width': 960}]",,,https://www.google.com/maps/place/?q=place_id:ChIJk7JDivjRQWgRqRxjI5yHsNk
OPERATIONAL,"CG94+7H9, Omliom, Okbab, Pegunungan Bintang Regency, Papua 99572, Indonesia","{'location': {'lat': -4.5818274, 'lng': 140.5064705}, 'viewport': {'northeast': {'lat': -4.580477570107278, 'lng': 140.5078203298928}, 'southwest': {'lat': -4.583177229892722, 'lng': 140.5051206701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun La Kampung Maksum,ChIJib4MQrnvQGgR76hxlgicJqQ,2.0,ChIJib4MQrnvQGgR76hxlgicJqQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101444600369270607763"">A Google User</a>'], 'photo_reference': 'AUGGfZm5Xa2ICYzhJiJUTYAcqJPUhX7nGwndpmEyKc83MncaLdcmv7kegtabX2RHksj1TwJoEAnQjWaqFzEyHV571ZLAlc0DlshC32iTDYHUx2VqqxkcyZDfVxYhWQZ8DHkipBe8zVGge6VVofrWzl7KSPrYAToq5PkDD_-pkytNpx1Bqd1-', 'width': 1264}]",,,https://www.google.com/maps/place/?q=place_id:ChIJib4MQrnvQGgR76hxlgicJqQ
OPERATIONAL,"7C96+23J, Mimin, Oksop, Pegunungan Bintang Regency, Papua, Indonesia","{'location': {'lat': -4.732417799999999, 'lng': 140.4101474}, 'viewport': {'northeast': {'lat': -4.731067970107278, 'lng': 140.4114972298927}, 'southwest': {'lat': -4.733767629892721, 'lng': 140.4087975701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Distrik oksop kabupaten pegunungan bintang,ChIJY1yC_r3BQGgRd7wMupLKoZc,0.0,ChIJY1yC_r3BQGgRd7wMupLKoZc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJY1yC_r3BQGgRd7wMupLKoZc
OPERATIONAL,"X5R2+WP3, Yelobib, Awinbon, Pegunungan Bintang Regency, Papua, Indonesia","{'location': {'lat': -5.0077298, 'lng': 140.1517908}, 'viewport': {'northeast': {'lat': -5.006379970107279, 'lng': 140.1531406298927}, 'southwest': {'lat': -5.009079629892723, 'lng': 140.1504409701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nanum Anaip,ChIJKU6_MCNRR2gRUVz1HHVsi9A,4.0,ChIJKU6_MCNRR2gRUVz1HHVsi9A,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJKU6_MCNRR2gRUVz1HHVsi9A
OPERATIONAL,"QXVQ+QMM, Betem 2, Tarup, Pegunungan Bintang Regency, Papua 99575, Indonesia","{'location': {'lat': -5.2055304, 'lng': 140.9891763}, 'viewport': {'northeast': {'lat': -5.204180570107278, 'lng': 140.9905261298927}, 'southwest': {'lat': -5.206880229892722, 'lng': 140.9878264701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan Kwirok,ChIJr_uUmWTBRmgRbgjYgyMU_Ac,5.0,ChIJr_uUmWTBRmgRbgjYgyMU_Ac,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJr_uUmWTBRmgRbgjYgyMU_Ac
OPERATIONAL,"PPCF+HV8, Kuken, Ambatkwi, Boven Digoel Regency, Papua, Indonesia","{'location': {'lat': -5.2785845, 'lng': 140.7247053}, 'viewport': {'northeast': {'lat': -5.277234670107279, 'lng': 140.7260551298927}, 'southwest': {'lat': -5.279934329892723, 'lng': 140.7233554701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KALI KAO,ChIJu3AJetjhRmgRUVTR57zowtA,5.0,ChIJu3AJetjhRmgRUVTR57zowtA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105366332842287974687"">Hendy Prasetya</a>'], 'photo_reference': 'AUGGfZkaN_t-zohWNK4OgotKNBX_hpi-1ElHR_tqUG-PgneyChFf4UPvmuaTgVS7MGKv7766-jjvRXRm6o2hnn7G0EuABBSxaDuDNRIMtIXRsHPegQeodxUvHLdluv0A8ccBg_Iwgt88YC473ONMCCTNVjvjdihH4PgOp2Z3zNNx4ke-oYKB', 'width': 3840}]",,,https://www.google.com/maps/place/?q=place_id:ChIJu3AJetjhRmgRUVTR57zowtA
OPERATIONAL,"CVHQ+C5, Bera, Sela, Yahukimo regency, Papua, Indonesia","{'location': {'lat': -4.571488, 'lng': 139.8879176}, 'viewport': {'northeast': {'lat': -4.570138170107279, 'lng': 139.8892674298927}, 'southwest': {'lat': -4.572837829892722, 'lng': 139.8865677701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan,ChIJsd9NNwBlP2gR7kJFytao1OY,0.0,ChIJsd9NNwBlP2gR7kJFytao1OY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJsd9NNwBlP2gR7kJFytao1OY
OPERATIONAL,"HR2W+H7, Ikcan, Waropko, Boven Digoel Regency, Papua, Indonesia","{'location': {'lat': -5.4486041, 'lng': 140.8457019}, 'viewport': {'northeast': {'lat': -5.447207070107278, 'lng': 140.8470968798927}, 'southwest': {'lat': -5.449906729892722, 'lng': 140.8443972201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tebing Ican,ChIJO0uUGQD3RmgRId-c5YTb8P8,0.0,ChIJO0uUGQD3RmgRId-c5YTb8P8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJO0uUGQD3RmgRId-c5YTb8P8
