business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,plus_code,photos,url
OPERATIONAL,"X82Q+GQJ, Tatebal, Lenangguar, Sumbawa Regency, West Nusa Tenggara 84373, Indonesia","{'location': {'lat': -9.0486524, 'lng': 117.3393864}, 'viewport': {'northeast': {'lat': -9.047302570107279, 'lng': 117.3407362298927}, 'southwest': {'lat': -9.050002229892723, 'lng': 117.3380365701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Villa POKDARWIS Lenangguar Sapari,{'open_now': True},ChIJWbmCSOdlyy0REyYDtWFCTqM,0.0,ChIJWbmCSOdlyy0REyYDtWFCTqM,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJWbmCSOdlyy0REyYDtWFCTqM
OPERATIONAL,"3PV5+X6, Sekokat, Labangka, Sumbawa Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.905064, 'lng': 117.7080959}, 'viewport': {'northeast': {'lat': -8.90367172010728, 'lng': 117.7094370798928}, 'southwest': {'lat': -8.906371379892724, 'lng': 117.7067374201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bunga Sari,,ChIJuUHkFQAPyy0R6QCDOhFTgl4,1.0,ChIJuUHkFQAPyy0R6QCDOhFTgl4,"['lodging', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJuUHkFQAPyy0R6QCDOhFTgl4
OPERATIONAL,"1Jl Bay Pas BIL km17.Pancor Tambang Eleh West Nusa Tenggara Rest of Indonesia, 83361, Indonesia","{'location': {'lat': -8.652934000000002, 'lng': 117.361647}, 'viewport': {'northeast': {'lat': -8.651775420107278, 'lng': 117.3630866298927}, 'southwest': {'lat': -8.654475079892721, 'lng': 117.3603869701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 93440 Warde Hotel,,ChIJA1VVVVWFyy0RB-jwhH-j6-w,0.0,ChIJA1VVVVWFyy0RB-jwhH-j6-w,"['lodging', 'point_of_interest', 'establishment']",0,"{'compound_code': '89W6+RM Sempe, Sumbawa Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3V89W6+RM'}",,https://www.google.com/maps/place/?q=place_id:ChIJA1VVVVWFyy0RB-jwhH-j6-w
OPERATIONAL,"26G8+J96, Lunyuk Ode, Lunyuk, Sumbawa Regency, West Nusa Tenggara 84373, Indonesia","{'location': {'lat': -8.9734594, 'lng': 117.2159062}, 'viewport': {'northeast': {'lat': -8.972062370107276, 'lng': 117.2173775298927}, 'southwest': {'lat': -8.97476202989272, 'lng': 117.2146778701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah Orang Kaya Beruntung,,ChIJK5iymI99yy0Rm2r3LaN7jxo,1.0,ChIJK5iymI99yy0Rm2r3LaN7jxo,"['lodging', 'point_of_interest', 'establishment']",2,,"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106591920065691776068"">Alwi Gra</a>'], 'photo_reference': 'AUGGfZn7zlqAEtab9TkJHdzf8n_PmUFNF4ye_NeQuwztDLfoMI5-MyOVdM2nkjT9Gl7eP5yQH9kO_LgTmvIbAINSLcW5Ib-8x4AHBYmxYR-_b1TyHZ-J3IHqv4AvJ7JcfDYen2Dnfi58ine4FzW8Lq-8hl8dhXw416LlV0tILidMlwyJqUH8', 'width': 1040}]",https://www.google.com/maps/place/?q=place_id:ChIJK5iymI99yy0Rm2r3LaN7jxo
OPERATIONAL,"Lingk No.02, Sempe, Moyo Hulu, Bar, West Nusa Tenggara 83114, Indonesia","{'location': {'lat': -8.652934000000002, 'lng': 117.361647}, 'viewport': {'northeast': {'lat': -8.651775420107278, 'lng': 117.3630866298927}, 'southwest': {'lat': -8.654475079892721, 'lng': 117.3603869701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 91777 Kemuning Guesthouse,,ChIJA1VVVVWFyy0RZiHH54btcso,0.0,ChIJA1VVVVWFyy0RZiHH54btcso,"['lodging', 'point_of_interest', 'establishment']",0,"{'compound_code': '89W6+RM Sempe, Sumbawa Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3V89W6+RM'}",,https://www.google.com/maps/place/?q=place_id:ChIJA1VVVVWFyy0RZiHH54btcso
OPERATIONAL,"W8VF+XMC, Tatebal, Lenangguar, Sumbawa Regency, West Nusa Tenggara 84373, Indonesia","{'location': {'lat': -9.0550661, 'lng': 117.3241277}, 'viewport': {'northeast': {'lat': -9.053716270107277, 'lng': 117.3254775298928}, 'southwest': {'lat': -9.05641592989272, 'lng': 117.3227778701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Villa GEPPAL,{'open_now': True},ChIJ9eGO0Ndlyy0RkOCiIxDoM5I,5.0,ChIJ9eGO0Ndlyy0RkOCiIxDoM5I,"['lodging', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ9eGO0Ndlyy0RkOCiIxDoM5I
OPERATIONAL,"Lempeh, Sumbawa, Sumbawa Regency, West Nusa Tenggara 84316, Indonesia","{'location': {'lat': -8.485908300000002, 'lng': 117.4116333}, 'viewport': {'northeast': {'lat': -8.484578070107277, 'lng': 117.4129200798927}, 'southwest': {'lat': -8.487277729892721, 'lng': 117.4102204201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Samawa Transit Hotel,{'open_now': True},ChIJS5bTXmztyy0ReD9JgrlLjNM,4.3,ChIJS5bTXmztyy0ReD9JgrlLjNM,"['lodging', 'point_of_interest', 'establishment']",184,"{'compound_code': 'GC76+JM Lempeh, Sumbawa Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3VGC76+JM'}","[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108974611844732008688"">Ferdinand Leonidas</a>'], 'photo_reference': 'AUGGfZkHUh-TROxhu74wGIvzmvNx9rISJ_B5c37CN43aS-ADxcWUD0WXzSYa85eMUT_ot0lHg967WBYSElvjtax_MWTiTAFyltjtNuZw4DUlxsy9-wJ05I0KQwyJoblV2hmJiYzXfbBocAgWz1TOD2MXdUKkSkdSqXBkV3_UV2xcWbXBjJ7r', 'width': 4624}]",https://www.google.com/maps/place/?q=place_id:ChIJS5bTXmztyy0ReD9JgrlLjNM
OPERATIONAL,"8GXJ+M2, Pungkit, Lopok, Sumbawa Regency, West Nusa Tenggara 84382, Indonesia","{'location': {'lat': -8.6507375, 'lng': 117.5300345}, 'viewport': {'northeast': {'lat': -8.649362720107277, 'lng': 117.5313097298927}, 'southwest': {'lat': -8.65206237989272, 'lng': 117.5286100701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jimi saputra,,ChIJiQvaiCeZyy0R350nj9Nal7w,0.0,ChIJiQvaiCeZyy0R350nj9Nal7w,"['lodging', 'point_of_interest', 'establishment']",0,,"[{'height': 707, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105678522287640531012"">A Google User</a>'], 'photo_reference': 'AUGGfZkQ6LVCSCBRmfIsjzqXYQT0yAffTSPO3zVoUB9mdbPI-dd4BtjfqWSS7Z2Z6683zp0bOz0YIQnXnKF5wGyRTtxLylQn44zIK0gAnz9q_8Mug60aqXjGqUJu9X_dF7JbtjIB-tgxrpwvBjqpV0AVHos0K2WJt72HPLPCK9KP4UYJ9TEL', 'width': 720}]",https://www.google.com/maps/place/?q=place_id:ChIJiQvaiCeZyy0R350nj9Nal7w
OPERATIONAL,"Jl. Garuda No.44, Lempeh, Kec. Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Bar. 84312, Indonesia","{'location': {'lat': -8.4863319, 'lng': 117.4114441}, 'viewport': {'northeast': {'lat': -8.48500007010728, 'lng': 117.4127206298927}, 'southwest': {'lat': -8.487699729892723, 'lng': 117.4100209701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kaloka Airport Hotel,{'open_now': True},ChIJzzPND27tyy0RuWgxdeAB-2c,4.6,ChIJzzPND27tyy0RuWgxdeAB-2c,"['lodging', 'point_of_interest', 'establishment']",748,"{'compound_code': 'GC76+FH Lempeh, Sumbawa Regency, West Nusa Tenggara, Indonesia', 'global_code': '6P3VGC76+FH'}","[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112812345153633202647"">Kristian Nugroho</a>'], 'photo_reference': 'AUGGfZlFeTExyACt1tGL6g-3yQ3rR3Y11AT4ttLnIybCYiFi5qL0K2O_bvlR9sdJDZLBrUigvqM9aEx81wvaBJwFpzKE3SosI1hyv6iXw3JjIRS4oDNGORLHQke4CAWpm8nRGgRKLNqmUEpxOeAdyng2XX0Co0FWnY0oQGF1y4XcUjTRA8LA', 'width': 4000}]",https://www.google.com/maps/place/?q=place_id:ChIJzzPND27tyy0RuWgxdeAB-2c
OPERATIONAL,"8FMJ+85P, Batutering, Moyo Hulu, Sumbawa Regency, West Nusa Tenggara 84371, Indonesia","{'location': {'lat': -8.6666706, 'lng': 117.4804468}, 'viewport': {'northeast': {'lat': -8.665310020107277, 'lng': 117.4817675798927}, 'southwest': {'lat': -8.668009679892721, 'lng': 117.4790679201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Posko batu tering,,ChIJTZkkORqZyy0RShpOogO5sW4,5.0,ChIJTZkkORqZyy0RShpOogO5sW4,"['lodging', 'point_of_interest', 'establishment']",2,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106154973431238254877"">A Google User</a>'], 'photo_reference': 'AUGGfZlY4FpLsIJzPZsrhOfkVXdCKDsHx_pv__bACMioif900UbhOC87N_oOoC4sxGaoAjIFE8heKRRM6452SJ-fW5wB65DTiRjVWl6bcJ1KEFwP4CIWKKPsG964QbHHyo-MnOeIo9elzskrLvnOEn9TVlavhte4j-lSsRDn20VfP8_G7usg', 'width': 1080}]",https://www.google.com/maps/place/?q=place_id:ChIJTZkkORqZyy0RShpOogO5sW4
