business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,plus_code,url
OPERATIONAL,"Q85C+P73, Uiboa, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2407273, 'lng': 123.3206685}, 'viewport': {'northeast': {'lat': -10.23942137010728, 'lng': 123.3221147798927}, 'southwest': {'lat': -10.24212102989272, 'lng': 123.3194151201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Uinian Beach,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109523402513996563088"">Nurnaeni Rais</a>'], 'photo_reference': 'AUGGfZkPWRlXcmi6I-EfzsSRO3TEysjr4jNQpvzxfdbERRfWntorRuoRMd_YhrUiQhBcc-mH_znOz5ODwvXFlTh7REVsWJ8ixFwh0wLCvmNHE3HgLSeZy3ZhWkGG7GgVXMyMDUdN3COgn3WSzWxcQcWOakLzN2PWYecahXUv26paXNvLZyfh', 'width': 5472}]",ChIJsSnAktClViwRQYdff2cKMFo,4.6,ChIJsSnAktClViwRQYdff2cKMFo,"['tourist_attraction', 'point_of_interest', 'establishment']",56.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJsSnAktClViwRQYdff2cKMFo
OPERATIONAL,"P845+Q25, Uitiuhtuan, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2931156, 'lng': 123.3076102}, 'viewport': {'northeast': {'lat': -10.29173982010728, 'lng': 123.3091982798927}, 'southwest': {'lat': -10.29443947989272, 'lng': 123.3064986201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Liman Beach,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104388250142296030297"">Asep Saepul Rahman</a>'], 'photo_reference': 'AUGGfZnuNuHFIU5jH9ggxVy5MCckKqt3-UfufOhq88izgcx1KToYgov2bglOclviw8LQ6LpUoseZRyhssZW16fVN7n-Sh6xW4nA95GjZH895S3yXKGN0EinV23KO8qoXMz7WMzFWEC0ptOlAEMQmFlHCCTU6yfZwiGouDIRxrQpM2awUGgIO', 'width': 8000}]",ChIJe7jXdtSkViwRPHc7Of3ZZyQ,4.7,ChIJe7jXdtSkViwRPHc7Of3ZZyQ,"['tourist_attraction', 'point_of_interest', 'establishment']",308.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJe7jXdtSkViwRPHc7Of3ZZyQ
OPERATIONAL,"Q9G2+3H9, Desa Bokonusan, Pulau, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.2248454, 'lng': 123.3514747}, 'viewport': {'northeast': {'lat': -10.22375287010728, 'lng': 123.3530961298927}, 'southwest': {'lat': -10.22645252989272, 'lng': 123.3503964701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Onanbalu,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111698179831929928925"">jefriyunikson beeh</a>'], 'photo_reference': 'AUGGfZk1UGtiyb8rVOVQBs1J_kXc87Zz8uMnVcPQH7VBZXlywKYMaLt2yiHFPc-_K0stLuxQHgpp8SL2tK3Fx3dxEnREhUmVw3Hjfzd3I4xW-mr2CyI0a7_cHOTiTREvQy1FK-6o0z5CuZ38c-xS7HW0foLwrHeh7D8IhxlXOeFxPmAt451u', 'width': 1536}]",ChIJuXvKm0elViwR8qY_m5WgAYM,4.6,ChIJuXvKm0elViwR8qY_m5WgAYM,"['tourist_attraction', 'point_of_interest', 'establishment']",11.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJuXvKm0elViwR8qY_m5WgAYM
OPERATIONAL,"PC42+FVC, Uitiuh Ana, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2938103, 'lng': 123.4021436}, 'viewport': {'northeast': {'lat': -10.2887685, 'lng': 123.4034613298927}, 'southwest': {'lat': -10.2954909, 'lng': 123.4007616701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saborok Namo,,ChIJ7-DXZgC9ViwRQlvj3Jxsxf0,0.0,ChIJ7-DXZgC9ViwRQlvj3Jxsxf0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7-DXZgC9ViwRQlvj3Jxsxf0
OPERATIONAL,"P89H+4Q, Uitiuhtuan, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2822482, 'lng': 123.3294494}, 'viewport': {'northeast': {'lat': -10.28096435, 'lng': 123.33503735}, 'southwest': {'lat': -10.28609975, 'lng': 123.32758675}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ka'ua Okat Laen,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108729097249118326711"">A Google User</a>'], 'photo_reference': 'AUGGfZmg555tbZYVuhNJorN7JqW3pZ06Hvn3uCEErO7g_E1p7_P2l9r5iwSrnvzUpbEJ3HblDTPeKck9hWbxGLTOaJEglGwfuiECudkxOEVrzXzYjlwU9CpXx_hz8lZF9LTqNbrIejoBTtDMOaKbxgwsAE19Rzn0nz9riVU5ylbvbX6REAHY', 'width': 3264}]",ChIJr7dKzoylViwRM1EA97NgH64,4.0,ChIJr7dKzoylViwRM1EA97NgH64,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJr7dKzoylViwRM1EA97NgH64
OPERATIONAL,"M7JF+36X, Uitiuhtuan, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.3197583, 'lng': 123.2730989}, 'viewport': {'northeast': {'lat': -10.31840847010728, 'lng': 123.2744487298927}, 'southwest': {'lat': -10.32110812989272, 'lng': 123.2717490701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mumu Lhae,,ChIJX6UGT0q7ViwRdjqUrMv1tQA,0.0,ChIJX6UGT0q7ViwRdjqUrMv1tQA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJX6UGT0q7ViwRdjqUrMv1tQA
OPERATIONAL,"PC46+GH, Uitiuh Ana, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2936781, 'lng': 123.4114885}, 'viewport': {'northeast': {'lat': -10.29232767010728, 'lng': 123.4128315298927}, 'southwest': {'lat': -10.29502732989272, 'lng': 123.4101318701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lidi Dale,,ChIJV8aiXwG9ViwRio9_9xEDqyo,5.0,ChIJV8aiXwG9ViwRio9_9xEDqyo,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJV8aiXwG9ViwRio9_9xEDqyo
OPERATIONAL,"M7PF+P2, Uitiuhtuan, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.3132403, 'lng': 123.2725363}, 'viewport': {'northeast': {'lat': -10.31189047010728, 'lng': 123.2738861298927}, 'southwest': {'lat': -10.31459012989272, 'lng': 123.2711864701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai ferdy makonda,,ChIJq0lKcgK7ViwR2T-c2bWQekc,0.0,ChIJq0lKcgK7ViwR2T-c2bWQekc,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJq0lKcgK7ViwR2T-c2bWQekc
OPERATIONAL,"P9HJ+RW2, Uitiuh Ana, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2704841, 'lng': 123.3822764}, 'viewport': {'northeast': {'lat': -10.26903347010728, 'lng': 123.3829780798927}, 'southwest': {'lat': -10.27173312989272, 'lng': 123.3802784201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Namo Batu Ika,,ChIJx4jbSQCjViwR-ElkJA99Ecw,0.0,ChIJx4jbSQCjViwR-ElkJA99Ecw,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJx4jbSQCjViwR-ElkJA99Ecw
OPERATIONAL,"P89C+267, Uitiuhtuan, Semau Selatan, Kupang Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2824604, 'lng': 123.3205544}, 'viewport': {'northeast': {'lat': -10.28126452010728, 'lng': 123.32127835}, 'southwest': {'lat': -10.28396417989272, 'lng': 123.31838255}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Uitiuhtuan,"[{'height': 1344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100026329209947968209"">D&#39;jendri Tausbele</a>'], 'photo_reference': 'AUGGfZnzyKzRwv6yas7NPYYqeK7p9e5JaSekQplwmjaS4pQimaG_fasvNOI9zAVEa7o8Xl1S56aITcgU9sKAbn_pCCm7J__GQRYExWGumgycCPxrBYZRsrFMGP42GMZbZezhCGTBsHsU5F1RMz67NjVSmhQvhJ-lnshZH3CqWyuNVZPlfrop', 'width': 704}]",ChIJIyvGjuSlViwRo_xzOkT4ljk,5.0,ChIJIyvGjuSlViwRo_xzOkT4ljk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJIyvGjuSlViwRo_xzOkT4ljk
