formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,opening_hours,photos,plus_code,rating,user_ratings_total,permanently_closed,url
"Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.5135376, 'lng': 98.2212979}, 'viewport': {'northeast': {'lat': 2.7850399, 'lng': 98.46750809999999}, 'southwest': {'lat': 2.276107, 'lng': 98.0695581}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pakpak Bharat Regency,ChIJf1F7UsolMDARWjw1wRGkMis,ChIJf1F7UsolMDARWjw1wRGkMis,"['administrative_area_level_2', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJf1F7UsolMDARWjw1wRGkMis
"Siempat Rube I, Siempat Rube, Pakpak Bharat Regency, North Sumatra 22272, Indonesia","{'location': {'lat': 2.587856, 'lng': 98.3593937}, 'viewport': {'northeast': {'lat': 2.589182879892722, 'lng': 98.36071872989272}, 'southwest': {'lat': 2.586483220107278, 'lng': 98.35801907010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Kuta Jungak,ChIJ-Q8w46UvMDARIQ3JC76g0M4,ChIJ-Q8w46UvMDARIQ3JC76g0M4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104918283399049451932"">A Google User</a>'], 'photo_reference': 'AUGGfZkCUIDEYcC8keRNvq3b0-qJtgC6nid6d0SuVJ9lsD1hEFmiOOEaLDwlAxcEGVBQ-QSCW7zAGQ0QzbMGhMHdccMLbfbaTDkzQm9qh_8jbOzUyA8QTmLoYj_5heqWzMqKy5absLR0bUFPhWWsFdvKyy5CtB2oC3rMtvhh4Ee2aN7mNxyg', 'width': 4160}]","{'compound_code': 'H9Q5+4Q Siempat Rube I, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWH9Q5+4Q'}",5.0,14.0,,https://www.google.com/maps/place/?q=place_id:ChIJ-Q8w46UvMDARIQ3JC76g0M4
"J86X+9J5, Buluh Tellang, Tinada, Pakpak Bharat Regency, North Sumatra 22271, Indonesia","{'location': {'lat': 2.6108756, 'lng': 98.3491183}, 'viewport': {'northeast': {'lat': 2.611776129892723, 'lng': 98.35052947989271}, 'southwest': {'lat': 2.609076470107278, 'lng': 98.34782982010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Lae Mbilulu,ChIJXcfbd0owMDARQbEGf2MpDx8,ChIJXcfbd0owMDARQbEGf2MpDx8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103921602246083320842"">A Google User</a>'], 'photo_reference': 'AUGGfZliry7KFuv7oNPOuu0WuTbvyeoXhlFyh7jZfW2295G7qCfIYXNfUXODu39x--MSkYAUSADDzPqSSrou3iFFgTx-bBmrUcx6BbxpStl50uAICx1baiHdoDyXxGUAsIfofjqmcWHQXr1KbvPHMc6M7jQ1uGIdPA2ihtehqmF5krgyU-f0', 'width': 4160}]",,4.5,210.0,,https://www.google.com/maps/place/?q=place_id:ChIJXcfbd0owMDARQbEGf2MpDx8
"P84M+53X, Kutadame, Kerajaan, Pakpak Bharat Regency, North Sumatra 22216, Indonesia","{'location': {'lat': 2.7054821, 'lng': 98.3327291}, 'viewport': {'northeast': {'lat': 2.706761079892722, 'lng': 98.33399752989271}, 'southwest': {'lat': 2.704061420107278, 'lng': 98.33129787010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lae Simbellen,ChIJRxQkvzw3MDARbKZfE01uXpc,ChIJRxQkvzw3MDARbKZfE01uXpc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100104353176858603952"">A Google User</a>'], 'photo_reference': 'AUGGfZlXNK8s2Nw4N2T9cgNJz1lQ70aGjvW1OHCNTtUDY4lWBN2YvGuGzrCEXPBgHIy5k4fPcPPPhfb9x9qXXyLZf466j4JbG9Vga_x-kzLK2KtKExfoICICVIQh7MiI8WgHsExZR9JDPdWqWBGtzrqcJvQECWCY57z5NEAdbshtfDVV_vT2', 'width': 4096}]",,4.2,11.0,,https://www.google.com/maps/place/?q=place_id:ChIJRxQkvzw3MDARbKZfE01uXpc
"Jl. Lae Bincilin Tinada No.75, Tinada, Kec. Tinada, Kabupaten Pakpak Bharat, Sumatera Utara 22272, Indonesia","{'location': {'lat': 2.5936201, 'lng': 98.32870899999999}, 'viewport': {'northeast': {'lat': 2.594968629892722, 'lng': 98.3300588298927}, 'southwest': {'lat': 2.592268970107277, 'lng': 98.32735917010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gapura Wisata Alam Lae Mbilulu,ChIJUQDF0dwxMDARJh9NL5-HiYg,ChIJUQDF0dwxMDARJh9NL5-HiYg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,,"{'compound_code': 'H8VH+CF Tinada, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWH8VH+CF'}",5.0,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJUQDF0dwxMDARJh9NL5-HiYg
"JC82+5Q9, Kuta Jungak, Siempat Rube, Pakpak Bharat Regency, North Sumatra 22272, Indonesia","{'location': {'lat': 2.6154089, 'lng': 98.4019754}, 'viewport': {'northeast': {'lat': 2.616459929892723, 'lng': 98.40395052989273}, 'southwest': {'lat': 2.613760270107278, 'lng': 98.40125087010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SAMPUREN SIPITU PITU LAE ANGKAT KUTA JUNGAK,ChIJf_oB1K8zMDARSAgT1O5SyqY,ChIJf_oB1K8zMDARSAgT1O5SyqY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107327442679418949674"">Ar Wăňðí Păðăňğ</a>'], 'photo_reference': 'AUGGfZlkZOIrwyBN1XAZDF5jiHlZPEb4BkjQZdIof3cnO__u-4ttaSu7UaoXzEiUvGKGZ7jopZoSzQRubnYwE34MUR7enHlu6aU8EHBi9Gl0KYZ226QTRoKiC_ssjtzJiGEsSHr1j8MwI8jwgZBg2pd1NyxDf2irWJF_qlqhT9OhKDLEw5BR', 'width': 720}]",,5.0,3.0,,https://www.google.com/maps/place/?q=place_id:ChIJf_oB1K8zMDARSAgT1O5SyqY
"M4C7+5J3, Malum, Sitellu Tali Urang Jehe, Pakpak Bharat Regency, North Sumatra 24791, Indonesia","{'location': {'lat': 2.6703841, 'lng': 98.1140494}, 'viewport': {'northeast': {'lat': 2.671921679892721, 'lng': 98.11556047989274}, 'southwest': {'lat': 2.669222020107277, 'lng': 98.11286082010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Lae Pinang,ChIJdXK10lcXMDAR32uem0_svv0,ChIJdXK10lcXMDAR32uem0_svv0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103636352754781070742"">A Google User</a>'], 'photo_reference': 'AUGGfZmv9j0n47AovGbhF_vin4m2JLLUB3uAFK28kQTkO8iMq7JMO2Eq_9dF3pqEU7hEjWLBiiF1ww6uHuorniMLrge32YEUQ7MLkIUXhV5PKvfMhBEg4SBRTjaFp4QVMGnpFAgmsu29bD0wTohOdLVUxspVzA3w0DSAWwv48i49p5IsQK5l', 'width': 3456}]",,4.4,10.0,,https://www.google.com/maps/place/?q=place_id:ChIJdXK10lcXMDAR32uem0_svv0
"M8FH+CGP, Kutadame, Kerajaan, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.6735752, 'lng': 98.3288219}, 'viewport': {'northeast': {'lat': 2.674964029892722, 'lng': 98.33015262989272}, 'southwest': {'lat': 2.672264370107277, 'lng': 98.32745297010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agrowisata Nanas Kuta Dame,ChIJc7tG65sxMDARh6raqNzOr6I,ChIJc7tG65sxMDARh6raqNzOr6I,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118206007160355772666"">A Google User</a>'], 'photo_reference': 'AUGGfZnKVhWwXjvzme13D6K4rv2LD9JGQcQlS4b1d28_1adArJMl4c_-R3cautKuixVFMLBWU3wJ994g3P97GjsN-6ocuR4__IiHZX6cHt1kP-47whtXGBNv2irDf2sb3f1zyHTwLyhEuoY-CaSNpHmCXRBWyNg8WpIs7EiXanjPgHKYdXLN', 'width': 4160}]",,5.0,2.0,,https://www.google.com/maps/place/?q=place_id:ChIJc7tG65sxMDARh6raqNzOr6I
"J774+5M6, Bandar Baru, Sitellu Tali Urang Jehe, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.6129152, 'lng': 98.2566402}, 'viewport': {'northeast': {'lat': 2.614275979892722, 'lng': 98.25801987989273}, 'southwest': {'lat': 2.611576320107277, 'lng': 98.25532022010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dusun rumah lama,ChIJ92AOcQA7MDARR_pkL-X7xYg,ChIJ92AOcQA7MDARR_pkL-X7xYg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115995381010292613513"">A Google User</a>'], 'photo_reference': 'AUGGfZn7UjSTQVperEl1tgLVEgUURWsBpd9wtUZJY4ARySmIXjTseFW5aC_bdM8M9G-IGbwx5kTXzDVQcYp_AD1P5urZEiNfTUDsgyN4Y5ZeCQUuZLh0hLr_2veOYwkxUqvpZnh57lRFyUREo5dfO6d0kdFucFtDM_6rVEPBwiA9jBfKRRuF', 'width': 2448}]",,5.0,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJ92AOcQA7MDARR_pkL-X7xYg
"G8G8+6VP, Penanggalan Binanga Boang, Salak, Pakpak Bharat Regency, North Sumatra 22272, Indonesia","{'location': {'lat': 2.5255979, 'lng': 98.3172058}, 'viewport': {'northeast': {'lat': 2.527508229892723, 'lng': 98.31876177989272}, 'southwest': {'lat': 2.524808570107278, 'lng': 98.31606212010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelleng Ate Farm,ChIJq7AyV3YvMDARB-ZBwjS4e0E,ChIJq7AyV3YvMDARB-ZBwjS4e0E,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"[{'height': 719, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102505132891452521764"">A Google User</a>'], 'photo_reference': 'AUGGfZkcqFtd4QBem41h9KMVnpJLvBFVJddwdy0jd8PU1fiwT5ZujeCPQz7kVJPpGBtiS9h5dc_obOhFA488kz2gvOTwMiTkAKsCJ89bFj41PayjeHVtnZNTnQWoeGOexT5AdbdVcV_bSdXmG8_5KyCyD6Qj7XJQTLqU44jZD7tH1vinuh4', 'width': 1288}]",,5.0,2.0,,https://www.google.com/maps/place/?q=place_id:ChIJq7AyV3YvMDARB-ZBwjS4e0E
