business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,photos,url
OPERATIONAL,"Jl. Lae Bincilin Tinada No.75, Tinada, Kec. Tinada, Kabupaten Pakpak Bharat, Sumatera Utara 22272, Indonesia","{'location': {'lat': 2.5936201, 'lng': 98.32870899999999}, 'viewport': {'northeast': {'lat': 2.594968629892722, 'lng': 98.3300588298927}, 'southwest': {'lat': 2.592268970107277, 'lng': 98.32735917010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gapura Wisata Alam Lae Mbilulu,ChIJUQDF0dwxMDARJh9NL5-HiYg,"{'compound_code': 'H8VH+CF Tinada, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWH8VH+CF'}",5.0,ChIJUQDF0dwxMDARJh9NL5-HiYg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJUQDF0dwxMDARJh9NL5-HiYg
OPERATIONAL,"F9QM+GF, Ulu Merah, Sitellu Tali Urang Julu, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.4887566, 'lng': 98.3837485}, 'viewport': {'northeast': {'lat': 2.490164279892722, 'lng': 98.38521317989272}, 'southwest': {'lat': 2.487464620107278, 'lng': 98.38251352010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lahan D.Purba,ChIJzYSXZAApMDARDHQjNC0Esqg,,0.0,ChIJzYSXZAApMDARDHQjNC0Esqg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJzYSXZAApMDARDHQjNC0Esqg
OPERATIONAL,"J86X+9J5, Buluh Tellang, Tinada, Pakpak Bharat Regency, North Sumatra 22271, Indonesia","{'location': {'lat': 2.6108756, 'lng': 98.3491183}, 'viewport': {'northeast': {'lat': 2.611776129892723, 'lng': 98.35052947989271}, 'southwest': {'lat': 2.609076470107278, 'lng': 98.34782982010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Lae Mbilulu,ChIJXcfbd0owMDARQbEGf2MpDx8,,4.5,ChIJXcfbd0owMDARQbEGf2MpDx8,"['tourist_attraction', 'point_of_interest', 'establishment']",210,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103921602246083320842"">A Google User</a>'], 'photo_reference': 'AUGGfZkaFzBoaHfX3SFtT3PUYscFf3l8FWJq97hqpREC5wlOv7CaGiFQg1Gg4x_at7NVYD6VOcxBS283EPia6dRtHXw8VB_aZVT-oRHwU2COiZB7p-quGtWjbT3Dtefoh7NSAu6rRkucdVfwAqtgt9FxIghXvKyygMgSj8BmsupklWxsm_5Z', 'width': 4160}]",https://www.google.com/maps/place/?q=place_id:ChIJXcfbd0owMDARQbEGf2MpDx8
OPERATIONAL,"Jl. Runding, Sidiangkat, Kec. Sidikalang, Kabupaten Dairi, Sumatera Utara 22216, Indonesia","{'location': {'lat': 2.6988634, 'lng': 98.30353939999999}, 'viewport': {'northeast': {'lat': 2.700175579892722, 'lng': 98.30487307989272}, 'southwest': {'lat': 2.697475920107278, 'lng': 98.30217342010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penatapan Puncak Sidiangkat,ChIJ5yrrqdk5MDARevJoDuzR2Nk,"{'compound_code': 'M8X3+GC Sidiangkat, Dairi Regency, North Sumatra, Indonesia', 'global_code': '6MJWM8X3+GC'}",4.2,ChIJ5yrrqdk5MDARevJoDuzR2Nk,"['tourist_attraction', 'point_of_interest', 'establishment']",294,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111474045052767881510"">syahdan tube</a>'], 'photo_reference': 'AUGGfZlrdoB355J1wUTwy9MpJDbnupq0RhgYn9Iy7O_uL4cqYtFFwdgQiIF8IIFXUFZhDSyLDZOd3ZXUkWlMXKqhhiAZmmEZrkCY2fhPmaw_pQhhoO0bCk_fbACVDyoLmmk-yv48emHaneC1kfQqLgS8QPbG9L6yT_5B8Nn3acLkMOqLeOLr', 'width': 3264}]",https://www.google.com/maps/place/?q=place_id:ChIJ5yrrqdk5MDARevJoDuzR2Nk
OPERATIONAL,"Siempat Rube I, Siempat Rube, Pakpak Bharat Regency, North Sumatra 22272, Indonesia","{'location': {'lat': 2.587856, 'lng': 98.3593937}, 'viewport': {'northeast': {'lat': 2.589182879892722, 'lng': 98.36071872989272}, 'southwest': {'lat': 2.586483220107278, 'lng': 98.35801907010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Kuta Jungak,ChIJ-Q8w46UvMDARIQ3JC76g0M4,"{'compound_code': 'H9Q5+4Q Siempat Rube I, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWH9Q5+4Q'}",5.0,ChIJ-Q8w46UvMDARIQ3JC76g0M4,"['tourist_attraction', 'point_of_interest', 'establishment']",14,{'open_now': True},"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104519270073967798183"">A Google User</a>'], 'photo_reference': 'AUGGfZlazrjDPsxCyFVyqYFcYShBxktoYmtDKNffPsvGasFoGpRQIKlY2BPBM6t9AuC4KpF17e254ZmOyJTkgqGxTARvg3xeby9CWQV3W8wQ8Sgp8TsOrKDhsYn7xbNITaS53Utrm5F4vrtlefRojUNvh8mZhfmdR-seZDvnJZbcOLBL41Kv', 'width': 1040}]",https://www.google.com/maps/place/?q=place_id:ChIJ-Q8w46UvMDARIQ3JC76g0M4
OPERATIONAL,"Jl. Subulussalam - Sidikalang No.171, Sidiangkat, Kec. Sidikalang, Kabupaten Dairi, Sumatera Utara 22216, Indonesia","{'location': {'lat': 2.6988701, 'lng': 98.3035381}, 'viewport': {'northeast': {'lat': 2.700179679892722, 'lng': 98.30487062989272}, 'southwest': {'lat': 2.697480020107278, 'lng': 98.30217097010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panatapan Puncak Sidiangkat,ChIJ35BzX5k5MDARiNjrDctGYyE,"{'compound_code': 'M8X3+GC Sidiangkat, Dairi Regency, North Sumatra, Indonesia', 'global_code': '6MJWM8X3+GC'}",3.3,ChIJ35BzX5k5MDARiNjrDctGYyE,"['tourist_attraction', 'point_of_interest', 'establishment']",6,{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102083301642964977640"">irwansyah d&#39;syaila</a>'], 'photo_reference': 'AUGGfZnOeVTq7QhOlPxZBw88R8-akcfzXl3J54BjEaRg--vhulIQca-uyaeg4f12tYWsFwCdwv31DmAZ95pOVLxuo9EamL-YsGfWMWrmwseGimDkL6FXIPPEaqrQAt38n7AmDlFTa82q7fGZIpIaVu9KcmU7hoH8b5U0rM3p4i0-mG_WS0SZ', 'width': 4624}]",https://www.google.com/maps/place/?q=place_id:ChIJ35BzX5k5MDARiNjrDctGYyE
OPERATIONAL,"P7MW+FG4 Juma Rindang, Karing, Berampu, Dairi Regency, North Sumatra 22214, Indonesia","{'location': {'lat': 2.7336333, 'lng': 98.2963314}, 'viewport': {'northeast': {'lat': 2.735013279892722, 'lng': 98.29769217989273}, 'southwest': {'lat': 2.732313620107278, 'lng': 98.29499252010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penatapan Juma Rindang,ChIJ47pqAEk5MDARLj6QOQD8qtc,,4.0,ChIJ47pqAEk5MDARLj6QOQD8qtc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ47pqAEk5MDARLj6QOQD8qtc
OPERATIONAL,"JC82+5Q9, Kuta Jungak, Siempat Rube, Pakpak Bharat Regency, North Sumatra 22272, Indonesia","{'location': {'lat': 2.6154089, 'lng': 98.4019754}, 'viewport': {'northeast': {'lat': 2.616459929892723, 'lng': 98.40395052989273}, 'southwest': {'lat': 2.613760270107278, 'lng': 98.40125087010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SAMPUREN SIPITU PITU LAE ANGKAT KUTA JUNGAK,ChIJf_oB1K8zMDARSAgT1O5SyqY,,5.0,ChIJf_oB1K8zMDARSAgT1O5SyqY,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107327442679418949674"">Ar Wăňðí Păðăňğ</a>'], 'photo_reference': 'AUGGfZmqyIufB3nmt3kqZodkAh0Mec75VmAOyfL-yF3K2o3-0oV862oRcL5ASRV28O-em9WkWMx7sA73U3R9puhzM4D-3PA6IXbVAZGzkLeurnm6u6XGvel6_utZ2Qw80eXMvpDQW0k6iK1o8xOO_ld2W3Kp7YQnI4VFkQgSZm7cJDIckra6', 'width': 3264}]",https://www.google.com/maps/place/?q=place_id:ChIJf_oB1K8zMDARSAgT1O5SyqY
OPERATIONAL,"G923+5X5, Cikaok, Sitellu Tali Urang Julu, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.5003859, 'lng': 98.3549695}, 'viewport': {'northeast': {'lat': 2.503325750000001, 'lng': 98.35875715}, 'southwest': {'lat': 2.49940595, 'lng': 98.35370694999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,tahuma mpung LA.Munthe,ChIJ08BoMQApMDARW-0vy1PN9G0,,0.0,ChIJ08BoMQApMDARW-0vy1PN9G0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ08BoMQApMDARW-0vy1PN9G0
OPERATIONAL,"G9FW+JH, Lae Langge Namuseng, Sitellu Tali Urang Julu, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.5240572, 'lng': 98.3964072}, 'viewport': {'northeast': {'lat': 2.525250029892722, 'lng': 98.39774687989274}, 'southwest': {'lat': 2.522550370107277, 'lng': 98.39504722010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mbilulungn,ChIJscp6MwAvMDARtJaHvoenrtc,,0.0,ChIJscp6MwAvMDARtJaHvoenrtc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJscp6MwAvMDARtJaHvoenrtc
