business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,url
CLOSED_TEMPORARILY,"HHQ5+884, Unnamed Road, Tlk. Tigo, Kec. Cermin Nan Gedan, Kabupaten Sarolangun, Jambi 37482, Indonesia","{'location': {'lat': -2.41174, 'lng': 102.55832}, 'viewport': {'northeast': {'lat': -2.410802770107278, 'lng': 102.5593845298927}, 'southwest': {'lat': -2.413502429892723, 'lng': 102.5566848701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tunel Irigasi Batang Asai,True,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116449817376203308809"">Peki Putra</a>'], 'photo_reference': 'AUGGfZn8n4w3c-QfTxJkfqcNyFl_tydiZNHPTpHkE9BDEMIotcgUT-TcPfml1O_iqbuc6v3vGL5qetWdW8rr4AAb0s_z-GDpp6_rwmD4bD-2ZovmF7-sf9tWTu4vE9u53k5zlUaAyYXIooFvGFxYYqwPCI0f-g76feuTj-Ze25lsMrq8f-9N', 'width': 1920}]",ChIJwVSU3w7ZMS4ROCTOWO661Fs,0.0,ChIJwVSU3w7ZMS4ROCTOWO661Fs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJwVSU3w7ZMS4ROCTOWO661Fs
OPERATIONAL,"JP83+GXX, Pelawan Jaya, Pelawan, Sarolangun Regency, Jambi, Indonesia","{'location': {'lat': -2.3836436, 'lng': 102.7049736}, 'viewport': {'northeast': {'lat': -2.382303870107278, 'lng': 102.7063412798927}, 'southwest': {'lat': -2.385003529892722, 'lng': 102.7036416201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SUNGAI BATANG PELAWAN,,,ChIJpfzXXBMpLi4RI2xqB4-g1lY,0.0,ChIJpfzXXBMpLi4RI2xqB4-g1lY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJpfzXXBMpLi4RI2xqB4-g1lY
OPERATIONAL,"MPWF+CM3, Tepian Ancol, Ps. Sarolangun, Kec. Sarolangun, Kabupaten Sarolangun, Jambi 37481, Indonesia","{'location': {'lat': -2.3039947, 'lng': 102.7241743}, 'viewport': {'northeast': {'lat': -2.302624870107278, 'lng': 102.7255068798927}, 'southwest': {'lat': -2.305324529892722, 'lng': 102.7228072201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tepian Batang Aya Ancol Sarolangun,,"[{'height': 1385, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108430569405174013500"">A Google User</a>'], 'photo_reference': 'AUGGfZmAdX-m6GFoYCTqGSFAk3INdHOkEHgXpzJmd7XWPgrOoGfxWyqFTcR48hXGe8AVMi_GYmAy3io3OxYUZSRCrBev-ps1Ka0dqs0J5yirhpZFQOillMglTXr-iWPN90-hT_YxklEPXBshmLs4xmbaOd2EKXZPv9mzo2fAoZ4uOuGRIyij', 'width': 2463}]",ChIJWZ64AYctLi4R9YbhvZqP2tw,5.0,ChIJWZ64AYctLi4R9YbhvZqP2tw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJWZ64AYctLi4R9YbhvZqP2tw
OPERATIONAL,"WJ5G+FM, Jernih, Air Hitam, Sarolangun Regency, Jambi, Indonesia","{'location': {'lat': -2.09131, 'lng': 102.626643}, 'viewport': {'northeast': {'lat': -2.089960170107278, 'lng': 102.6279928298927}, 'southwest': {'lat': -2.092659829892722, 'lng': 102.6252931701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai teruang anak sungai merangin,,,ChIJXyvDAsFJLi4RCP_liNWcdAk,0.0,ChIJXyvDAsFJLi4RCP_liNWcdAk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJXyvDAsFJLi4RCP_liNWcdAk
OPERATIONAL,"MPXC+QW9, Pasar Sarolangun, Sarolangun, Sarolangun Regency, Jambi, Indonesia","{'location': {'lat': -2.3005874, 'lng': 102.722361}, 'viewport': {'northeast': {'lat': -2.299219070107278, 'lng': 102.7236848798927}, 'southwest': {'lat': -2.301918729892722, 'lng': 102.7209852201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun dukun batuah,,,ChIJV-KKIDotLi4R3qQrR7cuVDk,0.0,ChIJV-KKIDotLi4R3qQrR7cuVDk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJV-KKIDotLi4R3qQrR7cuVDk
OPERATIONAL,"PPRG+PM, Lidung, Sarolangun, Sarolangun Regency, Jambi, Indonesia","{'location': {'lat': -2.2582227, 'lng': 102.7266838}, 'viewport': {'northeast': {'lat': -2.256872870107277, 'lng': 102.7280336298927}, 'southwest': {'lat': -2.259572529892722, 'lng': 102.7253339701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Biaro Lidung,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113842061684717351508"">A Google User</a>'], 'photo_reference': 'AUGGfZkqVDdwj3yjqs19qJgAuFr7dZN4FfsH-51V46qo4z0Az2NFjMsiSUV4bTzeRVkwUp3HVm-s45o4QljLQb4xO2BiCtDBsSw3M3pZWJAltU5IJH0Xe6lRuD6gL7nv-YUqEZbl6QyPFaEzi3Q3nvw5iJcgDe57bQDvrCaLYaQAevfHp3mX', 'width': 1920}]",ChIJ9wdoPwAtLi4RaKJkD3yjDLs,0.0,ChIJ9wdoPwAtLi4RaKJkD3yjDLs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ9wdoPwAtLi4RaKJkD3yjDLs
OPERATIONAL,"JMGP+HX6, Unnamed Road, Pulau Aro, Kec. Pelawan, Kabupaten Sarolangun, Jambi 37482, Indonesia","{'location': {'lat': -2.373581, 'lng': 102.687398}, 'viewport': {'northeast': {'lat': -2.372196220107277, 'lng': 102.6887766298927}, 'southwest': {'lat': -2.374895879892722, 'lng': 102.6860769701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelayang city,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103375072559772838719"">A Google User</a>'], 'photo_reference': 'AUGGfZkflMRjAv0Ruizl7lAAFBIwoQ5jqVvVMJxkfM3NZooSwE5J2betCbgUP6SLj9lzXaTMIAOhuOUx9NN0Secx5S-F2icAcpuGCcmjzpiKS0WO8zGRIgbf1xBXx4u-anVBSq2kcA0-Bh7M4Fj37rZ4FhCSSnh7QDpScW57w2bnBr8wf99a', 'width': 3120}]",ChIJi8h7L30pLi4RKMCNY44zLgc,3.8,ChIJi8h7L30pLi4RKMCNY44zLgc,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJi8h7L30pLi4RKMCNY44zLgc
OPERATIONAL,"MPW9+JM3, Pasar Sarolangun, Sarolangun, Sarolangun Regency, Jambi 37481, Indonesia","{'location': {'lat': -2.3044823, 'lng': 102.7191874}, 'viewport': {'northeast': {'lat': -2.303084170107277, 'lng': 102.7204890798927}, 'southwest': {'lat': -2.305783829892722, 'lng': 102.7177894201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Laman Besamo,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115458354006444685642"">A Google User</a>'], 'photo_reference': 'AUGGfZnaTuem4nOXYI0h5X2IYXY89t9oix8Nivj0BeFNfg2A7BCWNyrtD_mrgTrlbDtUV512o4GszscghZp-VymGkeUYsBqk7SRWfgkzLWLKJQsUB-otBbE6r0YQS0GMB13xCPt8LaUwD9Dm5VOkxlEhtJLTfPfjZ7yaJmbEFAFVVHHSpVXm', 'width': 4000}]",ChIJx7vr-LQtLi4Rx_Hhy8YMobY,4.4,ChIJx7vr-LQtLi4Rx_Hhy8YMobY,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,https://www.google.com/maps/place/?q=place_id:ChIJx7vr-LQtLi4Rx_Hhy8YMobY
OPERATIONAL,"MP8J+P4, Rantau Tenang, Pelawan, Sarolangun Regency, Jambi, Indonesia","{'location': {'lat': -2.3332033, 'lng': 102.7303076}, 'viewport': {'northeast': {'lat': -2.32705, 'lng': 102.7320922798927}, 'southwest': {'lat': -2.335254400000001, 'lng': 102.7293926201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RH Pertanian,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113842061684717351508"">A Google User</a>'], 'photo_reference': 'AUGGfZmKFzNq9l-SFCj_azb1ARKk5-md-dCk_EAfg-X4IneAiCBNDddOE1EOu9MnEHI9G6B8UrKHIeJpxe763ffEkRiUik4XbE8wMQhoMpUpS8tvjRTNugohBEH7cV8rtuf-nnYtStGdkH160LpwUSL-yAmFk9cZAjTmCd2jkcqCFZyuUInz', 'width': 1920}]",ChIJb139qrUrLi4R5oWF8v9NPaU,0.0,ChIJb139qrUrLi4R5oWF8v9NPaU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJb139qrUrLi4R5oWF8v9NPaU
OPERATIONAL,"MPVF+VXR, Sarolangun Kembang, Sarolangun, Sarolangun Regency, Jambi 37481, Indonesia","{'location': {'lat': -2.3052618, 'lng': 102.7248958}, 'viewport': {'northeast': {'lat': -2.303863420107278, 'lng': 102.7262723298927}, 'southwest': {'lat': -2.306563079892723, 'lng': 102.7235726701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tepian Cek Minah,,"[{'height': 3584, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113884348000594270488"">yunus Mahbub</a>'], 'photo_reference': 'AUGGfZkOuK39WV5t5asUkdBmU__hj3xklVadJy113Gxx_3PB4iEYWfCLinIsbs3bEr_7JSAdH1GV8uoXhiRCAdZbOTI9lup6PNqICrrkEAQDQSaXe9D04FqTN13fVDiinLLCZsYlDxeLa6DOVje0C2zLChKqp3TAirvsph9zFDYgSqTWdz2K', 'width': 6928}]",ChIJuV4y7BcsLi4RmqF8IrX_qZI,4.1,ChIJuV4y7BcsLi4RmqF8IrX_qZI,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",194,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJuV4y7BcsLi4RmqF8IrX_qZI
