business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url,permanently_closed
OPERATIONAL,"Belakang Kantor Pos, Jl. K. Umar No.12, Kuwarasan, Baleharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63511, Indonesia","{'location': {'lat': -8.196964099999999, 'lng': 111.1037029}, 'viewport': {'northeast': {'lat': -8.195616570107276, 'lng': 111.1051326798927}, 'southwest': {'lat': -8.19831622989272, 'lng': 111.1024330201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Alloro Boutique Hotel Pacitan,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118262854921361298327"">A Google User</a>'], 'photo_reference': 'AUGGfZn03UB3XzXEl8R1ZfIijRhfxg69-7sj9wdPcEdu4rFb1cwd2VOVODJHW2ppUW83D9FsUE_R0Gt9xkIJe4KyW9nyvhcOXEwcsVBxyj0LPyeTwE86xw_kLxXpzLrmMLi4auhwfGsPQuDf5Vc1PAxSN6WqI_Xzd9i7maianxUhcMWR1MZr', 'width': 1600}]",ChIJETyfxKxheS4RbzJ3C2M-Bg8,"{'compound_code': 'R433+6F Baleharjo, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HR433+6F'}",4.8,ChIJETyfxKxheS4RbzJ3C2M-Bg8,"['lodging', 'point_of_interest', 'establishment']",56,,https://www.google.com/maps/place/?q=place_id:ChIJETyfxKxheS4RbzJ3C2M-Bg8,
OPERATIONAL,"Jl. Veteran No.7, Gantung, Pacitan, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63512, Indonesia","{'location': {'lat': -8.1921612, 'lng': 111.1049434}, 'viewport': {'northeast': {'lat': -8.190797420107277, 'lng': 111.1062972798927}, 'southwest': {'lat': -8.19349707989272, 'lng': 111.1035976201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Horizontal Hotel Boutique,"[{'height': 3704, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104515259906082660237"">A Google User</a>'], 'photo_reference': 'AUGGfZkSRpgABq0Zk0wjhYWXwZ763bSTOP2nhKp8yMopF3557DTkypgwjymfUOLyJ1dK3a-gwY4VGqbOUB17hhyNl4RmsYkArUbTVo2FI3zITJW9WLf3DZJ_XJKRvSckU7lNcAdPQ-2G6AA98rZAAE8fYTcNwsgeofGwLInCwnzEN_qR11tX', 'width': 5557}]",ChIJD4j88Q5heS4ROckjQSCvVck,"{'compound_code': 'R453+4X Pacitan, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HR453+4X'}",4.9,ChIJD4j88Q5heS4ROckjQSCvVck,"['lodging', 'point_of_interest', 'establishment']",26,,https://www.google.com/maps/place/?q=place_id:ChIJD4j88Q5heS4ROckjQSCvVck,
OPERATIONAL,"Jl. Gatot Subroto, Purwoharjo, Baleharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63511, Indonesia","{'location': {'lat': -8.2010538, 'lng': 111.101492}, 'viewport': {'northeast': {'lat': -8.19969562010728, 'lng': 111.1028331798927}, 'southwest': {'lat': -8.202395279892723, 'lng': 111.1001335201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kaliu Kostel,"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117182274974082958339"">A Google User</a>'], 'photo_reference': 'AUGGfZlFeO3Ql1b_fU1W6drbNCyKdZUkbkZzqJuUJCeYOCQKdJBG14giCbcOLKJM9XzVGCk1Ow6CVwHpwIR_80eJgdTL28rhcfKyWizF8oxxFasTuwSQ0s4RHwwNtesLCgYPgpYJ_2I2Xf7zcxGTLRs1wh7GDy0XeYSlfnQkxOQ3_S_7mwbm', 'width': 2576}]",ChIJq3fYs99heS4REfTZENVYQDw,"{'compound_code': 'Q4X2+HH Baleharjo, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HQ4X2+HH'}",4.8,ChIJq3fYs99heS4REfTZENVYQDw,"['lodging', 'point_of_interest', 'establishment']",66,,https://www.google.com/maps/place/?q=place_id:ChIJq3fYs99heS4REfTZENVYQDw,
OPERATIONAL,"Jl. Imam Bonjol No.8, Krajan, Pacitan, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63512, Indonesia","{'location': {'lat': -8.1922379, 'lng': 111.1026543}, 'viewport': {'northeast': {'lat': -8.190896970107278, 'lng': 111.1040800798927}, 'southwest': {'lat': -8.193596629892722, 'lng': 111.1013804201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Prasasti Hotel Pacitan,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103332366223808402170"">Indra Nur Rozaqi Zaqi</a>'], 'photo_reference': 'AUGGfZmr6GMSQ9FqClqX900pUhCv08HLTylOI_nAWyZa22sAeiki73wbjZ0wA30k9S2g6OWrX2VgySfgUrRxxuRyaIeGtDNXC3sRHWkjPy8NjhE14kNwGLFWpHC-47pG60Sp_oNdfFsRAiae-mtArwdTi08_JJPBXkLwZEYtipqsSKjYx09x', 'width': 4160}]",ChIJawh4Bt1heS4RYuzrcgirdcE,"{'compound_code': 'R453+43 Pacitan, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HR453+43'}",4.1,ChIJawh4Bt1heS4RYuzrcgirdcE,"['lodging', 'point_of_interest', 'establishment']",709,,https://www.google.com/maps/place/?q=place_id:ChIJawh4Bt1heS4RYuzrcgirdcE,
OPERATIONAL,"Q3JJ+647 kawasan wisata pantai telengria, Jl. WR. Supratman, Teleng, Sidoharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63514, Indonesia","{'location': {'lat': -8.2198447, 'lng': 111.0796272}, 'viewport': {'northeast': {'lat': -8.21843812010728, 'lng': 111.0811122798927}, 'southwest': {'lat': -8.221137779892723, 'lng': 111.0784126201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pantai Teleng Ria Beach Resort,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107672340460237280856"">A Google User</a>'], 'photo_reference': 'AUGGfZnzIyYUZNxXjsQVPUULEf5zAY02eJgMTn0oRHzy-UejL1j4XoAfo0fNQALEkqOiIQPvCUpeg_77z3IJH1X9W8kNK74ofis61F6VioUWvRxruNwZ_lyKiG1b3SFLzQ2qWwRbGHQqwpuoesJamderZodHIO0DGSz64TAwwxcN-jud5g8s', 'width': 1280}]",ChIJ41fXdnjfey4RQqzJmPk0tjg,,4.2,ChIJ41fXdnjfey4RQqzJmPk0tjg,"['lodging', 'point_of_interest', 'establishment']",3535,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ41fXdnjfey4RQqzJmPk0tjg,
OPERATIONAL,"Jl. Hos Cokroaminoto No.10, Krajan, Pacitan, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63512, Indonesia","{'location': {'lat': -8.193104, 'lng': 111.1016377}, 'viewport': {'northeast': {'lat': -8.191712970107277, 'lng': 111.1029959798927}, 'southwest': {'lat': -8.194412629892721, 'lng': 111.1002963201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SUMILIR HOTEL SYARIAH,"[{'height': 4303, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116843010334993620416"">A Google User</a>'], 'photo_reference': 'AUGGfZm1lpCJozxcl4TlGKir7zNb6B2viD5l6HlfNpswwnHV0UQk32hOj0CXbidMYGWS4SVGfQLwu9XnBF19JPyTU0BFB_AeLcdYAq9QVttywcWYMWQowapAdqACRFiSgTfNLPp8jYNgImCw3P9fg5LioQ2EGMx4Z8pYxNZvuNDTHcQzFamO', 'width': 6451}]",ChIJ54wIloVheS4RsrLvp_8ydaw,"{'compound_code': 'R442+RM Pacitan, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HR442+RM'}",4.8,ChIJ54wIloVheS4RsrLvp_8ydaw,"['lodging', 'point_of_interest', 'establishment']",63,,https://www.google.com/maps/place/?q=place_id:ChIJ54wIloVheS4RsrLvp_8ydaw,
OPERATIONAL,"Jalan Lingkungan Pancer Door, Barehan, Ploso, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63515, Indonesia","{'location': {'lat': -8.2223737, 'lng': 111.0994225}, 'viewport': {'northeast': {'lat': -8.221131120107279, 'lng': 111.1006285298927}, 'southwest': {'lat': -8.223830779892722, 'lng': 111.0979288701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,DYNAR HOTEL PANCER DOOR PACITAN,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107876446822507336509"">A Google User</a>'], 'photo_reference': 'AUGGfZlcCf2Bx9Ou2EzDEG7wc2z4XmXqA1_XVs4_sZvPGcwc4mApPVAivEYaCPQMj7bGeeCfDlKvxpSXTf7u95K4DR_M4S8pIxR4G01HgjBibNOoBAyqtH53M-z04rwkyIo0vVUCyhT5EMLEZgapq-PDY9-Epf3apCKVYW7v17Z0VmUTdbbU', 'width': 4608}]",ChIJH0WoDCZgeS4Ryizmd1WdTVU,"{'compound_code': 'Q3HX+3Q Ploso, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HQ3HX+3Q'}",4.2,ChIJH0WoDCZgeS4Ryizmd1WdTVU,"['lodging', 'point_of_interest', 'establishment']",248,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJH0WoDCZgeS4Ryizmd1WdTVU,
OPERATIONAL,"Jl. Pramuka, RT.2/RW.11, Teleng, Sidoharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63514, Indonesia","{'location': {'lat': -8.2163498, 'lng': 111.0794315}, 'viewport': {'northeast': {'lat': -8.215006870107278, 'lng': 111.0806841298927}, 'southwest': {'lat': -8.217706529892721, 'lng': 111.0779844701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Bromo,"[{'height': 1204, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117794691170770829651"">A Google User</a>'], 'photo_reference': 'AUGGfZlgN1tu4tGDVu0EiSsevic0AZ9nAb8Gr-xkVT3tT1eMeIgtngQ7188y0rAD7-l8CpFdEf_2fTPg9Du3ikhGJF4bWOd_yE1Rrza288Hexh9FHy14bOQ3BsXsW0LaQKieWgETVv-cBo8WLzPeP3iT6mHiSgQFeoDJDXNmQ5w0gheAE48y', 'width': 1600}]",ChIJGzXbjZzfey4Rll3QCE036Rk,"{'compound_code': 'Q3MH+FQ Sidoharjo, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HQ3MH+FQ'}",4.2,ChIJGzXbjZzfey4Rll3QCE036Rk,"['lodging', 'point_of_interest', 'establishment']",623,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJGzXbjZzfey4Rll3QCE036Rk,
OPERATIONAL,"Jalan Kh. Maghribi No.15 Ngaglik, Nglebengan, Menadi, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63518, Indonesia","{'location': {'lat': -8.1954772, 'lng': 111.119534}, 'viewport': {'northeast': {'lat': -8.194108270107279, 'lng': 111.1208250798927}, 'southwest': {'lat': -8.196807929892723, 'lng': 111.1181254201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Amaryllis Guesthouse Syariah,"[{'height': 673, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105775963279263849115"">A Google User</a>'], 'photo_reference': 'AUGGfZkSkrcjOGLRU40d0wVwaRgITOx372bCNyneswLPyUJIhCSFTpVF2y74nIWONnbj4Nh6keYsqWBbB2WRKO5_lurwTozdR5Z7V2tnR2GPQVgsYhy1m9GY5dKPhBiAKhq7JW-HEk7DsaqaWKQ0NvHeGIw-RwMiY61IACQMM9af5IMbUvoW', 'width': 1200}]",ChIJ23dn7IVheS4RMJFmltH5Hrw,"{'compound_code': 'R439+RR Menadi, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HR439+RR'}",4.6,ChIJ23dn7IVheS4RMJFmltH5Hrw,"['lodging', 'point_of_interest', 'establishment']",293,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ23dn7IVheS4RMJFmltH5Hrw,
OPERATIONAL,"Jl. Gatot Subroto No.26, Kuwarasan, Baleharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63557, Indonesia","{'location': {'lat': -8.1974251, 'lng': 111.1046561}, 'viewport': {'northeast': {'lat': -8.19612482010728, 'lng': 111.1060573798927}, 'southwest': {'lat': -8.198824479892723, 'lng': 111.1033577201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Permata Hotel Pacitan,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103967548253297764172"">A Google User</a>'], 'photo_reference': 'AUGGfZmEc2JgK1oWnfpQ1ndu8Jg6f6SkBnoXeSSFmyv3dNkxLT_hbYu4odSU9DlcPV75mQoHyl9pgshbc20x9Kb9K-PJRXDdeFOxLMH-ZY_enkl2Ttr3iZk4GHY4S19-bw1FXZe3ZtggIZNOOMpOJtIc8XlKGQY8c5p46HsWQHjYp5l_IzNZ', 'width': 8000}]",ChIJt8pb3tpheS4RqemNnubIfOE,"{'compound_code': 'R433+2V Baleharjo, Pacitan Regency, East Java, Indonesia', 'global_code': '6P3HR433+2V'}",3.9,ChIJt8pb3tpheS4RqemNnubIfOE,"['lodging', 'point_of_interest', 'establishment']",464,,https://www.google.com/maps/place/?q=place_id:ChIJt8pb3tpheS4RqemNnubIfOE,
