business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url,price_level
OPERATIONAL,"Blk. C1, Jkt Outer Ring Road Jl. Taman Palem Mutiara, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia","{'location': {'lat': -6.1374548, 'lng': 106.7334139}, 'viewport': {'northeast': {'lat': -6.136249970107277, 'lng': 106.7347085298927}, 'southwest': {'lat': -6.138949629892721, 'lng': 106.7320088701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Royal Palm Hotel & Conference Center Cengkareng,"[{'height': 732, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110534306754718590420"">A Google User</a>'], 'photo_reference': 'AUGGfZm_KPr_7WxulbUadske6cLGoFdBaiuV0tkgVUyLqETnBpwcpE3mmftPjKtl6vRnGwxH3Dy_s5oJmBNARV17PfohhbUdMuVNajh0YA_6rvLKKU-y2IKxwJX2c_yIbyHf13JJ322YaBco3YYKbb0QWjLkvFy-Bz-nWQnSOqwUpwp0Ge-m', 'width': 1024}]",ChIJ9RzGj-gdai4RATiNHXNTOfQ,"{'compound_code': 'VP7M+29 East Cengkareng, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58VP7M+29'}",4.5,ChIJ9RzGj-gdai4RATiNHXNTOfQ,"['lodging', 'point_of_interest', 'establishment']",1647,,https://www.google.com/maps/place/?q=place_id:ChIJ9RzGj-gdai4RATiNHXNTOfQ,
OPERATIONAL,"Jl. Taman Palem Lestari No.1 Blok B13, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia","{'location': {'lat': -6.1389783, 'lng': 106.7289553}, 'viewport': {'northeast': {'lat': -6.137579870107278, 'lng': 106.7305428798927}, 'southwest': {'lat': -6.140279529892722, 'lng': 106.7278432201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hilton Garden Inn Jakarta Taman Palem,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110216898000165685369"">A Google User</a>'], 'photo_reference': 'AUGGfZmE5QsqaIrvdbxzoh6lT-OKSHDChTh4g5s1dwjps-GgUtJFiLj1_79BB8wxi_ms8a_UsoQRlahvhaiU_gEJBgpzLjiaUvFQszN4ryJRCcn51ydRh95hraE3t4wXzd68Q8EYfbbC6fHoU3UhB0KUER1WnOd-ZJkURPxfWUU9ZUiE1MMW', 'width': 3000}]",ChIJ1_TWLncdai4RkmTrgndMiDI,"{'compound_code': 'VP6H+CH West Cengkareng, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58VP6H+CH'}",4.7,ChIJ1_TWLncdai4RkmTrgndMiDI,"['lodging', 'point_of_interest', 'establishment']",2113,,https://www.google.com/maps/place/?q=place_id:ChIJ1_TWLncdai4RkmTrgndMiDI,
OPERATIONAL,"Cengkareng, Jl. Raya Daan Mogot No.Kav. 2, RT.1/RW.2, Cengkareng Bar., Daerah Khusus Ibukota Jakarta 11730, Indonesia","{'location': {'lat': -6.153855399999999, 'lng': 106.7288066}, 'viewport': {'northeast': {'lat': -6.152745770107277, 'lng': 106.7304032798927}, 'southwest': {'lat': -6.155445429892721, 'lng': 106.7277036201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Samala Hotel Jakarta Cengkareng,"[{'height': 765, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108167642921554821841"">A Google User</a>'], 'photo_reference': 'AUGGfZmqhFSmKjkWBH1Y1fWBPno3JsHykOxlfTAAMSV1lwZAl57YpF3GUOdCQMCjWK96cITw4aWeeX3T_FwWmMfRcOkkCZSA9WAM6xJLa500hIQ2XyFEPxLi7hWePvdINaoTIjn_YlqxoQ8RI6x_HzoX1NpvCmwxVgaSMJdn5If-1sVabVlM', 'width': 1146}]",ChIJAza6AvT3aS4RAohmItybMqg,"{'compound_code': 'RPWH+FG West Cengkareng, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RPWH+FG'}",4.2,ChIJAza6AvT3aS4RAohmItybMqg,"['cafe', 'restaurant', 'store', 'food', 'lodging', 'point_of_interest', 'establishment']",2967,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJAza6AvT3aS4RAohmItybMqg,
OPERATIONAL,"Jl. Ruko Mutiara Palem Raya Jl. Taman Palem Mutiara No.mor 5 Blok C19, RT.4/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia","{'location': {'lat': -6.1393479, 'lng': 106.7337767}, 'viewport': {'northeast': {'lat': -6.138105670107278, 'lng': 106.7350763298927}, 'southwest': {'lat': -6.140805329892722, 'lng': 106.7323766701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Amethyst Cengkareng,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113008399498834483404"">desi</a>'], 'photo_reference': 'AUGGfZlvTKKXM4NwHRF6VkS3KLsQyjk5T6vWXbZdyGKFhk5Q_Y46khJUeyfKVl1a3rbQMOeDHT79WyzSZjhWpjzCgMqbY1ftb3-bggVSVWWNN0axci0fa2kni6l-C8gEHp8m-CbURvc5pK2jKI36zGfzTUR2KDkqHyXHq-7ZfzadUVUCDJnm', 'width': 3264}]",ChIJfQqxY_Ydai4RaUIsnNIHXr8,"{'compound_code': 'VP6M+7G East Cengkareng, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58VP6M+7G'}",4.4,ChIJfQqxY_Ydai4RaUIsnNIHXr8,"['lodging', 'point_of_interest', 'establishment']",208,,https://www.google.com/maps/place/?q=place_id:ChIJfQqxY_Ydai4RaUIsnNIHXr8,
OPERATIONAL,"Puri Mansion Estate, Jl. Puri Lkr. Luar, Duri Kosambi, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia","{'location': {'lat': -6.1801932, 'lng': 106.7243162}, 'viewport': {'northeast': {'lat': -6.178843370107279, 'lng': 106.7256660298927}, 'southwest': {'lat': -6.181543029892723, 'lng': 106.7229663701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HARRIS Suites Puri Mansion,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114465716414618008386"">A Google User</a>'], 'photo_reference': 'AUGGfZkqV4c96gi5qqfGfjliFdSAsg4YFpIUpLs5bMKkhEmMmpLzje7ypNWdOrrCEWo3b1ItYppzQbE4PheGcn_LswDx_xmmJBYLyoVbHO7SfiSr38IVFwFjncL4gIcbcSML4HbMtMdz1HVjcw8tNnATKgnLZk-tyZKczFyCCRMjwD1aYxL4', 'width': 6000}]",ChIJj9m-TFv3aS4RnFWKfrcUHoY,"{'compound_code': 'RP9F+WP Duri Kosambi, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RP9F+WP'}",4.6,ChIJj9m-TFv3aS4RnFWKfrcUHoY,"['lodging', 'point_of_interest', 'establishment']",3121,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJj9m-TFv3aS4RnFWKfrcUHoY,
OPERATIONAL,"10, Jl. Lkr. Luar Barat No.1A, RT.10/RW.7, Duri Kosambi, Kecamatan Cengkareng, 11750, Indonesia","{'location': {'lat': -6.1677483, 'lng': 106.7270043}, 'viewport': {'northeast': {'lat': -6.166445520107278, 'lng': 106.7285207798927}, 'southwest': {'lat': -6.169145179892722, 'lng': 106.7258211201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Couleur,"[{'height': 3153, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112454630248825331521"">A Google User</a>'], 'photo_reference': 'AUGGfZlXbievxtPGa8qvFyvbnPy3upVnTPNEZ1SihUZgqlrh4ij5SsTAoZ3AcXxU7a6cbZl03lvaDdun9ljB6PtCqsO9LD7GUHnXAugYoYaeeqBNU-tcEOrzlpgL0h4-n-8oZUBehrDWJSBkQmrX-mshndTHLUvi9NO5qRGLCEbdJILwex3K', 'width': 4728}]",ChIJLSKP7Yj3aS4RAp0KmSGjOeE,"{'compound_code': 'RPJG+WR Duri Kosambi, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RPJG+WR'}",4.1,ChIJLSKP7Yj3aS4RAp0KmSGjOeE,"['lodging', 'point_of_interest', 'establishment']",431,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJLSKP7Yj3aS4RAp0KmSGjOeE,
OPERATIONAL,"Jl. Cendrawasih V, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 12542, Indonesia","{'location': {'lat': -6.1458588, 'lng': 106.7247878}, 'viewport': {'northeast': {'lat': -6.144520920107278, 'lng': 106.7261908798927}, 'southwest': {'lat': -6.147220579892722, 'lng': 106.7234912201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Urbanview Hotel Max Living Cengkareng,"[{'height': 3280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116057938131868776740"">Ricky Irwanto</a>'], 'photo_reference': 'AUGGfZlu-AX8uHkGl-X7icfuthwc1Gq7DqjdUh_XWf3spa95SRnd1R2bVAujKKmuGrRKg6LKk51UNUuO7ULs_CyRP8vmcQnUbU35iPsdrG_6c29gj86iVIvwHpQpOsOY4173otPj69AHjPf3x5Zup-S-KwI0tYdtApVp1MDMliuYIDH85vyF', 'width': 2464}]",ChIJEbd9EdD3aS4RYWRNCOf8SbI,"{'compound_code': 'VP3F+MW West Cengkareng, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58VP3F+MW'}",4.7,ChIJEbd9EdD3aS4RYWRNCOf8SbI,"['lodging', 'point_of_interest', 'establishment']",181,,https://www.google.com/maps/place/?q=place_id:ChIJEbd9EdD3aS4RYWRNCOf8SbI,
OPERATIONAL,"Cove Coliving at West Vista | Apartment for Rent, Jl. Lkr. Luar Barat No.8, RT.9/RW.6, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia","{'location': {'lat': -6.1581743, 'lng': 106.7266865}, 'viewport': {'northeast': {'lat': -6.156605470107278, 'lng': 106.7279290298927}, 'southwest': {'lat': -6.159305129892722, 'lng': 106.7252293701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Cove West Vista,"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116964893922980311861"">A Google User</a>'], 'photo_reference': 'AUGGfZlDekxZDImhmdBK3YIY5e3CXZ2nT3YnEQoMaDmjCbOUW-OuEdQ1ZcVpZGXMrZWVTIe2i5uAriw-migGSquSDNCgtoOmZ9WYeGt-6CfBGV3-jV7y7X61m-sbLLtvdXpGUlejjuP6d1WxqvZDewJY6YxMbvBO6Sup3GgnzZJXQne4dVUS', 'width': 1280}]",ChIJU5RhbPz3aS4Ra26OKCnw7mM,"{'compound_code': 'RPRG+PM Duri Kosambi, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RPRG+PM'}",4.4,ChIJU5RhbPz3aS4Ra26OKCnw7mM,"['lodging', 'point_of_interest', 'establishment']",14,,https://www.google.com/maps/place/?q=place_id:ChIJU5RhbPz3aS4Ra26OKCnw7mM,
OPERATIONAL,"Ruko Plaza de Lumina, Jl. Lkr. Luar Barat No.7, RT.3/RW.7, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia","{'location': {'lat': -6.164711199999999, 'lng': 106.7266598}, 'viewport': {'northeast': {'lat': -6.163323270107278, 'lng': 106.7280123798927}, 'southwest': {'lat': -6.166022929892722, 'lng': 106.7253127201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jo Guest House,"[{'height': 682, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113095962838745044286"">A Google User</a>'], 'photo_reference': 'AUGGfZkrMih7XSL2wcObOs3dc3KxGRAPNsb8Ae_cML4KB22VQFBEOnYlqN2NH-Kz_kLV2bCqGShyJzglpt3JFdS0q8NsFcTRHqGtAktRZIcy_6XIFu88WUaP4_Ww_XA0dwKksLqKclrb6-r0L2zFgOS3m1KSPnc3xxTXkc77sttC2DDIUJl-', 'width': 1024}]",ChIJqexSdvT3aS4Rjt69dTPcZCs,"{'compound_code': 'RPPG+4M Duri Kosambi, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RPPG+4M'}",4.5,ChIJqexSdvT3aS4Rjt69dTPcZCs,"['lodging', 'point_of_interest', 'establishment']",40,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJqexSdvT3aS4Rjt69dTPcZCs,
OPERATIONAL,"Jl. Ruko Mutiara Palem Raya Jl. Taman Palem Mutiara No.33 Blok C9, RT.4/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia","{'location': {'lat': -6.1398923, 'lng': 106.7334755}, 'viewport': {'northeast': {'lat': -6.138543020107277, 'lng': 106.7348452798927}, 'southwest': {'lat': -6.141242679892721, 'lng': 106.7321456201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,hotel ratana cengkareng,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104689321462548180393"">A Google User</a>'], 'photo_reference': 'AUGGfZkvlmyhzUjHKqFYzf-ulSZ7A64SQ8L8TZKhP4UZ_jWxUM-WEwjXCRILzYiD_FY5FeHbtY2F8OL03KppoWToN3ChDu1KtFABLFe7a6vHfshdhflB8DQmOCW0eoycBAiVa5bOshtrq1zzdfZtilIFwTK2kPb5wjTa7NUXJb0tcURoN-KA', 'width': 5472}]",ChIJ8Ue5rZP3aS4RrvM1gngk88w,"{'compound_code': 'VP6M+29 East Cengkareng, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58VP6M+29'}",4.6,ChIJ8Ue5rZP3aS4RrvM1gngk88w,"['lodging', 'point_of_interest', 'establishment']",98,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ8Ue5rZP3aS4RrvM1gngk88w,
