business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,price_level,url,permanently_closed
OPERATIONAL,"Jl. HOS. Cokroaminoto No.12, Kauman, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59417, Indonesia","{'location': {'lat': -6.5947412, 'lng': 110.664674}, 'viewport': {'northeast': {'lat': -6.593474970107279, 'lng': 110.6659996298927}, 'southwest': {'lat': -6.596174629892722, 'lng': 110.6632999701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jepara Indah Hotel,{'open_now': True},"[{'height': 639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115642835739792946903"">A Google User</a>'], 'photo_reference': 'AUGGfZmDiswlzk4oS9-muHS2OkwZwy42_78zzvM-TsI5GrlHWIVxViVN2BWBLXu-D7kBWweUNqdaWBFkb5SP0naIYe0-lFsPsQE_449c0mXdB_9i_xx6wzjjvgBqSLwkoporOAxab7TlAOfsapUf5_XIekh5TATkxd5fp2gJlwT18R5NP3mR', 'width': 960}]",ChIJ6Z4OYawfcS4RaG7iJN4_0wE,"{'compound_code': 'CM47+3V Kauman, Jepara Regency, Central Java, Indonesia', 'global_code': '6P5GCM47+3V'}",4.2,ChIJ6Z4OYawfcS4RaG7iJN4_0wE,"['lodging', 'point_of_interest', 'establishment']",894,,https://www.google.com/maps/place/?q=place_id:ChIJ6Z4OYawfcS4RaG7iJN4_0wE,
OPERATIONAL,"Jalan Jepara-Bangsri RT.33/RW.7 Pantai Blebak, Kiyang Sari, Sekuro, Mlonggo, Jepara Regency, Central Java 59452, Indonesia","{'location': {'lat': -6.5023829, 'lng': 110.674006}, 'viewport': {'northeast': {'lat': -6.501148720107278, 'lng': 110.6753295798927}, 'southwest': {'lat': -6.503848379892721, 'lng': 110.6726299201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sekuro Village Beach Resort,{'open_now': True},"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100324195395424803791"">A Google User</a>'], 'photo_reference': 'AUGGfZkJWRXVjlK2DXBAzs8vdCnlbWy3Sv8un1_gf7ZBp5NwZ8n4qE7csftKd2jObgGvCkJdmg-4R-MMRqG0qX7R6su8IZGuFtoekMZ-DYajdFU1FHlq-yMhB5_i3XMRZGE8vpD3wByQfQHKfsToB9DWT3nn46lI2wRKoY0WTCSYdmBbd_KU', 'width': 1280}]",ChIJ8cx2-0gYcS4RGIIMbVIVwJw,"{'compound_code': 'FMXF+3J Sekuro, Jepara Regency, Central Java, Indonesia', 'global_code': '6P5GFMXF+3J'}",4.5,ChIJ8cx2-0gYcS4RGIIMbVIVwJw,"['lodging', 'point_of_interest', 'establishment']",5041,,https://www.google.com/maps/place/?q=place_id:ChIJ8cx2-0gYcS4RGIIMbVIVwJw,
OPERATIONAL,"Jl. Raya Batealit - Bangsri, Cangkring, Bringin, beringin, Kabupaten Jepara, Jawa Tengah 59461, Indonesia","{'location': {'lat': -6.6115591, 'lng': 110.7516927}, 'viewport': {'northeast': {'lat': -6.610089720107278, 'lng': 110.7530809798927}, 'southwest': {'lat': -6.612789379892722, 'lng': 110.7503813201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Beringin View Hotel & Resort,,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102942772828809645046"">A Google User</a>'], 'photo_reference': 'AUGGfZkpjr9kwW454NuBVmDNNgHtVaTWS4I1LGyVuvdPc03H0aZXfU_-gwsn90wtpSNi-ajM4yIQx7mxT4LeHjy70riRpMebDgheXPnEaMiE1RanqAeaz6wgIUEPvBEYLFVCAR91FVE2pjsykIaHPO6-L07Oz3K09EbKW1kJbkANvPBLSYHh', 'width': 3072}]",ChIJTZJ32VUhcS4RubKecdexvcQ,"{'compound_code': '9QQ2+9M Bringin, Jepara Regency, Central Java, Indonesia', 'global_code': '6P5G9QQ2+9M'}",4.7,ChIJTZJ32VUhcS4RubKecdexvcQ,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",60,,https://www.google.com/maps/place/?q=place_id:ChIJTZJ32VUhcS4RubKecdexvcQ,
OPERATIONAL,"Rw. I, Bondo, Bangsri, Jepara Regency, Central Java 59453, Indonesia","{'location': {'lat': -6.473577, 'lng': 110.7102607}, 'viewport': {'northeast': {'lat': -6.472184220107278, 'lng': 110.7117475798927}, 'southwest': {'lat': -6.474883879892722, 'lng': 110.7090479201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Guesthouse & Kedai Omah Laut,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114657332543386711750"">A Google User</a>'], 'photo_reference': 'AUGGfZmGJndbxsY024WET13wK-P6IIvnLwziysD9B-N55N5mDV75rlwDfwK6jpflpYLC_pMiU4PoCgJsXzHFjIYTGCsYwZ7MqVN8Y_b3PqEa61i0GnnCZGwQgQrsQBhuiF9HLq0Eb_zqMehaqrIkC7jHoWf-0TAnTOsXSN7qXQM-BraOvY7S', 'width': 4608}]",ChIJpXXcbf4XcS4R-wOGupVrI8Q,"{'compound_code': 'GPG6+H4 Bondo, Jepara Regency, Central Java, Indonesia', 'global_code': '6P5GGPG6+H4'}",4.6,ChIJpXXcbf4XcS4R-wOGupVrI8Q,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",244,,https://www.google.com/maps/place/?q=place_id:ChIJpXXcbf4XcS4R-wOGupVrI8Q,
OPERATIONAL,"Jalan Pariwisata No.9, Rw. II, Bandengan, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59412, Indonesia","{'location': {'lat': -6.5578594, 'lng': 110.6462735}, 'viewport': {'northeast': {'lat': -6.556424670107278, 'lng': 110.6476799798927}, 'southwest': {'lat': -6.559124329892722, 'lng': 110.6449803201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel d'Season Premiere Jepara,{'open_now': False},"[{'height': 854, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118079260899373955607"">A Google User</a>'], 'photo_reference': 'AUGGfZkKDeLVr0aw8aKuNocdSaN7Xn82lgBVCX2pjmuLM0ululje0HiA0xU_wlt0h5O3dAHa_6_vuSlUO1CmMFk5hr-tfVL3JHmhwWzkJnOObp08Dq-Hzg0i5g-TJhdqo227tZmoflmgpRa7DZssxH89FIfuX_bVe27MYZfpd42DFsgtn6PW', 'width': 1280}]",ChIJLw-mcDQZcS4Re5Ntm_y93PY,"{'compound_code': 'CJRW+VG Bandengan, Jepara Regency, Central Java, Indonesia', 'global_code': '6P5GCJRW+VG'}",4.4,ChIJLw-mcDQZcS4Re5Ntm_y93PY,"['lodging', 'point_of_interest', 'establishment']",4272,,https://www.google.com/maps/place/?q=place_id:ChIJLw-mcDQZcS4Re5Ntm_y93PY,
OPERATIONAL,"CMR2+2H, Komplek Wista Pantai Bandengan, Jl. Tirto Samudro, Bandengan, Rw. II, Bandengan, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 54444, Indonesia","{'location': {'lat': -6.5578635, 'lng': 110.6500645}, 'viewport': {'northeast': {'lat': -6.556484270107278, 'lng': 110.6513501798927}, 'southwest': {'lat': -6.559183929892722, 'lng': 110.6486505201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bandengan Beach Hotel,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114610461613948386145"">A Google User</a>'], 'photo_reference': 'AUGGfZkh1SQPO0sMeawPnNVNSbCle8OfM9TMS8cF7MW8tN8SKudBUogTz4hxaAlRlqerbQScvBjrM1CgL8SdZN4p3WeGbqIXx6CI7fKYaakMjzA5_Wj74-GRRY6U351fNs5qWMIPRr0DVa4lU_NLKSQik6zycmxOhRkSIJ52yZbcFuXu3SBJ', 'width': 4000}]",ChIJiT-ChtcecS4R6GkQGDxjBbE,,3.9,ChIJiT-ChtcecS4R6GkQGDxjBbE,"['lodging', 'point_of_interest', 'establishment']",854,,https://www.google.com/maps/place/?q=place_id:ChIJiT-ChtcecS4R6GkQGDxjBbE,
OPERATIONAL,"Jl. Pantai Teluk Awur No.1, Tegal Sambi, Tahunan, Telukawur, Semat, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59424, Indonesia","{'location': {'lat': -6.615156, 'lng': 110.6488875}, 'viewport': {'northeast': {'lat': -6.613768170107278, 'lng': 110.6502585298927}, 'southwest': {'lat': -6.616467829892722, 'lng': 110.6475588701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jepara Beach Hotel,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109469015825371802174"">Jepara Beach Hotel</a>'], 'photo_reference': 'AUGGfZkyN318uLOAHPhGqBn_rqUrdpSZIVUF6f2XTkRl553y_KZTXdqRDBcG-82WOwY_Er4KWJVsNmY73do2PPYyWk6rQsORInIVwk-rA9ZXM7IIJw6UjtsYGOKGmTfU38-7kwGdvPD--3rQRC6_XoywoGYXXzJg1_aZsZcdAEfHgk0oKmtz', 'width': 2048}]",ChIJHTojOUQecS4ROtl39TtYHtk,"{'compound_code': '9JMX+WH Semat, Jepara Regency, Central Java, Indonesia', 'global_code': '6P5G9JMX+WH'}",4.0,ChIJHTojOUQecS4ROtl39TtYHtk,"['lodging', 'point_of_interest', 'establishment']",1045,,https://www.google.com/maps/place/?q=place_id:ChIJHTojOUQecS4ROtl39TtYHtk,
OPERATIONAL,"9P27+G48, Jl. Marsam, Ngabul, Kec. Tahunan, Kabupaten Jepara, Jawa Tengah 59428, Indonesia","{'location': {'lat': -6.649306699999999, 'lng': 110.7140064}, 'viewport': {'northeast': {'lat': -6.647940870107277, 'lng': 110.7153072298927}, 'southwest': {'lat': -6.650640529892721, 'lng': 110.7126075701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jepara Garden Resort,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106511698128058841734"">A Google User</a>'], 'photo_reference': 'AUGGfZmm7oI1GI3VGU8dkQrhdDNnbct2lAsRJ8JMRMA9rvNHmLDHCXBqUc6L2s2WuFzGcRnMig3yA0kT_TSWBNNOqFS_JjKz2iifoPew0SLcuuN_KEgtrJDaWEYzwxP6_qrH3Vq7VFtBvJsCVlGHuUkzqz-McPspJF4RgnzXuRIvf-GhAUCW', 'width': 4032}]",ChIJ22iy4qbfcC4RFU4RIizKPh8,,4.6,ChIJ22iy4qbfcC4RFU4RIizKPh8,"['lodging', 'point_of_interest', 'establishment']",228,,https://www.google.com/maps/place/?q=place_id:ChIJ22iy4qbfcC4RFU4RIizKPh8,
OPERATIONAL,"Rw. 02, Mororejo, Mlonggo, Jepara Regency, Central Java, Indonesia","{'location': {'lat': -6.5415886, 'lng': 110.6656034}, 'viewport': {'northeast': {'lat': -6.540222520107277, 'lng': 110.6669379298927}, 'southwest': {'lat': -6.542922179892721, 'lng': 110.6642382701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mercusuar Resort Jepara,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110590994679508556041"">A Google User</a>'], 'photo_reference': 'AUGGfZmzkN72z9sXVE1rxOskHDTBDeza1BqUUKLrqgzk5PWhYAcpuen-FOHRZB3eZE4QYX1VPkXV1cwbLUvi4w9vDP9qowjJQqFrWe9jLbGFzu-Qbkk4OMMn8drER4TBU0zWyj4lyCKa-RUHT572Y8bSE1haF7W8wMZMhkwBbgYSMXvb2MC8', 'width': 3264}]",ChIJ5SPA3roZcS4R31-E27u6CSc,"{'compound_code': 'FM58+96 Mororejo, Jepara Regency, Central Java, Indonesia', 'global_code': '6P5GFM58+96'}",4.8,ChIJ5SPA3roZcS4R31-E27u6CSc,"['lodging', 'point_of_interest', 'establishment']",31,,https://www.google.com/maps/place/?q=place_id:ChIJ5SPA3roZcS4R31-E27u6CSc,
OPERATIONAL,"Jl. Dr. Sutomo No.13-15, Kauman, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59417, Indonesia","{'location': {'lat': -6.593077, 'lng': 110.6651159}, 'viewport': {'northeast': {'lat': -6.591761620107278, 'lng': 110.6664547798927}, 'southwest': {'lat': -6.594461279892721, 'lng': 110.6637551201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Belaya Hotel,{'open_now': True},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104788004985184360445"">A Google User</a>'], 'photo_reference': 'AUGGfZncfXnREuCCYRE_nOnvJBBfnHWsf-v0JZxnD0zVs84lTAy9RiXNLHUbssitEy3iAVhcGXIbEj5kXxiRKSenFCWT7adUJDb6IuNIU-WpJTu4W8h17tRcIrInuUrfeh6n-Cvlvm697uWCLdMVgj_Ow_YTXDHbu7G7LAWCGFyG5F6sQ752', 'width': 1024}]",ChIJFRv7u7QfcS4RDxWhHTvow08,"{'compound_code': 'CM48+Q2 Kauman, Jepara Regency, Central Java, Indonesia', 'global_code': '6P5GCM48+Q2'}",4.9,ChIJFRv7u7QfcS4RDxWhHTvow08,"['lodging', 'point_of_interest', 'establishment']",103,,https://www.google.com/maps/place/?q=place_id:ChIJFRv7u7QfcS4RDxWhHTvow08,
