business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url,permanently_closed
OPERATIONAL,"Jl. Harapan Indah Boulevard No.10-12, RT.004/RW.030, Medan Satria, Kecamatan Medan Satria, Kota Bks, Jawa Barat 17131, Indonesia","{'location': {'lat': -6.1847218, 'lng': 106.9760118}, 'viewport': {'northeast': {'lat': -6.182743420107277, 'lng': 106.9768619798927}, 'southwest': {'lat': -6.185443079892721, 'lng': 106.9741623201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Santika Premiere - Kota Harapan Indah,{'open_now': True},"[{'height': 747, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112779137355788669282"">A Google User</a>'], 'photo_reference': 'AUGGfZmyaiyjBuScrEKfq_D21WBhat-PfeVPb9KxpRs39PoNr5wO2RO0Lcv8qZ_H-2N9Fpr8IOVza-7cE6TPqjOpY7icO_aft6VmkeONu-Y3IMfJX3OhGSTI5f2t7KjJfStaWec0aBtFXZ8-cVO_ctww3WZ--ou34wSdAO6jPDqh_rWDLSm8', 'width': 1000}]",ChIJqWn4x7uLaS4R8WyeRBKrotM,"{'compound_code': 'RX8G+4C Medan Satria, Bekasi, West Java, Indonesia', 'global_code': '6P58RX8G+4C'}",4.5,ChIJqWn4x7uLaS4R8WyeRBKrotM,"['lodging', 'point_of_interest', 'establishment']",7797,https://www.google.com/maps/place/?q=place_id:ChIJqWn4x7uLaS4R8WyeRBKrotM,
OPERATIONAL,"Harapan Indah 2 Blok SN6, 8 No.18, Pusaka Rakyat, Kec. Tarumajaya, Kabupaten Bekasi, Jawa Barat 17214, Indonesia","{'location': {'lat': -6.1597848, 'lng': 106.9729578}, 'viewport': {'northeast': {'lat': -6.158417970107277, 'lng': 106.9743086798927}, 'southwest': {'lat': -6.161117629892721, 'lng': 106.9716090201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,MaxOneHotels.com @ Kota Harapan Indah Bekasi,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107741415591207798276"">A Google User</a>'], 'photo_reference': 'AUGGfZltZVM9p7HioAieLcTFZ_HV-A7NAvVdlRL-BlCLsIOqw70ezb6BYfoyn0_kRPIlBeuwCt0eVp3I4t9zigJCtbE_kBLlClIeT5aR5C9dMs6S-kavbdNKEKL78DD4uyCYtk40KxuliBbbC-QN77fC443ebW2OjsNC-Yvt1KH0cxhr6SX3', 'width': 1600}]",ChIJX57LuHyLaS4RD1RB-npktr0,"{'compound_code': 'RXRF+35 Pusaka Rakyat, Bekasi Regency, West Java, Indonesia', 'global_code': '6P58RXRF+35'}",4.6,ChIJX57LuHyLaS4RD1RB-npktr0,"['lodging', 'point_of_interest', 'establishment']",304,https://www.google.com/maps/place/?q=place_id:ChIJX57LuHyLaS4RD1RB-npktr0,
OPERATIONAL,"Jl. Boulevard Bar. Raya No.RT.13 Blok M, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","{'location': {'lat': -6.1574219, 'lng': 106.9101773}, 'viewport': {'northeast': {'lat': -6.156002020107279, 'lng': 106.9116302798927}, 'southwest': {'lat': -6.158701679892723, 'lng': 106.9089306201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,HARRIS Hotel & Conventions Kelapa Gading,{'open_now': True},"[{'height': 4501, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111929643261983236328"">HARRIS Hotel</a>'], 'photo_reference': 'AUGGfZnV3lezOAMiaZvS3wIpXcuysteycTVLCHIBO9dQwA8cmjWuN-25NX7WU2g1E3irsb6AdL08gVFFujaRigxeyuOyysufi9wD1Qc63sDTtsXRxtnGPhEIwStB2DEdiFNu1G5zs24qieJq4-LdD8ySSvHNji1_OUjKGkIRQVoWAY1eG2H2', 'width': 6751}]",ChIJ_9sJ7DT1aS4RPxP5uTp5z0U,"{'compound_code': 'RWV6+23 East Kelapa Gading, North Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RWV6+23'}",4.7,ChIJ_9sJ7DT1aS4RPxP5uTp5z0U,"['night_club', 'bar', 'lodging', 'gym', 'health', 'restaurant', 'food', 'point_of_interest', 'establishment']",6836,https://www.google.com/maps/place/?q=place_id:ChIJ_9sJ7DT1aS4RPxP5uTp5z0U,
OPERATIONAL,"Jl. Pahat No.36, RT.6/RW.2, Klender, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930, Indonesia","{'location': {'lat': -6.2076731, 'lng': 106.9059239}, 'viewport': {'northeast': {'lat': -6.206358370107277, 'lng': 106.9072752798927}, 'southwest': {'lat': -6.209058029892722, 'lng': 106.9045756201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kai Villa Escotel by Kava Stay,,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100508794411293626717"">Steven Suprantio</a>'], 'photo_reference': 'AUGGfZlto5_sqGh42CEx9ChpZzbLbgCmugqxTi-R6lqUJfeXtZFNAKxsZp_HjmOPQZOA1BaObE5bSf_pIazkSA5zyM_Q1UF63IS9srd_LTxMiO5xgaqcHc-DDJJn1bd_m-A1fN2EV19yu76VBioQPF3stThwIEHbvfLh_Ckw_iSLh2qvzNeu', 'width': 3840}]",ChIJZ9P3Q5X1aS4ReOOpzk853i8,"{'compound_code': 'QWR4+W9 Klender, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58QWR4+W9'}",4.8,ChIJZ9P3Q5X1aS4ReOOpzk853i8,"['point_of_interest', 'establishment']",32,https://www.google.com/maps/place/?q=place_id:ChIJZ9P3Q5X1aS4ReOOpzk853i8,
OPERATIONAL,"Jl. Pemuda No.Kav. 17, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia","{'location': {'lat': -6.1936987, 'lng': 106.8864969}, 'viewport': {'northeast': {'lat': -6.192512620107278, 'lng': 106.8877115798927}, 'southwest': {'lat': -6.195212279892722, 'lng': 106.8850119201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Luxury Inn Arion Hotel,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116178636175629589548"">A Google User</a>'], 'photo_reference': 'AUGGfZm6k_mB6IzZfvtabmktCiMjEJ5CDW3AZUMRLb84GscHjXzL0ZgyigDbQwvpyAkWWeFHXhfP1hP6U3qsen0XiXx_wotzH42vHehov2HldGTZLLka6R2GRrNrhQwbNOkTox1ZT7PuNSzFX1WKbRabNljpnFSK_rUtzYynCcUyXanSd-Lx', 'width': 6240}]",ChIJmQ211o_0aS4RYUbV5nvxyLc,"{'compound_code': 'RV4P+GH Rawamangun, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RV4P+GH'}",4.3,ChIJmQ211o_0aS4RYUbV5nvxyLc,"['lodging', 'point_of_interest', 'establishment']",844,https://www.google.com/maps/place/?q=place_id:ChIJmQ211o_0aS4RYUbV5nvxyLc,
OPERATIONAL,"Jl. Perserikatan No.11 16, RT.2/RW.6, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia","{'location': {'lat': -6.197906499999999, 'lng': 106.8902718}, 'viewport': {'northeast': {'lat': -6.196607970107278, 'lng': 106.8916788798927}, 'southwest': {'lat': -6.199307629892722, 'lng': 106.8889792201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Fieris Hotel,{'open_now': True},"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100359554851082024863"">A Google User</a>'], 'photo_reference': 'AUGGfZmkGSaGL6JCkInhWraetmMKbhyuEBlNZGKuNBK_k8Q_ibPz-AHvSzoIF0PtxigvyOL7GhRh4T8Ho54c-SRSgHxpTRPhSEsTVTaptabpQ6G1rajCly2hLR8luA4BGl1WG0rydmgtJ91HuqwqNTSY4RW5Ajv6dDnf-3j_t41rYTZxn8aA', 'width': 852}]",ChIJoUsLzin1aS4RQwg0b42qCY4,"{'compound_code': 'RV2R+R3 Rawamangun, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RV2R+R3'}",4.7,ChIJoUsLzin1aS4RQwg0b42qCY4,"['lodging', 'point_of_interest', 'establishment']",1508,https://www.google.com/maps/place/?q=place_id:ChIJoUsLzin1aS4RQwg0b42qCY4,
OPERATIONAL,"Ujung Menteng Business Center, Jl. Raya Bekasi No.KM 25, RT.8/RW.1, Ujung Menteng, Cakung, East Jakarta City, Jakarta 13960, Indonesia","{'location': {'lat': -6.1863324, 'lng': 106.9618855}, 'viewport': {'northeast': {'lat': -6.184982120107279, 'lng': 106.9632048298927}, 'southwest': {'lat': -6.187681779892722, 'lng': 106.9605051701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Angkasa,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110156553266478684756"">jerimia saputra</a>'], 'photo_reference': 'AUGGfZkZw6xA8w0TqSfmkVgGElFpCJBMCekztf47OFzbDRghusUXj0sx524iMtqraF8ylF4tBhfU56Z5wueYDtfrKx8LshHOQtu8LKAoW_uxXCAKj9CGhk5FgbQBKhyLGcvU_raZ1L3zGfIE3xXq3oMNpvU2sAj5_h_LgIsKOgC_WlqYucBo', 'width': 4160}]",ChIJdcaMMaeLaS4RzW7Dj64oHdE,"{'compound_code': 'RX76+FQ Ujung Menteng, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RX76+FQ'}",4.0,ChIJdcaMMaeLaS4RzW7Dj64oHdE,"['lodging', 'point_of_interest', 'establishment']",195,https://www.google.com/maps/place/?q=place_id:ChIJdcaMMaeLaS4RzW7Dj64oHdE,
OPERATIONAL,"Apartemen Sentra Timur Residence Ap JL. Sentra Primer Timur Tower Orange Kios No O7M, RW.6, Pulo Gebang, Kec. Cakung, Daerah Khusus Ibukota Jakarta 13950, Indonesia","{'location': {'lat': -6.204736599999999, 'lng': 106.9492861}, 'viewport': {'northeast': {'lat': -6.203501620107278, 'lng': 106.9505805298927}, 'southwest': {'lat': -6.206201279892722, 'lng': 106.9478808701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Apartemen Sentra Timur Residence - Cheap Inn Tower Orange,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114354073845002838791"">danu putra</a>'], 'photo_reference': 'AUGGfZlrkC0LJw7_6PfAZEssCn5NEsJnuMn628jq6f4O7v4TS-Ip4pfdYZqIRjaY61TFA0PRCjj5lavjyK6YjZr8fDBRf17VBliBekfKKnGELN3UsIWNfQOgKikazvOFwWB3Ml1W1toWUcPdvTXEMVw-9vcqXA3CnDgrNYl8VyGHJz3Q2Mlz', 'width': 1080}]",ChIJAWHW6HqLaS4RYEmspVlICZo,"{'compound_code': 'QWWX+4P Pulo Gebang, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58QWWX+4P'}",4.2,ChIJAWHW6HqLaS4RYEmspVlICZo,"['lodging', 'point_of_interest', 'establishment']",29,https://www.google.com/maps/place/?q=place_id:ChIJAWHW6HqLaS4RYEmspVlICZo,
OPERATIONAL,"Blok C-32 No.8, Jl. Raya Gading Indah, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","{'location': {'lat': -6.1611876, 'lng': 106.9078185}, 'viewport': {'northeast': {'lat': -6.159762770107277, 'lng': 106.9091976298927}, 'southwest': {'lat': -6.162462429892721, 'lng': 106.9064979701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,favehotel Kelapa Gading - Jakarta,,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114716426564352978553"">A Google User</a>'], 'photo_reference': 'AUGGfZmueeTfMl-caZsF2gbfQtUvwBTMf2hfR4HoPVWS0ZxsbkB5R0Yhz85_Pi6jx0JX7R9bz1e6OrDR37Z1H1r49mMpUiikGahtZk4QQUBGNrStcCErpqbEg_g2wHS4r8w1WEaXg1CTCUx0hzWF692O8uKjEo5EcsvVyiBF72e8P-RlyXS7', 'width': 1354}]",ChIJDw2ZNTL1aS4R1FDECbO6aBg,"{'compound_code': 'RWQ5+G4 East Kelapa Gading, North Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RWQ5+G4'}",4.4,ChIJDw2ZNTL1aS4R1FDECbO6aBg,"['lodging', 'point_of_interest', 'establishment']",5386,https://www.google.com/maps/place/?q=place_id:ChIJDw2ZNTL1aS4R1FDECbO6aBg,
OPERATIONAL,"Jl. Raya Penggilingan No.41 7, RT.7/RW.8, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940, Indonesia","{'location': {'lat': -6.1909147, 'lng': 106.9348019}, 'viewport': {'northeast': {'lat': -6.189541170107278, 'lng': 106.9361030298927}, 'southwest': {'lat': -6.192240829892722, 'lng': 106.9334033701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Atika Hotel,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114570721611297580305"">Husein Zakky</a>'], 'photo_reference': 'AUGGfZkZKjR28Clq0Iiq23QVR8RMdPfsIQfs14-XIskaqro_HGcVHLXPjmuYrJyC9es0NIx2VBHDRK_8EM42tAmc7YRzOIKf_pzMtNY5TZIjg-rOTTpLyHwvwijDPPccrv2J1BmNpiHzWMhDVnh1MuFx6mn5GKINDBLVTFMGtB_3_zGr7nTy', 'width': 3264}]",ChIJ6fHhyz-LaS4Rk2O-HJasuZk,"{'compound_code': 'RW5M+JW Penggilingan, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RW5M+JW'}",3.8,ChIJ6fHhyz-LaS4Rk2O-HJasuZk,"['lodging', 'point_of_interest', 'establishment']",375,https://www.google.com/maps/place/?q=place_id:ChIJ6fHhyz-LaS4Rk2O-HJasuZk,
