business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url,price_level
OPERATIONAL,"Jalan Raya Pasar Malingping No.58, Polotot, Malingping Sel., Kec. Malingping, Kabupaten Lebak, Banten 42391, Indonesia","{'location': {'lat': -6.7862734, 'lng': 106.0173411}, 'viewport': {'northeast': {'lat': -6.784936920107278, 'lng': 106.0187066798927}, 'southwest': {'lat': -6.787636579892721, 'lng': 106.0160070201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel GBS Malingping,{'open_now': True},"[{'height': 1959, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106084217810265530826"">Hotel KATON</a>'], 'photo_reference': 'AUGGfZmc5rmHhZVhaSJCoR6NKV3t0ZLl01230_rc3JBAOWe9O6bnUjEtaixjzDhS9B-DJ_rf1aLWptg_Fx15sP768msgoRJOF1deROi-ZsQy_ds-d0c4G3UlZjJDvcOQQVitvK6J_ES-G72amv7GlYnOTeQCsvae1SLM7PuTJ_qkBTYMfNUH', 'width': 3487}]",ChIJV9hAgfhYQi4RtUL0M8cRJU4,"{'compound_code': '6278+FW South Malingping, Lebak Regency, Banten, Indonesia', 'global_code': '6P586278+FW'}",4.5,ChIJV9hAgfhYQi4RtUL0M8cRJU4,"['lodging', 'point_of_interest', 'establishment']",583,,https://www.google.com/maps/place/?q=place_id:ChIJV9hAgfhYQi4RtUL0M8cRJU4,
OPERATIONAL,"Jl. Raya Saketi - Malingping No.46, Malingping Utara, Kec. Malingping, Kabupaten Lebak, Banten 42391, Indonesia","{'location': {'lat': -6.777502699999999, 'lng': 106.0144966}, 'viewport': {'northeast': {'lat': -6.776231220107278, 'lng': 106.0158116798927}, 'southwest': {'lat': -6.778930879892722, 'lng': 106.0131120201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bahari Hotel Malingping,,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112287308961903808377"">Hotel Bahari</a>'], 'photo_reference': 'AUGGfZkF3aGuPnLQLLd-TueeNdKL_W1CI-y5PLe4P-UFoxdeJ5EKt2Pd6kly9a43Pm4RhfoJVYhmAukN7fBFzi3oJdWylnj_JsWQ5zbWOKbajOeVY5BfzsWVCbiJvHGBveFRml71Mp7QhlY9q3yDCNHTolSiQo2PfyFbxjGQT4pmATG8FLhS', 'width': 1440}]",ChIJTQ6D56pZQi4RWPHJBh66CVY,"{'compound_code': '62F7+2Q North Malingping, Lebak Regency, Banten, Indonesia', 'global_code': '6P5862F7+2Q'}",4.2,ChIJTQ6D56pZQi4RWPHJBh66CVY,"['lodging', 'point_of_interest', 'establishment']",519,,https://www.google.com/maps/place/?q=place_id:ChIJTQ6D56pZQi4RWPHJBh66CVY,
OPERATIONAL,"Jl. Raya Carita No.8 KM 3, Caringin, Kec. Labuan, Kabupaten Pandeglang, Banten 42211, Indonesia","{'location': {'lat': -6.3530896, 'lng': 105.8256226}, 'viewport': {'northeast': {'lat': -6.351739770107278, 'lng': 105.8269724298927}, 'southwest': {'lat': -6.354439429892722, 'lng': 105.8242727701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Coconut Island Carita,{'open_now': True},"[{'height': 782, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105736632977567723257"">A Google User</a>'], 'photo_reference': 'AUGGfZkah3T_Kcgf9oXWmaQG2mlFBvwvSB9XuZrMx6OiHQiDocpBo34duK_gyC8RhcOTGubnjhOb9l5dK3cUfXGQIGbVhHljhTrIY3NGEZ2r7Y1NpVXaqwc8hKoTkh3vXTjh7Oe1__ZLvufPslpYma7GKo5O9gDhoWN-oE0h2Q0sq33XxK5L', 'width': 1170}]",ChIJ-aFC5_QyQi4RuqfnGpfPprY,"{'compound_code': 'JRWG+Q6 Caringin, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P57JRWG+Q6'}",4.1,ChIJ-aFC5_QyQi4RuqfnGpfPprY,"['amusement_park', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",3903,,https://www.google.com/maps/place/?q=place_id:ChIJ-aFC5_QyQi4RuqfnGpfPprY,
OPERATIONAL,"Jl. Raya Labuan - Pandeglang, Sindanghayu, Kec. Saketi, Kabupaten Pandeglang, Banten 42273, Indonesia","{'location': {'lat': -6.3977092, 'lng': 105.9589193}, 'viewport': {'northeast': {'lat': -6.396297770107279, 'lng': 105.9602989798927}, 'southwest': {'lat': -6.398997429892723, 'lng': 105.9575993201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hoya Residence Syariah Mitra RedDoorz,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109517498813722747921"">Eko</a>'], 'photo_reference': 'AUGGfZma7rqpFGEVSCGBYknaUPEkr2WqVTw6mNjs_M7VmhTElg4WgiMOIEFEBcUhvMEAYcBZAxXUAIWqnoh0Ie-HQnBI-0S1ZaGaxhH2tyyziMd-X3rypgDvSSINi1o0rtF_FJD3g3BSc3Adm8CTs9JDwvuM_2z3zUakvXkgzi1ukcd7MSTv', 'width': 4032}]",ChIJ69mNWr4xQi4R40cmTDyfi1M,"{'compound_code': 'JX25+WH Sindanghayu, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P57JX25+WH'}",4.1,ChIJ69mNWr4xQi4R40cmTDyfi1M,"['lodging', 'point_of_interest', 'establishment']",42,,https://www.google.com/maps/place/?q=place_id:ChIJ69mNWr4xQi4R40cmTDyfi1M,
OPERATIONAL,"34, Green Lake View Apartment, Jalan Dewi Banten, Outer, Jakarta 15411, Indonesia","{'location': {'lat': -6.405818000000001, 'lng': 106.064017}, 'viewport': {'northeast': {'lat': -6.404430049999999, 'lng': 106.06512725}, 'southwest': {'lat': -6.409981849999999, 'lng': 106.06068625}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Capital O 93372 Aurora Residence,,,ChIJW1RVVVU5Qi4RIkkLieYcvo8,"{'compound_code': 'H3V7+MJ Mekarjaya, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P58H3V7+MJ'}",5.0,ChIJW1RVVVU5Qi4RIkkLieYcvo8,"['lodging', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJW1RVVVU5Qi4RIkkLieYcvo8,
OPERATIONAL,"Jl. Raya Jend. Sudirman No.8, Labuan, Kec. Labuan, Kabupaten Pandeglang, Banten 42264, Indonesia","{'location': {'lat': -6.3788546, 'lng': 105.8323094}, 'viewport': {'northeast': {'lat': -6.377551220107279, 'lng': 105.8336455298927}, 'southwest': {'lat': -6.380250879892723, 'lng': 105.8309458701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel S' Rizki Labuan,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112865831092730417034"">dudi wahyudi</a>'], 'photo_reference': 'AUGGfZlOjzhX0jhAl2esGGD55GmRaYed1SWckHnSgkVd6rT3lMR-vZvOT38QXeQNo62HMi67aFWN-E1cWZELEkqABjt-lBV0XElisIY6gIhV6TblEQo9q8D4f2Fl1wOxJO8y6t9XVL5OdrpAshVFptDhYT3UB56FPFRTts6-jd0eWQ-7IgVO', 'width': 3840}]",ChIJ2U5KCakzQi4RuU6x0_pd22Y,"{'compound_code': 'JRCJ+FW Labuan, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P57JRCJ+FW'}",3.8,ChIJ2U5KCakzQi4RuU6x0_pd22Y,"['lodging', 'point_of_interest', 'establishment']",353,,https://www.google.com/maps/place/?q=place_id:ChIJ2U5KCakzQi4RuU6x0_pd22Y,
OPERATIONAL,"Gg. Japar No.1, Banten, Kec. Mekarjaya, Kabupaten Pandeglang, Banten 15154, Indonesia","{'location': {'lat': -6.405818000000001, 'lng': 106.064017}, 'viewport': {'northeast': {'lat': -6.404430049999999, 'lng': 106.06512725}, 'southwest': {'lat': -6.409981849999999, 'lng': 106.06068625}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 3355 Homestay Syariah Asyuban,,,ChIJW1RVVVU5Qi4RMo7pPMft8H4,"{'compound_code': 'H3V7+MJ Mekarjaya, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P58H3V7+MJ'}",5.0,ChIJW1RVVVU5Qi4RMo7pPMft8H4,"['lodging', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJW1RVVVU5Qi4RMo7pPMft8H4,
OPERATIONAL,"Jl. Raya Saketi - Malingping No.12, Cipeundeuy, Kec. Malingping, Kabupaten Lebak, Banten 42391, Indonesia","{'location': {'lat': -6.7770568, 'lng': 105.998572}, 'viewport': {'northeast': {'lat': -6.775815870107277, 'lng': 105.9999047298927}, 'southwest': {'lat': -6.778515529892721, 'lng': 105.9972050701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SPOT ON 2501 Rendy Putra Malingping,,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109961224296633162937"">A Google User</a>'], 'photo_reference': 'AUGGfZlYfC7ZSyh_dwacQNrC9wzMO5VDubdPWE3vZmHDizA69Q4EGcHfIKxwdxBY9yn5YDqNSmmRwTPwEgiN1dGrfuKgmfgnkv4ppdSaDduTj6ln6gTPVw2v5sdeXVwMEIKYxjlDTLbXsZtNIyJOfnc6mltnfdouQUsPX0Sf2WV1LWrKLZuk', 'width': 640}]",ChIJwRkuuXZbQi4RQMZ-KhjSb0g,"{'compound_code': '6XFX+5C Cipeundeuy, Lebak Regency, Banten, Indonesia', 'global_code': '6P576XFX+5C'}",3.9,ChIJwRkuuXZbQi4RQMZ-KhjSb0g,"['lodging', 'point_of_interest', 'establishment']",61,,https://www.google.com/maps/place/?q=place_id:ChIJwRkuuXZbQi4RQMZ-KhjSb0g,
CLOSED_TEMPORARILY,"Jalan Kepenimbangan Km. 5, Margagiri, labuan, Margagiri, Kec. Pagelaran, Kabupaten Pandeglang, Banten 42265, Indonesia","{'location': {'lat': -6.412451, 'lng': 105.827796}, 'viewport': {'northeast': {'lat': -6.411106720107278, 'lng': 105.8291869798927}, 'southwest': {'lat': -6.413806379892722, 'lng': 105.8264873201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kharisma Beach Resort Labuan,,"[{'height': 3240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105498324908655114577"">Kharisma Beach Resort Labuan</a>'], 'photo_reference': 'AUGGfZmLKLrmIbRYTCtNySI1i1LHqeZPZ-AvkJ256Vnl2r8diRr0vN_gUEfDSsuGtkSg3f_fVKbgQ96Cs0vNfw9VROVUsbyryU6XJ_VqZ-Y9UmFFeXBIeh5avQm_MydYMFU-OG24x-R3rSnBKWDn_Koa_cr9e2lzSuZ0-fjOp83yBIszNYXb', 'width': 4320}]",ChIJCW5jZ4A0Qi4RKCVC9dZ8mws,"{'compound_code': 'HRQH+24 Margagiri, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P57HRQH+24'}",4.0,ChIJCW5jZ4A0Qi4RKCVC9dZ8mws,"['lodging', 'point_of_interest', 'establishment']",240,True,https://www.google.com/maps/place/?q=place_id:ChIJCW5jZ4A0Qi4RKCVC9dZ8mws,
OPERATIONAL,"Sukamanah, Malingping, Lebak Regency, Banten 42391, Indonesia","{'location': {'lat': -6.8127092, 'lng': 105.9931145}, 'viewport': {'northeast': {'lat': -6.811342420107277, 'lng': 105.9943741298927}, 'southwest': {'lat': -6.814042079892721, 'lng': 105.9916744701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pondok Bagedur,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100794712092221472501"">Raras Rumairah</a>'], 'photo_reference': 'AUGGfZnssZm64wkFANp84ZqG8xsTtriMTjVQwLtGAoJwUv8gelurQbsTPwW9gINvUQ19cr1tQ_aPZ_OuP4RTKKEIrZAoie65SFA2bRxJpiTiafWheh1hVA25HBIBOCxpTes6YKktUpfCs1TznIe5M7WJTTGdQD0y0e1OpwRuH1YFTO9AnHh6', 'width': 3000}]",ChIJV4_i8OpZQi4RZp8-qmKHIJI,"{'compound_code': '5XPV+W7 Sukamanah, Lebak Regency, Banten, Indonesia', 'global_code': '6P575XPV+W7'}",3.9,ChIJV4_i8OpZQi4RZp8-qmKHIJI,"['lodging', 'point_of_interest', 'establishment']",99,,https://www.google.com/maps/place/?q=place_id:ChIJV4_i8OpZQi4RZp8-qmKHIJI,
OPERATIONAL,"Jl. Perintis Kemerdekaan KM 1 No. 9, Labuan, Teluk, Pandeglang, Kabupaten Pandeglang, Banten 42264, Indonesia","{'location': {'lat': -6.3711485, 'lng': 105.8265165}, 'viewport': {'northeast': {'lat': -6.369798670107278, 'lng': 105.8278663298927}, 'southwest': {'lat': -6.372498329892722, 'lng': 105.8251666701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Caringin,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116218143925750948686"">Hariyanto Hariyanto</a>'], 'photo_reference': 'AUGGfZmxVJlHjv55Km-kJGR6Pfw53SG1nuPrboC0AXOzreEgywE8-sB8BI_HAOFtksipzEKn5ybBtnymk8g3cRkiWgBPW0ZlXTDjtwgDKz4OieDkMiwJixoZ7qhBvkrP9HXG7_wfcd5jHaGAHxgINj-SNpWknsusnOGDolUQgzgFSlXDS7w2', 'width': 3000}]",ChIJl3MJFooyQi4RrEylJrTUvU0,"{'compound_code': 'JRHG+GJ Teluk, Pandeglang Regency, Banten, Indonesia', 'global_code': '6P57JRHG+GJ'}",4.1,ChIJl3MJFooyQi4RrEylJrTUvU0,"['lodging', 'point_of_interest', 'establishment']",216,,https://www.google.com/maps/place/?q=place_id:ChIJl3MJFooyQi4RrEylJrTUvU0,
