business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url,permanently_closed,price_level
OPERATIONAL,"Jl. Daan Mogot No.KM. 19 6, Kb. Besar, Kec. Batuceper, Kota Tangerang, Banten 11730, Indonesia","{'location': {'lat': -6.1625273, 'lng': 106.6784765}, 'viewport': {'northeast': {'lat': -6.161170420107278, 'lng': 106.6798219798927}, 'southwest': {'lat': -6.163870079892722, 'lng': 106.6771223201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,PADINA SOHO and RESIDENCE,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114577391189102073099"">A Google User</a>'], 'photo_reference': 'AUGGfZmnSOiLMZspM6dvNBWYZV1QvXFlF7QSPjjWKsE5vhCdcI9IMAh2IG7MIlCsxRsaChNW7VqyNjUTyhXO2Q1R-vYzLzGdUTaUThIzPWNZnJe7wPSs4Na6ZdjLot970SBlq1R-w-9jYGdnryizatobvpdc7_K25MLjuoABIHhF6GHRBF9d', 'width': 4032}]",ChIJ71yiqF_4aS4RdH3l3_SH1Vc,"{'compound_code': 'RMPH+X9 Kebon Besar, Tangerang City, Banten, Indonesia', 'global_code': '6P58RMPH+X9'}",4.3,ChIJ71yiqF_4aS4RdH3l3_SH1Vc,"['lodging', 'point_of_interest', 'establishment']",206,,https://www.google.com/maps/place/?q=place_id:ChIJ71yiqF_4aS4RdH3l3_SH1Vc,,
OPERATIONAL,"Jl. Benteng Betawi No.88, Buaran Indah, Kec. Tangerang, Kota Tangerang, Banten 15148, Indonesia","{'location': {'lat': -6.1742589, 'lng': 106.6570935}, 'viewport': {'northeast': {'lat': -6.172929970107277, 'lng': 106.6584349298927}, 'southwest': {'lat': -6.175629629892721, 'lng': 106.6557352701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,d'primahotel Tangerang,"[{'height': 3615, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107463616412032454765"">A Google User</a>'], 'photo_reference': 'AUGGfZlvW-mx9Ftgf7e95pmSdE_t_8vgzr3vqFlgkmm0wGTzZcOGLzUtYKCcHOS4LRfFIn93WdKwMNJiiBDQ4dw8XDexSE6TTf67-VSxYrVvhg2dcd_HqJ8PF10OnPwVy_CMxDXdtGtnLof7PBLfKheNdbEZ4K4e52TTLIIBhJrV3ELzj4yj', 'width': 5415}]",ChIJsdLTYeb4aS4RA7ox7arYvtY,"{'compound_code': 'RMG4+7R Buaran Indah, Tangerang City, Banten, Indonesia', 'global_code': '6P58RMG4+7R'}",4.4,ChIJsdLTYeb4aS4RA7ox7arYvtY,"['night_club', 'bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",7813,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJsdLTYeb4aS4RA7ox7arYvtY,,
OPERATIONAL,"Golden City Business Park, Jl. KH. Hasyim Ashari No.118, RT.001/RW.010, Cipondoh, Tangerang City, Banten 15148, Indonesia","{'location': {'lat': -6.190614999999999, 'lng': 106.6709607}, 'viewport': {'northeast': {'lat': -6.189246920107278, 'lng': 106.6723008798927}, 'southwest': {'lat': -6.191946579892722, 'lng': 106.6696012201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Fave Hotel Hasyim Ashari - Tangerang,"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100337069389246541383"">A Google User</a>'], 'photo_reference': 'AUGGfZk6wibTK7C0asGzXKd8IBOWA6F1ZehZNgntoRD2NJxBkzfEzRhRaVBAaxtRjnmN8TtcnmlWz3KAeS5KHaIEIqMkQBQ_9_99BFqrfC8NdKbFoApQGf9BbMLZldv4r7ZWIkT0O3rIBeonZK_fwnFMHxkql7H4GBaLcaYMD_bJ56ql4w3w', 'width': 5616}]",ChIJu8of0oj5aS4RHr0Stqgh-4A,"{'compound_code': 'RM5C+Q9 Cipondoh, Tangerang City, Banten, Indonesia', 'global_code': '6P58RM5C+Q9'}",4.6,ChIJu8of0oj5aS4RHr0Stqgh-4A,"['lodging', 'point_of_interest', 'establishment']",1761,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJu8of0oj5aS4RHr0Stqgh-4A,,
OPERATIONAL,"Daan Mogot Rd No.KM. 19.6, RT.006/RW.001, Kb. Besar, Kec. Batuceper, Kota Tangerang, Banten 11730, Indonesia","{'location': {'lat': -6.162903399999999, 'lng': 106.6783526}, 'viewport': {'northeast': {'lat': -6.161586170107278, 'lng': 106.6796672798927}, 'southwest': {'lat': -6.164285829892722, 'lng': 106.6769676201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz @ Apartment Padina Residences,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101948324002514677827"">A Google User</a>'], 'photo_reference': 'AUGGfZkbBff6YPVkErG7Dni7ceXrUiRqz62nsnpgqPNtXMEyQ4s83WkvcR8wfLmfk0VbYYnF6SdDvLMWiwObd-8aJXgkTqRA03skR6NikYK61KHRCkRr6KYWQceAMcP0kTpo4pZfxnV9Mfcpjk9HsQMe1WboiKIeuFnljTLMZ9SmnHeTndZ4', 'width': 4032}]",ChIJhfHQu1_4aS4R68tJCJ9BxcE,"{'compound_code': 'RMPH+V8 Kebon Besar, Tangerang City, Banten, Indonesia', 'global_code': '6P58RMPH+V8'}",4.5,ChIJhfHQu1_4aS4R68tJCJ9BxcE,"['lodging', 'point_of_interest', 'establishment']",92,,https://www.google.com/maps/place/?q=place_id:ChIJhfHQu1_4aS4R68tJCJ9BxcE,,
OPERATIONAL,"Jl. KH. Hasyim Ashari No.63-65, RT.006/RW.010, Cipondoh, Kec. Karang Tengah, Kota Tangerang, Banten 15157, Indonesia","{'location': {'lat': -6.192267699999999, 'lng': 106.6725372}, 'viewport': {'northeast': {'lat': -6.191014020107278, 'lng': 106.6738799298927}, 'southwest': {'lat': -6.193713679892721, 'lng': 106.6711802701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Narita Hotel Tangerang,"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111989120111549552731"">Narita Hotel</a>'], 'photo_reference': 'AUGGfZkSNw9fvJ1BNWiz3VFfaB5LClrGLqxEHbOCcdaFEpUOYMgGdqwJxNBBFekznDLrejz0C_R1R2hc1iRkPZFaHXqj4T3Ge-Cz8BBvgZXr0c9KpDGYlFywLEPzXJRnteDyumZjNd_J_cYbxPO217b6Bg6Xau6HcST9aHHA7VjjiByLr3eI', 'width': 4272}]",ChIJ8bJImh76aS4R6czxC25KrPE,"{'compound_code': 'RM5F+42 Cipondoh, Tangerang City, Banten, Indonesia', 'global_code': '6P58RM5F+42'}",4.4,ChIJ8bJImh76aS4R6czxC25KrPE,"['lodging', 'point_of_interest', 'establishment']",4121,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ8bJImh76aS4R6czxC25KrPE,,
OPERATIONAL,"1, Poris Gaga, Batuceper, Tangerang, Jakarta, Daerah Khusus Ibukota Jakarta 15122, Indonesia","{'location': {'lat': -6.1642636, 'lng': 106.6811576}, 'viewport': {'northeast': {'lat': -6.162895370107279, 'lng': 106.6824518298927}, 'southwest': {'lat': -6.165595029892723, 'lng': 106.6797521701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 90358 Poris Residence Syariah,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114125350836667563695"">A Google User</a>'], 'photo_reference': 'AUGGfZnA4_b8f0wDKuE0SouBEQ0aGo7myE89t6Bmsv0Mn7M2STiixQ51WMJDsBb7aLCzwBLDJrbp-gCge-Ma_EnMnfARzjrQm6ZBDOiqriJ_7ZDzKtctTDSVCTBpeNUeBRn0u4hwpt-NxEVSOss9Rwdy_8of1HSbBWe0TVyNxT_tLoBmJ5z9', 'width': 640}]",ChIJH7VVwO35aS4RmRWgMaPz93s,"{'compound_code': 'RMPJ+7F Poris Gaga, Tangerang City, Banten, Indonesia', 'global_code': '6P58RMPJ+7F'}",3.4,ChIJH7VVwO35aS4RmRWgMaPz93s,"['lodging', 'point_of_interest', 'establishment']",192,,https://www.google.com/maps/place/?q=place_id:ChIJH7VVwO35aS4RmRWgMaPz93s,,
OPERATIONAL,"Jl. Maulana Hasanudin No.33, RT.003/RW.001, Poris Gaga, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia","{'location': {'lat': -6.1638657, 'lng': 106.6805215}, 'viewport': {'northeast': {'lat': -6.162523770107278, 'lng': 106.6818365298927}, 'southwest': {'lat': -6.165223429892722, 'lng': 106.6791368701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Stasiun Poris Tangerang,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101493025672175897580"">A Google User</a>'], 'photo_reference': 'AUGGfZlGy9RoIozc-KcSZEIj0dB3o3yJx985TNSIcdH_brhxddD-v40Cv67Sie95iig6-srhzceWbyHw1F74g75kUNLNyLrcRiP5YJD3BtOUEFfMFB_fmxAsYMYmbxwrFmX58JmpQ1UXMxel-U_TxP17hBGel1YujC-sxMbhg8RYfIbqGK59', 'width': 900}]",ChIJU2z5qHf5aS4RypQtLRJYY2c,"{'compound_code': 'RMPJ+F6 Poris Gaga, Tangerang City, Banten, Indonesia', 'global_code': '6P58RMPJ+F6'}",4.1,ChIJU2z5qHf5aS4RypQtLRJYY2c,"['lodging', 'point_of_interest', 'establishment']",125,,https://www.google.com/maps/place/?q=place_id:ChIJU2z5qHf5aS4RypQtLRJYY2c,,
OPERATIONAL,"Jl. Maulana Hasanudin No.33, RT.003/RW.001, Poris Gaga, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia","{'location': {'lat': -6.164162, 'lng': 106.681129}, 'viewport': {'northeast': {'lat': -6.162814870107277, 'lng': 106.6824850798927}, 'southwest': {'lat': -6.165514529892721, 'lng': 106.6797854201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,KoolKost near Stasiun Poris Tangerang,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115239047947887757811"">shujat ali</a>'], 'photo_reference': 'AUGGfZl26rNaw_0TpvNDx1by9OSZSDCbdW1J9Aps-BpmjwpVoK4O8uju54y-9cAIjYZeW4GSpdkNDkxYZT-VPkPc6n0uUJ4Jnb4JMuk-up26RWQ0YBF4fa-xQW7Co4a-h521PouPVTnO_c13kTXlX07YccZ9p5A6_3iwshtjFaKpoq7Qy-kY', 'width': 4032}]",ChIJlZTLnF74aS4RGEyKFGCxX7I,"{'compound_code': 'RMPJ+8F Poris Gaga, Tangerang City, Banten, Indonesia', 'global_code': '6P58RMPJ+8F'}",3.7,ChIJlZTLnF74aS4RGEyKFGCxX7I,"['lodging', 'point_of_interest', 'establishment']",58,,https://www.google.com/maps/place/?q=place_id:ChIJlZTLnF74aS4RGEyKFGCxX7I,,
OPERATIONAL,"Jl. Pembangunan 3 No.17, RT.002/RW.003, Karang Anyar, Kec. Neglasari, Kota Tangerang, Banten 15121, Indonesia","{'location': {'lat': -6.1585412, 'lng': 106.6429551}, 'viewport': {'northeast': {'lat': -6.157107970107277, 'lng': 106.6439779798927}, 'southwest': {'lat': -6.159807629892721, 'lng': 106.6412783201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Days Hotel & Suites by Wyndham Jakarta Airport,"[{'height': 402, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118324998752029905223"">Days Hotel And Suites Jakarta Airport</a>'], 'photo_reference': 'AUGGfZm6HpJeoIh1dnpOC8tdMSgWkrwohd1Mj6ZtfpIINFFdg4iKoosp9ZVhdTxdgdtliffGZY7Sq7YuaCBtgvjY06kINSC6E5nFd3TbPHfDLLKkyXatEayLgLVBt7Mns10ow7MNZkwrgFpuvHJUlNdyiUfh8lCjFrGpdLgekcnRuBvJf_YI', 'width': 715}]",ChIJ5-yVuLn4aS4RZP7KYKqWP5k,"{'compound_code': 'RJRV+P5 Karang Anyar, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJRV+P5'}",4.2,ChIJ5-yVuLn4aS4RZP7KYKqWP5k,"['lodging', 'point_of_interest', 'establishment']",3801,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ5-yVuLn4aS4RZP7KYKqWP5k,,
OPERATIONAL,"Jl. Maulana Hasanudin No.Rt 03/03, Poris Plawad, Kec. Batuceper, Kota Tangerang, Banten 15810, Indonesia","{'location': {'lat': -6.1729457, 'lng': 106.6790984}, 'viewport': {'northeast': {'lat': -6.171589420107279, 'lng': 106.6804143798927}, 'southwest': {'lat': -6.174289079892723, 'lng': 106.6777147201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Barada Poris,"[{'height': 1020, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118312950495897445215"">A Google User</a>'], 'photo_reference': 'AUGGfZmwqRFiNXo4IiIlP49-B-sJG5IDnI2mOP9G8DHckk23UW4O2_7Yx4Qv8-5xR9kD5IimSHDj--ptwH6kLNDHlymaX3IevutunwTDOi-U3_mL8uWMEU7FMf8Y_KWqrxyysp3DdzASGFg5aJL-vFdibEPrIFQW3TYNNv0bWBNUwYMmWHNz', 'width': 765}]",ChIJ19O6Vlb4aS4RcxzOESfxZPg,"{'compound_code': 'RMGH+RJ Poris Plawad, Tangerang City, Banten, Indonesia', 'global_code': '6P58RMGH+RJ'}",4.8,ChIJ19O6Vlb4aS4RcxzOESfxZPg,"['lodging', 'point_of_interest', 'establishment']",11,,https://www.google.com/maps/place/?q=place_id:ChIJ19O6Vlb4aS4RcxzOESfxZPg,,
