business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url,price_level
OPERATIONAL,"Jl. Batoro Katong No.134, Ronowijayan, Kertosari, Kec. Babadan, Kabupaten Ponorogo, Jawa Timur 63491, Indonesia","{'location': {'lat': -7.857208399999998, 'lng': 111.4832847}, 'viewport': {'northeast': {'lat': -7.855827270107278, 'lng': 111.4846312798927}, 'southwest': {'lat': -7.858526929892722, 'lng': 111.4819316201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ndalem Katong Guest House Ponorogo,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108426554320110919495"">A Google User</a>'], 'photo_reference': 'AUGGfZn91oVr04PdGVG2E9prtOgj0e9UY3qLM0BoDGvztilyBqhpi3rTNTTj4WAiMsh9RUtHacYNNzWY8AmUGHCnpRR5kZ_yGfqW0-4VHwoLJ9kMcRblgxiKSFza5QcZxL4WKpxFUEVezsYUP2m8BuAQROgOmqLWpQNFRuML0M4kY06anLOT', 'width': 4032}]",ChIJBwxSxNOheS4RpIt9KDwy0tw,"{'compound_code': '4FVM+38 Ronowijayan, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FVM+38'}",4.4,ChIJBwxSxNOheS4RpIt9KDwy0tw,"['lodging', 'point_of_interest', 'establishment']",741,https://www.google.com/maps/place/?q=place_id:ChIJBwxSxNOheS4RpIt9KDwy0tw,
OPERATIONAL,"Jl. Ir. H Juanda No.19, Tonatan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63413, Indonesia","{'location': {'lat': -7.870673000000001, 'lng': 111.483966}, 'viewport': {'northeast': {'lat': -7.869306170107278, 'lng': 111.4853163298927}, 'southwest': {'lat': -7.872005829892722, 'lng': 111.4826166701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Amaris Hotel By Santika Ponorogo,{'open_now': True},"[{'height': 426, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107572738361316137364"">AMARIS HOTEL BY SANTIKA</a>'], 'photo_reference': 'AUGGfZkAO81F8fRA6uMwUpq2rF8FT99FFH_2fE8f7TYRRnnsq9sG7ZAQPEs6U0BYiuof3T9cAmFHNkc7MPs4qq1Zjhfl025LaKzqFNl1FLhGl4LrAvRPul6MGh_v6l46UzGu4rMFor1hjGzMWhvZyhEGo1Hp6yYFFlN_VOrIC_MBAcmT0oCE', 'width': 640}]",ChIJwQtTcy-geS4RNxRjtAiqIzQ,"{'compound_code': '4FHM+PH Tonatan, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FHM+PH'}",4.3,ChIJwQtTcy-geS4RNxRjtAiqIzQ,"['lodging', 'point_of_interest', 'establishment']",2472,https://www.google.com/maps/place/?q=place_id:ChIJwQtTcy-geS4RNxRjtAiqIzQ,
OPERATIONAL,"Jl. Kh. Ahmad Dahlan No.82 A, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63419, Indonesia","{'location': {'lat': -7.8638461, 'lng': 111.4733679}, 'viewport': {'northeast': {'lat': -7.862499570107278, 'lng': 111.4747067298927}, 'southwest': {'lat': -7.865199229892722, 'lng': 111.4720070701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Maesa Hotel Ponorogo,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113945892430295960932"">Maesa Hotel</a>'], 'photo_reference': 'AUGGfZlvTVeYOCEY3BiRIhNoMsrm--Dn2z-G00e125_PGHmClxI3Xp978ugSA3BX2eSd5x_oGgKcsG4eA3gMNy28Z9RlIjJINqhpvZVcCftPz5GHzlgXBVt6w0s7bVUHCEyasLlXxbDunwmCg8vm2g3GwgVyOyaiZ_5sEsaMHDWhiDrJ65CP', 'width': 6000}]",ChIJ20kwE4CfeS4Rfh6-T7-DBrI,"{'compound_code': '4FPF+F8 Bangunsari, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FPF+F8'}",4.2,ChIJ20kwE4CfeS4Rfh6-T7-DBrI,"['lodging', 'point_of_interest', 'establishment']",1154,https://www.google.com/maps/place/?q=place_id:ChIJ20kwE4CfeS4Rfh6-T7-DBrI,
OPERATIONAL,"Jl. Arif Rahman Hakim No.27, Perumda, Keniten, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63412, Indonesia","{'location': {'lat': -7.838000099999999, 'lng': 111.4829904}, 'viewport': {'northeast': {'lat': -7.836729970107278, 'lng': 111.4843878298927}, 'southwest': {'lat': -7.839429629892722, 'lng': 111.4816881701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 90622 Hotel Galaksi,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110361269811543916688"">A Google User</a>'], 'photo_reference': 'AUGGfZnj4aKbWDOSrD63BBLLlONjdObSSr59o9IOA-XUd77WVX1ykUOrP_rZXe1S2FIRVUDZNnZQwTINbRZWFj9fBA_dl7bwaCUoeD3J2JIhd2PxOo1uUvJnEKIKBsWOqtL2L2rgeqGnnbJ2pFt4gcsLeJucYWJ38egAvEIqgBCWLvtJqyND', 'width': 640}]",ChIJPyMp5OaheS4RyRMMb8vZEO4,"{'compound_code': '5F6M+R5 Keniten, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H5F6M+R5'}",3.7,ChIJPyMp5OaheS4RyRMMb8vZEO4,"['lodging', 'point_of_interest', 'establishment']",791,https://www.google.com/maps/place/?q=place_id:ChIJPyMp5OaheS4RyRMMb8vZEO4,
OPERATIONAL,"Jl. Soekarno Hatta No.315, Banyudono, Keniten, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63411, Indonesia","{'location': {'lat': -7.857198899999999, 'lng': 111.4687317}, 'viewport': {'northeast': {'lat': -7.855834470107278, 'lng': 111.4701623798927}, 'southwest': {'lat': -7.858534129892722, 'lng': 111.4674627201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Dirgahayu Ponorogo,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111951031162733500166"">A Google User</a>'], 'photo_reference': 'AUGGfZkz7Eb9i9nx5udvRAxuZpzBAp6Lmd-C7CU41flU3yfh6hsFQmc9mtnxt5NmZJlMGNWg08E9C_quYXe-jJhugfEIDCaiKNBmXv6bhrsed5LLGN0MtwPeRDNS5mt5Y2onpstiz6WkBIdP8hDavv8n45ciDbJd8-ul9W1QdntGUFYOR_3x', 'width': 4000}]",ChIJe6rxYgCfeS4RczCUAAaFiNY,"{'compound_code': '4FV9+4F Keniten, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FV9+4F'}",5.0,ChIJe6rxYgCfeS4RczCUAAaFiNY,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJe6rxYgCfeS4RczCUAAaFiNY,
OPERATIONAL,"Jalan Aloon - Aloon Selatan No.1, Pakunden, Ponorogo, Krajan, Pakunden, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63416, Indonesia","{'location': {'lat': -7.8721972, 'lng': 111.4630745}, 'viewport': {'northeast': {'lat': -7.870786270107278, 'lng': 111.4644199298927}, 'southwest': {'lat': -7.873485929892722, 'lng': 111.4617202701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ponorogo Permai - Hotel & Toserba,{'open_now': True},"[{'height': 1364, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109127569163212953409"">Ponorogo Permai - Hotel &amp; Toserba</a>'], 'photo_reference': 'AUGGfZlKlhWlNn-8EGqHGAyq6BXQqWwUi3bb9BmV3XQIO0xoG5do21sSHP-DUqUhhxFd4jq4EeaBMpO5_wfVt_pRCJRx0uhqQgBic_4t3aM3HxgveS3ZfJDA_DPqIKJRo2ymTjfUwVQXpQRwiCqIZIiEHkqMosenPYYmsZHkg3O0n0s8SB6s', 'width': 2048}]",ChIJYYQ-spqfeS4RHYymPNocvk0,"{'compound_code': '4FH7+46 Pakunden, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FH7+46'}",4.1,ChIJYYQ-spqfeS4RHYymPNocvk0,"['supermarket', 'clothing_store', 'lodging', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",1995,https://www.google.com/maps/place/?q=place_id:ChIJYYQ-spqfeS4RHYymPNocvk0,
OPERATIONAL,"Jl. Mayjen Sungkono No.41, Nambangan Kidul, Kec. Manguharjo, Kota Madiun, Jawa Timur 63128, Indonesia","{'location': {'lat': -7.639243399999999, 'lng': 111.5139499}, 'viewport': {'northeast': {'lat': -7.637759820107278, 'lng': 111.5153148798927}, 'southwest': {'lat': -7.640459479892722, 'lng': 111.5126152201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ASTON Madiun Hotel & Conference Center,{'open_now': True},"[{'height': 5448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102245945227697623790"">A Google User</a>'], 'photo_reference': 'AUGGfZkNt74K6XLAFyua8IDrQxT6Yol6wMzUfou2cDOemtYa9CGDexuTPGqebIDlvIRXEV8q0jdK5BhEuI5Ed9Y20m6sxETU1iZM9Chk3jcBhyE5Ik0JrT6Pwq5fXDfdmD6NriCsn8-vjucbWhU8ovjzusZQ_8UG-owCgqVwqip6eK_Kn8Y', 'width': 3744}]",ChIJG1VHqfjyaS4RNK8Z3voZ8KQ,"{'compound_code': '9G67+8H Nambangan Kidul, Madiun City, East Java, Indonesia', 'global_code': '6P4H9G67+8H'}",4.6,ChIJG1VHqfjyaS4RNK8Z3voZ8KQ,"['lodging', 'point_of_interest', 'establishment']",9747,https://www.google.com/maps/place/?q=place_id:ChIJG1VHqfjyaS4RNK8Z3voZ8KQ,
OPERATIONAL,"Jl. Subali No.6, Krajan, Kepatihan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63416, Indonesia","{'location': {'lat': -7.878345099999999, 'lng': 111.4683291}, 'viewport': {'northeast': {'lat': -7.877001820107276, 'lng': 111.4697834298927}, 'southwest': {'lat': -7.87970147989272, 'lng': 111.4670837701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SUBALI GUESTHOUSE & KOST,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115669942881340785323"">A Google User</a>'], 'photo_reference': 'AUGGfZnvMbIgS6e_WFxReEJ1Zjk3kb3kjr6MPVpEPWrgdayHIvlU0Drw4vDzW3w-Rn5PIeBeI2V4qRdFiV-9tUOP3du26tkMmUq6J_AtAcpAjGSV-zCQcv4bEzX2BaA8GG-XinqnHDKjm45Ra0jxfSgy8k1iCrKhpKkVlK7lYiPvaM218BGF', 'width': 4032}]",ChIJtaTSwQifeS4RnWIfvYr1YBk,"{'compound_code': '4FC9+M8 Kepatihan, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FC9+M8'}",4.7,ChIJtaTSwQifeS4RnWIfvYr1YBk,"['lodging', 'point_of_interest', 'establishment']",120,https://www.google.com/maps/place/?q=place_id:ChIJtaTSwQifeS4RnWIfvYr1YBk,
OPERATIONAL,"Jl. Karang Anyar No.3, Krajan, Kaibon, Kec. Geger, Kabupaten Madiun, Jawa Timur 40266, Indonesia","{'location': {'lat': -7.66406, 'lng': 111.5307471}, 'viewport': {'northeast': {'lat': -7.662613170107276, 'lng': 111.5318500798927}, 'southwest': {'lat': -7.66531282989272, 'lng': 111.5291504201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kali Catur Resort Hotel,{'open_now': True},"[{'height': 861, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103617108542593571404"">Kali Catur Resort Hotel</a>'], 'photo_reference': 'AUGGfZnE9jsSGpuB0MN-tw6nDIdmYKs8xPjrOthJQ3Ml5SwNDuE-mQ65K0FMf-oeopd8sflQQQVYx5pJGEVvUzH2TkuS1G4svNBSz5xScKuhgnR4lVelFVV-P30DAz0QKIPgM5lkDZEt48yDMdWR0OxVoURSj2e9DTjqMS8cT5a1UQx8kX8e', 'width': 1300}]",ChIJoaxrjMDneS4ROI2jaK3KUJ8,"{'compound_code': '8GPJ+98 Kaibon, Madiun Regency, East Java, Indonesia', 'global_code': '6P4H8GPJ+98'}",4.2,ChIJoaxrjMDneS4ROI2jaK3KUJ8,"['lodging', 'point_of_interest', 'establishment']",606,https://www.google.com/maps/place/?q=place_id:ChIJoaxrjMDneS4ROI2jaK3KUJ8,
OPERATIONAL,"Nologaten, Jl. Kh. Ahmad Dahlan No.62, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63582, Indonesia","{'location': {'lat': -7.864089300000001, 'lng': 111.4723442}, 'viewport': {'northeast': {'lat': -7.862566920107279, 'lng': 111.4737600298927}, 'southwest': {'lat': -7.865266579892722, 'lng': 111.4710603701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel La-Tiban - ꦭꦠꦶꦧꦤ꧀,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100274926085054751508"">Retno Pergiwati</a>'], 'photo_reference': 'AUGGfZlTStNIHPU4hgm9GIAuMlvVqYPqgu4In0aVySL5IjBd0veOsqIrxSwJupdL0nqnm4IQ6jEoZcPFkpDHEKjpaJeRH53lBHnOs316y20phiCswq4ZZlprMVjyqZiVGSxV0lCoQde0raz7a2OWWrxEvyPVt0oSvB9QIa1l3jmCEsrk6Bxd', 'width': 4608}]",ChIJnadbNoCfeS4R9dVi4Geef8w,"{'compound_code': '4FPC+9W Bangunsari, Ponorogo Regency, East Java, Indonesia', 'global_code': '6P4H4FPC+9W'}",4.0,ChIJnadbNoCfeS4R9dVi4Geef8w,"['lodging', 'point_of_interest', 'establishment']",406,https://www.google.com/maps/place/?q=place_id:ChIJnadbNoCfeS4R9dVi4Geef8w,
