business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url,permanently_closed,price_level
OPERATIONAL,"Jalur, Jl. Jenderal Sudirman No.20, Kaumanpasar, Brebes, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52212, Indonesia","{'location': {'lat': -6.8739082, 'lng': 109.0433335}, 'viewport': {'northeast': {'lat': -6.872638270107278, 'lng': 109.0446774298927}, 'southwest': {'lat': -6.875337929892722, 'lng': 109.0419777701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Dian Hotel Brebes,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106477746240578502510"">A Google User</a>'], 'photo_reference': 'AUGGfZlw7HZqJnpW2ZdZ0dj6N6xvU_DsZc0aNymk6mkLUtDiN5ds00iP-Q4hTjXud1LlSNChwu49chI9Qe5MlAxlKyhwNeYJPRG4Qkcp2SgdO0hKMyKe3IEdw0SD8-2xpZ-fePg1ls_dUh1WcHu1q8GGg6PUJII8vCCQ2oKc3bvrTYil-8S7', 'width': 5184}]",ChIJddLTW4C6by4Re_5JgBb3QX4,"{'compound_code': '42GV+C8 Brebes, Brebes Regency, Central Java, Indonesia', 'global_code': '6P5F42GV+C8'}",4.5,ChIJddLTW4C6by4Re_5JgBb3QX4,"['lodging', 'point_of_interest', 'establishment']",2822,https://www.google.com/maps/place/?q=place_id:ChIJddLTW4C6by4Re_5JgBb3QX4,,
OPERATIONAL,"Jl. A. Yani No.159, Ketanggungan, Kec. Ketanggungan, Kabupaten Brebes, Jawa Tengah 52263, Indonesia","{'location': {'lat': -6.9396261, 'lng': 108.8921025}, 'viewport': {'northeast': {'lat': -6.938339070107278, 'lng': 108.8933994798927}, 'southwest': {'lat': -6.941038729892722, 'lng': 108.8906998201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Anggraeni Hotel Ketanggungan,,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110652126901993749847"">Kofal Nursidin</a>'], 'photo_reference': 'AUGGfZlMh0qE3zS7t9qEhXhyKpDPWPSg7PjnU_ZP-Dpco3TudlV79VjEP08XKGyF0ZuM2TAHYP4wSxjKha6W0G4fAlGB1Hnl9b3vQ-X-i2YS1JI82aN05tmcHEVZ1K8_O3kf6EfJ-KO_eJOvFSFYs49u81GaOfv6KrweLnwY4pPD08n6ZqDM', 'width': 4624}]",ChIJYcR5D3-6by4ROzkwuLmaLSM,"{'compound_code': '3V6R+5R Ketanggungan, Brebes Regency, Central Java, Indonesia', 'global_code': '6P5C3V6R+5R'}",3.9,ChIJYcR5D3-6by4ROzkwuLmaLSM,"['lodging', 'point_of_interest', 'establishment']",924,https://www.google.com/maps/place/?q=place_id:ChIJYcR5D3-6by4ROzkwuLmaLSM,,
OPERATIONAL,"Jl. Raya Pejagan - Ketanggungan, Kedawung, Kec. Tj., Kabupaten Brebes, Jawa Tengah 52264, Indonesia","{'location': {'lat': -6.9002225, 'lng': 108.8875791}, 'viewport': {'northeast': {'lat': -6.898827120107279, 'lng': 108.8890623298927}, 'southwest': {'lat': -6.901526779892722, 'lng': 108.8863626701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,GA. INN HOTEL EXIT TOL PEJAGAN,,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106006486391398887925"">A Google User</a>'], 'photo_reference': 'AUGGfZnRleXUlgej6ffqWaVHFopP0h0Piqe4yxy0VePve-y4WXX6Q5h90ep7-tW6JeUVm5Og-ZOOrMr-XNvt5baLJ9QTOJshWDVdZ_oAwuFjgF5j-DtojRMzmGhFz1lEXGJeZPkJeCR7iC6cI--_XjUWTmQKsMwvlDhz0dekoJc74wqF7OY_', 'width': 1069}]",ChIJ74lsnyanby4RYDI2G9W019I,"{'compound_code': '3VXQ+W2 Kedawung, Brebes Regency, Central Java, Indonesia', 'global_code': '6P5C3VXQ+W2'}",4.9,ChIJ74lsnyanby4RYDI2G9W019I,"['lodging', 'point_of_interest', 'establishment']",116,https://www.google.com/maps/place/?q=place_id:ChIJ74lsnyanby4RYDI2G9W019I,,
OPERATIONAL,"Jl. Cendrawasih No.304, Sawah,Ladang, Tanjung, Brebes, Kabupaten Brebes, Jawa Tengah 35128, Indonesia","{'location': {'lat': -6.875381399999999, 'lng': 108.8671999}, 'viewport': {'northeast': {'lat': -6.873818170107278, 'lng': 108.8685583798927}, 'southwest': {'lat': -6.876517829892722, 'lng': 108.8658587201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Anggraeni Hotel Tanjung,,"[{'height': 532, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113978674681150155154"">Windra Netwelliya dilla</a>'], 'photo_reference': 'AUGGfZnd0pTZNC2YIgMXR3L48j4CXwB8DwFeBb5e6DJjaMVa9Sw6W-k6xEF-6LfM5hRs2dWdcc64Q30IgvqchCYhB5S-4z1ArPj5Z0auqb2Yu_ZqV-ouMdg1hbJW1Hi6wAK2bPio2U1Qpm9Ssm9HgcS2mp_BowEIkWpfJm7cBqPNDvXmXy0d', 'width': 1152}]",ChIJ0ccgP3yoby4Rr5FjLTLXmuo,"{'compound_code': '4VF8+RV Tanjung, Brebes Regency, Central Java, Indonesia', 'global_code': '6P5C4VF8+RV'}",3.7,ChIJ0ccgP3yoby4Rr5FjLTLXmuo,"['lodging', 'point_of_interest', 'establishment']",555,https://www.google.com/maps/place/?q=place_id:ChIJ0ccgP3yoby4Rr5FjLTLXmuo,,
OPERATIONAL,"Jl. Pangeran Diponegoro, Sitanggal, Kec. Larangan, Kabupaten Brebes, Jawa Tengah 52262, Indonesia","{'location': {'lat': -6.9470952, 'lng': 108.9651449}, 'viewport': {'northeast': {'lat': -6.945664670107277, 'lng': 108.9665024798927}, 'southwest': {'lat': -6.948364329892721, 'lng': 108.9638028201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Guest House Syariah LP3B Brebes RedPartner,{'open_now': True},"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117384928485036274753"">server scada</a>'], 'photo_reference': 'AUGGfZnyCgB8552Bhzi3TVNAijlXv2xi5807b6kdcL7q_Fgxm6WbRZGCBgoL7XRpsWRfJpWvm2SwGH2JupAfrG2WaAk7MSxIc7-A8-KL0r5AQTWVp7s9pAUzDw8I93MwTU-P-Fd-PJxjRO0Fb4MJue1S6tN2V0ct4lSWWnInejRCP9f6-2iI', 'width': 4160}]",ChIJWS-Rfo-lby4RDgXhuEh2Au0,"{'compound_code': '3X38+53 Sitanggal, Brebes Regency, Central Java, Indonesia', 'global_code': '6P5C3X38+53'}",4.1,ChIJWS-Rfo-lby4RDgXhuEh2Au0,"['lodging', 'point_of_interest', 'establishment']",56,https://www.google.com/maps/place/?q=place_id:ChIJWS-Rfo-lby4RDgXhuEh2Au0,,
OPERATIONAL,"Jl. Nasional 1 No.12, Cimohong, Kec. Bulakamba, Kabupaten Brebes, Jawa Tengah 52253, Indonesia","{'location': {'lat': -6.871795499999999, 'lng': 108.8999486}, 'viewport': {'northeast': {'lat': -6.870379720107278, 'lng': 108.9013053298927}, 'southwest': {'lat': -6.873079379892721, 'lng': 108.8986056701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz @ Putri Syariah Brebes,,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117374471393493505448"">A Google User</a>'], 'photo_reference': 'AUGGfZlr0PpczPN7M1_pg4PPfcZF0Mi5nAwMZ57gKLD8XAtQtCTfWrwd7ymbLCbUlds5EvrAt5L4Yr2oa7ZvyjlAnh4NmiOwnp_FSZ5aqNiYxtErEsIaNXiUya5dmLqybWD1QCF8CfyKbnzh3KHMTooWPfVquNbUPrCXTyjAdeWybOmAj-zI', 'width': 900}]",ChIJ3wnq6sKpby4Rk3OXI20Wlzc,"{'compound_code': '4VHX+7X Cimohong, Brebes Regency, Central Java, Indonesia', 'global_code': '6P5C4VHX+7X'}",4.3,ChIJ3wnq6sKpby4Rk3OXI20Wlzc,"['lodging', 'point_of_interest', 'establishment']",4,https://www.google.com/maps/place/?q=place_id:ChIJ3wnq6sKpby4Rk3OXI20Wlzc,,
OPERATIONAL,"1 Jl. Nasional 1, Cimohong, Kec. Bulakamba, Jawa Tengah, Brebes Regency, Central Java 52253, Indonesia","{'location': {'lat': -6.871931699999999, 'lng': 108.8997371}, 'viewport': {'northeast': {'lat': -6.870457920107278, 'lng': 108.9011008298927}, 'southwest': {'lat': -6.873157579892721, 'lng': 108.8984011701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SPOT ON 2027 Putri Guest House Syariah,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112261907757531993212"">A Google User</a>'], 'photo_reference': 'AUGGfZnqJZyrA6lH0vAaw0WWbp2m9xyWnEbwb2XIl7-6Ly9hzgut_quz3KLCp16y4N-RsfdNVbtvFLN16OJaaPhZ2m-9f-tSjNYB3mFF47abDJkp7hfYdMEGccC3WDQ1haXDQ9BapvFe1Hc_gTbtkatYi2IlF_AUdt1K_za_6z7bv8lWQc0P', 'width': 759}]",ChIJ-RQ4GOupby4R73mikVZht6I,"{'compound_code': '4VHX+6V Cimohong, Brebes Regency, Central Java, Indonesia', 'global_code': '6P5C4VHX+6V'}",3.8,ChIJ-RQ4GOupby4R73mikVZht6I,"['lodging', 'point_of_interest', 'establishment']",294,https://www.google.com/maps/place/?q=place_id:ChIJ-RQ4GOupby4R73mikVZht6I,,
OPERATIONAL,"Jl. Merdeka Barat, Ciledug Kulon, Kec. Ciledug, Kabupaten Cirebon, Jawa Barat 45188, Indonesia","{'location': {'lat': -6.9068479, 'lng': 108.7407017}, 'viewport': {'northeast': {'lat': -6.905417470107277, 'lng': 108.7420458298927}, 'southwest': {'lat': -6.908117129892721, 'lng': 108.7393461701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Dedy Jaya Hotel Ciledug,{'open_now': True},"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114122762512022636554"">A Google User</a>'], 'photo_reference': 'AUGGfZmyapr9S5iyJOd5kCjmheRGtNl5O2rLpEt9YDsyPJSOS4abbdyyYG8v2beTAOnD1nV6e0qEA01lxbtnBSuXkEhmk3-KC8LvfULifW3RttVHczuAo0SPxuoYXrFFJ7poEqeBF8djKqGnD57RLBYXH_HWNbBJG_-33pqvOp2_IMcZfZDx', 'width': 1440}]",ChIJtZv2V2MJby4RbP0zs_IKNqE,"{'compound_code': '3PVR+77 Ciledug Kulon, Cirebon, West Java, Indonesia', 'global_code': '6P5C3PVR+77'}",4.2,ChIJtZv2V2MJby4RbP0zs_IKNqE,"['lodging', 'point_of_interest', 'establishment']",476,https://www.google.com/maps/place/?q=place_id:ChIJtZv2V2MJby4RbP0zs_IKNqE,,
OPERATIONAL,"Jl. Raya Bulakamba No. 7, Bulakamba, Sirandu, Bulakamba, Kec. Bulakamba, Kabupaten Brebes, Jawa Tengah 52253, Indonesia","{'location': {'lat': -6.873323, 'lng': 108.9419388}, 'viewport': {'northeast': {'lat': -6.871973170107278, 'lng': 108.9432886298927}, 'southwest': {'lat': -6.874672829892722, 'lng': 108.9405889701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sallsa Hotel,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101441178037618214813"">A Google User</a>'], 'photo_reference': 'AUGGfZmTvClLzAKNUMXEmDJQ63oUho3KkOLvm9NODZQfPHeUM0Ri1mLYnVKSPzKQBQVso1d9dFTHHAoT6BCOhNT4CM6jfDOoUnqAmVYdTfCowhTxqgE_51yDkstThiRQXu2DyOo4aVBpUqw52a68dPSs8jiJpwRQmnFMCvUR70ETEBDShV5t', 'width': 4160}]",ChIJR1m46H-vby4R-6txW1A_wVU,"{'compound_code': '4WGR+MQ Bulakamba, Brebes Regency, Central Java, Indonesia', 'global_code': '6P5C4WGR+MQ'}",3.8,ChIJR1m46H-vby4R-6txW1A_wVU,"['lodging', 'point_of_interest', 'establishment']",367,https://www.google.com/maps/place/?q=place_id:ChIJR1m46H-vby4R-6txW1A_wVU,,
OPERATIONAL,"Gg. Sempit, Ciledug Tengah, Kec. Ciledug, Kabupaten Cirebon, Jawa Barat 45188, Indonesia","{'location': {'lat': -6.9048267, 'lng': 108.7508434}, 'viewport': {'northeast': {'lat': -6.903478020107277, 'lng': 108.7521967798927}, 'southwest': {'lat': -6.906177679892721, 'lng': 108.7494971201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sasarengan village,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100063321948858033455"">A Google User</a>'], 'photo_reference': 'AUGGfZkv6lOnFZivtlShw42jPIE0jCSKOfh3iWq2zKpe7ulGZ7Q6yfxiDYXAjl-LFLRN0be5CzXAm8Nf5-h6nzkxk9MU5S77T8kE2QsrlCeiJCRGSAAyLLJv106mvku9Ea0uNwTAB4JNCa12TEnCN0ojc2-Sy3E-0OFyw4_919ZtC-sF3fZQ', 'width': 3120}]",ChIJhd1xWUsJby4RWKyoRVVOM_g,"{'compound_code': '3QW2+39 Central Ciledug, Cirebon, West Java, Indonesia', 'global_code': '6P5C3QW2+39'}",4.8,ChIJhd1xWUsJby4RWKyoRVVOM_g,"['lodging', 'point_of_interest', 'establishment']",8,https://www.google.com/maps/place/?q=place_id:ChIJhd1xWUsJby4RWKyoRVVOM_g,,
