business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url,price_level,permanently_closed
OPERATIONAL,"Area Sawah, Pendowoharjo, Sewon, Bantul Regency, Special Region of Yogyakarta 55186, Indonesia","{'location': {'lat': -7.8613028, 'lng': 110.3310346}, 'viewport': {'northeast': {'lat': -7.859888570107278, 'lng': 110.3323875298927}, 'southwest': {'lat': -7.862588229892722, 'lng': 110.3296878701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,JOGLOPARI Guesthouse (Bukan utk pasangan non-pasutri),"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116886239694068753097"">Febi Ariyanto</a>'], 'photo_reference': 'AUGGfZmEgEj3UcRbyNZXxKY1OLhXHZwOYMwMiVhQqvv8Y_gIXpAwsku3cpVg19LfVmbXpjaKPIJkabDGZ8USueJtCc-jO4CWF_BuJu2dxhp7kxcZiSM-bClhIVP6KgFC9dwPxb2lVvDZgVmwVu58R1PwYdSoC7veYC2-LcXsqjBPwEUafyOy', 'width': 4624}]",ChIJv8Kf4GdXei4Rq8qyvUSZCy8,"{'compound_code': '48QJ+FC Pendowoharjo, Bantul Regency, Special Region of Yogyakarta, Indonesia', 'global_code': '6P4G48QJ+FC'}",4.9,ChIJv8Kf4GdXei4Rq8qyvUSZCy8,"['lodging', 'point_of_interest', 'establishment']",33,,https://www.google.com/maps/place/?q=place_id:ChIJv8Kf4GdXei4Rq8qyvUSZCy8,,
OPERATIONAL,"Jl. Tugu Gentong, Sambikerep, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184, Indonesia","{'location': {'lat': -7.8401782, 'lng': 110.287045}, 'viewport': {'northeast': {'lat': -7.838821270107278, 'lng': 110.2885007298927}, 'southwest': {'lat': -7.841520929892722, 'lng': 110.2858010701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RAJAKLANA Resort And Spa Jogja,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113776100084635926728"">Richo Pratama</a>'], 'photo_reference': 'AUGGfZl5bivAYMzJQOdUutFYyhKla5hZSSlFich48hWnQr64RaUFJtQXgdUHeaz1AtzjfVTrmcQJtTLywsPOf1DBUdIuUS0_hWt1sNN6QrqEPK5tWrqLMOluKPC4im-9T5DhZ8wL1q5TU83MwVN5YFQ-ZVJlreJ_6j8vPSBV9Wt_HvuExmMJ', 'width': 2448}]",ChIJg0Hvv034ei4R2KSqFloIM_4,"{'compound_code': '575P+WR Bangunjiwo, Bantul Regency, Special Region of Yogyakarta, Indonesia', 'global_code': '6P4G575P+WR'}",4.6,ChIJg0Hvv034ei4R2KSqFloIM_4,"['lodging', 'point_of_interest', 'establishment']",827,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJg0Hvv034ei4R2KSqFloIM_4,,
OPERATIONAL,"Jl. Samas Kuwaru, Kalimundu, Gadingharjo, Kec. Sanden, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55763, Indonesia","{'location': {'lat': -7.977988799999999, 'lng': 110.2688281}, 'viewport': {'northeast': {'lat': -7.976571420107279, 'lng': 110.2701841798927}, 'southwest': {'lat': -7.979271079892722, 'lng': 110.2674845201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Puri Brata,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103531863890343117970"">rama rendra prayoga</a>'], 'photo_reference': 'AUGGfZlgtL4GOoZ1RE-EzmVRsbg5DiZF7_WglgiI99rhDIG2FOjU-7P-n1KsJ3YHotiTKlpyFFw9_cwYiZ4RFEIEyn7ekimqFHwQWB-5nmdhJbM-Z1gj6M601EekWmaX5xoJCl7Hg_Gk8PHVMV0uisHa1SMSiJ1xar1W9b4AFF7D4xQteX-U', 'width': 4624}]",ChIJ0-E457gBey4RUC2Zw36qG6A,"{'compound_code': '27C9+RG Gadingharjo, Bantul Regency, Special Region of Yogyakarta, Indonesia', 'global_code': '6P4G27C9+RG'}",4.5,ChIJ0-E457gBey4RUC2Zw36qG6A,"['lodging', 'point_of_interest', 'establishment']",260,,https://www.google.com/maps/place/?q=place_id:ChIJ0-E457gBey4RUC2Zw36qG6A,,
OPERATIONAL,"579Q+F32, Jl. Lembah Wisata, Gn. Salam, Balecatur, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55295, Indonesia","{'location': {'lat': -7.831364799999999, 'lng': 110.2876283}, 'viewport': {'northeast': {'lat': -7.830019570107277, 'lng': 110.2889175298927}, 'southwest': {'lat': -7.832719229892721, 'lng': 110.2862178701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ARKAMAYA KUSUMA,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112660337440150777187"">A Google User</a>'], 'photo_reference': 'AUGGfZnWaAi65y8xegmkh2qmDz06b7sQzWTmRDDQUkl9Eq2lvSHOz2fzby6uyUF5YK2bZoqSpWwlUzp7bh4eTODfLqdUutacYAdh7P6-T6kmtGerk_y8h6Akxnj9MNqBB5PSmLchpGZGY9qfouKS44CEtQnkrmsEXv45uSE6yZhMnzxGqr8K', 'width': 6000}]",ChIJ3XvfcuD5ei4RHbgyKCdbjFc,,4.6,ChIJ3XvfcuD5ei4RHbgyKCdbjFc,"['lodging', 'point_of_interest', 'establishment']",437,,https://www.google.com/maps/place/?q=place_id:ChIJ3XvfcuD5ei4RHbgyKCdbjFc,,
OPERATIONAL,"Sembungan, Bangunjiwo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184, Indonesia","{'location': {'lat': -7.8383559, 'lng': 110.3321203}, 'viewport': {'northeast': {'lat': -7.837030070107278, 'lng': 110.3335404298927}, 'southwest': {'lat': -7.839729729892722, 'lng': 110.3308407701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,De Nilaya Jogja,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101415418123459956629"">A Google User</a>'], 'photo_reference': 'AUGGfZng8D1Ubnkd5TTPxzHWwcKrogZgjg9_jFFUNlbLbSXemIijhb3zwHtBdXHzdRaiQu0tm9OVWjKA-_KsytjDvrU_OE6qeTnkJ4ioFw3tDk6WS55xXBecjLJKqVsgDI4Enr5WmaQ6paCxF47sDJ8oOjWbftKLbqY_Sd1BKiuz0sRV_GES', 'width': 1440}]",ChIJ381fHEtXei4R6j0h2iPDYtQ,"{'compound_code': '586J+MR Bangunjiwo, Bantul Regency, Special Region of Yogyakarta, Indonesia', 'global_code': '6P4G586J+MR'}",4.4,ChIJ381fHEtXei4R6j0h2iPDYtQ,"['lodging', 'point_of_interest', 'establishment']",36,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ381fHEtXei4R6j0h2iPDYtQ,,
OPERATIONAL,"X8GR+Q3Q, Parang Reja, Girijati, Kec. Purwosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55872, Indonesia","{'location': {'lat': -8.0240159, 'lng': 110.3400905}, 'viewport': {'northeast': {'lat': -8.022401220107277, 'lng': 110.3413928798927}, 'southwest': {'lat': -8.02510087989272, 'lng': 110.3386932201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,D'Girijati Hotel & Resort,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101912660977689682107"">Mulianto Raharjo</a>'], 'photo_reference': 'AUGGfZneQasS04I4qJbT8V76Sbo27UvEx2eovUkOZvfVJryfnMXHzJnJ5vIL9H0QG04_SGNVhsIEfASb-iaC6_9M7NSR2G0MaHDMbXVG6vWT7tHUuj29xR7ZujWcbuDxUyso9bhu-Sy2pmETrJNpd1j1SciXBqYgNW3n-HojZBIzYOgT4-Fl', 'width': 4000}]",ChIJWcdux3Krey4R86XKR-Ljy60,,4.2,ChIJWcdux3Krey4R86XKR-Ljy60,"['lodging', 'point_of_interest', 'establishment']",126,,https://www.google.com/maps/place/?q=place_id:ChIJWcdux3Krey4R86XKR-Ljy60,,
OPERATIONAL,"Jl. Plataran No. 47, Plataran, Sembungan RT. 01, Sembungan, Bangunjiwo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184, Indonesia","{'location': {'lat': -7.835507799999999, 'lng': 110.34004}, 'viewport': {'northeast': {'lat': -7.834148120107277, 'lng': 110.3413733798927}, 'southwest': {'lat': -7.836847779892721, 'lng': 110.3386737201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,UPALA,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116314756580543142242"">Anugrah Wirawan</a>'], 'photo_reference': 'AUGGfZmVQGSnP-T87S6bYa0L8J0YEcBELbQk2vReKRcxoOY4XziZrY9BLWw45_XL4hgax93Mo-Uj3zAYqmIzzRTOnlAMG-uEfKOJlTIvLE9S9IaA2sW8-_XAOZwtiJ3FhpoK6qMd9SuT-j1_Cmne2I3QZ12-UifB30-lkYraOPbd3ldMUa7E', 'width': 3024}]",ChIJx45_VtJXei4RUndkdpTJPmA,"{'compound_code': '587R+Q2 Bangunjiwo, Bantul Regency, Special Region of Yogyakarta, Indonesia', 'global_code': '6P4G587R+Q2'}",4.7,ChIJx45_VtJXei4RUndkdpTJPmA,"['lodging', 'point_of_interest', 'establishment']",181,,https://www.google.com/maps/place/?q=place_id:ChIJx45_VtJXei4RUndkdpTJPmA,,
OPERATIONAL,"Mancingan, Parangtritis, Kretek, Bantul Regency, Special Region of Yogyakarta 55772, Indonesia","{'location': {'lat': -8.0198809, 'lng': 110.3333604}, 'viewport': {'northeast': {'lat': -8.01868262010728, 'lng': 110.3346987298927}, 'southwest': {'lat': -8.021382279892723, 'lng': 110.3319990701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa Alcheringa,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116166462782037841219"">A Google User</a>'], 'photo_reference': 'AUGGfZlza8PkEY5qCch_mu2DIX0ic4dGMpN2NnPHRCQlAEXmjOfb2hfQh5b9XAa8TcBg6qIWRR8x_jgwNeQ5wqPAxo7uJBVoY-Ez19cYslDYmR_80Y2vSAt0eqtvvzCeBDJFYHMDuNTIf3xw5_-AVzCe27uiLkWPSlJEm9rSNEDqKv0eXy51', 'width': 2048}]",ChIJFQ6Y0XWqey4RegCByZD0To8,"{'compound_code': 'X8JM+28 Parangtritis, Bantul Regency, Special Region of Yogyakarta, Indonesia', 'global_code': '6P3GX8JM+28'}",4.3,ChIJFQ6Y0XWqey4RegCByZD0To8,"['tourist_attraction', 'point_of_interest', 'establishment']",347,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJFQ6Y0XWqey4RegCByZD0To8,,
OPERATIONAL,"Sundi Kidul RT29, Argorejo, Yogyakarta, Daerah Istimewa Yogyakarta 55752, Indonesia","{'location': {'lat': -7.824245700000001, 'lng': 110.2511002}, 'viewport': {'northeast': {'lat': -7.822901220107278, 'lng': 110.2524491798927}, 'southwest': {'lat': -7.825600879892722, 'lng': 110.2497495201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dandaman Villa,"[{'height': 1816, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115712291555711599743"">A Google User</a>'], 'photo_reference': 'AUGGfZkFrrhs85awGDe3xhyE7CaXGtJsvO5UHrAIg_8GLorqewp1Gut2KaH1h907suz7C8KTWuhp5rDqnLkRxJRsLx0kO5Hb8W4ZxfgSlmpaJL2ZYyp08YFrPNbN5QNDrbihNGs7IVb84L39vVnIshj2glvEYCz-1Pocy9a5NHAal_YxNtOe', 'width': 4032}]",ChIJ3WhaAWz5ei4RDD-shjVIDks,"{'compound_code': '57G2+8C Argorejo, Bantul Regency, Special Region of Yogyakarta, Indonesia', 'global_code': '6P4G57G2+8C'}",5.0,ChIJ3WhaAWz5ei4RDD-shjVIDks,"['point_of_interest', 'establishment']",17,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ3WhaAWz5ei4RDD-shjVIDks,,
OPERATIONAL,"Kajen, Bangunjiwo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184, Indonesia","{'location': {'lat': -7.8472607, 'lng': 110.3363548}, 'viewport': {'northeast': {'lat': -7.846006070107277, 'lng': 110.3376703298927}, 'southwest': {'lat': -7.848705729892721, 'lng': 110.3349706701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Djawata Resort,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106411690951533317471"">A Google User</a>'], 'photo_reference': 'AUGGfZlQiVM9oH9Zp-RsRAfQYa4HqjweKzf6M7uqPjf-W969GoF7MsbeM1HbDGFWR3NcUfHmCzzu5UdK7wAsJoT_8TPHexGf9rkTUdgTZ7MU7_N2CT8uRE4Z9J-9DYkOXYzaEizmh1LZ56DVRd2WeO4UYhhxFID9HwpQ7J6NXQgE0FbJzivA', 'width': 2268}]",ChIJgcsdN4dXei4Rs0-JtoP9AzE,"{'compound_code': '583P+4G Bangunjiwo, Bantul Regency, Special Region of Yogyakarta, Indonesia', 'global_code': '6P4G583P+4G'}",4.9,ChIJgcsdN4dXei4Rs0-JtoP9AzE,"['lodging', 'point_of_interest', 'establishment']",131,,https://www.google.com/maps/place/?q=place_id:ChIJgcsdN4dXei4Rs0-JtoP9AzE,,
