name,reviews,main_category,categories,rating,address,link,coordinates
The Alana Malioboro,20462,Hotel,"[""Hotel"", ""Hotel Resor"", ""Restoran""]",4.7,"Jl. Mayjend Sutoyo No.52, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",https://www.google.com/maps/place/The+Alana+Malioboro/data=!4m10!3m9!1s0x2e7a5797932b1d35:0xa06778b409acb18c!5m2!4m1!1i2!8m2!3d-7.8152832!4d110.3655853!16s%2Fg%2F11b6xgmlvf!19sChIJNR0rk5dXei4RjLGsCbR4Z6A?authuser=0&hl=id&rclk=1,"{""latitude"": -7.8152832, ""longitude"": 110.36558529999999}"
Royal Ambarrukmo Yogyakarta,20014,Hotel,"[""Hotel"", ""Pusat Konferensi"", ""Bangunan pusaka"", ""Bar Dengan Pentas Musik"", ""Restoran"", ""Spa"", ""Kolam Renang"", ""Gedung Pernikahan""]",4.8,"Jl. Laksda Adisucipto No.81, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",https://www.google.com/maps/place/Royal+Ambarrukmo+Yogyakarta/data=!4m10!3m9!1s0x2e7a59e82583c5f9:0x8decbfc296a4eef2!5m2!4m1!1i2!8m2!3d-7.7823772!4d110.403051!16s%2Fg%2F12cnt2dhc!19sChIJ-cWDJehZei4R8u6klsK_7I0?authuser=0&hl=id&rclk=1,"{""latitude"": -7.7823772, ""longitude"": 110.40305099999999}"
Hotel Tentrem Yogyakarta,16247,Hotel,"[""Hotel""]",4.8,"Jl. P. Mangkubumi No.72A, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",https://www.google.com/maps/place/Hotel+Tentrem+Yogyakarta/data=!4m10!3m9!1s0x2e7a58485d4d2de1:0x59986450d810f006!5m2!4m1!1i2!8m2!3d-7.7738153!4d110.3684775!16s%2Fg%2F11b62_8rf6!19sChIJ4S1NXUhYei4RBvAQ2FBkmFk?authuser=0&hl=id&rclk=1,"{""latitude"": -7.7738153, ""longitude"": 110.3684775}"
Eastparc Hotel Yogyakarta,14228,Hotel,"[""Hotel""]",4.7,"Jalan Laksda Adisucipto KM. 6.5 No.1, Ngentak, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",https://www.google.com/maps/place/Eastparc+Hotel+Yogyakarta/data=!4m10!3m9!1s0x2e7a59ef2e577697:0x47fac60081fb7e01!5m2!4m1!1i2!8m2!3d-7.7815236!4d110.4087306!16s%2Fg%2F11b63g4lb_!19sChIJl3ZXLu9Zei4RAX77gQDG-kc?authuser=0&hl=id&rclk=1,"{""latitude"": -7.7815236, ""longitude"": 110.4087306}"
THE 1O1 Yogyakarta Tugu,11191,Hotel,"[""Hotel""]",4.7,"THE 1O1 Yogyakarta, Jl. Margo Utomo No.103, Tugu, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",https://www.google.com/maps/place/THE+1O1+Yogyakarta+Tugu/data=!4m10!3m9!1s0x2e7a582ff893cce3:0x8bf559a1e440274!5m2!4m1!1i2!8m2!3d-7.7841438!4d110.3667813!16s%2Fg%2F11b6sv2d8x!19sChIJ48yT-C9Yei4RdAJEHppVvwg?authuser=0&hl=id&rclk=1,"{""latitude"": -7.7841438, ""longitude"": 110.3667813}"
Hotel Neo Malioboro,10642,Hotel,"[""Hotel"", ""Tempat Acara"", ""Restoran"", ""Gedung Pernikahan""]",4.5,"Jl. Ps. Kembang No.21, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://www.google.com/maps/place/Hotel+Neo+Malioboro/data=!4m10!3m9!1s0x2e7a5825c6f74639:0xe98585e928f8d15f!5m2!4m1!1i2!8m2!3d-7.7900488!4d110.3646028!16s%2Fg%2F11b6__59vj!19sChIJOUb3xiVYei4RX9H4KOmFhek?authuser=0&hl=id&rclk=1,"{""latitude"": -7.790048799999999, ""longitude"": 110.3646028}"
Grand Rohan Jogja,8662,Hotel,"[""Hotel""]",4.7,"Jl. Raya Janti Jl. Gedongkuning No.336, Modalan, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198",https://www.google.com/maps/place/Grand+Rohan+Jogja/data=!4m10!3m9!1s0x2e7a575e66a63a7d:0xa97df616aa256612!5m2!4m1!1i2!8m2!3d-7.7982379!4d110.4051231!16s%2Fg%2F11cn5qy0b0!19sChIJfTqmZl5Xei4REmYlqhb2fak?authuser=0&hl=id&rclk=1,"{""latitude"": -7.798237899999999, ""longitude"": 110.4051231}"
Swiss-Belboutique Yogyakarta,8289,Hotel,"[""Hotel""]",4.8,"Jl. Jend. Sudirman No.69, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",https://www.google.com/maps/place/Swiss-Belboutique+Yogyakarta/data=!4m10!3m9!1s0x2e7a58324bc7e19d:0x562b01bea9f581d1!5m2!4m1!1i2!8m2!3d-7.7826075!4d110.3742378!16s%2Fg%2F11cn13wwmh!19sChIJneHHSzJYei4R0YH1qb4BK1Y?authuser=0&hl=id&rclk=1,"{""latitude"": -7.782607499999999, ""longitude"": 110.37423779999999}"
Cavinton Hotel Yogyakarta by Tritama Hospitality,6394,Hotel,"[""Hotel""]",4.5,"Jl. Letjen Suprapto No.1, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261",https://www.google.com/maps/place/Cavinton+Hotel+Yogyakarta+by+Tritama+Hospitality/data=!4m10!3m9!1s0x2e7a578b1f3ac801:0x9937f45109b57c4!5m2!4m1!1i2!8m2!3d-7.8008378!4d110.356035!16s%2Fg%2F11b5pkc6t6!19sChIJAcg6H4tXei4RxFebEEV_kwk?authuser=0&hl=id&rclk=1,"{""latitude"": -7.8008378, ""longitude"": 110.35603499999999}"
Hotel New Saphir Yogyakarta,5477,Hotel,"[""Hotel""]",4.4,"Jl. Laksda Adisucipto No.38, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55221",https://www.google.com/maps/place/Hotel+New+Saphir+Yogyakarta/data=!4m10!3m9!1s0x2e7a59c5437d7bb7:0xf29e2dc0f7012891!5m2!4m1!1i2!8m2!3d-7.783555!4d110.391437!16s%2Fg%2F1hm2rlrk1!19sChIJt3t9Q8VZei4RkSgB98AtnvI?authuser=0&hl=id&rclk=1,"{""latitude"": -7.783555, ""longitude"": 110.391437}"
