name,reviews,main_category,categories,rating,address,link,coordinates
The Margo Hotel Depok,11167,Hotel,"[""Hotel""]",4.6,"Jl. Margonda No.358, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16424",https://www.google.com/maps/place/The+Margo+Hotel+Depok/data=!4m10!3m9!1s0x2e69ec0e48e3fcef:0xa32b5205cfd6ef6!5m2!4m1!1i2!8m2!3d-6.3719578!4d106.833642!16s%2Fg%2F11b66k1h4s!19sChIJ7_zjSA7saS4R9m79XCC1Mgo?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3719578, ""longitude"": 106.833642}"
Hotel Bumi Wiyata,6553,Hotel,"[""Hotel""]",4.3,"Jl. Margonda No.281, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423",https://www.google.com/maps/place/Hotel+Bumi+Wiyata/data=!4m10!3m9!1s0x2e69ec0869e31b4f:0xaa40278d69385917!5m2!4m1!1i2!8m2!3d-6.3791427!4d106.8300285!16s%2Fg%2F1tfd9wg6!19sChIJTxvjaQjsaS4RF1k4aY0nQKo?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3791427, ""longitude"": 106.8300285}"
favehotel Margonda - Depok,5247,Hotel,"[""Hotel"", ""Restoran""]",4.5,"Jl. Margonda, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423",https://www.google.com/maps/place/favehotel+Margonda+-+Depok/data=!4m10!3m9!1s0x2e69ebfa4fda5249:0xe9cb66f39204f122!5m2!4m1!1i2!8m2!3d-6.3880242!4d106.827413!16s%2Fg%2F11c5r4yr0b!19sChIJSVLaT_rraS4RIvEEkvNmy-k?authuser=0&hl=id&rclk=1,"{""latitude"": -6.388024199999999, ""longitude"": 106.82741299999999}"
Savero Hotel Depok,4929,Hotel,"[""Hotel""]",4.5,"Jl. Margonda No.230A, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423",https://www.google.com/maps/place/Savero+Hotel+Depok/data=!4m10!3m9!1s0x2e69ebf78d019c33:0xb1344253f27a9dbf!5m2!4m1!1i2!8m2!3d-6.3820696!4d106.8302596!16s%2Fg%2F11ddyx7pzg!19sChIJM5wBjffraS4Rv5168lNCNLE?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3820695999999995, ""longitude"": 106.83025959999999}"
Hotel Santika Depok,4015,Hotel,"[""Hotel""]",4.4,"Jl. Margonda No.88, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423",https://www.google.com/maps/place/Hotel+Santika+Depok/data=!4m10!3m9!1s0x2e69ebfbce0e714b:0xe3e5e5e9008001bd!5m2!4m1!1i2!8m2!3d-6.386552!4d106.826038!16s%2Fg%2F1yfh_hzj2!19sChIJS3EOzvvraS4RvQGAAOnl5eM?authuser=0&hl=id&rclk=1,"{""latitude"": -6.386552, ""longitude"": 106.826038}"
Wisma Makara UI,1385,Hotel,"[""Hotel"", ""Ruang Pertemuan"", ""Gedung Pertemuan"", ""Gedung Pernikahan""]",4.4,"Jl. Prof. DR. Miriam Budiardjo, RW.3, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12640",https://www.google.com/maps/place/Wisma+Makara+UI/data=!4m10!3m9!1s0x2e69ec2fcd469e59:0xe1222f3febc0bbd0!5m2!4m1!1i2!8m2!3d-6.3478048!4d106.8290242!16s%2Fg%2F12hqgh8mk!19sChIJWZ5GzS_saS4R0LvA6z8vIuE?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3478048, ""longitude"": 106.82902419999999}"
Maven Cilandak Hotel,845,Hotel,"[""Hotel""]",3.4,"Jalan Margasatwa No. 47 D 1 3, RT.1/RW.3, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430",https://www.google.com/maps/place/Maven+Cilandak+Hotel/data=!4m10!3m9!1s0x2e69f22dac19abb1:0xfbc16a8ddf0b9541!5m2!4m1!1i2!8m2!3d-6.3117059!4d106.8031678!16s%2Fg%2F1pp2t_7h6!19sChIJsasZrC3yaS4RQZUL341qwfs?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3117059, ""longitude"": 106.8031678}"
Titanium Express Homtel,817,Hotel jangka panjang,"[""Hotel jangka panjang"", ""Rumah wisata"", ""Akomodasi berlayanan"", ""Hotel sehat""]",4.1,"2, Jl. Raya Jakarta-Bogor No.21, RT.1/RW.4, Pekayon, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710",https://www.google.com/maps/place/Titanium+Express+Homtel/data=!4m10!3m9!1s0x2e69ecfe7d5a7d2f:0x1e3484ac03ddea68!5m2!4m1!1i2!8m2!3d-6.3409022!4d106.8695418!16s%2Fg%2F11g86_ssx4!19sChIJL31aff7saS4RaOrdA6yENB4?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3409021999999995, ""longitude"": 106.8695418}"
Cinere Resort Apartemen,680,Gedung Apartemen,"[""Gedung Apartemen""]",4.3,"Jl. Raya Gandul, Gandul, Kec. Cinere, Kota Depok, Jawa Barat 16512",https://www.google.com/maps/place/Cinere+Resort+Apartemen/data=!4m10!3m9!1s0x2e69effd590d904d:0x7a201a892d6dc5ac!5m2!4m1!1i2!8m2!3d-6.336398!4d106.7934461!16s%2Fg%2F11b7q46bsk!19sChIJTZANWf3vaS4RrMVtLYkaIHo?authuser=0&hl=id&rclk=1,"{""latitude"": -6.336398, ""longitude"": 106.7934461}"
Sifaana Hotel,584,Hotel,"[""Hotel""]",3.8,"Jl. Margonda No.246, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423",https://www.google.com/maps/place/Sifaana+Hotel/data=!4m10!3m9!1s0x2e69ec086a724fed:0x950ff72c60f85ff5!5m2!4m1!1i2!8m2!3d-6.3806515!4d106.8308426!16s%2Fg%2F1pzy6dtym!19sChIJ7U9yagjsaS4R9V_4YCz3D5U?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3806515, ""longitude"": 106.8308426}"
