formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,opening_hours,rating,user_ratings_total,plus_code,permanently_closed,url
"Malinau Kota, Malinau Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.5892624, 'lng': 116.622382}, 'viewport': {'northeast': {'lat': 3.610164, 'lng': 116.6787989}, 'southwest': {'lat': 3.555279, 'lng': 116.6116099}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Malinau Kota,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101143457422579135315"">A Google User</a>'], 'photo_reference': 'AUGGfZnou_3PHmrsYt5a6v4q2-5iYAkTph03hTemjvln8ZOV5lXPb1YSKFz9OC2MqU6efxUjcB3JtQrhWmBv9inijwhCda8lxiBDUJf0yiNMEonMpaGXaD69BFjm-u-rfWPVIO20BvPYCQvGTMMyFNGg0Lg7F3oyflPgLKLmRS_M-WZY0WA3', 'width': 3264}]",ChIJs6iywXLDFjIRNjeaefEC1NM,ChIJs6iywXLDFjIRNjeaefEC1NM,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJs6iywXLDFjIRNjeaefEC1NM
"Malinau Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.0730929, 'lng': 116.0413889}, 'viewport': {'northeast': {'lat': 4.120877, 'lng': 116.8079571}, 'southwest': {'lat': 1.0437289, 'lng': 114.5639757}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Malinau Regency,"[{'height': 336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105446323998427108614"">Maecenas adhara donnya</a>'], 'photo_reference': 'AUGGfZlnAfsT4xtw4KKdOzsnD98CWYlKXhW3k7q2WwA8cQ8QFh1-7eCMmeD4XR4TsNggvRuWtskgNjYlhTIy5zz-RbkViWQKhjCiomSFxFkYV3rmfg7bRLyR2TaXZOxxG8zI5kGfkOPHpDjL0Sin_3BRoKs0REP96y_O2_XGswiLuaN8JlMt', 'width': 448}]",ChIJOe60K3N2EDIRWSvyjdErRKM,ChIJOe60K3N2EDIRWSvyjdErRKM,"['administrative_area_level_2', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJOe60K3N2EDIRWSvyjdErRKM
"F98M+852, Harapan Maju, Mentarang, Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.4657502, 'lng': 116.3828751}, 'viewport': {'northeast': {'lat': 3.467100029892722, 'lng': 116.3842249298928}, 'southwest': {'lat': 3.464400370107278, 'lng': 116.3815252701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Semolon Waterfall,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116253177392341247953"">A Google User</a>'], 'photo_reference': 'AUGGfZnpwNzB_gxV0JYgIukLgl7m44JWcfjl8u9W8dJswYfkaW-X5mQRfDnz3PaczfQbJZcIypMddBJZtcRWXWq7oSXdsaQNYrwbm3LXnjDhGhZ98u3BAhqLEORmcGEu2oKhnBeKAq_YEP55_OqJ6HJQDcebqfaPivBo7i_kMaX2TCRy92da', 'width': 3264}]",ChIJ3ed1jlIoFzIRNA6FdS_jguY,ChIJ3ed1jlIoFzIRNA6FdS_jguY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.5,59.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ3ed1jlIoFzIRNA6FdS_jguY
"JH22+PJ, Sembuak Warod, Malinau Utara, Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.6017844, 'lng': 116.5515981}, 'viewport': {'northeast': {'lat': 3.603187229892721, 'lng': 116.5529905798927}, 'southwest': {'lat': 3.600487570107278, 'lng': 116.5502909201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pemancingan dan Permandian ""Aulia""","[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112979409106234532355"">Sahabat Arif</a>'], 'photo_reference': 'AUGGfZlig3xveMp6Mi6A6BiCqpNzChS0jI3lmUiAI4D5lnZUd3h11_ufTwQLq083Y97Ai6chAbAV3Fi5E2fGH0J7MAKDOjoTE-NNjlu9wkATfUA3yYQ48R1hyACvaQPFqhrPpg7g4a0EAO76ivjenbtFEQ83gWbS9UZjzTgpeuWCJbEIc0j2', 'width': 2256}]",ChIJXRvjtxHdFjIRoYyqzKc_oJs,ChIJXRvjtxHdFjIRoYyqzKc_oJs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},4.9,9.0,,,https://www.google.com/maps/place/?q=place_id:ChIJXRvjtxHdFjIRoYyqzKc_oJs
"HJH4+32, Malinau Hulu, Malinau Kota, Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.5777307, 'lng': 116.6050605}, 'viewport': {'northeast': {'lat': 3.57864995, 'lng': 116.6065342298927}, 'southwest': {'lat': 3.574972949999999, 'lng': 116.6038345701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Ujang-ujang,,ChIJWwJOPLHdFjIRttVvRur6pco,ChIJWwJOPLHdFjIRttVvRur6pco,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJWwJOPLHdFjIRttVvRur6pco
"JJ58+J9, Malinau Seberang, Malinau Utara, Malinau Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.6090211, 'lng': 116.6159788}, 'viewport': {'northeast': {'lat': 3.610323029892722, 'lng': 116.6173337798927}, 'southwest': {'lat': 3.607623370107278, 'lng': 116.6146341201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Percontohan Malinau,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114013808329922153042"">Aris Nunukan</a>'], 'photo_reference': 'AUGGfZl-c7ekR4Mg4VoAx6pHF3a6VO947YGrtK75cnN2YkmM2jaO0DrR1uzEPaeP_99yz7DUidJNVp90WJnr8dFtwWeKU5-xmtJLOqJZFv8UVCfbGVNWggeSbXc4-KgjhuQEkkJ5hHxYbzCTqL771MKn9HCth5bv4iVv49JCbHX4LGt3EU37', 'width': 5328}]",ChIJM8V6AGzDFjIRvDeuY7ScIpI,ChIJM8V6AGzDFjIRvDeuY7ScIpI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJM8V6AGzDFjIRvDeuY7ScIpI
"Setulang, Malinau Sel., Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.4563759, 'lng': 116.4976062}, 'viewport': {'northeast': {'lat': 3.457298879892722, 'lng': 116.4986822000001}, 'southwest': {'lat': 3.454599220107278, 'lng': 116.4943782}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Wisata Setulang,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116068412054315620422"">Antonius Wibowo</a>'], 'photo_reference': 'AUGGfZkfTnpLo9gVvhxmYuW_TZBvUz9eHSLSoOw6kjUdb-pa4q5iWPZZobOxB5_XvUk6_bQ0HYlPnBykueofMaN9aR2gYM8ssuqjRNE0Caxglfw0yqASYW1d0YbmOFcA_ej635tQhqc3I4GP9NhQbuxhHaVUdbmGHodzchWNEuK-mMjmC6V4', 'width': 4032}]",ChIJTYt4Z9nWFjIRWdtDlBNx47c,ChIJTYt4Z9nWFjIRWdtDlBNx47c,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},4.6,198.0,"{'compound_code': 'FF4X+H2 Setulang, Malinau Regency, North Kalimantan, Indonesia', 'global_code': '6PMRFF4X+H2'}",,https://www.google.com/maps/place/?q=place_id:ChIJTYt4Z9nWFjIRWdtDlBNx47c
"HJMX+M4M, Malinau Kota, Malinau Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.584221, 'lng': 116.647797}, 'viewport': {'northeast': {'lat': 3.585495829892722, 'lng': 116.6489865298927}, 'southwest': {'lat': 3.582796170107278, 'lng': 116.6462868701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,kab.malinau (sungai mentarang),,ChIJAdH10BPDFjIRwNt2HrSoAQE,ChIJAdH10BPDFjIRwNt2HrSoAQE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJAdH10BPDFjIRwNt2HrSoAQE
"Malinau Utara, Malinau Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.5926011, 'lng': 116.6196331}, 'viewport': {'northeast': {'lat': 3.887271, 'lng': 116.770005}, 'southwest': {'lat': 3.560024, 'lng': 116.3118619}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Malinau Utara,"[{'height': 431, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118146159733521388346"">Sandra Sani</a>'], 'photo_reference': 'AUGGfZmRuQsTx9wahmCN-wAWnwJpra8UeKlsQN7uMjzmI3JmE71GY6xWCCFWA658-wmXcGK01u5aTysyPeehM9br5PtHpIJEl51F6iX6fKKkqXPlDIAh9A9_aGgEA_RKuEoV7AdG23Kl2CjHAZBBjP8OAv1nzDe6m4RA2cS-iwnNfwY8ka0x', 'width': 719}]",ChIJnxQDJSPkFjIRtxaqIx1c87k,ChIJnxQDJSPkFjIRtxaqIx1c87k,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJnxQDJSPkFjIRtxaqIx1c87k
"Malinau, Malinau Kota, Malinau Regency, Kalimantan Timur, Indonesia","{'location': {'lat': 3.584221, 'lng': 116.647797}, 'viewport': {'northeast': {'lat': 3.595357099999999, 'lng': 116.6638044}, 'southwest': {'lat': 3.5730848, 'lng': 116.6317896}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Malinau,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109597121933344815241"">syahril wijaya</a>'], 'photo_reference': 'AUGGfZnn3-BqqOASf3P36SZ_7MWD0bMhDTOlj5BrP57sBizXkOS5Bi71jXOH4-c8nj66ueQVZnK5TaZDwo_4FupLrkvunrY30f0gCxm9BShejf4H1OXGBkhrl0qs5hDfL1manTqvV0PYEjEP57m1LHrG9FejIIbOsQozVqLyGgJNnfCvJp9M', 'width': 4000}]",ChIJS1l8yAzDFjIRQorO5RTFF6M,ChIJS1l8yAzDFjIRQorO5RTFF6M,"['locality', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJS1l8yAzDFjIRQorO5RTFF6M
