business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,url
CLOSED_TEMPORARILY,"32FR+6HJ, Long Nyau, Sungai Tubu, Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.0730929, 'lng': 116.0413889}, 'viewport': {'northeast': {'lat': 3.074442729892722, 'lng': 116.0427387298928}, 'southwest': {'lat': 3.071743070107277, 'lng': 116.0400390701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,meme,True,ChIJp4y7QLDBEDIR04NTGjRSIE0,0.0,ChIJp4y7QLDBEDIR04NTGjRSIE0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJp4y7QLDBEDIR04NTGjRSIE0
CLOSED_TEMPORARILY,"32FR+6HJ, Long Nyau, Sungai Tubu, Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.0730929, 'lng': 116.0413889}, 'viewport': {'northeast': {'lat': 3.074442729892722, 'lng': 116.0427387298928}, 'southwest': {'lat': 3.071743070107277, 'lng': 116.0400390701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Karang tigau,True,ChIJqej0jR_BEDIRhk0Yh-OJeGo,4.5,ChIJqej0jR_BEDIRhk0Yh-OJeGo,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJqej0jR_BEDIRhk0Yh-OJeGo
OPERATIONAL,"F87P+Q7, Harapan Maju, Mentarang, Malinau Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.4644119, 'lng': 116.3357359}, 'viewport': {'northeast': {'lat': 3.465761729892723, 'lng': 116.3370857298928}, 'southwest': {'lat': 3.463062070107278, 'lng': 116.3343860701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Batu,,ChIJkYXM7jgpFzIRWLRQc5l24g8,0.0,ChIJkYXM7jgpFzIRWLRQc5l24g8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103065529711022238782"">Agung Sutrisno</a>'], 'photo_reference': 'AUGGfZnLKMoWrzM1ACpcV0x7L2-XJ44NpQYJcr2KuXKXN9audsl26hvrjbYIDO2fBVTWJSR9goNFceVh0UsXfZwHNesi1pGlk5LOq6wgash2WjtaKZA7QmKNojFlDQJ0sV83Y3-mpBSnOdeatlGpSSveuNiUtEUfJvn4a6FEeWbzpndjsNQ5', 'width': 1616}]",,https://www.google.com/maps/place/?q=place_id:ChIJkYXM7jgpFzIRWLRQc5l24g8
OPERATIONAL,"F7M5+QV, Harapan Maju, Mentarang, Malinau Regency, North Kalimantan 77555, Indonesia","{'location': {'lat': 3.484459, 'lng': 116.2597064}, 'viewport': {'northeast': {'lat': 3.485808829892722, 'lng': 116.2610562298927}, 'southwest': {'lat': 3.483109170107277, 'lng': 116.2583565701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Giram Kayan,,ChIJDd-CF2IvFzIRV2LNlG1CLBc,3.0,ChIJDd-CF2IvFzIRV2LNlG1CLBc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103065529711022238782"">Agung Sutrisno</a>'], 'photo_reference': 'AUGGfZnuJSuLypRIKAy5MWgeGGAZjf7aiDuZ8Zdi6BjbZ7lgscQol5H_75bqkEvhD7lOp0pjYyH23zYi1dlIpLApB3Z0m957nWWgisR7S3XkbNmxzV8ORGpqKE2OKXVwpiD5HfF0Uf4SCUzOC_y3ZZNkXAhzeTKXkbXMPUJX8Csu0kK7YIRY', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJDd-CF2IvFzIRV2LNlG1CLBc
OPERATIONAL,"C8X2+P5R, Unnamed Road, Harapan Maju, Kec. Mentarang, Kabupaten Malinau, Kalimantan Utara 77555, Indonesia","{'location': {'lat': 3.449371, 'lng': 116.300394}, 'viewport': {'northeast': {'lat': 3.450720829892722, 'lng': 116.3017438298928}, 'southwest': {'lat': 3.448021170107277, 'lng': 116.2990441701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun sungai Inggo,,ChIJ3WFZFCYvFzIRyW53XYJy5V4,4.0,ChIJ3WFZFCYvFzIRyW53XYJy5V4,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1616, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103065529711022238782"">Agung Sutrisno</a>'], 'photo_reference': 'AUGGfZkeg4Lk0uBdCBqev3wZHDRirHsmwah3obble7h547Lg_sOhKfbFa1LxjbVx1nodHriUEIS2QZ-XSuX5NYfvx1FuCTW9RPgN4i25b6z0k5uarU_cxDgcYYaDjhcKMZ_5fd1nVGzvlJuk7XgXn3AhvsPl8-skmKmu1zdYOvtZFDw58t0x', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJ3WFZFCYvFzIRyW53XYJy5V4
OPERATIONAL,"F9Q3+H8, Paking, Mentarang, Malinau Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.4889802, 'lng': 116.3533191}, 'viewport': {'northeast': {'lat': 3.490330029892722, 'lng': 116.3546689298927}, 'southwest': {'lat': 3.487630370107277, 'lng': 116.3519692701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saboyo,,ChIJ_6kBLr4pFzIRKfbEZ4maa4Q,5.0,ChIJ_6kBLr4pFzIRKfbEZ4maa4Q,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 2296, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103065529711022238782"">Agung Sutrisno</a>'], 'photo_reference': 'AUGGfZlUyUH4wSfOJhEgOVYOK_gDqc_2HHc7i8Cuk5vpOftwghzAnM_w0ZSXmbr8itFYxT8769GhAUQGlgq8avBd1tfm-OPE_i1yF6tNS-jP4AMZ61yQYGYI8-TItHtwp-AqZxTf2DUcpk6CUdWyPwAGJmamd7Lj-btHHaFt9tE1TFiZL1R2', 'width': 4080}]",,https://www.google.com/maps/place/?q=place_id:ChIJ_6kBLr4pFzIRKfbEZ4maa4Q
OPERATIONAL,"G9H7+WC8, Long Liku, Mentarang, Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.529785, 'lng': 116.363566}, 'viewport': {'northeast': {'lat': 3.531134829892723, 'lng': 116.3649158298927}, 'southwest': {'lat': 3.528435170107278, 'lng': 116.3622161701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun jempulon,,ChIJsxuWHKQnFzIRjOPvbea3bdI,4.5,ChIJsxuWHKQnFzIRjOPvbea3bdI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103065529711022238782"">Agung Sutrisno</a>'], 'photo_reference': 'AUGGfZlqVhDIXXEHq1IjS6s6MrTuB-MeUOAhMelQtqmiRsHmE65alaXoFL-vZZYU4hIA6wulY7CWdO9U05-OClvZbwmLnMCZ0IAaGEcv_ctGKCEsK_Xh2ty5UgKiLFtYXgVUnRoMnj4WU2ixrQktCyQY7M3CZzpy5u6VkZ7CyNolruLS7Eje', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJsxuWHKQnFzIRjOPvbea3bdI
OPERATIONAL,"F98M+852, Harapan Maju, Mentarang, Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.4657502, 'lng': 116.3828751}, 'viewport': {'northeast': {'lat': 3.467100029892722, 'lng': 116.3842249298928}, 'southwest': {'lat': 3.464400370107278, 'lng': 116.3815252701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Semolon Waterfall,,ChIJ3ed1jlIoFzIRNA6FdS_jguY,4.5,ChIJ3ed1jlIoFzIRNA6FdS_jguY,"['tourist_attraction', 'point_of_interest', 'establishment']",59,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116253177392341247953"">A Google User</a>'], 'photo_reference': 'AUGGfZmDdWxn6_AheyufDYnuzvcdG7RCnKAWEUNMHacft8b9tC82tyQ-9FmBm5fCZE-aZC-TLuuJhkKR17T9cbWr0xJWmykEgQOaGm4blituZIXbpOWQrLAAgB_NUOLnaj82eed43FV_SOyNbDtyd03epcuqHPVygG-sTvXTELZHevQvS55h', 'width': 3264}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ3ed1jlIoFzIRNA6FdS_jguY
OPERATIONAL,"F8PQ+57, Paking, Mentarang, Malinau Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.4854161, 'lng': 116.338228}, 'viewport': {'northeast': {'lat': 3.486765929892722, 'lng': 116.3395778298927}, 'southwest': {'lat': 3.484066270107277, 'lng': 116.3368781701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Temadung,,ChIJvaEK7HcpFzIREkhd0MEQRs4,0.0,ChIJvaEK7HcpFzIREkhd0MEQRs4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 2296, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103065529711022238782"">Agung Sutrisno</a>'], 'photo_reference': 'AUGGfZmmf2FWJoi_Y9UMz4OBTsYl1V0re6kTHvh4z5MDwjbi3SVpiA_V0eKNhxrYegQT51mCMoA56iD27bpVRcVO_64K5ic_jmRHxF1baHNX-t1H7eUjhtTW0kxOuZkgyC19tE_g4oLq5COVH3JmEfbahTQ_a7GwqC1ec82cqlvwl1zlcB95', 'width': 4080}]",,https://www.google.com/maps/place/?q=place_id:ChIJvaEK7HcpFzIREkhd0MEQRs4
OPERATIONAL,"G8MJ+C3Q, Paking, Mentarang, Malinau Regency, North Kalimantan 77554, Indonesia","{'location': {'lat': 3.5335823, 'lng': 116.3302397}, 'viewport': {'northeast': {'lat': 3.534932129892722, 'lng': 116.3315895298927}, 'southwest': {'lat': 3.532232470107277, 'lng': 116.3288898701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Cinta,,ChIJrV5KMN4nFzIRPWED-bbVM1Q,5.0,ChIJrV5KMN4nFzIRPWED-bbVM1Q,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 3375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101024784757888558543"">Wisnu &quot;Gareng&quot; Guntoro</a>'], 'photo_reference': 'AUGGfZly9yLZJstzhidcyOrhhajJTPyGoLFkpHmvId_kEKhJz_vGsSnJHYfpt0edqjwWmfnBQkTx8Zs5dtJwiAV4xI8cOFSAHpn4ZkLUW5xkSa8m8c9pRjLbukILByeTWWOFJK9zZaZteBXSxOHKfYx41tlNaJDZdKjxfCHB25QOHYJfppz7', 'width': 6000}]",,https://www.google.com/maps/place/?q=place_id:ChIJrV5KMN4nFzIRPWED-bbVM1Q
