business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,photos,opening_hours,url
OPERATIONAL,"dusun 3 No.RT 24, Basmuti, Kec. Kuanfatu, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim. 85517, Indonesia","{'location': {'lat': -10.0070931, 'lng': 124.4020253}, 'viewport': {'northeast': {'lat': -10.0028073, 'lng': 124.40414555}, 'southwest': {'lat': -10.0085217, 'lng': 124.40131855}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata Air,ChIJx3NY5ib9VSwRVs5zN3KEtKo,"{'compound_code': 'XCV2+5R Basmuti, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX6XCV2+5R'}",0.0,ChIJx3NY5ib9VSwRVs5zN3KEtKo,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJx3NY5ib9VSwRVs5zN3KEtKo
CLOSED_TEMPORARILY,"XC3Q+CJ6, Kelle, Kuanfatu, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0464694, 'lng': 124.439027}, 'viewport': {'northeast': {'lat': -10.04516162010728, 'lng': 124.4404378298927}, 'southwest': {'lat': -10.04786127989272, 'lng': 124.4377381701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panorama Kelletunan,ChIJDzDcJAgBViwRLVGGXU_7NCM,,5.0,ChIJDzDcJAgBViwRLVGGXU_7NCM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,True,"[{'height': 3998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109061853263296183975"">nenohai arief</a>'], 'photo_reference': 'AUGGfZlPqJJ8E0lDBoTa4q2QbVZQDAE3_YtV1rh4mBdzbvaUGkvnXDzavJsP08TrKzIkO6lZnT66WUUyqFi6EX_0R-DGccJ_Ns71ZtRHUBjcU9mMhQIkxytKr6XndMW7HWV7tHEQVhoUf4YtLHdpSgwwySDUO5VcbckZ2H7FQDd5jsS5TPhZ', 'width': 2998}]",,https://www.google.com/maps/place/?q=place_id:ChIJDzDcJAgBViwRLVGGXU_7NCM
OPERATIONAL,"4F76+3PP, Tubmonas, Amanuban Tengah, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.887286099999999, 'lng': 124.4618237}, 'viewport': {'northeast': {'lat': -9.886051820107276, 'lng': 124.4637102798927}, 'southwest': {'lat': -9.88875147989272, 'lng': 124.4610106201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kua Mna,ChIJjcWl52b5VSwRQrCbJiQDFQ0,,0.0,ChIJjcWl52b5VSwRQrCbJiQDFQ0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJjcWl52b5VSwRQrCbJiQDFQ0
OPERATIONAL,"2FQJ+Q9, Ofu, Kolbano, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.960505999999999, 'lng': 124.4809543}, 'viewport': {'northeast': {'lat': -9.959793620107279, 'lng': 124.4819919798927}, 'southwest': {'lat': -9.962493279892723, 'lng': 124.4792923201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Manenu Ofu,ChIJG2OOoBv_VSwREwmfCdLr5Pk,,5.0,ChIJG2OOoBv_VSwREwmfCdLr5Pk,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,"[{'height': 2464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102561948253457087348"">Yohanes Tahoni</a>'], 'photo_reference': 'AUGGfZkBCDgCdkJiqFUA9DxCbRcF_O_kxS7S8fAqdYEJzWhbfsBODlj-4vIyzpmuhW6rhxeySBwjHCrFudQ0TpjWKlHuffwOC1C1epa3d8OJqskFkiP4d_4keHJrVFApTvwtYsKWja7tue7BnGtqCdMj-tjSzg2jOLQeYuINJcLFiPUL-ANP', 'width': 3280}]",,https://www.google.com/maps/place/?q=place_id:ChIJG2OOoBv_VSwREwmfCdLr5Pk
OPERATIONAL,"WG87+WVH, Oebon, Tuapakas, Kec. Kualin, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.0826766, 'lng': 124.514738}, 'viewport': {'northeast': {'lat': -10.08113312010728, 'lng': 124.5158152298927}, 'southwest': {'lat': -10.08383277989272, 'lng': 124.5131155701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Oebon Desa Tuapakas Kecamatan Kualin,ChIJxeIYGQup-CwRVMRkXw2sRzA,,5.0,ChIJxeIYGQup-CwRVMRkXw2sRzA,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101833888118063191703"">A Google User</a>'], 'photo_reference': 'AUGGfZne5sdppbRUxQg13c_izfNtTAsMBIX3nISQx8SmYfXwT11wsLAlScd_HJ27oM4WaGGM_0HNs5KkPzbB47xLV-4fCSmc6KWmFMcnMUdvLf6GA7O1inbHuDWdN-042w2Cc2kt5uVWWdk21o6LT3m9T4f_htrvXKBkWn_I2Bir17tZO3pL', 'width': 3000}]",,https://www.google.com/maps/place/?q=place_id:ChIJxeIYGQup-CwRVMRkXw2sRzA
OPERATIONAL,"XF34+WQM, Oni, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0451723, 'lng': 124.456911}, 'viewport': {'northeast': {'lat': -10.04441325, 'lng': 124.4587006298927}, 'southwest': {'lat': -10.04744945, 'lng': 124.4560009701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Oemaman,ChIJI9ABagQBViwR87EReVQHs1Y,,4.8,ChIJI9ABagQBViwR87EReVQHs1Y,"['tourist_attraction', 'point_of_interest', 'establishment']",25.0,,"[{'height': 8000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116349472521450529460"">A Google User</a>'], 'photo_reference': 'AUGGfZk-4OPGLgivgcVtamMVqS-CfUq00ngZDWdondtmMd9eEnpFqGAO04x-gEU1ueZKR08fFg1_983EletCFLiLgQ839_WNc5cynQrnI4hldqT5Lr7kvLAT_6cTZ1j4cwY66qnf0tK8blqYFZAOm1hutt6Doc2W-NqZ6MP8dtEu27_wRgXI', 'width': 6000}]",,https://www.google.com/maps/place/?q=place_id:ChIJI9ABagQBViwR87EReVQHs1Y
OPERATIONAL,"Kusi, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0451776, 'lng': 124.4569143}, 'viewport': {'northeast': {'lat': -10.04442085, 'lng': 124.4587019798927}, 'southwest': {'lat': -10.04744785, 'lng': 124.4560023201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Hono Desa Kusi,ChIJP2rvVQABViwR5thbgllkmJU,"{'compound_code': 'XF34+WQ Kusi, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX6XF34+WQ'}",0.0,ChIJP2rvVQABViwR5thbgllkmJU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103393645092217092363"">A Google User</a>'], 'photo_reference': 'AUGGfZlg-UeO-xrkTw-4McrjbYIBCnqWCJa1PCW8x4VRo_d5wyZu57aPGzcTg25LWhWsxr8WsvSdjy29fc47Ag6GY56kmMGsSC6y6I_fVBH0YV0DlFx9adqvQUuuLZOeWJKy0P3jf_wLI-BZYQc56bownqpMsAek_9M9wBju88tOViYmRpwU', 'width': 3120}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJP2rvVQABViwR5thbgllkmJU
OPERATIONAL,"XGHQ+W3J, Kolbano, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.020154, 'lng': 124.537641}, 'viewport': {'northeast': {'lat': -10.01896152010728, 'lng': 124.5392266298927}, 'southwest': {'lat': -10.02166117989272, 'lng': 124.5365269701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot Foto Wisata Fatu Han,ChIJtyB-TT-r-CwRL9lCQK4jWx0,,4.8,ChIJtyB-TT-r-CwRL9lCQK4jWx0,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109335660693613784016"">Yunus Boimau</a>'], 'photo_reference': 'AUGGfZki0srTSLuJK6QGN_6EvxyHhkYI6u_MUJv83prQk19JQ8IEzqD71Ry6poTrwyYIhz-GbGQIOecse_8atbez5sK7wVAbdDBuLQmqWU5II7eUTQExqya7U_IXpEL4wgxm7TSYLgNDr_k9WKZnW8l3OOO8J91TM_yXHm-UuhbOLG0lvBYS', 'width': 2992}]",,https://www.google.com/maps/place/?q=place_id:ChIJtyB-TT-r-CwRL9lCQK4jWx0
OPERATIONAL,"392C+66Q, Oebaki, Noebeba, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9494031, 'lng': 124.3706028}, 'viewport': {'northeast': {'lat': -9.948053270107279, 'lng': 124.3719526298927}, 'southwest': {'lat': -9.950752929892722, 'lng': 124.3692529701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata air fatutek,ChIJC6vJOwD9VSwR6OVgg0f28gI,,0.0,ChIJC6vJOwD9VSwR6OVgg0f28gI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJC6vJOwD9VSwR6OVgg0f28gI
OPERATIONAL,"X8PV+6VH, Nifu Papan, Fatutnana, Kec. Noebeba, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.0144444, 'lng': 124.3447222}, 'viewport': {'northeast': {'lat': -10.01287122010728, 'lng': 124.3457401798927}, 'southwest': {'lat': -10.01557087989272, 'lng': 124.3430405201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nifu Papan,ChIJ6YG8JXQHViwRHl1osjaipJw,,5.0,ChIJ6YG8JXQHViwRHl1osjaipJw,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111598805507772580269"">Erwin Dafrison Tenistuan</a>'], 'photo_reference': 'AUGGfZmINnS-RbXZOVuVaPSQRWBJVcwqp-zmdUzCw2RgqNrBQoPHCfJUkuljAf_3Fek0EzEWd8fHrlu_eubDRxo9dFYMAIEg3ltZ3ENJwHfPyb_UWSoYN2x_Vs9shF39cZQFbVM2WBsNYUbyom1YcUrfqNzNkM0H1mHrerIK9H41nPQhWG-y', 'width': 4128}]",,https://www.google.com/maps/place/?q=place_id:ChIJ6YG8JXQHViwRHl1osjaipJw
