formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,photos,rating,user_ratings_total,opening_hours,plus_code,permanently_closed,url
"Kokbaun, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.611400699999999, 'lng': 124.7577257}, 'viewport': {'northeast': {'lat': -9.5968141, 'lng': 124.8005431}, 'southwest': {'lat': -9.66455, 'lng': 124.718589}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kokbaun,ChIJQ_z0TZpp_ywRevNUeSNXqhE,ChIJQ_z0TZpp_ywRevNUeSNXqhE,"['administrative_area_level_3', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ_z0TZpp_ywRevNUeSNXqhE
"8M3W+2M8, Snok, Amanatun Utara, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6974576, 'lng': 124.6966994}, 'viewport': {'northeast': {'lat': -9.696331620107278, 'lng': 124.6980988298927}, 'southwest': {'lat': -9.699031279892722, 'lng': 124.6953991701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fautmae,ChIJa8888-dD_ywRYinUmRdZjm4,ChIJa8888-dD_ywRYinUmRdZjm4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 1380, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113535390776556065961"">A Google User</a>'], 'photo_reference': 'AUGGfZlhAlip9ULDO0tBq63UBZzefFPYzQFvVb4_km9Hk_gUEPXKq3tLHP9Seu1Y6OGO573b9wJZlrJ45M3HfKOT_IvCZ9uFhmBUR8QOJSUI0ICjboXLKp1xa1AqEUzhpIXjOzJVBbOzt33L4-E7d4CbX-DZ7FyhZUG8WON4vE8r3K-1Eew8', 'width': 2400}]",5.0,7.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJa8888-dD_ywRYinUmRdZjm4
"7JJ4+G7, Mnelaanen, Amanuban Timur, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.718639, 'lng': 124.6056924}, 'viewport': {'northeast': {'lat': -9.717270620107277, 'lng': 124.6070828298927}, 'southwest': {'lat': -9.71997027989272, 'lng': 124.6043831701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Bukit Golgota, Amnuban Timur",ChIJEwPw3G5d_ywRgSoCanGrGtk,ChIJEwPw3G5d_ywRgSoCanGrGtk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.7,3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJEwPw3G5d_ywRgSoCanGrGtk
"76QH+W3Q, Fatukoto, Mollo Utara, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.7101905, 'lng': 124.2277643}, 'viewport': {'northeast': {'lat': -9.708932720107278, 'lng': 124.2292052298928}, 'southwest': {'lat': -9.711632379892722, 'lng': 124.2265055701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Nausus,ChIJga9SUrqUVSwRvN7ELqBA7qU,ChIJga9SUrqUVSwRvN7ELqBA7qU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113023529033498730052"">Jefri Jacob</a>'], 'photo_reference': 'AUGGfZlyb-O2DLWGKz3RFDZJwZrmTSJERmXGFI5v5oxqJZafBx4N5dmn8--jUf7wRaNivmZXrFwqMBjR8QQPeKY7xcve2-cJ5fLsoT-E_OwGqw9W3dBxEfwlaAsiQS4NXUcG7KHXibuD3PgmSnn4pWxqN6SbIp1nERcaQthR77Kh3e2elWc8', 'width': 4032}]",4.8,77.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJga9SUrqUVSwRvN7ELqBA7qU
"8PCV+PMH, Sono, Amanatun Utara, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.678195299999999, 'lng': 124.7442292}, 'viewport': {'northeast': {'lat': -9.676787520107277, 'lng': 124.7455734798928}, 'southwest': {'lat': -9.679487179892721, 'lng': 124.7428738201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Rumah Ziona Koen,ChIJ8dpfM4hD_ywR6UbQZ-fdHz8,ChIJ8dpfM4hD_ywR6UbQZ-fdHz8,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109123212163955404538"">A Google User</a>'], 'photo_reference': 'AUGGfZm-uV60lDzG_C6h5bPTERCxfR3sNQcPV5FBenYjiOnIhZoHQl3ORfgTqiZJbS-NjmAu7Z6C-cHlgxYeH0mszi3CnKzH6-CVKFw4JNDIMJ13vOiQC7jld-BXDR3UqDtfm_4IdmMYlxWOi2h37QiJMPDIWFSEE5RzsfGUj_17AP3sN0wo', 'width': 619}]",5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8dpfM4hD_ywR6UbQZ-fdHz8
"FJ53+JX7, Maurisu Utara, Bikomi Selatan, North Central Timor Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.5409553, 'lng': 124.6049333}, 'viewport': {'northeast': {'lat': -9.539314670107277, 'lng': 124.6062454798927}, 'southwest': {'lat': -9.542014329892721, 'lng': 124.6035458201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit cinta,ChIJI8EMaatl_ywRINfHbCusQVs,ChIJI8EMaatl_ywRINfHbCusQVs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108530168924951423190"">Free Franco</a>'], 'photo_reference': 'AUGGfZlgGlDksa-5ysyEqBdtUOnug1IgoXZYjmAwZP_RclPK-iR_3_gqAraYEKplTKjqBGbZn8W2Q0Lj8-BUcdzuUWd69FD4C3DeMnwqF8myFvns5f5uKSm5coX-iC5GJAJh7zfg36XqKbYKxRp8q8niCrECBd5jNb63swZwYDrgn52mFoAe', 'width': 4000}]",4.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJI8EMaatl_ywRINfHbCusQVs
"8JHC+2J, Taebone, Fatukopa, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6724006, 'lng': 124.621623}, 'viewport': {'northeast': {'lat': -9.670388500000003, 'lng': 124.62402885}, 'southwest': {'lat': -9.678436899999998, 'lng': 124.62082105}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,FATUKOPA (F),ChIJKz3JjbBn_ywRuUgkS8gf8Z8,ChIJKz3JjbBn_ywRuUgkS8gf8Z8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106090648986639629205"">A Google User</a>'], 'photo_reference': 'AUGGfZlK3zigKtrnY9_Pp8Yma45qwO2KlEDHSOcSAOWxBCZzRwko57Mp245EuTtR7d-y2ELVemfnB8krTAje2LCIfkWY5VCYKsQiZ_XZUkmflwdnpWEwGU-T6OXcJOWmPfZLC5_8fxh0NJHWapOFmqJQMjfJzImMbNTti3o6tgN9pxxKH_nA', 'width': 4608}]",5.0,6.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJKz3JjbBn_ywRuUgkS8gf8Z8
"Pantai, Kolbano, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0204408, 'lng': 124.5385041}, 'viewport': {'northeast': {'lat': -10.01903462010728, 'lng': 124.5397054298927}, 'southwest': {'lat': -10.02173427989272, 'lng': 124.5370057701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolbano Beach,ChIJgeWp2fGr-CwRY9bBD2StRyo,ChIJgeWp2fGr-CwRY9bBD2StRyo,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102463916079671344895"">A Google User</a>'], 'photo_reference': 'AUGGfZkvhJwXGi3s1ge7M9reLwijZECkauzUb3OEG-Y7bkpiLgK96164a-xUH7QgNNba8rSMR9AoEL_v3rtMrN8BvMWc67_hCgZCJCc5ZOnZI1U29rpHBUGwXFgsYYLclbkfzKAZz21c_dpAPReVStOKXlNY65Orn0KwhFRHDqFsx0bOZo_c', 'width': 3024}]",4.7,151.0,{'open_now': False},"{'compound_code': 'XGHQ+RC Kolbano, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX6XGHQ+RC'}",,https://www.google.com/maps/place/?q=place_id:ChIJgeWp2fGr-CwRY9bBD2StRyo
"Fatukopa, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6682209, 'lng': 124.6109951}, 'viewport': {'northeast': {'lat': -9.666717620107278, 'lng': 124.6119429298927}, 'southwest': {'lat': -9.669417279892722, 'lng': 124.6092432701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Wisata Camping Besteke Fatukopa,ChIJKeifqhln_ywR2-PTYgW_VeM,ChIJKeifqhln_ywR2-PTYgW_VeM,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 1908, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100712490499196803578"">iwayan sudana</a>'], 'photo_reference': 'AUGGfZkuKucpgrUbeV9vF07APEunuT_0_TS8xl5mI024OFRagiO2kJKiU7eEKAHD4bR5nFBd8w0qMfuFIdq1RctMIqt5y8otbeOwA7mpHvtYhPFZ1BdXFNqt_eWJ75fyHJuv5p1A3OLRXKiQfTFP7Qjdyfx4a2Lv2e6DUHjGlLwtlX_nyx2h', 'width': 4032}]",4.7,93.0,{'open_now': True},"{'compound_code': '8JJ6+P9 Fatukopa, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q268JJ6+P9'}",,https://www.google.com/maps/place/?q=place_id:ChIJKeifqhln_ywR2-PTYgW_VeM
"DJR.SANAM, Jalan, Oehala, Kec. Mollo Tengah, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.8030144, 'lng': 124.3073775}, 'viewport': {'northeast': {'lat': -9.801627470107277, 'lng': 124.3086834798927}, 'southwest': {'lat': -9.804327129892721, 'lng': 124.3059838201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Oehala TTS,ChIJfzhimGzuVSwR19z9JHtYFzI,ChIJfzhimGzuVSwR19z9JHtYFzI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113028728213601388281"">A Google User</a>'], 'photo_reference': 'AUGGfZk-afPrlrHvGPTcf0g9vKodReJ3CiP1nSkhuYiu1fZ-xDpNetwbKSusJI64iENwmhCCbX3YEEtxUlumZ1f1bFrwur21q-dd2iDlL3holtwwH93Z-Fi6wNfVd_PbA3iFNJc37hlWx9AevXtthmt2qKCsNEdFTEp6NUP7VVf0L3U87Zno', 'width': 3000}]",4.4,321.0,{'open_now': False},"{'compound_code': '58W4+QX Oelekam, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q2658W4+QX'}",,https://www.google.com/maps/place/?q=place_id:ChIJfzhimGzuVSwR19z9JHtYFzI
