business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,plus_code,opening_hours,url
OPERATIONAL,"96QF+WW, Fatumnasi, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6101873, 'lng': 124.2247714}, 'viewport': {'northeast': {'lat': -9.608719120107278, 'lng': 124.22547145}, 'southwest': {'lat': -9.611418779892722, 'lng': 124.22267125}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kaki Gunung Mutis,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104172306825360021959"">Esthon Patola</a>'], 'photo_reference': 'AUGGfZkBOphwOk5IYkIpXQpWTtcSV_42w97URMy-R0q05FmiYK9An6apOU3gI6LzIaAttRaPOEKxGjITrfZFeHjQ_Iqmae52r5Fwj3UT1HsbhrbAsyGNcDaswStN8fjLHCOiFHfy3L5C8xJjmcWl_YG_bx_GwQcnzqI17_gxBhOTHzBYGz2p', 'width': 4032}]",ChIJOb-612KXVSwRVMRUEK1fdnM,4.8,ChIJOb-612KXVSwRVMRUEK1fdnM,"['tourist_attraction', 'point_of_interest', 'establishment']",29,,,,https://www.google.com/maps/place/?q=place_id:ChIJOb-612KXVSwRVMRUEK1fdnM
OPERATIONAL,"9697+JJ5, Fatumnasi, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.630981799999999, 'lng': 124.2141056}, 'viewport': {'northeast': {'lat': -9.629700020107277, 'lng': 124.2153397798927}, 'southwest': {'lat': -9.632399679892721, 'lng': 124.2126401201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fatumnasi,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114790767611903476492"">A Google User</a>'], 'photo_reference': 'AUGGfZm25jwJfn43yxUrCjhnOzC7147-D276LENIdEroKNDIuvvEW12ZbQ9iJZCiOGi3S1zdv-9UVsRlF-cWCsIlTxs0CsXfB9sOHOS-cZj1NPD5qU0AT4zwTtl2UNGQgTshXSERW-mlnb_Q9HjCD9EKJjTRhUYrTg6rjvmkTZ6o8kbMURIP', 'width': 3456}]",ChIJr-hBKLSXVSwRICbmGgbxjDU,4.5,ChIJr-hBKLSXVSwRICbmGgbxjDU,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,,,https://www.google.com/maps/place/?q=place_id:ChIJr-hBKLSXVSwRICbmGgbxjDU
OPERATIONAL,"868R+P36, Tunua, Mollo Utara, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.683214999999999, 'lng': 124.2401388}, 'viewport': {'northeast': {'lat': -9.681865170107276, 'lng': 124.2413989298927}, 'southwest': {'lat': -9.68456482989272, 'lng': 124.2386992701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BATU MARMER FATUMNASI,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101833888118063191703"">A Google User</a>'], 'photo_reference': 'AUGGfZmxlShq3bAQ9hBWigJ-UhgXdfGOhksd6YFlQ8BTR33IlnO9a_K_UowL0XVP4wDIFDkI9UgI0rVze8nuNFljukdZs8xAIJJsfBSigBIJ8YgGprE2FPuPlRenzGzDt3jmI-Qwqk3tYsSIl7xp59uhw1CAJy93Vu574OhKBp8zWef56-px', 'width': 4000}]",ChIJqyb7_zGVVSwRD3JWxRJzN0M,5.0,ChIJqyb7_zGVVSwRD3JWxRJzN0M,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,,https://www.google.com/maps/place/?q=place_id:ChIJqyb7_zGVVSwRD3JWxRJzN0M
OPERATIONAL,"9697+5X2, Fatumnasi, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6321111, 'lng': 124.2148869}, 'viewport': {'northeast': {'lat': -9.630842670107278, 'lng': 124.2160554798927}, 'southwest': {'lat': -9.633542329892721, 'lng': 124.2133558201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,hutan wisata Bonsai,"[{'height': 2979, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113450750413251335912"">A Google User</a>'], 'photo_reference': 'AUGGfZlo2PGkKHHr6PD1mkjRZtDPVb1yZe4MRzLgBDp4MWArbrHqzmlKHo4FnVXB--2SkAocyBg0O-9eeWzznBM4TmwVn75TwM3yeAeoDMlgyKcV9SqTbD4iJWgfrK6T3myPTNP45Px2WhXznZvEKhFNgTMUKOqlobLbXVBQOboI0SXHsodq', 'width': 3120}]",ChIJLcANlDaXVSwRvWU4BlEIx-4,5.0,ChIJLcANlDaXVSwRvWU4BlEIx-4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJLcANlDaXVSwRvWU4BlEIx-4
OPERATIONAL,"76QH+W3Q, Fatukoto, Mollo Utara, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.7101905, 'lng': 124.2277643}, 'viewport': {'northeast': {'lat': -9.708932720107278, 'lng': 124.2292052298928}, 'southwest': {'lat': -9.711632379892722, 'lng': 124.2265055701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Nausus,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113023529033498730052"">Jefri Jacob</a>'], 'photo_reference': 'AUGGfZmJ23-IAmyDD3sWFhuvJ8JaXUKb15u7K-YVbawlA6yeyF0m3qhVWNsjj8sVzW_KU19Ybi9_fwa8JLLxfo2Ew72ZRtd4Yy_4Nd8JPm7tPm-lpeMgAQxN_7F494Jx89pAvgOYiOQ0JQ1v-rCrouN20Pw-jpRqmzMz3kjC7cWGrXQ4o2S-', 'width': 4032}]",ChIJga9SUrqUVSwRvN7ELqBA7qU,4.8,ChIJga9SUrqUVSwRvN7ELqBA7qU,"['tourist_attraction', 'point_of_interest', 'establishment']",77,,,,https://www.google.com/maps/place/?q=place_id:ChIJga9SUrqUVSwRvN7ELqBA7qU
OPERATIONAL,"C6PJ+392, Bonleu, Tobu, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.5648622, 'lng': 124.2308909}, 'viewport': {'northeast': {'lat': -9.563512370107278, 'lng': 124.2322407298927}, 'southwest': {'lat': -9.566212029892721, 'lng': 124.2295410701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Gunung Mutis,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108828781825503013443"">Ayini Manu</a>'], 'photo_reference': 'AUGGfZlbzFr226_cFVzOnycY05H1yi0NJbSAisEtu2PMkLLG2KUaKx6O-hMZH79NbR8tqvPd-vdSz-tpLoJbfzbGoCevGK4FjS601jMhSxPpPr9JSeyfYIAw8tTMoVUEyUUfwgQ5E_vDxX8QErZu7oz7cAt-CjCsdBgd0Bm5IqEtvTnjsUuw', 'width': 3072}]",ChIJ2xtaKiKZVSwRPYeZfmQlD3U,5.0,ChIJ2xtaKiKZVSwRPYeZfmQlD3U,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2xtaKiKZVSwRPYeZfmQlD3U
OPERATIONAL,"868Q+HX, Tunua, Mollo Utara, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.683619499999999, 'lng': 124.2399253}, 'viewport': {'northeast': {'lat': -9.682277470107278, 'lng': 124.2412909798927}, 'southwest': {'lat': -9.684977129892722, 'lng': 124.2385913201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Batu Marmer Tunua,"[{'height': 1472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100031916728414625230"">A Google User</a>'], 'photo_reference': 'AUGGfZmN6rNh9OjrjfTBZJAxhe2HJfo-QAEAOC1H6HI4mD84ggIVnM85VX-2Fv49kjm-YT8KnZsvnRFMXYwXQGURXrMnsqwIQ2vk6P6XBIkjnpwzeGKRwVT8yxcj0xUiSyF7UkJBnhFwjXJ1_SLGhlX7CmD-OAPBmX1_nGu9HAvYe10sCmaM', 'width': 3264}]",ChIJ19C_A2KVVSwRbdjUP7PBp1Y,4.2,ChIJ19C_A2KVVSwRbdjUP7PBp1Y,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,https://www.google.com/maps/place/?q=place_id:ChIJ19C_A2KVVSwRbdjUP7PBp1Y
OPERATIONAL,"76VF+246, Fatukoto, Mollo Utara, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.707458899999999, 'lng': 124.2227595}, 'viewport': {'northeast': {'lat': -9.706090670107278, 'lng': 124.2240811798927}, 'southwest': {'lat': -9.708790329892722, 'lng': 124.2213815201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DANAU KAENKA FATUMNASI,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114160332210420002157"">A Google User</a>'], 'photo_reference': 'AUGGfZl4fYJUPVIwN45BM-Qu3LGOnD8bssyEdSqPbAWPZX32ggK6UoDBqfz_NNeoiySOpFekStilMSkA0vp4ezE9p6kyfvHBQuxTnhKVIJoL-fwqzo0mazYd1PQKY9S53JM9zjwyJdFBAGSzpSYiDOg-cIzjGQsFjFn5xjXUV9rsohfUn9h6', 'width': 4080}]",ChIJtf8YVR6VVSwRFQJIrnpPQog,4.7,ChIJtf8YVR6VVSwRFQJIrnpPQog,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,,https://www.google.com/maps/place/?q=place_id:ChIJtf8YVR6VVSwRFQJIrnpPQog
CLOSED_TEMPORARILY,"C6MJ+36M, Nenas, Fatumnasi, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.567299799999999, 'lng': 124.2305456}, 'viewport': {'northeast': {'lat': -9.565949970107276, 'lng': 124.2318954298927}, 'southwest': {'lat': -9.56864962989272, 'lng': 124.2291957701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Mutis,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108034109058141188165"">A Google User</a>'], 'photo_reference': 'AUGGfZlYgPOnsGCLXqLzSPSsOdPcJcyBRSOPN1gcnBlAj8x9LWj50ZS9gPr257RYVMMr1DtJPPtOrJDQspcgQwuEGS2c_r6hrRxCiLBNivnPxbkn6LhuJwMTwGBYcwPQU0cDR_BvM8ifWEvOJpzmDUA-_OqPJzlNKhH_z7pp8MfazLpAVu0', 'width': 3024}]",ChIJ-daW-FiZVSwRJ6Tan1buHso,5.0,ChIJ-daW-FiZVSwRJ6Tan1buHso,"['tourist_attraction', 'point_of_interest', 'establishment']",2,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ-daW-FiZVSwRJ6Tan1buHso
OPERATIONAL,"76H9+M24, Unnamed Road, Lelobatan, Kec. Mollo Utara, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.720863999999999, 'lng': 124.217564}, 'viewport': {'northeast': {'lat': -9.719147020107275, 'lng': 124.2191238798927}, 'southwest': {'lat': -9.72184667989272, 'lng': 124.2164242201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fatumonas Lelobatan,"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107767497395073248571"">FreedomAd</a>'], 'photo_reference': 'AUGGfZliLtX0b4BR2obYVs9z15wimLk2UPsiiQ5_KehxYzDMaE4zhiwIEPnisWbCpy9VXsf9iyYe_NrMppBFarAPK3KekgMLkPuYrGoVOTAw6RRLsod3MMnKwDaLHUyL_jvkgkEZ5Aral7NRWWc0R-wDvjbKgLti7LMcbH91T-G64T0evfMR', 'width': 1200}]",ChIJSwchknOVVSwR3EStm5OofI0,4.0,ChIJSwchknOVVSwR3EStm5OofI0,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,,,https://www.google.com/maps/place/?q=place_id:ChIJSwchknOVVSwR3EStm5OofI0
