formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,permanently_closed,plus_code,url
"Noebeba, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9398514, 'lng': 124.3393613}, 'viewport': {'northeast': {'lat': -9.9129769, 'lng': 124.413677}, 'southwest': {'lat': -10.0596501, 'lng': 124.222697}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Noebeba,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101320901727671562746"">A Google User</a>'], 'photo_reference': 'AUGGfZl45N9xjOA5EjZc8WQwLfUHMegxvUVXoygQ3TAlk67gvQzgAFl_YzcxrlIzK215OYCuca8QJwgmIX2MPCYZ3-aAx33jt28ftGRdu15S7amh3R2H0dTgSjkA5mSNS9yTG8S4yJB7WRCfbdAATUEH4tfvP0D9qtih30oSpceuuYUmxxHI', 'width': 2448}]",ChIJg_uC9triVSwRlH0T9q0r4J0,ChIJg_uC9triVSwRlH0T9q0r4J0,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJg_uC9triVSwRlH0T9q0r4J0
"X8PV+6VH, Nifu Papan, Fatutnana, Kec. Noebeba, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.0144444, 'lng': 124.3447222}, 'viewport': {'northeast': {'lat': -10.01287122010728, 'lng': 124.3457401798927}, 'southwest': {'lat': -10.01557087989272, 'lng': 124.3430405201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nifu Papan,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111598805507772580269"">Erwin Dafrison Tenistuan</a>'], 'photo_reference': 'AUGGfZnhLXMD7-GmaYANSFegWO4Nn4HF3-u4ig3aFqzZt5-G464P7hQ1LRjd_tgvWxolC48UvpHoqsxrzda5M6fArbAQs0OsKVnD8hhfnd_QW237kspzcEXoXYW8p6DppManCCq89oLON-9xXnnGeykRUHifAmiOcjM5bXFA_XDiBmQxGNPq', 'width': 4128}]",ChIJ6YG8JXQHViwRHl1osjaipJw,ChIJ6YG8JXQHViwRHl1osjaipJw,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6YG8JXQHViwRHl1osjaipJw
"38JJ+HR7, Pusu, Amanuban Barat, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9185878, 'lng': 124.3320541}, 'viewport': {'northeast': {'lat': -9.916711470107279, 'lng': 124.3341844}, 'southwest': {'lat': -9.919411129892723, 'lng': 124.331344}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Oefatu,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104101123131322647400"">A Google User</a>'], 'photo_reference': 'AUGGfZnNS4w6vUJu3mGBXywc3m8I16CYwT1aiIcdCefKi1Ys8lT3fWP1GTBxPYR0IQFPlGFSt4_W6ISU9NCoYUr7CXp99RQIIvkr0HyNRQkwwca_LU_TScIl3UzYc5bFPAd4RtOr97YQgiKbBJIM8eURREDf4u_aHPpjyEydmaZ5EwiSu91r', 'width': 1280}]",ChIJ3fRfuiH7VSwRYx0XNvsJX3Y,ChIJ3fRfuiH7VSwRYx0XNvsJX3Y,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ3fRfuiH7VSwRYx0XNvsJX3Y
"48FF+499, Mnelalete, Amanuban Barat, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.877222200000002, 'lng': 124.3234714}, 'viewport': {'northeast': {'lat': -9.875755670107278, 'lng': 124.3251428798927}, 'southwest': {'lat': -9.878455329892722, 'lng': 124.3224432201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Oenali TTS,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108088383785978597447"">Doddy Panallozha</a>'], 'photo_reference': 'AUGGfZlGfvbEHes2Al6DgAkFKLnKSBJz8gHMwNUBIc1nxMqfyDhovGFtlh4-PFL01nqVmxox1KS6s9ymzZhLu075YtEaF3o2bb7Si2DPzIuVP820xYtO3oNLinrIpgP6E3jZj-0c9KY2G2E_F7ZX9AMgPktEVW5ZQkkTk_lcqSxqvT-DVx3n', 'width': 4128}]",ChIJreJeRq3lVSwRIplREbxzaQc,ChIJreJeRq3lVSwRIplREbxzaQc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,64.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJreJeRq3lVSwRIplREbxzaQc
"392C+66Q, Oebaki, Noebeba, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9494031, 'lng': 124.3706028}, 'viewport': {'northeast': {'lat': -9.948053270107279, 'lng': 124.3719526298927}, 'southwest': {'lat': -9.950752929892722, 'lng': 124.3692529701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata air fatutek,,ChIJC6vJOwD9VSwR6OVgg0f28gI,ChIJC6vJOwD9VSwR6OVgg0f28gI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJC6vJOwD9VSwR6OVgg0f28gI
"XF34+WQM, Oni, Kualin, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0451723, 'lng': 124.456911}, 'viewport': {'northeast': {'lat': -10.04441325, 'lng': 124.4587006298927}, 'southwest': {'lat': -10.04744945, 'lng': 124.4560009701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Oemaman,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113511214285216847256"">Opik Ajun</a>'], 'photo_reference': 'AUGGfZlGyS_ShiktnnB0eM1X_XbZTy1hPLsC7saVZVDUCIvmpMiDzlmqOWFtcqXPmbOE9pcP2OJbeHsLlFkM2KQnf1Q8uhMiS8pt7OIjUN0gY1jRoWKjlMf5Hk662GLUymGIGBlV7gle_ZeTaGKtd-CDnWkSQkkczkn_Cl-L82HpGtVCjUQI', 'width': 3468}]",ChIJI9ABagQBViwR87EReVQHs1Y,ChIJI9ABagQBViwR87EReVQHs1Y,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.8,25.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJI9ABagQBViwR87EReVQHs1Y
"2924+H45, Unnamed Road, Fatutnana, Kec. Noebeba, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.9986164, 'lng': 124.3553454}, 'viewport': {'northeast': {'lat': -9.997266570107277, 'lng': 124.3566952298927}, 'southwest': {'lat': -9.99996622989272, 'lng': 124.3539955701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Salib,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105024496443510852894"">Maryan Walker</a>'], 'photo_reference': 'AUGGfZmpyrIuIDgGT3Omf0HOJWcEEmTUb78BS0acrEXDCB_bGjbR5yAPLCK7L_xBsva_pL11dmBHQxS78eodawFC1nCdG9hnsyfcXMIu8nrwExwM55HH4ZgQJjoV4kEuEjJNTeoLTDip54F9Iy4LNtMG83p0AMWvUCJ5Uv2is7RMyscPc_cJ', 'width': 2560}]",ChIJIdeQxCz9VSwRMdUKCSvoers,ChIJIdeQxCz9VSwRMdUKCSvoers,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,4.0,2.0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJIdeQxCz9VSwRMdUKCSvoers
"48G6+7R2, Oekamusa, Mnelalete, Kec. Amanuban Bar., Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.8743541, 'lng': 124.3120261}, 'viewport': {'northeast': {'lat': -9.87313892010728, 'lng': 124.3134798798927}, 'southwest': {'lat': -9.875838579892724, 'lng': 124.3107802201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Oekamusa Waterfall,"[{'height': 746, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112412520084349868612"">Willy Jhon Antonio Anakay</a>'], 'photo_reference': 'AUGGfZnUAn_6TODlNrgH92lzhBuAQxMUywj1l4aQCc1IOB8fiZz39X0UurBtB0PNiliACYFpP298uTmIewPJuvBE55OylZUfKfzcu5csF1XhKLthih0vz4mKmPMiLjyl1A8A-fV0atoFkbUA7KBD8K4xelJ4phoJGLdsFPbb61Z9pWwqGEnj', 'width': 993}]",ChIJm9JhQZ3lVSwR2cAkFichrqI,ChIJm9JhQZ3lVSwR2cAkFichrqI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,2.0,1.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJm9JhQZ3lVSwR2cAkFichrqI
"DJR.SANAM, Jalan, Oehala, Kec. Mollo Tengah, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.8030144, 'lng': 124.3073775}, 'viewport': {'northeast': {'lat': -9.801627470107277, 'lng': 124.3086834798927}, 'southwest': {'lat': -9.804327129892721, 'lng': 124.3059838201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Oehala TTS,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113028728213601388281"">A Google User</a>'], 'photo_reference': 'AUGGfZnqAjwkEHLv5_flnGZXBIOx0DYWwcAsJRbXPqmA48u63BoqQTk_JHRTc9P749diRX2dCPHAuixcdf0HvDuyumjfQPB-NuGCjk5olfFcd8IdILMuLiR5cfXP2-msvZ3VOt1_nf8Jd93cDFBiHSf_ZBCJsc5Uf-AJ1aPDufbod85VihVP', 'width': 3000}]",ChIJfzhimGzuVSwR19z9JHtYFzI,ChIJfzhimGzuVSwR19z9JHtYFzI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,321.0,{'open_now': False},,"{'compound_code': '58W4+QX Oelekam, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q2658W4+QX'}",https://www.google.com/maps/place/?q=place_id:ChIJfzhimGzuVSwR19z9JHtYFzI
"X587+F79, Linamnutu, Amanuban Selatan, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0338385, 'lng': 124.1632288}, 'viewport': {'northeast': {'lat': -10.03294655, 'lng': 124.1649433798927}, 'southwest': {'lat': -10.03651435, 'lng': 124.1622437201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Oemufun,,ChIJs2lawQLgVSwRE3yjNRHCqLo,ChIJs2lawQLgVSwRE3yjNRHCqLo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.8,4.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJs2lawQLgVSwRE3yjNRHCqLo
