business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,permanently_closed,plus_code,url
OPERATIONAL,"5Q58+8RQ, Boking, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8416651, 'lng': 124.7671144}, 'viewport': {'northeast': {'lat': -9.839779170107278, 'lng': 124.76991955}, 'southwest': {'lat': -9.842478829892721, 'lng': 124.76617935}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Bahari,ChIJ2eIWcmdP_ywRH6mKESktOag,5.0,ChIJ2eIWcmdP_ywRH6mKESktOag,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2eIWcmdP_ywRH6mKESktOag
OPERATIONAL,"6P69+7G4, Manufui, Santian, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.789360600000002, 'lng': 124.7188222}, 'viewport': {'northeast': {'lat': -9.788364220107278, 'lng': 124.7201689798927}, 'southwest': {'lat': -9.791063879892722, 'lng': 124.7174693201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cagar Alam Hutan Atbe,ChIJEwtJTABF_ywRM0ZGSBihmHQ,0.0,ChIJEwtJTABF_ywRM0ZGSBihmHQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJEwtJTABF_ywRM0ZGSBihmHQ
OPERATIONAL,"4QF3+MGP, Nano, Boking, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8757972, 'lng': 124.7538358}, 'viewport': {'northeast': {'lat': -9.874008570107277, 'lng': 124.7546743}, 'southwest': {'lat': -9.87670822989272, 'lng': 124.7513203}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Menoe,ChIJ3XF6rS1P_ywRzBu3dNsRhSE,4.7,ChIJ3XF6rS1P_ywRzBu3dNsRhSE,"['tourist_attraction', 'point_of_interest', 'establishment']",22,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109980827472165369583"">hotlan Mp</a>'], 'photo_reference': 'AUGGfZm0hX5-4Gqb1-ReapBr3zApl6C-sjU08K4FxwK5hAk89VfWPPw0t2Wr00f6C-xEtZWJkRVAvCD1Hbl13NDPvEDWVUuH8MRbGCXK5dPCnAody18vpfh0lzQBnupTB3OKGyMB0re_3EaonRbr2BbOSrua2YYimI7YM_M48XBcHSma4Ogc', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ3XF6rS1P_ywRzBu3dNsRhSE
OPERATIONAL,"4MR4+4V, Kualeu, Amanatun Selatan, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.859668899999999, 'lng': 124.6571325}, 'viewport': {'northeast': {'lat': -9.857673720107275, 'lng': 124.6584504798927}, 'southwest': {'lat': -9.86037337989272, 'lng': 124.6557508201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Banu,ChIJrwzwHphR_ywRbjPUq2NOQ40,5.0,ChIJrwzwHphR_ywRbjPUq2NOQ40,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 1844, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101445130066248491644"">Rifaldi WiGuna</a>'], 'photo_reference': 'AUGGfZkMsfg5dKg19T_w5UBqlPnridFi-mgAs3qZMsblZzIW1Dwd_bKt4CoKFVeKr3b_iha79TMWRMVot8qG8Lt1Hu5ErFYNtUIsFz2JnxGr3iLyOeFpyijOmhVUmxIHicyTw8vEolZxxuqo0LscnhgmNobbY5PwcKpVVrw__dncV8irXTJs', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJrwzwHphR_ywRbjPUq2NOQ40
OPERATIONAL,"4P29+R54, Jl. Lintas Selatan Timor, Hoineno, Kec. Nunkolo, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.897979, 'lng': 124.7179646}, 'viewport': {'northeast': {'lat': -9.896688320107277, 'lng': 124.7194017298927}, 'southwest': {'lat': -9.89938797989272, 'lng': 124.7167020701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Faule'u,ChIJM9hKIBNN_ywR4B1VamMb_V0,5.0,ChIJM9hKIBNN_ywR4B1VamMb_V0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102012518420785550066"">A Google User</a>'], 'photo_reference': 'AUGGfZmb4RXqNHu88MwL9hzAdUv0FcgdxQ0waFR0Vpa0AgSM5HZLBmKFzBg_E863hn1G5LV238rhaBeierLK8Cc2fMJbh2t9BuyIpbTWEYe2fB0mEM6KqsqH3t1IMtJgAtveUrf2tW14rnCijx11gQ3SbJ1xBsjvHZWD4UzbCPj5JRYSvYCE', 'width': 3120}]",,,https://www.google.com/maps/place/?q=place_id:ChIJM9hKIBNN_ywR4B1VamMb_V0
OPERATIONAL,"4JM7+66Q, Oenitas, Kokoi, Kec. Amanatun Sel., Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.8669046, 'lng': 124.6131158}, 'viewport': {'northeast': {'lat': -9.865714570107277, 'lng': 124.6145510298927}, 'southwest': {'lat': -9.868414229892721, 'lng': 124.6118513701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata Air Oenitas,ChIJxXeSrNBR_ywRrfy4XSlIl04,0.0,ChIJxXeSrNBR_ywRrfy4XSlIl04,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJxXeSrNBR_ywRrfy4XSlIl04
OPERATIONAL,"4P8W+6J3, Nunkolo, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8844918, 'lng': 124.7465409}, 'viewport': {'northeast': {'lat': -9.882958670107277, 'lng': 124.7477057798927}, 'southwest': {'lat': -9.88565832989272, 'lng': 124.7450061201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Menu,ChIJKc121ipP_ywRFnFj9ITpBDw,5.0,ChIJKc121ipP_ywRFnFj9ITpBDw,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106897741789914320702"">anjo bfc</a>'], 'photo_reference': 'AUGGfZk024mRDxCna-NOR9ndlSnzkn-092UZGEpjThsG3v_0rI0mx45upeyDcHKlhtoFbxem8y3CVeGPwlIThfg6P_bIY6vOz_UbI1_g2yw2OkS4vKOqLd4belTesi_wIemYuc06ZE3GN5qc4aop1cO6umN9263swl-239GHKR-MKmteBqwI', 'width': 2448}]",,,https://www.google.com/maps/place/?q=place_id:ChIJKc121ipP_ywRFnFj9ITpBDw
OPERATIONAL,"3MQC+G87, Saenam, Nunkolo, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9111785, 'lng': 124.6707087}, 'viewport': {'northeast': {'lat': -9.909642470107276, 'lng': 124.6720893298927}, 'southwest': {'lat': -9.91234212989272, 'lng': 124.6693896701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SD DENGAN VIEW TERINDAH,ChIJL9f6FgBT_ywRoNpobb3xwac,5.0,ChIJL9f6FgBT_ywRoNpobb3xwac,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115648832273612376466"">Devis Davidson</a>'], 'photo_reference': 'AUGGfZkDW4-E37OB1uDQ1mINplcPGnMcaoJceztRYKhhrCoa3hLa_7zORAfnSAyxW1qVzdYoapaVd0ye8DiueRPLjWsR8POMXa4Tlr4L5FpUP3dHLpA7scrvTkD_XACkWh7N-pW_xW-DsE2LCVFim5WDpLGWsk8XTuxwpImBGm22Y2Vf_dI6', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJL9f6FgBT_ywRoNpobb3xwac
OPERATIONAL,"5H7X+QQC, Anin, Amanatun Selatan, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8355689, 'lng': 124.5993996}, 'viewport': {'northeast': {'lat': -9.833908370107277, 'lng': 124.6011592298927}, 'southwest': {'lat': -9.836608029892721, 'lng': 124.5984595701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cekdam I,ChIJIwC0KwBR_ywRLT5AUsWUbb4,0.0,ChIJIwC0KwBR_ywRLT5AUsWUbb4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJIwC0KwBR_ywRLT5AUsWUbb4
OPERATIONAL,"4M2H+G5F, Sahan, Nunkolo, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8986947, 'lng': 124.6779273}, 'viewport': {'northeast': {'lat': -9.897351070107277, 'lng': 124.6792752798927}, 'southwest': {'lat': -9.90005072989272, 'lng': 124.6765756201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"SAHAN, KECAMATAN NUNKOLO, TTS",ChIJ1Sj2jD5R_ywRz3__RgkrZ1Y,4.0,ChIJ1Sj2jD5R_ywRz3__RgkrZ1Y,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1Sj2jD5R_ywRz3__RgkrZ1Y
