formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,plus_code,rating,user_ratings_total,opening_hours,url
"Cibatu, Garut Regency, West Java, Indonesia","{'location': {'lat': -7.1036087, 'lng': 107.9876662}, 'viewport': {'northeast': {'lat': -7.042, 'lng': 108.0382049}, 'southwest': {'lat': -7.1220401, 'lng': 107.9593001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cibatu,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116714289618908423505"">esa nile</a>'], 'photo_reference': 'AUGGfZmU9V9w5h5hnb6a7UBsTleInrdr6mBpVyXnSMRX5Pk6OneLdFqiFTdyMmXLC8P-S4NPgODi7Ss-WxXacM-YyFqzAYFyCvpOPMef77gjAfcIRtntK0h_VpCQa474AZX7vU-CKQfTHKTckkFmd22KF9vd4guQX9RxlWeZ99KDSOkzBpwc', 'width': 4160}]",ChIJ31IglIG1aC4RevfEtrmjvNI,ChIJ31IglIG1aC4RevfEtrmjvNI,"['administrative_area_level_3', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ31IglIG1aC4RevfEtrmjvNI
"Cibatu, Garut Regency, West Java, Indonesia","{'location': {'lat': -7.1060245, 'lng': 107.9724429}, 'viewport': {'northeast': {'lat': -7.097748999999999, 'lng': 107.9849959}, 'southwest': {'lat': -7.111050000000001, 'lng': 107.9593001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cibatu,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100953633273504668179"">A Google User</a>'], 'photo_reference': 'AUGGfZmPDseFBKG-U6TzQ8KJWzkDZyaUhYPzLw5XokAYBnx7EnDpRuS14CVfKYnzVrPR5maqkG3mUNZ_GtnHFA73pykm-Dh_01-qQEw2XiDml6b3mAHBY2ATL_oYUjwMj2PAx6k58VcXn7ZqSOHcP6Q0oiAlMn8xRaQTsg_v3JVKfNTvjuk2', 'width': 1920}]",ChIJy0FcScG1aC4Rybel_1PaglI,ChIJy0FcScG1aC4Rybel_1PaglI,"['administrative_area_level_4', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJy0FcScG1aC4Rybel_1PaglI
"Blok Silayung, Karyamukti, Kec. Cibatu, Kabupaten Garut, Jawa Barat 44185, Indonesia","{'location': {'lat': -7.0918863, 'lng': 108.0159302}, 'viewport': {'northeast': {'lat': -7.090104220107277, 'lng': 108.0176574298927}, 'southwest': {'lat': -7.092803879892721, 'lng': 108.0149577701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Silayung Park,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100323016258062020710"">ajami tea</a>'], 'photo_reference': 'AUGGfZnqaVMiwtDIDWjclpA9Xr3Tmntqhh24GhjqDCDcHgI_sfl3eICo-kCB0vpMTCEt3kaZPwwQuDN_ZC3x9e2r4WUy3l3ZKE_T838ay83qlLjncn06DLAUazvhnNLpzjO6bydo-B3v9lT1a819BN5-p_6tq675gCyUyMKR2uitLXqiC3I', 'width': 3000}]",ChIJ9wrHm_61aC4RWAO1fLqhxZQ,ChIJ9wrHm_61aC4RWAO1fLqhxZQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'W258+69 Karyamukti, Garut Regency, West Java, Indonesia', 'global_code': '6P4CW258+69'}",4.5,50.0,,https://www.google.com/maps/place/?q=place_id:ChIJ9wrHm_61aC4RWAO1fLqhxZQ
"Jl. Keresek - Cibatu No.10, Sindangsuka, Kec. Cibatu, Kabupaten Garut, Jawa Barat 44185, Indonesia","{'location': {'lat': -7.051378, 'lng': 107.982536}, 'viewport': {'northeast': {'lat': -7.050034120107277, 'lng': 107.9838988298927}, 'southwest': {'lat': -7.052733779892721, 'lng': 107.9811991701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Permata Farm Garut,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106352352514573262441"">A Google User</a>'], 'photo_reference': 'AUGGfZlifG63tF-cXUEbHbg1J6IPyevcPfrc4QzovtqjSvMY28q8Tk8UTNH5rsUl-LW9KjmRciYhm6Q7LZgmmuNUcYO9Mq1LzZZFee6x95jywulgL1xDXTYP4OhCgTMNJRRHZlUt5VVKkS9bSw0SZVKvEWsuhAgtjOVdecCD5oGBdGM0CG4T', 'width': 4032}]",ChIJYbUXbmnLaC4RuNpuIQ3oyG0,ChIJYbUXbmnLaC4RuNpuIQ3oyG0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'WXXM+C2 Sindangsuka, Garut Regency, West Java, Indonesia', 'global_code': '6P49WXXM+C2'}",4.5,2.0,,https://www.google.com/maps/place/?q=place_id:ChIJYbUXbmnLaC4RuNpuIQ3oyG0
"VXRX+W8, Sukaluyu, Sukawening, Garut Regency, West Java, Indonesia","{'location': {'lat': -7.107645, 'lng': 107.9982767}, 'viewport': {'northeast': {'lat': -7.106285370107277, 'lng': 107.9996932298927}, 'southwest': {'lat': -7.108985029892721, 'lng': 107.9969935701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tujuh Saung Keramat Cibatu Agung,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101146802390427033710"">A Google User</a>'], 'photo_reference': 'AUGGfZmOvjLQQRhPLvoUm3CC17VHAnT8L_DME-N3bMTQg0uerQNfFMtZs1qXdWpljwFr9QXbwJvKjQ8CMYJU34GXW1GQcdqVKqFKwUflD_1Me15RvtmMBelDXxQ-VKMO4YQQNHVoFyY6g-YkSvC0wgc8Pxc2N3SVmGRDDDxiXDs5ZnX9z3ec', 'width': 4160}]",ChIJhQ00BjC1aC4R1QNB7jI3j5Q,ChIJhQ00BjC1aC4R1QNB7jI3j5Q,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,7.0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJhQ00BjC1aC4R1QNB7jI3j5Q
"W235+6C4, Padasuka, Cibatu, Garut Regency, West Java 44185, Indonesia","{'location': {'lat': -7.0969777, 'lng': 108.0085756}, 'viewport': {'northeast': {'lat': -7.0936378, 'lng': 108.00926365}, 'southwest': {'lat': -7.098091, 'lng': 108.00651145}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Kancil,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110401143753936698248"">A Google User</a>'], 'photo_reference': 'AUGGfZnkOSH1TUPb3eL4nlMxiRW3MauUuhMoUMIkYiDjYGSImt2a4w7w2KV1xtOz8vChmHh4PcJJJ4w63iCi7IZ_k8-EnFQDtM1DuOX6u-URts1XX60L7qHVJSqMGC9chV16-MsQ-QCK3Z6BV1579_nso_nwPD1pp013_QLFxJnEGPkl2K19', 'width': 3120}]",ChIJDxcGPXO1aC4RALhjieqUq_4,ChIJDxcGPXO1aC4RALhjieqUq_4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.2,113.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJDxcGPXO1aC4RALhjieqUq_4
"Kp ciawitali No.11, Sukalilah, Kec. Cibatu, Kabupaten Garut, Jawa Barat 44185, Indonesia","{'location': {'lat': -7.072546, 'lng': 107.99932}, 'viewport': {'northeast': {'lat': -7.071232770107279, 'lng': 108.0006893798927}, 'southwest': {'lat': -7.073932429892722, 'lng': 107.9979897201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Si hebat,,ChIJWaZOPmjLaC4RbeGtI9YzWI8,ChIJWaZOPmjLaC4RbeGtI9YzWI8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'WXGX+XP Sukalilah, Garut Regency, West Java, Indonesia', 'global_code': '6P49WXGX+XP'}",5.0,2.0,,https://www.google.com/maps/place/?q=place_id:ChIJWaZOPmjLaC4RbeGtI9YzWI8
"Kp.Kancil, Padasuka, Kec. Cibatu, Kabupaten Garut, Jawa Barat 44185, Indonesia","{'location': {'lat': -7.0943961, 'lng': 108.0055331}, 'viewport': {'northeast': {'lat': -7.093031620107277, 'lng': 108.0068944298927}, 'southwest': {'lat': -7.095731279892721, 'lng': 108.0041947701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BATAVIA FARM,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102265968729788684637"">Tita Rosita</a>'], 'photo_reference': 'AUGGfZnoZs0WEdkkO1Tcr-Q92e8G6QBQoWXjDo8KjokARRVoIwjoeijmN1i7diiYlmYZbh3czKasoPvpjzTdIh6mfKUUsJB07ne9KloSvTAPGKAvL5bfeqzhbFkeZi9wAsmgdYsG3xuiOpzp9ZEYufd87k6sBz1hN_Xn-dng-TOrycg_FnTO', 'width': 3468}]",ChIJfQNKXWy1aC4ROCDUL5v_x7g,ChIJfQNKXWy1aC4ROCDUL5v_x7g,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'W244+66 Padasuka, Garut Regency, West Java, Indonesia', 'global_code': '6P4CW244+66'}",4.0,4.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJfQNKXWy1aC4ROCDUL5v_x7g
"W222+J99, Padasuka, Cibatu, Garut Regency, West Java 44185, Indonesia","{'location': {'lat': -7.0982693, 'lng': 108.0014909}, 'viewport': {'northeast': {'lat': -7.097044870107278, 'lng': 108.0027420798927}, 'southwest': {'lat': -7.099744529892722, 'lng': 108.0000424201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebon Cengkeh,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103755098957478984958"">A Google User</a>'], 'photo_reference': 'AUGGfZlSM1_2UHOboML0u0qBtU8m3Q9yXCVTBNkwPDqeFZgP8CvKLsTQr_mFxwEdbfLOmwbqH-S4g-iU9y03aEVyg-9mhcs1J9LutiQ2zJIOeYaTrcW53xqrhL0uqBYCBn_nyNOCkxNWOFwrr3gB_Jrvpot2Ew-gnXByKCE-wJ4yHwB65L1q', 'width': 1952}]",ChIJx_qkZfi1aC4RkcNqhxBnnzg,ChIJx_qkZfi1aC4RkcNqhxBnnzg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,2.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJx_qkZfi1aC4RkcNqhxBnnzg
"Jl. Sukamerang - Karesek, Sukalilah, Kec. Cibatu, Kabupaten Garut, Jawa Barat 44185, Indonesia","{'location': {'lat': -7.0726724, 'lng': 108.0030212}, 'viewport': {'northeast': {'lat': -7.071327470107278, 'lng': 108.0043650298927}, 'southwest': {'lat': -7.074027129892722, 'lng': 108.0016653701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Kang Ndad,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109493065443765343701"">A Google User</a>'], 'photo_reference': 'AUGGfZkft4_E5VMx1MID8ujQj7tXAYq8BU3IHj-LTn-wtn_gWzKyvVPzutRNJkfXDVsP2ZYXTjC8ChH8O0LorsjUVR3k9oSOqekRsSBGg9pemehJCALj-Usn05P7PA0obK5KUcYo232qCAApajK_PYlr1APGMGCRquR_Nd_0sCOL7GQd2K8a', 'width': 2560}]",ChIJ9bBpomHLaC4R_-kH-tAwxTU,ChIJ9bBpomHLaC4R_-kH-tAwxTU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'W2G3+W6 Sukalilah, Garut Regency, West Java, Indonesia', 'global_code': '6P4CW2G3+W6'}",5.0,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJ9bBpomHLaC4R_-kH-tAwxTU
