formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,opening_hours,rating,user_ratings_total,plus_code,url
"Ungaran, Ungaran Timur, Semarang Regency, Central Java, Indonesia","{'location': {'lat': -7.136430799999999, 'lng': 110.4098775}, 'viewport': {'northeast': {'lat': -7.1047183, 'lng': 110.4294471}, 'southwest': {'lat': -7.1727489, 'lng': 110.349993}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ungaran,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116683165934731085150"">kapsul</a>'], 'photo_reference': 'AUGGfZnKOq1ODtVneevSFzKZouuPrjiKj2gy7SpfsHmuN6ill6kpfDwrOZxT4yilCs_nBxPIYBRprxe_ErZCH5tS70eskVrn_fUcnJWARxjlCNszNKGjchJgArLVhWjLtuAKiAUDwbexk1RABudnQXs_jqW3sZP_x7w5u-sc_y5HvTZIDkGX', 'width': 5472}]",ChIJGXaKWGiPcC4RYR4ojvXWJXg,ChIJGXaKWGiPcC4RYR4ojvXWJXg,"['locality', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJGXaKWGiPcC4RYR4ojvXWJXg
"VC8P+CWJ, Rejowinangun, Kalongan, Kec. Ungaran Tim., Kabupaten Semarang, Jawa Tengah 50519, Indonesia","{'location': {'lat': -7.1339171, 'lng': 110.4372585}, 'viewport': {'northeast': {'lat': -7.132574720107278, 'lng': 110.4386224798927}, 'southwest': {'lat': -7.135274379892722, 'lng': 110.4359228201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Wisata Kalongan,"[{'height': 3088, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107257186938052433957"">A Google User</a>'], 'photo_reference': 'AUGGfZmo2U05EqvffaidGcPgqLYnnW0FtejOfrpCfNuSCmupVk1h_eZiv2VLvU4B-47yx1ekUjTBWxJW8FHl_hFck_a2PsjRISB0n5wDsdrqK6wnguHluyzoS_taGnxbq8pK2yynohTf4UL04kB_55DqThH1TzWb4kiAxFXZWOIqnHvp1UmO', 'width': 3088}]",ChIJa-ItbPaPcC4R0CyfOh7c_gc,ChIJa-ItbPaPcC4R0CyfOh7c_gc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.9,247.0,,https://www.google.com/maps/place/?q=place_id:ChIJa-ItbPaPcC4R0CyfOh7c_gc
"VC75+XPM, Jl. Ahmad Yani, Putotan, Sidomulyo, Kec. Ungaran Tim., Kabupaten Semarang, Jawa Tengah 50514, Indonesia","{'location': {'lat': -7.1350319, 'lng': 110.4093029}, 'viewport': {'northeast': {'lat': -7.133632870107276, 'lng': 110.4105257298927}, 'southwest': {'lat': -7.13633252989272, 'lng': 110.4078260701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Alun-Alun Mini Kota Ungaran,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118016091731435537693"">joko sriyono</a>'], 'photo_reference': 'AUGGfZkoonHfF-vNiFgkvhfKA8xjshyCb7miC0upQbY9UAo-rOV0tjtu17_xX3tnr6G3nuGX_9cYUip81rPXBNtEmZo_oMx4GK17HbBKvgZIN2UEbYFc-G4uVdw8qUXYPxLkj79Jlfp1KzU3_BlYX7xpUXYFrxu_w_6BswmG7vTZIURO19Ig', 'width': 4160}]",ChIJb2Rsx6aIcC4RlUt-hX8qa5s,ChIJb2Rsx6aIcC4RlUt-hX8qa5s,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.5,4305.0,,https://www.google.com/maps/place/?q=place_id:ChIJb2Rsx6aIcC4RlUt-hX8qa5s
"V965+82, Sekartejo, Kalisidi, Kec. Ungaran Bar., Kabupaten Semarang, Jawa Tengah, Indonesia","{'location': {'lat': -7.139157399999999, 'lng': 110.3576003}, 'viewport': {'northeast': {'lat': -7.137712020107277, 'lng': 110.3589384798927}, 'southwest': {'lat': -7.140411679892721, 'lng': 110.3562388201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Grojogan Sekartejo,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111526485642999444973"">rudi himawan</a>'], 'photo_reference': 'AUGGfZnLlirV7lus1yEq7KRbBSesmcNOpcj_ozyLBNXT-J1KPi_T_3lMjCm8Z5G4z2DOKcUNMO0ATZ61r9rMbpzD9WKEs6lPI8jLjO-LnKzslsko6Tfr833sj9e725dD3n-u7pZgW6Ok9-7ezRvY1IQ75LoPC5p0nC2o_tPTQSXhV-dUKG5K', 'width': 3024}]",ChIJVbts0MqJcC4RZvYVGipjetQ,ChIJVbts0MqJcC4RZvYVGipjetQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.9,15.0,,https://www.google.com/maps/place/?q=place_id:ChIJVbts0MqJcC4RZvYVGipjetQ
"Mount Ungaran, Hutan, Ungaran Barat, Semarang Regency, Central Java, Indonesia","{'location': {'lat': -7.1836111, 'lng': 110.3483333}, 'viewport': {'northeast': {'lat': -7.1725406, 'lng': 110.3643407}, 'southwest': {'lat': -7.1946814, 'lng': 110.3323259}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mount Ungaran,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107068812242785655440"">Rufan Beethoven</a>'], 'photo_reference': 'AUGGfZkBz-wC4wonh8ZBb0nK_5wKA2g4piakqt10hNDwkMjs2_shsO2-D1GVuhsH4I6slDoxdx5liaAdY9EaoqwZgnxasy1JLcO5R8umqQvcq6RZuIa0VqetxIJvnWrFfYFzgcD_y_ezzDkpmdoQh2F4oZu6p5B6iV2-Tm4kJS237FRidoi0', 'width': 2048}]",ChIJBTdDc3aHcC4RUhV98f98GEU,ChIJBTdDc3aHcC4RUhV98f98GEU,"['natural_feature', 'establishment']",,,4.6,970.0,,https://www.google.com/maps/place/?q=place_id:ChIJBTdDc3aHcC4RUhV98f98GEU
"Jl. Jati Raya, Kalipasir, Kalirejo, Kec. Ungaran Tim., Kabupaten Semarang, Jawa Tengah 50515, Indonesia","{'location': {'lat': -7.1343891, 'lng': 110.4201779}, 'viewport': {'northeast': {'lat': -7.133007920107278, 'lng': 110.4216788298927}, 'southwest': {'lat': -7.135707579892722, 'lng': 110.4189791701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Alun-Alun Bung Karno,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107771631501728865110"">Meta Tangkere</a>'], 'photo_reference': 'AUGGfZme6efaswA_qhs--04iDfvSXbDpEDLtBTfQPJ4qulIlZfCAa1fgpNgHPul-2JMCABYK1aI1JnhIRkBkD1Sqydpd3uinUbKZOP9cnN_MDgv5AqK4PGLYx7Z3Xvgv-ByqZHDNWH3yC28N-capAG-oLx-tq5-ibHa-JPD1X6nsYk5RLkQg', 'width': 4160}]",ChIJ9Ua_TKmIcC4RXAE5KOJyYJU,ChIJ9Ua_TKmIcC4RXAE5KOJyYJU,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,,4.6,10621.0,"{'compound_code': 'VC8C+63 Kalirejo, Semarang Regency, Central Java, Indonesia', 'global_code': '6P4GVC8C+63'}",https://www.google.com/maps/place/?q=place_id:ChIJ9Ua_TKmIcC4RXAE5KOJyYJU
"West Ungaran, Ungaran Barat, Semarang Regency, Central Java, Indonesia","{'location': {'lat': -7.1361484, 'lng': 110.395438}, 'viewport': {'northeast': {'lat': -7.1047183, 'lng': 110.4194231}, 'southwest': {'lat': -7.1727489, 'lng': 110.349993}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,West Ungaran,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101629554576441663659"">Agus Nugroho</a>'], 'photo_reference': 'AUGGfZlG-XsCngA7dQSZCCwqEVpCftwv2ktMt5_lAZ6txPqfKTqNdj1tofEsY5i-y9U2N5owZ08Ygs7QTMcpShESP_icWB5cHkrZaLCoZ8_6nLfJ8eQCKQgjcLRRvvPT5JGjt0k9JjLvqXVjnAAMrwteKzbigeUA8aPYbR_Jidk_LMxcWqD-', 'width': 3120}]",ChIJd3M1ooaIcC4Ru21TIJ7HRWo,ChIJd3M1ooaIcC4Ru21TIJ7HRWo,"['locality', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJd3M1ooaIcC4Ru21TIJ7HRWo
"RT.02/RW.2, Leureup, Lerep, Ungaran Barat, Semarang Regency, Central Java 50519, Indonesia","{'location': {'lat': -7.134968, 'lng': 110.3818058}, 'viewport': {'northeast': {'lat': -7.133534170107278, 'lng': 110.3831760298927}, 'southwest': {'lat': -7.136233829892721, 'lng': 110.3804763701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Tourism Village Lerep,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113443190822473384163"">A Google User</a>'], 'photo_reference': 'AUGGfZmmZoPj-PMIMJSDet0QmVcsTDLPWwJCLCL8GldYZp8RBq5cX8HsUPgN5HAWoMbJ1sgnQL2oQOv_ALqsgpey3xR5fW4N60nB468Vm-biExbB3EhMi0H83m1vpNZEBLKu7JYiIbUXwP9wozTS4GLP9TaNViKnu9OCgpS3Uf_qiH3Du2oH', 'width': 4160}]",ChIJa7TEyIaIcC4RpyK4kNFVAP0,ChIJa7TEyIaIcC4RpyK4kNFVAP0,"['campground', 'cafe', 'tourist_attraction', 'lodging', 'park', 'food', 'store', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},4.7,923.0,"{'compound_code': 'V98J+2P Lerep, Semarang Regency, Central Java, Indonesia', 'global_code': '6P4GV98J+2P'}",https://www.google.com/maps/place/?q=place_id:ChIJa7TEyIaIcC4RpyK4kNFVAP0
"Truko, Branjang, Ungaran Barat, Semarang Regency, Central Java 50519, Indonesia","{'location': {'lat': -7.1108017, 'lng': 110.3609088}, 'viewport': {'northeast': {'lat': -7.109417770107278, 'lng': 110.3622679798927}, 'southwest': {'lat': -7.112117429892722, 'lng': 110.3595683201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Wisata Branjang,"[{'height': 3064, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115565459690415176145"">A Google User</a>'], 'photo_reference': 'AUGGfZkOypy-6_UhQ_6eQEDLVwcpLj271PD45zuQH9uxX6oUwIJ61MF4RErGqaH5YYWQuQDAi03iKoA90VFzBStm-z1I6QAumeNbKKlsZDwh32ms_Kg4R582DbHjvVxY1RXgZN2mIwE71b0rXhebgpDIomtRWsJ8P6byRTiSs4T0R9Z9rk5U', 'width': 5456}]",ChIJLT_WU7mJcC4RPQ2po9zPdP4,ChIJLT_WU7mJcC4RPQ2po9zPdP4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.8,43.0,"{'compound_code': 'V9Q6+M9 Branjang, Semarang Regency, Central Java, Indonesia', 'global_code': '6P4GV9Q6+M9'}",https://www.google.com/maps/place/?q=place_id:ChIJLT_WU7mJcC4RPQ2po9zPdP4
"Unnamed Road, Ungaran Bar., 50519, Dersuni, Branjang, Ungaran Barat, Semarang Regency, Central Java 50519, Indonesia","{'location': {'lat': -7.121240299999999, 'lng': 110.3525205}, 'viewport': {'northeast': {'lat': -7.119801570107277, 'lng': 110.3538956298927}, 'southwest': {'lat': -7.122501229892721, 'lng': 110.3511959701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Budaya Iriban Desa Branjang,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103587035907689223379"">Adira Savitri</a>'], 'photo_reference': 'AUGGfZmOUsZkeHgHgkN4he34tuo-thkkCh11HSqxxTRke2YY42rq7n2Pa5SWBIsJq5q-X8AgJQUGrDMvP-vRKjcGjDBNqXLoZdltETohw0DCOMwhJdDLmLeIJdDevv2TdAkLgEvuXhI45j6ZxpVdCYKt999r9HLihclmX6ghbdJlyolyPHBr', 'width': 4032}]",ChIJQ4c7KemJcC4RH2kFcmUNXvQ,ChIJQ4c7KemJcC4RH2kFcmUNXvQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,13.0,"{'compound_code': 'V9H3+G2 Branjang, Semarang Regency, Central Java, Indonesia', 'global_code': '6P4GV9H3+G2'}",https://www.google.com/maps/place/?q=place_id:ChIJQ4c7KemJcC4RH2kFcmUNXvQ
