business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,plus_code,url
OPERATIONAL,"V296+5M, Sudan, Cempaga Hulu, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.1320048, 'lng': 113.0116894}, 'viewport': {'northeast': {'lat': -2.130408970107278, 'lng': 113.0129119798927}, 'southwest': {'lat': -2.133108629892722, 'lng': 113.0102123201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Cempaga,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115557599162495602610"">Fadly Saddam</a>'], 'photo_reference': 'AUGGfZmqfH4p7EZ3du1Hf_U8moIAcwcrOltqthVJdR2nPs2IIjBOJOPE2jpxS866RPg5mTe2jC3903ZnnC-HW4Yombh2rVH8xWKZZvohf4pIVpRnW8im2HrTQ9I2VgE2oP59zzuQzPEl2_WM517WjMW-_Q0adpsWpb_3enaJpJs8_LN0lUrD', 'width': 1920}]",ChIJYV_suLQ3_S0RzgS6HymvfdQ,4.0,ChIJYV_suLQ3_S0RzgS6HymvfdQ,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJYV_suLQ3_S0RzgS6HymvfdQ
CLOSED_TEMPORARILY,"2523+8H, Pantai Harapan, Cempaga Hulu, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.9992202, 'lng': 113.1539155}, 'viewport': {'northeast': {'lat': -1.997870370107277, 'lng': 113.1552653298927}, 'southwest': {'lat': -2.000570029892722, 'lng': 113.1525656701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gardu pandang,,ChIJ8bfUhpk9_S0RP3kJ3mkKTbs,0.0,ChIJ8bfUhpk9_S0RP3kJ3mkKTbs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ8bfUhpk9_S0RP3kJ3mkKTbs
CLOSED_TEMPORARILY,"2435+VQ9, Pantai Harapan, Cempaga Hulu, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.9953485, 'lng': 113.1094737}, 'viewport': {'northeast': {'lat': -1.993405220107278, 'lng': 113.1108235298927}, 'southwest': {'lat': -1.996104879892723, 'lng': 113.1081238701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PNBE,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101129886546039006197"">A Google User</a>'], 'photo_reference': 'AUGGfZkaDOx7Kj1ukAmQ3GXgkYnsTQskXAZ5OsOcioaTcjZ_grWHgwf49KXW8-_v9bOI9evopSvsZsbsjTzCo82PPZqd_g2UKiK9njX8IQZiSYa0lP8-fTipsTXAy99Elc5ibJ3fHI4sfM3Vra0A1Q_Cvx1zIQ3ngI5UfztX0KUvOCZBjBln', 'width': 1080}]",ChIJwwgBFGo9_S0R4PEYDlLzoEo,0.0,ChIJwwgBFGo9_S0R4PEYDlLzoEo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJwwgBFGo9_S0R4PEYDlLzoEo
OPERATIONAL,"6R9P+VJR, Merah, Parenggean, East Kotawaringin Regency, Central Kalimantan 74355, Indonesia","{'location': {'lat': -1.780263, 'lng': 112.836502}, 'viewport': {'northeast': {'lat': -1.778913170107278, 'lng': 112.8378518298927}, 'southwest': {'lat': -1.781612829892722, 'lng': 112.8351521701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BUKIT AGRO MULYO,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116313223975217830970"">A Google User</a>'], 'photo_reference': 'AUGGfZlkfLxgLye22lAU8X11P2_Gs9kB4Jt2VLTR-0Por1L2_h5LPY2uOnwu3DVpnR5YkB0-l1H4C-aN69jfptZ8iabxA2Ydyu6zZ96uIKUt4Sx5KAB7QAl4Tjz5MY5cREDv4q6a9lu1CbvdTH8N1LsXHgzXhn7UbNyvM_tx7f8vNIy0aTZJ', 'width': 4560}]",ChIJS7F9PJdx_S0RbZ_dpzR0y-g,4.6,ChIJS7F9PJdx_S0RbZ_dpzR0y-g,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,,,https://www.google.com/maps/place/?q=place_id:ChIJS7F9PJdx_S0RbZ_dpzR0y-g
OPERATIONAL,"Jl. Cilik Riwut km.53 no.1 /163, RT.006/RW.002, Rubung Buyung, Kec. Cempaga, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74354, Indonesia","{'location': {'lat': -2.1816583, 'lng': 112.9757067}, 'viewport': {'northeast': {'lat': -2.180298170107278, 'lng': 112.9769101298927}, 'southwest': {'lat': -2.182997829892722, 'lng': 112.9742104701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ANZU agrimart,,ChIJA_Cp-xZJ_S0Rt9kYRdRrw2k,5.0,ChIJA_Cp-xZJ_S0Rt9kYRdRrw2k,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,{'open_now': True},"{'compound_code': 'RX9G+87 Rubung Buyung, East Kotawaringin Regency, Central Kalimantan, Indonesia', 'global_code': '6P9JRX9G+87'}",https://www.google.com/maps/place/?q=place_id:ChIJA_Cp-xZJ_S0Rt9kYRdRrw2k
OPERATIONAL,"Jl. Cilik Riwut, Bukit Batu, Kec. Cempaga Hulu, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74354, Indonesia","{'location': {'lat': -2.0137079, 'lng': 113.0039914}, 'viewport': {'northeast': {'lat': -2.012442920107278, 'lng': 113.0053415798927}, 'southwest': {'lat': -2.015142579892722, 'lng': 113.0026419201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lintang Batang Hortifarm,"[{'height': 2248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113783214165017376244"">catur p u</a>'], 'photo_reference': 'AUGGfZnrdp3WkaPkNQBKQOdWv8fLsj3niTaV8kRmHJpZZsept5Pr5IHs2F5vAYrOxFkr-wbtu0nS9fZlZyNWRWR2FtMOJOllpzD90Z7XSAtZhNeHwr8Ln1rTIXy3b-8ox6z9-aNJz9JwtyZCwsn8d9y_MuPZ7bsHkP98mMNEpRSDSp4Sll65', 'width': 4000}]",ChIJLYsWQuY__S0Rp0N4B6cb1-k,4.2,ChIJLYsWQuY__S0Rp0N4B6cb1-k,"['tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']",78,,{'open_now': False},"{'compound_code': 'X2P3+GH Bukit Batu, East Kotawaringin Regency, Central Kalimantan, Indonesia', 'global_code': '6P9MX2P3+GH'}",https://www.google.com/maps/place/?q=place_id:ChIJLYsWQuY__S0Rp0N4B6cb1-k
OPERATIONAL,"36HR+J2, Hampalit, Katingan Hilir, Katingan Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.9209332, 'lng': 113.2400114}, 'viewport': {'northeast': {'lat': -1.919453520107278, 'lng': 113.2414286298927}, 'southwest': {'lat': -1.922153179892722, 'lng': 113.2387289701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fishing,,ChIJ0UCopicZ_S0Ra1-3QLCBZSY,0.0,ChIJ0UCopicZ_S0Ra1-3QLCBZSY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0UCopicZ_S0Ra1-3QLCBZSY
OPERATIONAL,"XWCH+2V4, Pelantaran, Cempaga Hulu, East Kotawaringin Regency, Central Kalimantan 74354, Indonesia","{'location': {'lat': -2.0299934, 'lng': 112.9297109}, 'viewport': {'northeast': {'lat': -2.028643570107278, 'lng': 112.9310607298927}, 'southwest': {'lat': -2.031343229892723, 'lng': 112.9283610701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Kebun RC,,ChIJnQP3mTxB_S0Rh6crUgeSCuY,0.0,ChIJnQP3mTxB_S0Rh6crUgeSCuY,"['park', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJnQP3mTxB_S0Rh6crUgeSCuY
OPERATIONAL,"JX7X+PCH, Luwuk Bunter, Cempaga, East Kotawaringin Regency, Central Kalimantan 74353, Indonesia","{'location': {'lat': -2.3856838, 'lng': 112.9986012}, 'viewport': {'northeast': {'lat': -2.384602249999999, 'lng': 113.0011638}, 'southwest': {'lat': -2.38892845, 'lng': 112.997747}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Sungai Mentaya / Cempaga,,ChIJPVczutq34i0RsaUmB3bCUsA,5.0,ChIJPVczutq34i0RsaUmB3bCUsA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJPVczutq34i0RsaUmB3bCUsA
CLOSED_TEMPORARILY,"8W6J+69, Tumbang Koling, Cempaga Hulu, East Kotawaringin Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.6894033, 'lng': 112.9309817}, 'viewport': {'northeast': {'lat': -1.688052020107278, 'lng': 112.9327141798927}, 'southwest': {'lat': -1.690751679892722, 'lng': 112.9300145201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penangkaran Burung Hantu PT.BHL,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106022851802390009254"">A Google User</a>'], 'photo_reference': 'AUGGfZmNiKn5Q2_es7tRm7onPus40T8c0mPqSo5pnnr8Tt3Vhj-X904uu6ErE49bYFiUmPZy31Bp8Jtk4UN8RszxmzKtC16KdAnOkleLdST-lt9XAlpFBBWAuDXoYHtqUUxKmxIU8TPMKyWRDEZcAa3W6sD_HJ7NbNU649RyCqb9eUY9Cz8q', 'width': 2448}]",ChIJHZzmmN91_S0RzVVe1-yLBcs,1.0,ChIJHZzmmN91_S0RzVVe1-yLBcs,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,,,https://www.google.com/maps/place/?q=place_id:ChIJHZzmmN91_S0RzVVe1-yLBcs
