formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,opening_hours,photos,rating,user_ratings_total,plus_code,permanently_closed,url
"Tanimbar Islands, Maluku, Indonesia","{'location': {'lat': -7.5322642, 'lng': 131.3611121}, 'viewport': {'northeast': {'lat': -6.653411, 'lng': 132.008396}, 'southwest': {'lat': -8.345391, 'lng': 130.7557579}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanimbar Islands,ChIJJ_lzRAspJy0R9Nu1pW3cJOc,ChIJJ_lzRAspJy0R9Nu1pW3cJOc,"['administrative_area_level_2', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ_lzRAspJy0R9Nu1pW3cJOc
"272Q+G9J, Olilit, South Tanimbar, Tanimbar Islands, Maluku, Indonesia","{'location': {'lat': -7.9986684, 'lng': 131.2883863}, 'viewport': {'northeast': {'lat': -7.997333870107276, 'lng': 131.2900703298927}, 'southwest': {'lat': -8.00003352989272, 'lng': 131.2873706701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Pertamina,ChIJ0deB2DZVJy0ROlf-TNoDsxU,ChIJ0deB2DZVJy0ROlf-TNoDsxU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109635119131399635763"">aing sikasep</a>'], 'photo_reference': 'AUGGfZmXPdJEMGqk-j_NU2PaTvliZ9XTY0C4OaFszCEpF3JSbEeZ1MW-F9i_Y-sgcGxAcpOK5Wix_ZtE1j8ovB5hj_OW8Hs6pNgXyJdSS91-97nwk8jLe3ZpeL0eop9JIL7y_QSL0Rf9Na3PPm6wsvdDsCTzTaLOvZ3KIVZv7VL_ZHiOKM5j', 'width': 4128}]",4.3,66.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0deB2DZVJy0ROlf-TNoDsxU
"W7V9+4W5, Olilit, South Tanimbar, Tanimbar Islands, Maluku, Indonesia","{'location': {'lat': -8.0572342, 'lng': 131.2698445}, 'viewport': {'northeast': {'lat': -8.055884370107277, 'lng': 131.2711943298928}, 'southwest': {'lat': -8.058584029892721, 'lng': 131.2684946701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sembunyi,ChIJ4UqCkyhV3ywRr46lfXpYlBM,ChIJ4UqCkyhV3ywRr46lfXpYlBM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115240804000928051310"">imam hamzah</a>'], 'photo_reference': 'AUGGfZm2XicMd4wjTB7bxp2EUl9bzIvEO6eTBf2mhrTjGy8532QaLe4wzegS48TCPhzJsIzrPtDzhY0hX8wl6ek1LnEwacz76Azgp2Kyuj3hjGRUuQR2EGD30tiJQGX_u2_EObTQVPLPNLHcwdRmZSfzHLuLMufc4-PqoKl4IB08ZOr5egjF', 'width': 4640}]",4.6,28.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ4UqCkyhV3ywRr46lfXpYlBM
"X8P3+V2P, Olilit, South Tanimbar, Tanimbar Islands, Maluku, Indonesia","{'location': {'lat': -8.0128152, 'lng': 131.3026571}, 'viewport': {'northeast': {'lat': -8.011378320107278, 'lng': 131.3040411798927}, 'southwest': {'lat': -8.014077979892722, 'lng': 131.3013415201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Monumen Kristus Raja Saumlaki,ChIJhWAYMWdVJy0Rse3OEIDoxBM,ChIJhWAYMWdVJy0Rse3OEIDoxBM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 2832, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101439377141555450156"">Artur Anuszewski</a>'], 'photo_reference': 'AUGGfZk9ZZTk0AUwTCtnbtehvb_Ivfwg55s64XaRYPj34StWdvF5kGUY6OUXBKLCivkg-mJ0oszgxgicwiAm9Ph3ZELPnAB-w1RPu81fHgutq9kko18pkRAtQFIfLtEzNH0WOOyjPvs6KyYDbik-2ZWq98PaH98Wdd4xSqa2kabNxTDOdGQz', 'width': 4240}]",4.1,54.0,,,https://www.google.com/maps/place/?q=place_id:ChIJhWAYMWdVJy0Rse3OEIDoxBM
"584Q+G8G, Jl. Mangkawar, Tumbur, Wer Tamrian, Kab. Kepulauan Tanimbar, Maluku, Indonesia","{'location': {'lat': -7.843699000000001, 'lng': 131.3383287}, 'viewport': {'northeast': {'lat': -7.842349170107277, 'lng': 131.3396785298928}, 'southwest': {'lat': -7.845048829892721, 'lng': 131.3369788701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Lorulun,ChIJn0Bq1JRNJy0RIZmDqnoRV_U,ChIJn0Bq1JRNJy0RIZmDqnoRV_U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115139968537594017111"">A Google User</a>'], 'photo_reference': 'AUGGfZlCdVzX3e5JcXF1dbP8HZg589YLx-Uw__TAc7NnI812_rnrzJn51tDTEBLaOQs2hQQRbEdVHb8Cvb23orzcEyWI-KA8HBGyov8F6UqC1fTTeCE3CLoZ9c2EkUp1jBthvBLtjvgPooxTlikaVEEHj8FTGeW5b-ibfy6aI3Rd56rlnQxY', 'width': 4032}]",4.5,12.0,,,https://www.google.com/maps/place/?q=place_id:ChIJn0Bq1JRNJy0RIZmDqnoRV_U
"X8P6+VMP, Olilit, South Tanimbar, Tanimbar Islands, Maluku, Indonesia","{'location': {'lat': -8.012796699999999, 'lng': 131.3117108}, 'viewport': {'northeast': {'lat': -8.011317470107278, 'lng': 131.3129560798927}, 'southwest': {'lat': -8.014017129892721, 'lng': 131.3102564201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Weluan Beach,ChIJ-4oXpXxVJy0RyK5ZiywJbwU,ChIJ-4oXpXxVJy0RyK5ZiywJbwU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105888813968940432544"">Boby Barnita</a>'], 'photo_reference': 'AUGGfZmJ9QkccqZusWpdTuUiTJh3-MhXMqSs0X9VRNoUjirfay1ptx3uXyG39Yg6tC_oyvtNDsN2lRgNxJ43KTO7fQLqpb8vQuE2DxKHZuWbgUVW5wPK0qvaEOqriV-AyZIgpf32qwOtGihbrFI1do1I09DOGphwzo_nZzoi8nHwW2aSJZJ8', 'width': 4160}]",4.4,184.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ-4oXpXxVJy0RyK5ZiywJbwU
"6FRJ+5WM, Sangliat Dol, Wer Tamrian, Tanimbar Islands, Maluku, Indonesia","{'location': {'lat': -7.7595365, 'lng': 131.4823112}, 'viewport': {'northeast': {'lat': -7.758190270107279, 'lng': 131.4836926298927}, 'southwest': {'lat': -7.760889929892723, 'lng': 131.4809929701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perahu Batu,ChIJOWwFP5ZHJy0R5-gLe95c7vI,ChIJOWwFP5ZHJy0R5-gLe95c7vI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101903260159937588073"">Rey Aryesam</a>'], 'photo_reference': 'AUGGfZkurPBei5EyEEE7Jo0RKw84TNJczoYv8cCfnoEViRyZU5rcrMOVPeb-bk3BtuiNJBMQWTWikNq2s6iIX6ZzWYlmVXG7VqqBzcaEQfx8l6pqStdkJ6o84IbLp8RkzV1Xe1NVfxMItU_2i6VPIibxTuh0tHRD-IiZLrI99oQNlUHtR2FO', 'width': 3456}]",4.8,10.0,,,https://www.google.com/maps/place/?q=place_id:ChIJOWwFP5ZHJy0R5-gLe95c7vI
"MR5C+C8, Fursui, Tanimbar Islands, Maluku, Indonesia","{'location': {'lat': -8.341459799999999, 'lng': 130.820819}, 'viewport': {'northeast': {'lat': -8.340109970107278, 'lng': 130.8221688298927}, 'southwest': {'lat': -8.342809629892722, 'lng': 130.8194691701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batar kusu,ChIJK9GomzJt3ywR4gTtC06wAss,ChIJK9GomzJt3ywR4gTtC06wAss,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 813, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101986471558840203194"">A Google User</a>'], 'photo_reference': 'AUGGfZlOVghSe4LfzbPl0thcCyoddu_jftB89Nwzvek9VBcNnrH1y9ugi-VknmNywT6G3ive55_6jEPLo3wM_TpcKCOywtStrDeYeiSQ1oek5XDUJ1fd1Y6nGgukBGdEtbJ56tWVbsN-u3rk9USxv_3iTpA6UPConk3EgVjNYEU4o-_Q-F76', 'width': 540}]",5.0,2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJK9GomzJt3ywR4gTtC06wAss
"48HX+39F, Desa, Tumbur, Wer Tamrian, Kab. Kepulauan Tanimbar, Maluku, Indonesia","{'location': {'lat': -7.8723162, 'lng': 131.3484205}, 'viewport': {'northeast': {'lat': -7.870932970107275, 'lng': 131.3497368798927}, 'southwest': {'lat': -7.873632629892719, 'lng': 131.3470372201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Tebing Putih,ChIJi9inBvdNJy0R-yowoQy6d2w,ChIJi9inBvdNJy0R-yowoQy6d2w,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107198517845898536895"">Armigo Melleng</a>'], 'photo_reference': 'AUGGfZlUh-ITe70ZBesfr9BHW3YzR6pIQu4vmHcjo_H4VsPJPIPZOdNnrD6Tvb8m_dHfvGp1n-YxjCvupbcIDAjPCk8qK2WQ02YEnKpNrWFKJYoiHR0wF-WLFNNid2o9CMEe_wA7jYukaQEYjP57gf-0LD5VY2-DCswpZkde2H7XF-WLMKMQ', 'width': 4096}]",4.2,11.0,,,https://www.google.com/maps/place/?q=place_id:ChIJi9inBvdNJy0R-yowoQy6d2w
"284H+433, Jl. Matilda Batlyare, Desa Sifnana Omele, Olilit, South Tanimbar, Tanimbar Islands, Maluku, Indonesia","{'location': {'lat': -7.994724999999999, 'lng': 131.32766}, 'viewport': {'northeast': {'lat': -7.993038370107278, 'lng': 131.3289463798927}, 'southwest': {'lat': -7.995738029892721, 'lng': 131.3262467201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Raja Lima (Batu Yadin),ChIJsUtNLE5VJy0RaqxVM_KZWkw,ChIJsUtNLE5VJy0RaqxVM_KZWkw,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113886489022220582607"">A Google User</a>'], 'photo_reference': 'AUGGfZmJ-RGv1MWxbVm6Jz5IIqfNfW5K8v_liK9rNXMWM8P9ajkFSRv5CKAz6MbrV-W0JZDsTSS0yuzTqCF6-fHCWQDzshV7mCYwYp_cTAWzZfuz9UIBbmW_5BehRcn4g7P9SXVtBUGJoqA78Ax8NuhpOnkzJ_qNw-hL17WTil0UkbuXh8hw', 'width': 4032}]",4.4,32.0,,,https://www.google.com/maps/place/?q=place_id:ChIJsUtNLE5VJy0RaqxVM_KZWkw
