formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,permanently_closed,url
"Yahukimo regency, Papua, Indonesia","{'location': {'lat': -4.493971699999999, 'lng': 139.5279996}, 'viewport': {'northeast': {'lat': -3.609206, 'lng': 140.2529181}, 'southwest': {'lat': -5.1690071, 'lng': 138.8337369}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yahukimo regency,"[{'height': 1368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115982155844742784277"">ortho</a>'], 'photo_reference': 'AUGGfZkmItUWxk2ATGaw5VLPkMVb4Wj80AcYHw2oqZdggeDmq2xZEA-j1_YdBUE0LZ9y10pApCIVuYOLq1vzlOOqdokCv5PSvCvKwOY1EyzwfZ1GpvWb7xtcPBXuJrgecAAxemrWVRxUnx6Q7thzQC88hzrg3bYb-cbRypGx9dgZjlMPYg0H', 'width': 1824}]",ChIJgzjEymgIP2gRnHAFyeSDzCY,ChIJgzjEymgIP2gRnHAFyeSDzCY,"['administrative_area_level_2', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJgzjEymgIP2gRnHAFyeSDzCY
"MWPP+484, Lua, Ukha, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.3147362, 'lng': 138.935814}, 'viewport': {'northeast': {'lat': -4.313386370107277, 'lng': 138.9371638298927}, 'southwest': {'lat': -4.316086029892721, 'lng': 138.9344641701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Bill,,ChIJf74wYgBjPmgRDcFiI0H7EJc,ChIJf74wYgBjPmgRDcFiI0H7EJc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJf74wYgBjPmgRDcFiI0H7EJc
"4FQV+7Q, Kuaserama, Dekai, Yahukimo regency, Papua, Indonesia","{'location': {'lat': -4.8617685, 'lng': 139.4944932}, 'viewport': {'northeast': {'lat': -4.860690870107279, 'lng': 139.4956500798927}, 'southwest': {'lat': -4.863390529892722, 'lng': 139.4929504201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yahokimo,,ChIJPytVW7ItP2gR_MfoN0ApAz8,ChIJPytVW7ItP2gR_MfoN0ApAz8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJPytVW7ItP2gR_MfoN0ApAz8
"MV8H+9G2, Ukha, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.334117, 'lng': 138.8787703}, 'viewport': {'northeast': {'lat': -4.332767170107277, 'lng': 138.8801201298927}, 'southwest': {'lat': -4.335466829892721, 'lng': 138.8774204701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sikin Moge,,ChIJJUTdSgCHPmgR1erNeAAHknY,ChIJJUTdSgCHPmgR1erNeAAHknY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJJUTdSgCHPmgR1erNeAAHknY
"WW4V+HFP, Jl. Irian, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0935372, 'lng': 138.9437021}, 'viewport': {'northeast': {'lat': -4.092160170107277, 'lng': 138.9450360298927}, 'southwest': {'lat': -4.094859829892721, 'lng': 138.9423363701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mumi Jiwika,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117940016008370562565"">Doni Kurniawan Subardo</a>'], 'photo_reference': 'AUGGfZm-L_1_bbbP6Xh9WDP2N0oxV07f-oDFKscmFFPlLkF_jkLkP5zN3Jd5pgC7i_nOGFGqqQDrL1VDfc0Ix2B8SMcA9K1SFFq3BvEu4EjjKfALO1UzdRM2qrfag7nLpX4X30a8Z_HkWia2UyfJ_YPiDB_JrW_4xMyJoCWLM4jHk5zrsp8K', 'width': 2268}]",ChIJxzDlvJNsPmgRCZ7XuahBBU4,ChIJxzDlvJNsPmgRCZ7XuahBBU4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,65.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJxzDlvJNsPmgRCZ7XuahBBU4
"4J38+JV, Kokamu, Dekai, Yahukimo regency, Papua, Indonesia","{'location': {'lat': -4.8958868, 'lng': 139.6171251}, 'viewport': {'northeast': {'lat': -4.894525270107279, 'lng': 139.6184844298927}, 'southwest': {'lat': -4.897224929892722, 'lng': 139.6157847701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan Kali Nami Sokamu,"[{'height': 560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105523678752929737590"">A Google User</a>'], 'photo_reference': 'AUGGfZkRoP3rYNX_ijMuzqHyvRVYFYYvUojN_gzCU3sCIKuDrwvj-XunkrH-XmhIVBjn4B1lhEcqUHYo07B0-yvq6BtkbVBtswauEI8qctHyUwttHA7CsGJDagdr7v7IoZTdYMafk5FX4TAhcUywGMQBYLJpU53kDnCO-iwGedrUinqcQV2V', 'width': 720}]",ChIJb_esf7zLOGgR58QzBdvVB4M,ChIJb_esf7zLOGgR58QzBdvVB4M,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJb_esf7zLOGgR58QzBdvVB4M
"X5R2+WP3, Yelobib, Awinbon, Pegunungan Bintang Regency, Papua, Indonesia","{'location': {'lat': -5.0077298, 'lng': 140.1517908}, 'viewport': {'northeast': {'lat': -5.006379970107279, 'lng': 140.1531406298927}, 'southwest': {'lat': -5.009079629892723, 'lng': 140.1504409701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nanum Anaip,,ChIJKU6_MCNRR2gRUVz1HHVsi9A,ChIJKU6_MCNRR2gRUVz1HHVsi9A,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.0,3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJKU6_MCNRR2gRUVz1HHVsi9A
"M999+QX5, Wahaik, Ninia, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.3306062, 'lng': 139.3699853}, 'viewport': {'northeast': {'lat': -4.329256370107278, 'lng': 139.3713351298927}, 'southwest': {'lat': -4.331956029892722, 'lng': 139.3686354701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,UBUN HUTAN BALINGGA,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101409730935589264136"">A Google User</a>'], 'photo_reference': 'AUGGfZm0oFaNPpU8h6BHQhuXMvPWB287IcBsu4rNyQ-QfzCzh4xzOO7AvNbv6mHXcqqIS33hfYSp3bAL-7nITYPwxCX6mcC2lp4ZT10BsYi5so3d4rxxv7OO1txGvVzlN9I9y7pqxqiaQ3DMiM1x2Q_zqVZyYgHX5veuSdlkxvZz1PecaLcd', 'width': 4000}]",ChIJ3elQuH6rP2gR4YlP4K-4lIU,ChIJ3elQuH6rP2gR4YlP4K-4lIU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ3elQuH6rP2gR4YlP4K-4lIU
"2WMR+PCF, Jiwika, Kurulu, Jayawijaya Regency, Papua 99554, Indonesia","{'location': {'lat': -3.9656989, 'lng': 138.9410428}, 'viewport': {'northeast': {'lat': -3.964820170107279, 'lng': 138.9425454798927}, 'southwest': {'lat': -3.967519829892723, 'lng': 138.9398458201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mumi jiwika,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115288456896992555813"">Toncsi</a>'], 'photo_reference': 'AUGGfZn-UrWlt3FkKGlNZGwq9Xg-ybE8tdTu4bH4_Ihkl5NirMPHXylLDfRsPT7wNCbO8JlgJ3VKYKZSeEuEkZrpKL_k3sXAkeA3mzgOg96opB07CzWTyh9elG2JiqhKxxTG6AJLBA_Ug-Y0rEJ6d4oDJJYAuUsS8r0NoA1LCvfC9Z5aSFnS', 'width': 4928}]",ChIJZ8tRXWoRPmgRAus2XP16ILA,ChIJZ8tRXWoRPmgRAus2XP16ILA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJZ8tRXWoRPmgRAus2XP16ILA
"88MM+H7V, Mimin, Oksop, Pegunungan Bintang Regency, Papua, Indonesia","{'location': {'lat': -4.6660156, 'lng': 140.3331633}, 'viewport': {'northeast': {'lat': -4.664665770107278, 'lng': 140.3345131298927}, 'southwest': {'lat': -4.667365429892722, 'lng': 140.3318134701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Paradise Lagoon,,ChIJewWl7duVQGgRcC3IkmZ-x5A,ChIJewWl7duVQGgRcC3IkmZ-x5A,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJewWl7duVQGgRcC3IkmZ-x5A
