business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"6RQJ+JF8, Lamea, Wewiku, Malaka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.7609735, 'lng': 124.8312078}, 'viewport': {'northeast': {'lat': -9.75942452010728, 'lng': 124.8323857298927}, 'southwest': {'lat': -9.762124179892723, 'lng': 124.8296860701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI TABERECKH,"[{'height': 8000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101833888118063191703"">A Google User</a>'], 'photo_reference': 'AUGGfZlryK-Sm2p8j0UM7dupSPLnvG8bu9C7kM4AogMbh9t-QMwHsExRlIF-1fWEbEkYxn0dHmSday4L2ggnUTEGyI_7YAxkyZ13dyL3sDNF4hvdCKPsrK4ilQMziFzmxdFFlZkeIDlpRcV0wlrjdlBcjl5G7HZP0W0EkU6e_r7qmMmozpZ1', 'width': 6000}]",ChIJUYWxuLhH_ywRt6zL-LSF8So,0.0,ChIJUYWxuLhH_ywRt6zL-LSF8So,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJUYWxuLhH_ywRt6zL-LSF8So
OPERATIONAL,"6RXP+3RJ, Alkani, Wewiku, Kabupaten Belu, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.752296800000002, 'lng': 124.8370252}, 'viewport': {'northeast': {'lat': -9.750906420107277, 'lng': 124.8382234798927}, 'southwest': {'lat': -9.753606079892721, 'lng': 124.8355238201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Taberek,"[{'height': 1744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103200907802840347421"">A Google User</a>'], 'photo_reference': 'AUGGfZlJt9oGZQDeqbzGOl8m19AxQq-tkxqUN8dkXvonmNEKYMTCkU4bzzopeP68dAPlxYMrH73i-7jGwwLAUksffO_GbNioIOswPvGy9zl2JZVl4cc_ehZZ9t77BuGV2GDbz1AV3luiyknM25aCRqKdb8OGMBsQCM2dVER3QdAycvxKjdIQ', 'width': 2320}]",ChIJM-AWoVZH_ywRaH2PZD8joBo,5.0,ChIJM-AWoVZH_ywRaH2PZD8joBo,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJM-AWoVZH_ywRaH2PZD8joBo
OPERATIONAL,"9VC8+WMH, Jl. Ahmad Yani, Laleten, Kec. Weliman, Kab. Malaka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.62769, 'lng': 124.8667283}, 'viewport': {'northeast': {'lat': -9.626290770107278, 'lng': 124.8679661798927}, 'southwest': {'lat': -9.628990429892722, 'lng': 124.8652665201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Weliman,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107356421803766263500"">A Google User</a>'], 'photo_reference': 'AUGGfZmJLk9C9CnvNHVhiZBGnGo69Iqeqh3GFRiEZmK-6gUzr0cwevi7IUNf_Hbshcoji6OYiJqW8JeMCHKNcNopoAsE37zh2laIDqNz4s8fgBQnvQmjG7mkmLc8j_JY2McU8f_C6tg4pCCs3DdSyd1AuEBhPguEXmih2fttEqYKf2M4iC3x', 'width': 1800}]",ChIJ221Uut0V_ywRTbXCBjTBVFA,3.9,ChIJ221Uut0V_ywRTbXCBjTBVFA,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJ221Uut0V_ywRTbXCBjTBVFA
OPERATIONAL,"7RMC+VWW, Jl. Lintas Selatan Timor, Seserai, Kec. Wewiku, Kab. Malaka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.7152541, 'lng': 124.8223281}, 'viewport': {'northeast': {'lat': -9.713900920107278, 'lng': 124.8236588798927}, 'southwest': {'lat': -9.716600579892722, 'lng': 124.8209592201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,"Wekbelar, Malaka, NTT","[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110318450498470226803"">A Google User</a>'], 'photo_reference': 'AUGGfZk3b7QlwG0i_06WuBRg6tzez7eEZhZ8vRa0g8apG0oFF4cnR2pLJrGXLDB8QdM6PJnwFqlY-iw8kAWk1KCshHHF2VE4MIUz5e1V9NvKTn-nULJLDjWm_XBIErAe8st1vaS_6mWLjMYq9p_kqEb00YO9At-eLT6FT2v-iHEAhz0zxeNL', 'width': 1536}]",ChIJDW2Da-BB_ywR_1OLaeZzfyk,5.0,ChIJDW2Da-BB_ywR_1OLaeZzfyk,"['park', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJDW2Da-BB_ywR_1OLaeZzfyk
OPERATIONAL,"CW47+HQJ, Umanenlawalu, Central Malaka, Malaka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.593535200000002, 'lng': 124.9143797}, 'viewport': {'northeast': {'lat': -9.592782699999999, 'lng': 124.9155847}, 'southwest': {'lat': -9.595792699999999, 'lng': 124.9107647}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Persawahan Manumuti Tolok,,ChIJw066TgAV_ywRO4TaugYTBQQ,0.0,ChIJw066TgAV_ywRO4TaugYTBQQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJw066TgAV_ywRO4TaugYTBQQ
OPERATIONAL,"9W53+3GF, Maktihan, Malaka Barat, Malaka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6423039, 'lng': 124.9037933}, 'viewport': {'northeast': {'lat': -9.64062097010728, 'lng': 124.9052566298927}, 'southwest': {'lat': -9.643320629892724, 'lng': 124.9025569701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rivon ni Uman na,,ChIJeflyMgAV_ywROwEVMtHv9RA,0.0,ChIJeflyMgAV_ywROwEVMtHv9RA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJeflyMgAV_ywROwEVMtHv9RA
OPERATIONAL,"Umatoos, Malaka Barat, Malaka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6635592, 'lng': 124.9451498}, 'viewport': {'northeast': {'lat': -9.662209370107279, 'lng': 124.9464996298927}, 'southwest': {'lat': -9.664909029892723, 'lng': 124.9437999701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Abudenok,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113513953539343568734"">rikardus fahik</a>'], 'photo_reference': 'AUGGfZmpb_2opQg5JTBBZPmsv6hmmNdHaYnwDQNVX-uisS53-ciBN7I0sED3OZpBdajlNtw5SzugTBmOsM2VWzTrR0sf72pLug0fINjuHCl5lcLu-fBejwaPrrzSH-L810C9-f4d9urhHDJZyFwlSrcoujGMfbxhkH3w1FqvlS6MBFNMu-GN', 'width': 4160}]",ChIJ-YqYgZQ__ywRMa7iQfcwgNk,4.1,ChIJ-YqYgZQ__ywRMa7iQfcwgNk,"['tourist_attraction', 'point_of_interest', 'establishment']",15,"{'compound_code': '8WPW+H3 Umatoos, Malaka Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q268WPW+H3'}",,https://www.google.com/maps/place/?q=place_id:ChIJ-YqYgZQ__ywRMa7iQfcwgNk
OPERATIONAL,"8WRF+CFH, Umatoos, Malaka Barat, Malaka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6589343, 'lng': 124.9237213}, 'viewport': {'northeast': {'lat': -9.65760232010728, 'lng': 124.9250369298927}, 'southwest': {'lat': -9.660301979892724, 'lng': 124.9223372701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ALL KLAU HOME,,ChIJJdOnCMU__ywRfmTXZ3B6k1A,5.0,ChIJJdOnCMU__ywRfmTXZ3B6k1A,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJJdOnCMU__ywRfmTXZ3B6k1A
OPERATIONAL,"7RQC+RF, Seserai, Wewiku, Malaka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.7103942, 'lng': 124.8211459}, 'viewport': {'northeast': {'lat': -9.709001320107278, 'lng': 124.8226611298927}, 'southwest': {'lat': -9.711700979892722, 'lng': 124.8199614701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Rumah Ito Ulu,,ChIJ7f9bPQBB_ywRxroORTH5JpU,0.0,ChIJ7f9bPQBB_ywRxroORTH5JpU,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ7f9bPQBB_ywRxroORTH5JpU
OPERATIONAL,"Umatoos, Malaka Barat, Malaka Regency, East Nusa Tenggara 85763, Indonesia","{'location': {'lat': -9.6722798, 'lng': 124.9336824}, 'viewport': {'northeast': {'lat': -9.67092997010728, 'lng': 124.9350322298927}, 'southwest': {'lat': -9.673629629892725, 'lng': 124.9323325701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Abudenok,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101620459553900068581"">A Google User</a>'], 'photo_reference': 'AUGGfZnXUDucEJQZUNblqk-Wn16evglK5XUYN56KfvBIzTsgHcVSPwewFAmXHTo2b8nSoO-gM5Q6OnbndzF5ImFGgil30jotHxdtFOEPrD7_DPtrUlO9hqX3tZc4fi-a5ISDNdc1zibGLMjc9G6YxB9852d21HVR3CJj8qUPvxM2qfHWshrY', 'width': 3120}]",ChIJN0TfhQc__ywRjNN9EpWZftI,4.0,ChIJN0TfhQc__ywRjNN9EpWZftI,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"{'compound_code': '8WHM+3F Umatoos, Malaka Regency, East Nusa Tenggara, Indonesia', 'global_code': '6Q268WHM+3F'}",,https://www.google.com/maps/place/?q=place_id:ChIJN0TfhQc__ywRjNN9EpWZftI
