business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,permanently_closed,plus_code,url
OPERATIONAL,"62X9+87W, Combre, Gondanglegi, Kec. Prambon, Kabupaten Nganjuk, Jawa Timur, Indonesia","{'location': {'lat': -7.751632099999999, 'lng': 112.0181957}, 'viewport': {'northeast': {'lat': -7.750358220107277, 'lng': 112.0195290798927}, 'southwest': {'lat': -7.753057879892721, 'lng': 112.0168294201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rozin/Aisy,ChIJVUOeNwBReC4Rg-omKZa9eUs,0.0,ChIJVUOeNwBReC4Rg-omKZa9eUs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJVUOeNwBReC4Rg-omKZa9eUs
OPERATIONAL,"7262+865, Mojoagung, Kec. Prambon, Kabupaten Nganjuk, Jawa Timur, Indonesia","{'location': {'lat': -7.739242399999998, 'lng': 112.0005988}, 'viewport': {'northeast': {'lat': -7.737892720107276, 'lng': 112.0019157298927}, 'southwest': {'lat': -7.74059237989272, 'lng': 111.9992160701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang Empat Mojoagung,ChIJM1jN4ZVReC4Ra7KtDmfzVDg,0.0,ChIJM1jN4ZVReC4Ra7KtDmfzVDg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJM1jN4ZVReC4Ra7KtDmfzVDg
OPERATIONAL,"8XCM+9PJ, Kedungmalang, Rowoharjo, Kec. Prambon, Kabupaten Nganjuk, Jawa Timur 64484, Indonesia","{'location': {'lat': -7.6790319, 'lng': 111.9842759}, 'viewport': {'northeast': {'lat': -7.677682070107278, 'lng': 111.9856257298927}, 'southwest': {'lat': -7.680381729892722, 'lng': 111.9829260701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendung usaha tani,ChIJ_VzRp7pPeC4Ra4FMAVOeJ40,4.6,ChIJ_VzRp7pPeC4Ra4FMAVOeJ40,"['tourist_attraction', 'point_of_interest', 'establishment']",5,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106175350927334757165"">Edo Christianto</a>'], 'photo_reference': 'AUGGfZl0jnNLPkXC-XKf5DvDRJcU6jLokI4JCZRxnyf4vnKSc0aCYAJqTrvxnmziN-ksy655h7NksYTOYtDoKADEWHwlRVZLz-jGqhO0C0o1aatOyPkBkDDyQRfdOijqwLhVd8a9xDysiA-YiM_uLlMo5BCjYEN7qs3xE8Jhu93pxMdCqJc-', 'width': 3264}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ_VzRp7pPeC4Ra4FMAVOeJ40
CLOSED_TEMPORARILY,"8279+Q27, Sumber, Sono Ageng, Kec. Prambon, Kabupaten Nganjuk, Jawa Timur 64484, Indonesia","{'location': {'lat': -7.685580600000001, 'lng': 112.017554}, 'viewport': {'northeast': {'lat': -7.68422172010728, 'lng': 112.0189517298927}, 'southwest': {'lat': -7.686921379892723, 'lng': 112.0162520701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WARPENG,ChIJM574ETpPeC4RG-C7aI-T6iA,0.0,ChIJM574ETpPeC4RG-C7aI-T6iA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,True,,https://www.google.com/maps/place/?q=place_id:ChIJM574ETpPeC4RG-C7aI-T6iA
CLOSED_TEMPORARILY,"72QC+GR5, Jl. Warujayeng - Kediri, Sanggrahan, Kec. Prambon, Kabupaten Nganjuk, Jawa Timur 64484, Indonesia","{'location': {'lat': -7.711242799999999, 'lng': 112.0220947}, 'viewport': {'northeast': {'lat': -7.709898570107277, 'lng': 112.0234189798927}, 'southwest': {'lat': -7.712598229892721, 'lng': 112.0207193201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gin's strawberry,ChIJy-cdrNNReC4R-GXw71-_4oM,0.0,ChIJy-cdrNNReC4R-GXw71-_4oM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,True,,https://www.google.com/maps/place/?q=place_id:ChIJy-cdrNNReC4R-GXw71-_4oM
OPERATIONAL,"Cengkok, Ngronggot, Nganjuk Regency, East Java 64395, Indonesia","{'location': {'lat': -7.685122, 'lng': 112.033424}, 'viewport': {'northeast': {'lat': -7.683756320107278, 'lng': 112.0347056298927}, 'southwest': {'lat': -7.686455979892722, 'lng': 112.0320059701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Taman Cengkok Asri ( WTC Asri ),ChIJoXJu7YpPeC4Rv7UIVaYbNu8,4.2,ChIJoXJu7YpPeC4Rv7UIVaYbNu8,"['tourist_attraction', 'point_of_interest', 'establishment']",673,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117637499323584962965"">Rofiq Ainur</a>'], 'photo_reference': 'AUGGfZlXqC8ErR8TRwSmcrdY48XetrNepSGZNwct0pKjBDDJ1Rwv75UiFl3jQ9GrbDU1XfHD5mhyoXnxu4CNdyD1F28iyRWplkOjpv7tRYAN8l-kPrIPsYcO_ZPwBuUUhtZPQVmW2tPKKV8a90UWMLZCrExwsxR0Ha-Fkfnz-qwQa01VqdEh', 'width': 4128}]",,"{'compound_code': '827M+X9 Cengkok, Nganjuk Regency, East Java, Indonesia', 'global_code': '6P4J827M+X9'}",https://www.google.com/maps/place/?q=place_id:ChIJoXJu7YpPeC4Rv7UIVaYbNu8
OPERATIONAL,"72GV+WV5, Juwet, Kec. Ngronggot, Kabupaten Nganjuk, Jawa Timur 64395, Indonesia","{'location': {'lat': -7.7227863, 'lng': 112.0447109}, 'viewport': {'northeast': {'lat': -7.721338220107278, 'lng': 112.0460853798927}, 'southwest': {'lat': -7.724037879892721, 'lng': 112.0433857201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Galanhh,ChIJ04hPHclReC4Rlb_S1cJLSVI,0.0,ChIJ04hPHclReC4Rlb_S1cJLSVI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ04hPHclReC4Rlb_S1cJLSVI
OPERATIONAL,"Betet, Ngronggot, Nganjuk Regency, East Java 64395, Indonesia","{'location': {'lat': -7.652116699999999, 'lng': 112.038993}, 'viewport': {'northeast': {'lat': -7.650576370107278, 'lng': 112.0403638798927}, 'southwest': {'lat': -7.653276029892722, 'lng': 112.0376642201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,warung gado gado dan ayam geprek imel,ChIJuQIxZSFPeC4RCCx9xoXmjtQ,0.0,ChIJuQIxZSFPeC4RCCx9xoXmjtQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109141875051255369040"">A Google User</a>'], 'photo_reference': 'AUGGfZlAaIXD6WCbVXtVhhhiwL_NopC8fPX3cJUqd5UD-vbIh_0JVyjgT0gzlvbIYf275wsCRYnKzy_kYHZzMmUiPejE1B08GZlnSsOZV10ErbA4l4HvjiDAGJDMroGvbz7E852xj5_C9p2VfXH3mF7pLXjECkXm9Ml-x_bS4XXTW51F3LCF', 'width': 719}]",,"{'compound_code': '82XQ+5H Betet, Nganjuk Regency, East Java, Indonesia', 'global_code': '6P4J82XQ+5H'}",https://www.google.com/maps/place/?q=place_id:ChIJuQIxZSFPeC4RCCx9xoXmjtQ
OPERATIONAL,"82HW+4JM, Jl. Stasiun, Padaplang, Warujayeng, Kec. Ngronggot, Kabupaten Nganjuk, Jawa Timur, Indonesia","{'location': {'lat': -7.672161099999999, 'lng': 112.0465569}, 'viewport': {'northeast': {'lat': -7.670809870107276, 'lng': 112.0479074798927}, 'southwest': {'lat': -7.67350952989272, 'lng': 112.0452078201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Acara cb,ChIJv8e0v79PeC4RxKNuA6RlM6U,3.5,ChIJv8e0v79PeC4RxKNuA6RlM6U,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJv8e0v79PeC4RxKNuA6RlM6U
OPERATIONAL,"9268+49C, Pelem, Warujayeng, Kec. Tanjunganom, Kabupaten Nganjuk, Jawa Timur, Indonesia","{'location': {'lat': -7.639681200000001, 'lng': 112.0159009}, 'viewport': {'northeast': {'lat': -7.638329170107278, 'lng': 112.0172189798927}, 'southwest': {'lat': -7.641028829892722, 'lng': 112.0145193201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam ikan pemancingan dan pembibitan,ChIJpbn1YwBPeC4RHMVs89hbhDg,0.0,ChIJpbn1YwBPeC4RHMVs89hbhDg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJpbn1YwBPeC4RHMVs89hbhDg
