business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,photos,opening_hours,url
OPERATIONAL,"CFRQ+7X, Lepadi, Pajo, Dompu Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.559357, 'lng': 118.489974}, 'viewport': {'northeast': {'lat': -8.557998020107279, 'lng': 118.4913771798927}, 'southwest': {'lat': -8.560697679892723, 'lng': 118.4886775201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NGGARO BAPAK HESO,ChIJjQ20OQBxyi0RkdRtJHWBANQ,0.0,ChIJjQ20OQBxyi0RkdRtJHWBANQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJjQ20OQBxyi0RkdRtJHWBANQ
CLOSED_TEMPORARILY,"9FRR+PGH, Ranggo, Pajo, Dompu Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.6081784, 'lng': 118.491361}, 'viewport': {'northeast': {'lat': -8.606830520107279, 'lng': 118.4926894798927}, 'southwest': {'lat': -8.609530179892722, 'lng': 118.4899898201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pajo,ChIJdTqdxZZ7yi0R2qLvMlCdyPI,5.0,ChIJdTqdxZZ7yi0R2qLvMlCdyPI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,,,https://www.google.com/maps/place/?q=place_id:ChIJdTqdxZZ7yi0R2qLvMlCdyPI
OPERATIONAL,"9F42+6XF, Lune, Pajo, Dompu Regency, West Nusa Tenggara 84272, Indonesia","{'location': {'lat': -8.644428999999999, 'lng': 118.4524069}, 'viewport': {'northeast': {'lat': -8.643685999999997, 'lng': 118.4543778798928}, 'southwest': {'lat': -8.646658000000006, 'lng': 118.4516782201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa lune,ChIJG_9Ex-plyi0R4oCtZzRN-qc,3.3,ChIJG_9Ex-plyi0R4oCtZzRN-qc,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,"[{'height': 1520, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102364516924913217771"">A Google User</a>'], 'photo_reference': 'AUGGfZm7m3yEx_IqpQr85W60h2NJhG6tQsVyy_XSIY_X4-BCIRFfEY-SKhVwB5UqyMma0C8OwyrBfSrvEZunIrXNb5QbNnP1CpXxEKgsuPclJl1hkhGSWuqobPcXqYEO5vqtKfZ9L-HsyM8TcfYbagGVHpZj0PRdMGADWi9a2lJCpQJDuHMD', 'width': 720}]",,https://www.google.com/maps/place/?q=place_id:ChIJG_9Ex-plyi0R4oCtZzRN-qc
OPERATIONAL,"9F48+8PP, Ranggo, Pajo, Dompu Regency, West Nusa Tenggara 84272, Indonesia","{'location': {'lat': -8.644170299999999, 'lng': 118.4668206}, 'viewport': {'northeast': {'lat': -8.643011070107278, 'lng': 118.4679525798927}, 'southwest': {'lat': -8.645710729892722, 'lng': 118.4652529201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Jambu,ChIJ0RmW2DVlyi0R-v6VaskO638,4.7,ChIJ0RmW2DVlyi0R-v6VaskO638,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0RmW2DVlyi0R-v6VaskO638
OPERATIONAL,"8CWM+VGG, Jambu, Pajo, Dompu Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.652816999999999, 'lng': 118.4338345}, 'viewport': {'northeast': {'lat': -8.650486450000002, 'lng': 118.4356104298927}, 'southwest': {'lat': -8.65359385, 'lng': 118.4329107701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dam jambu,ChIJsWXGGABjyi0Ro2YeDIwdSUI,0.0,ChIJsWXGGABjyi0Ro2YeDIwdSUI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJsWXGGABjyi0Ro2YeDIwdSUI
OPERATIONAL,"8CR9+QJV, Jambu, Pajo, Dompu Regency, West Nusa Tenggara 84272, Indonesia","{'location': {'lat': -8.658018199999999, 'lng': 118.4190606}, 'viewport': {'northeast': {'lat': -8.65666837010728, 'lng': 118.4204104298927}, 'southwest': {'lat': -8.659368029892724, 'lng': 118.4177107701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wadu jao,ChIJgWnHfU1jyi0R8XrXrtbUKt8,4.8,ChIJgWnHfU1jyi0R8XrXrtbUKt8,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100547935002488561492"">salsa cantik</a>'], 'photo_reference': 'AUGGfZnuAGLF4vniIRLR4vVOe5Eo1TDBnE5jGj50wgJx__XLeyrSBUgm8LXTPLo2Ln0eZwXOQi79Uknk51Eov33HaWVbQkNEZE0CX5Dq9zjQ35zy8cTTsHWbkMywBNCBgxrDdmsqgehLN3tUXZIMPA4IEJYQpS9lThq-hi_lv-LKnUyamKi7', 'width': 1200}]",,https://www.google.com/maps/place/?q=place_id:ChIJgWnHfU1jyi0R8XrXrtbUKt8
OPERATIONAL,"8CMG+HQ5, Jambu, Pajo, Dompu Regency, West Nusa Tenggara 84272, Indonesia","{'location': {'lat': -8.6661146, 'lng': 118.4269832}, 'viewport': {'northeast': {'lat': -8.6628773, 'lng': 118.4288370298927}, 'southwest': {'lat': -8.6671937, 'lng': 118.4261373701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Wadu Jao,ChIJe-Y-bYhjyi0RhymAjhktcPM,4.3,ChIJe-Y-bYhjyi0RhymAjhktcPM,"['tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",180,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103583323848324589744"">Elena Firsova</a>'], 'photo_reference': 'AUGGfZlNchSgw2UybmIEiDTtlqp07baZ0yN9cLfGXw0obvBAQEATTCP8EsUmE_O5jiGYEWMg1Jwu6eBYUdu4UWo5Hl9XSeTqSMRuetmqcWQPyjT1D3Tna8xDXw2S_91SS6rj_3H4dAnGatkxuB4Io1SQgGV1NeQmO4fiBRU7cnRFpK1zPpLI', 'width': 3024}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJe-Y-bYhjyi0RhymAjhktcPM
OPERATIONAL,"9FHP+76, Ranggo, Pajo, Dompu Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.6218, 'lng': 118.48561}, 'viewport': {'northeast': {'lat': -8.6205025, 'lng': 118.4865609}, 'southwest': {'lat': -8.625692499999998, 'lng': 118.4827573}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Sawah Oji Mulyono, S.Pt.,CHt",ChIJ19LtVgBlyi0RlloO2fyaYpQ,0.0,ChIJ19LtVgBlyi0RlloO2fyaYpQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ19LtVgBlyi0RlloO2fyaYpQ
OPERATIONAL,"8C2C+7VC, Unnamed Road, Cempi Jaya, Kec. Hu'u, Kabupaten Dompu, Nusa Tenggara Bar. 84271, Indonesia","{'location': {'lat': -8.6993057, 'lng': 118.4221378}, 'viewport': {'northeast': {'lat': -8.697955870107277, 'lng': 118.4234876298927}, 'southwest': {'lat': -8.700655529892721, 'lng': 118.4207879701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Ngampa,ChIJE5ee6w9jyi0Rk21vD0RV204,4.4,ChIJE5ee6w9jyi0Rk21vD0RV204,"['tourist_attraction', 'point_of_interest', 'establishment']",26,,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100134237793528613791"">Adi Nur R</a>'], 'photo_reference': 'AUGGfZk3fIIAehI_rXVZLrcv9j56l9C-SPs-V6F1wFT58VneVzkBTT9u9_yrm9nDLITZuZH0o2reKVZPuKpIQOYtYwXLf741t74m1v81jzVSa9ClRem3_ZbXiB_Kb_ZigWfnwJ6TenxGeMAMhW_pebNiExncrCYYpb-nTYZGH_W2LHrEPRvk', 'width': 3840}]",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJE5ee6w9jyi0Rk21vD0RV204
OPERATIONAL,"9CMH+6V, Mbawi, Dompu, Dompu Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.616933399999999, 'lng': 118.4296476}, 'viewport': {'northeast': {'lat': -8.611377399999999, 'lng': 118.4310724798927}, 'southwest': {'lat': -8.6187854, 'lng': 118.4283728201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tambak mas alif,ChIJXQXkXABlyi0RLsc7uOQsb3M,5.0,ChIJXQXkXABlyi0RLsc7uOQsb3M,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104271427458406784536"">Alif Hanafi</a>'], 'photo_reference': 'AUGGfZkpcc81F7ZIEqXe7TSQ5PNxLvghaC5ZC-957b_urvsNlT7wOCRPz1OInv_AzA8cIWKSVgxOtN15xwv4nj7fDSoTNffXaESRFsxA3WJ1LnYf542n9vZyaHkrXN1mJ3uJKZFEpIXYp-sPROfuRjER3AYdpKn2OLBh3ZJPJHxt4pHj4CZg', 'width': 3024}]",,https://www.google.com/maps/place/?q=place_id:ChIJXQXkXABlyi0RLsc7uOQsb3M
