business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,plus_code,url
OPERATIONAL,"VMH9+45J, Sampiro, Sangkub, North Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8778262, 'lng': 123.6678912}, 'viewport': {'northeast': {'lat': 0.8791797798927223, 'lng': 123.6692839298927}, 'southwest': {'lat': 0.8764801201072778, 'lng': 123.6665842701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cai jo,ChIJZZMUyaGPfjIRRZB_L8OjgHI,5.0,ChIJZZMUyaGPfjIRRZB_L8OjgHI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJZZMUyaGPfjIRRZB_L8OjgHI
OPERATIONAL,"VMJ6+4P, Sangkub I, North Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8802989, 'lng': 123.6617557}, 'viewport': {'northeast': {'lat': 0.8811714798927222, 'lng': 123.6629894798927}, 'southwest': {'lat': 0.8784718201072776, 'lng': 123.6602898201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sampiro,ChIJW_o9bzuPfjIRNLndLPwMX_8,4.5,ChIJW_o9bzuPfjIRNLndLPwMX_8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111935956144515212295"">Jans Meizu</a>'], 'photo_reference': 'AUGGfZnHfnzpUgIkcasfTCBRTbbSW1ZzV5NG4fjbAI7l_1rvSu1jrjgZIcftK64jAdaXVZiUjEgMuThS-LfCF57N24pyReJ-PCIiHW-77dZU8AWqaWR3GF7tsjPMhJ0BJuU6QjpWeVMEMjIm0J_R5wuC-jTCEY9EY9eYP5Mm0wyrxn2Z7YCx', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJW_o9bzuPfjIRNLndLPwMX_8
OPERATIONAL,"RM7J+6MH, Pangi, Sangtombolang, Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8130558999999999, 'lng': 123.681723}, 'viewport': {'northeast': {'lat': 0.8144057298927222, 'lng': 123.6830728298927}, 'southwest': {'lat': 0.8117060701072778, 'lng': 123.6803731701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pertanian jagung keluarga,ChIJnQwlvEeNfjIRU04iY6pdftM,5.0,ChIJnQwlvEeNfjIRU04iY6pdftM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJnQwlvEeNfjIRU04iY6pdftM
OPERATIONAL,"VHXG+872, Minanga, Bintauna, North Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8982705, 'lng': 123.5756557}, 'viewport': {'northeast': {'lat': 0.899611179892722, 'lng': 123.5769971798927}, 'southwest': {'lat': 0.8969115201072777, 'lng': 123.5742975201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Bintauna Beach,ChIJ4ywYHtmbfjIR-pBjElyizxQ,4.3,ChIJ4ywYHtmbfjIR-pBjElyizxQ,"['tourist_attraction', 'point_of_interest', 'establishment']",18,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118109424615238976497"">Rehana Syafrin</a>'], 'photo_reference': 'AUGGfZnpG1Qd_4vn3PNyVPoRfmK3hvDeSvVkye6l-1d82axYKiHoTZhRYgqScayJbJgAsmUsfkNSa2gWn61F94nDa8LEwp3Xaqlws2hd_Fe8Rv6CZtWOAy7Dc4SQFtVUeOJq2fwzKm_6RuZxjPmQpHI5_xoYHmiHb9-v1tn3g1ZMKDdgH4pL', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ4ywYHtmbfjIR-pBjElyizxQ
OPERATIONAL,"RJV6+43W, Kopi, Bintauna, North Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8428528, 'lng': 123.6102083}, 'viewport': {'northeast': {'lat': 0.8442026298927222, 'lng': 123.6115581298927}, 'southwest': {'lat': 0.8415029701072778, 'lng': 123.6088584701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perkebunan bolaba,ChIJqa1NWHmRfjIREZ0FK1WLr34,1.0,ChIJqa1NWHmRfjIREZ0FK1WLr34,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJqa1NWHmRfjIREZ0FK1WLr34
OPERATIONAL,"VHQG+78M, Minanga, Bintauna, North Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8882138, 'lng': 123.5757982}, 'viewport': {'northeast': {'lat': 0.89223185, 'lng': 123.57809455}, 'southwest': {'lat': 0.88687445, 'lng': 123.57503275}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Bintauna Beach WBB,ChIJ6dGZIXubfjIRw8k_tN0Jisg,5.0,ChIJ6dGZIXubfjIRw8k_tN0Jisg,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 1801, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105594804749634152746"">A Google User</a>'], 'photo_reference': 'AUGGfZlcsuNaXywU0j15LGgX7NYkaYyuSmUWRC1_4Fp_Bz5lrk5loGKtK3ev2Q8gkCA9sPCGFKOn4C1gyHGpLWOQwpRtZ0Eeoow7rzXExQWQq90LeHUN4gcaWjzk7L5woWAT_C-p8JNopr_U2KIN3bp3DwA3KLjtrsSenKxIAMGtPxjA40Ij', 'width': 1800}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ6dGZIXubfjIRw8k_tN0Jisg
OPERATIONAL,"VGGQ+3XP, West Padang, Bintauna, North Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8756959999999999, 'lng': 123.538652}, 'viewport': {'northeast': {'lat': 0.8770468298927222, 'lng': 123.5399761798927}, 'southwest': {'lat': 0.8743471701072777, 'lng': 123.5372765201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumahku,ChIJZ0xOaACRfjIRUdiRJ41yhjM,0.0,ChIJZ0xOaACRfjIRUdiRJ41yhjM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113649551043965004687"">A Google User</a>'], 'photo_reference': 'AUGGfZmIpL_WzQgfLsjXswAXKWfSVk_r4Rq1DIb6D6GUmZ7Hu8qx93MraopCCKXKAxvkn6n7JFdYtdrSRTXLazllzcjTETIcfFtWhT5cN9om99CDfEWXggnW6xXiktXBsBdthS61QIqskEJJ_6dlQeTvPNDI_qypa1uzv-hXrvTqSEC-QzcK', 'width': 2340}]",,,https://www.google.com/maps/place/?q=place_id:ChIJZ0xOaACRfjIRUdiRJ41yhjM
OPERATIONAL,"RPWG+7V, Domisil Moonow, Sangtombolang, Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8456923, 'lng': 123.7272049}, 'viewport': {'northeast': {'lat': 0.8470558298927222, 'lng': 123.7285500798927}, 'southwest': {'lat': 0.8443561701072778, 'lng': 123.7258504201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Pangi,ChIJS1IbDJKJfjIR8WTr2pc5MN4,0.0,ChIJS1IbDJKJfjIR8WTr2pc5MN4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100501593545045076701"">Kicky Mamonto</a>'], 'photo_reference': 'AUGGfZlAwwcRINyGJSEdAgj7KBu8UeHNvE49WMVmuxk7VXfvzgWiGA2ABvCkER-cbWWe5kxEVvZ_P9yijt3cd2ZmFfRdr4xx_OqtN6B42Gl17GjE3FhrP62nA_hnkSrkgmYKMaD3zlDx07vIr7BDFr6qtZlFpZasavD_KDkJb-9ibDjckSlV', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJS1IbDJKJfjIR8WTr2pc5MN4
OPERATIONAL,"RH2H+X5G, Huntuk, Bintauna, North Bolaang Mongondow Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.8024353999999999, 'lng': 123.5779584}, 'viewport': {'northeast': {'lat': 0.8037852298927224, 'lng': 123.5793082298927}, 'southwest': {'lat': 0.8010855701072779, 'lng': 123.5766085701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun pinosaula,ChIJEQI_L_-TfjIRyhnGv3zCQV4,0.0,ChIJEQI_L_-TfjIRyhnGv3zCQV4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117916347886530421897"">A Google User</a>'], 'photo_reference': 'AUGGfZnIxo_8dd1u5bJm7U92I5JpQy8NBNf1tGHMOeOid5o-8Xtq607rXCdQIySaorBSwJbJlyLykl12M8dndlbxg3rRaSLOVnlJwe2Zg9DfdEUczlHatIETLH3EV8F1J3k_dJbV4SjeizNspY0L1_5L_quybAYidh1rIALqp9YukPJRTjI', 'width': 715}]",,,https://www.google.com/maps/place/?q=place_id:ChIJEQI_L_-TfjIRyhnGv3zCQV4
OPERATIONAL,"VQ4R+3J2 Impodnya Tungku, Lolanan, Kec. Sangtombolang, Kabupaten Bolaang Mongondow, Sulawesi Utara, Indonesia","{'location': {'lat': 0.8551494, 'lng': 123.7915236}, 'viewport': {'northeast': {'lat': 0.8564992298927221, 'lng': 123.7928734298927}, 'southwest': {'lat': 0.8537995701072777, 'lng': 123.7901737701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tungku Beace,ChIJ8QhM9hSJfjIRey7_24YD4Ws,0.0,ChIJ8QhM9hSJfjIRey7_24YD4Ws,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102987001969835439914"">A Google User</a>'], 'photo_reference': 'AUGGfZnJmpXcqLor-pxMIp-cbGND01L5Ic9zQYix9JtECfDGde-FMdP1O-EOUgolVi_jepF8rVfOr0niwXkQM6LW9bAbCaFqJ3y02IJfeq0IuKuk2N5uWVvNnqyd3t7_6No2PIPXNPVD60787e-IOKL_Zc8kvw3wh1rN-yjYe84oT4HsIJKm', 'width': 2448}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ8QhM9hSJfjIRey7_24YD4Ws
