business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,price_level,url
OPERATIONAL,"Lingkungan VII, Koya, Tondano Selatan, Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.2756939, 'lng': 124.8859724}, 'viewport': {'northeast': {'lat': 1.277090979892722, 'lng': 124.8873362298927}, 'southwest': {'lat': 1.274391320107278, 'lng': 124.8846365701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Yama Resort Tondano,{'open_now': True},"[{'height': 2819, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113883922884599676409"">A Google User</a>'], 'photo_reference': 'AUGGfZlpGC0iTkPf_3dHmPJnThvz1-XGwsTunidYrNG7Xq3PRbEBUkLzgJXmw4NbGS7JSfa6irOHhCy20_KtkF9x3jJTgaxtvXHnzgLOCSbEFBFrJIA7QTUPU5i-1pVcjmQ4cjBHJGUhZmS3BoqnCXjf00E5OHNQb5Ltpnq9wBkDrgw-BukN', 'width': 4367}]",ChIJJfGYPgcVhzIReaSrUkdz2VQ,"{'compound_code': '7VGP+79 Koya, Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH67VGP+79'}",4.5,ChIJJfGYPgcVhzIReaSrUkdz2VQ,"['lodging', 'point_of_interest', 'establishment']",649,,,https://www.google.com/maps/place/?q=place_id:ChIJJfGYPgcVhzIReaSrUkdz2VQ
OPERATIONAL,"Jl. Raya Manado - Bitung, Watutumou, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia","{'location': {'lat': 1.4681564, 'lng': 124.9196479}, 'viewport': {'northeast': {'lat': 1.469564879892722, 'lng': 124.9211614798927}, 'southwest': {'lat': 1.466865220107278, 'lng': 124.9184618201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sutan Raja Hotel Manado,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107837749086968687119"">Hartarto Sormin</a>'], 'photo_reference': 'AUGGfZn_zOzxkg_SlSa0fJET8hx98gFW2R6NRJObCjc27IUY7aA-S6Kv9eodxbpT5dG2wpKY1WLbIW8-V1yD5YECls5sY_2m4z1asP55b9-F5QWuDWQ4M1zhS3FPhNgUHL-X-4DkOL-8-kvbTFuKO5JFCYVHQAUFjbm5jXQGewzEG_MuC08b', 'width': 4000}]",ChIJMZWC2LILhzIRiXWcoaP7qto,"{'compound_code': 'FW99+7V Watutumou, North Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH6FW99+7V'}",4.2,ChIJMZWC2LILhzIRiXWcoaP7qto,"['night_club', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3798,,,https://www.google.com/maps/place/?q=place_id:ChIJMZWC2LILhzIRiXWcoaP7qto
OPERATIONAL,"Jl. Sam Ratulangi No.5, Bitung Bar. Satu, Kec. Maesa, Kota Bitung, Sulawesi Utara, Indonesia","{'location': {'lat': 1.4446597, 'lng': 125.1810936}, 'viewport': {'northeast': {'lat': 1.446083829892722, 'lng': 125.1824479798927}, 'southwest': {'lat': 1.443384170107278, 'lng': 125.1797483201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Favehotel Bitung - North Sulawesi,{'open_now': True},"[{'height': 3886, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108357155392270906482"">A Google User</a>'], 'photo_reference': 'AUGGfZkk132vp7T9tYPFX5_279XqeXdhXtioQESvvHK2nq2aGUb7YLH3GI-aZTFmewliKPJd7W--YRWe_dwzmy-lEwypuKGG_osiXoPDqALzDzO9cwgNF-U3tcLi9ooyGyXVRcHLhQiqNaPzsFfjcz09pV0BRw-oq9fUUmWpD0SrMCmceKj8', 'width': 5894}]",ChIJo_5eBjMBhzIROr56-XGuoLI,"{'compound_code': 'C5VJ+VC Bitung Barat Satu, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7C5VJ+VC'}",4.8,ChIJo_5eBjMBhzIROr56-XGuoLI,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1609,,,https://www.google.com/maps/place/?q=place_id:ChIJo_5eBjMBhzIROr56-XGuoLI
OPERATIONAL,"Jl. Stadion 2 Saudara, Manembo-nembo Atas, Kec. Matuari, Kota Bitung, Sulawesi Utara 95545, Indonesia","{'location': {'lat': 1.4369782, 'lng': 125.1046869}, 'viewport': {'northeast': {'lat': 1.438231129892722, 'lng': 125.1060552298927}, 'southwest': {'lat': 1.435531470107278, 'lng': 125.1033555701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,C-Breez Resort Bitung,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105860875216257600268"">Kartika Saridewi</a>'], 'photo_reference': 'AUGGfZk_MYwIlFkORZ94yfjvO0cvpBlXt0_GSKsNUHu7SbdvuOtAQlIxyCtdxw0QHoEpvjfTft9LvS41O9C6fnys4jlhGlIX1EjOVn4IePy2BvVVsEEbaUTBISgkV0LM1CcAB2CzVKsqUkz3j67yAdCnfbptAAMvfZdNqgUUh6Yz0JNsvw6W', 'width': 5333}]",ChIJKXqAk1IHhzIR6nokFQ523t4,"{'compound_code': 'C4P3+QV Manembo-nembo Atas, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7C4P3+QV'}",4.3,ChIJKXqAk1IHhzIR6nokFQ523t4,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",101,,,https://www.google.com/maps/place/?q=place_id:ChIJKXqAk1IHhzIR6nokFQ523t4
OPERATIONAL,"Jalan Johan Pinontoan Lingkungan No.1 95533, Danowudu, Ranowulu, Bitung City, North Sulawesi, Indonesia","{'location': {'lat': 1.4720158, 'lng': 125.1267471}, 'viewport': {'northeast': {'lat': 1.473328779892722, 'lng': 125.1281757298927}, 'southwest': {'lat': 1.470629120107278, 'lng': 125.1254760701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Botanica Nature Resort,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108730233303410283447"">Botanica Nature Resort</a>'], 'photo_reference': 'AUGGfZkC1YJmajum0oskHOcjjuS2jv9j7FzLfEvay54d3DaSEkj3htH_hG_9sQMKaMtjs1TMs0SrH1SJFqtD3AT20L9o-9GEq0Xrn7fbhsMPpnOaP_8Wq8Twx-yGHtt-42dKWVWwtuYeAie7REtBf55QdjG_dEPHGqW7a6qrI_8FSO1XwbLi', 'width': 2048}]",ChIJGT-ZRtMAhzIR2_TVlIAeaFM,"{'compound_code': 'F4CG+RM Danowudu, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7F4CG+RM'}",4.4,ChIJGT-ZRtMAhzIR2_TVlIAeaFM,"['lodging', 'point_of_interest', 'establishment']",216,,,https://www.google.com/maps/place/?q=place_id:ChIJGT-ZRtMAhzIR2_TVlIAeaFM
OPERATIONAL,"Jl. Arnold Mononutu No.575, Lingkungan 12 Airmadidi atas, Kabupaten Minahasa Utara, Sulawesi Utara, Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara 95371, Indonesia","{'location': {'lat': 1.4151237, 'lng': 124.9860531}, 'viewport': {'northeast': {'lat': 1.416468579892722, 'lng': 124.9873640798927}, 'southwest': {'lat': 1.413768920107278, 'lng': 124.9846644201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Minahasa Bed & Breakfast,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106629892995007246904"">Antonio Rico</a>'], 'photo_reference': 'AUGGfZm0EL_1tRM7Wvgsm9B4nAQOCx7bVZtBC5iPy9-0t_igVVJRlNiSfeg4av5BX_SPzn1Z46CxX_Zu2WxlhC3n1TKIziAJtyKgHhYhTPtF1iihJ7-Yhf3rjmy8ML6Tki7pVWzRscQE7Dmiwjyagh7cYtjutuAbHTJJsSf2p2eJQHWYZmTH', 'width': 4160}]",ChIJyfxnB-UOhzIRTrMVkk8So9s,"{'compound_code': 'CX8P+2C Airmadidi Atas, North Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH6CX8P+2C'}",4.3,ChIJyfxnB-UOhzIRTrMVkk8So9s,"['lodging', 'point_of_interest', 'establishment']",32,,,https://www.google.com/maps/place/?q=place_id:ChIJyfxnB-UOhzIRTrMVkk8So9s
OPERATIONAL,"Jln. Perum bimoli, Girian Indah, Kec. Madidir, Kota Bitung, Sulawesi Utara 95511, Indonesia","{'location': {'lat': 1.4437213, 'lng': 125.1390557}, 'viewport': {'northeast': {'lat': 1.445064329892722, 'lng': 125.1403608798927}, 'southwest': {'lat': 1.442364670107278, 'lng': 125.1376612201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Singgasana,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118003799025183577264"">A Google User</a>'], 'photo_reference': 'AUGGfZmTXyc-SD3yLWTSUtQvw-4pzYmqmD3L4dKJcfUwzxDx_x4yTo0C57MIUGqS3GS02UfBIrv5I7WqTIQxgqO2pjpeJGop8kFj_7ceu6mCYgBbccIQTRhTwVXwIghsBxoaflQu7-nmVncEUJJa3ceHGC8dAXhJ9ShWEfYlatGL5SKvhYPk', 'width': 2268}]",ChIJzeXg_zoBhzIR5QW4Brq-sAM,"{'compound_code': 'C4VQ+FJ Girian Indah, Bitung City, North Sulawesi, Indonesia', 'global_code': '6QH7C4VQ+FJ'}",4.3,ChIJzeXg_zoBhzIR5QW4Brq-sAM,"['lodging', 'point_of_interest', 'establishment']",34,,,https://www.google.com/maps/place/?q=place_id:ChIJzeXg_zoBhzIR5QW4Brq-sAM
OPERATIONAL,"Jl. Ir. Soekarno, Maumbi, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia","{'location': {'lat': 1.4876219, 'lng': 124.91601}, 'viewport': {'northeast': {'lat': 1.488966879892722, 'lng': 124.9173665298927}, 'southwest': {'lat': 1.486267220107278, 'lng': 124.9146668701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Sentra Manado,{'open_now': True},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114649670767227896964"">A Google User</a>'], 'photo_reference': 'AUGGfZm18xqxnnwpnAIOfJUF4TnQY1ck3jv0AERINMjhTNciuw340v5O2qxara_CY7Q49k10zUTxKI1tvfqThKi2R5IcfRLlb-VpPv6FavDa6lk2EMO48UEWnJ2Ih5kzKBn90KmKiVmatTasEmp88QvyqF3Wj1-MYshImcQmSYY8Vw--S29_', 'width': 5472}]",ChIJofHdl_ULhzIRsBT6uv-caas,"{'compound_code': 'FWQ8+2C Maumbi, North Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH6FWQ8+2C'}",4.9,ChIJofHdl_ULhzIRsBT6uv-caas,"['lodging', 'point_of_interest', 'establishment']",2199,,,https://www.google.com/maps/place/?q=place_id:ChIJofHdl_ULhzIRsBT6uv-caas
CLOSED_TEMPORARILY,"CXMC+PC6, Lingkungan I, Sarongsong II, Manado, Kabupaten Minahasa Utara, Sulawesi Utara 95371, Indonesia","{'location': {'lat': 1.4343145, 'lng': 124.9710345}, 'viewport': {'northeast': {'lat': 1.435634929892722, 'lng': 124.9724545298927}, 'southwest': {'lat': 1.432935270107278, 'lng': 124.9697548701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bunga Matahari,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109036253497169886984"">Yuyu Kangkang</a>'], 'photo_reference': 'AUGGfZlbetSOksTAbXZJhv-Yhcu3FLdehXBn8rRGZrVNZ6xnVC0hc72FFA22pHXVUVXM8ujIcZd0iqqs0JV1Uc3am8VyZ0ytmY7Il1bxLZuLYRzDXgAsvQEVeXpwTZw-AxOEZJW8MfL6jD659w5y9Ilu9x9JCiaSJk4joS9sin5BarYRSJpS', 'width': 3120}]",ChIJweG1wLUOhzIRfURPSaoNkNU,,5.0,ChIJweG1wLUOhzIRfURPSaoNkNU,"['lodging', 'point_of_interest', 'establishment']",11,True,,https://www.google.com/maps/place/?q=place_id:ChIJweG1wLUOhzIRfURPSaoNkNU
OPERATIONAL,"Jl. Lkr. Tim., Kakaskasen Tiga, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara 95417, Indonesia","{'location': {'lat': 1.3479204, 'lng': 124.846093}, 'viewport': {'northeast': {'lat': 1.349286129892722, 'lng': 124.8474954798927}, 'southwest': {'lat': 1.346586470107278, 'lng': 124.8447958201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jhoanie Hotel,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109121278258707221956"">Jhoanie Hotel</a>'], 'photo_reference': 'AUGGfZnpwfudv0VUwmLmbtAfLE0metWqjZXRVC6w-vgVuU7ooF556ALgOnVnxN0LcD1IyyBFstI_3vzFCkXC3lfghmFzYRsO_c9eGVU21o8EEPZkp4XfrOJpdoryLYHVKhGbHCWPLPsaux0_XQ32Y0kKyVfhsnrJeOyr15t3jySkjr9urUxJ', 'width': 1616}]",ChIJS-xm1eNshzIRT3BNSapr4B4,"{'compound_code': '8RXW+5C Kakaskasen Tiga, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH68RXW+5C'}",4.1,ChIJS-xm1eNshzIRT3BNSapr4B4,"['lodging', 'point_of_interest', 'establishment']",875,,,https://www.google.com/maps/place/?q=place_id:ChIJS-xm1eNshzIRT3BNSapr4B4
