business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,price_level,url
CLOSED_TEMPORARILY,"X556+J6, Mengkait, South Siantan, Kepulauan Anambas Regency, Riau Islands, Indonesia","{'location': {'lat': 2.9591162, 'lng': 106.1605852}, 'viewport': {'northeast': {'lat': 2.960466029892722, 'lng': 106.1619350298927}, 'southwest': {'lat': 2.957766370107278, 'lng': 106.1592353701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lubang Tamban Island,True,ChIJ6bAQy56LwjERy-PJ54ltcNM,5.0,ChIJ6bAQy56LwjERy-PJ54ltcNM,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6bAQy56LwjERy-PJ54ltcNM
OPERATIONAL,"7768+WH2, Unnamed Road, Tlk. Siantan, Siantan Tengah, Kabupaten Kepulauan Anambas, Kepulauan Riau, Indonesia","{'location': {'lat': 3.2622557, 'lng': 106.2664014}, 'viewport': {'northeast': {'lat': 3.263305479892722, 'lng': 106.2681445298927}, 'southwest': {'lat': 3.260605820107277, 'lng': 106.2654448701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Keramat Siantan,,ChIJ5UirfZNtwjERCZ0VBUhds5k,4.8,ChIJ5UirfZNtwjERCZ0VBUhds5k,"['tourist_attraction', 'point_of_interest', 'establishment']",13,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104316283040366251110"">katrup sareyo</a>'], 'photo_reference': 'AUGGfZk5eQzsn86gT6T1m1S0Ne4YQwT0Qc6IAs10RdtH2RFMgMliVfDY2NZJLDuKOYK68tqv9kwithcn7VEuN1ozhlayPgZVMb1M216rL7XU0mJMMhhZr4mURoUFTnygf74isL7esaM26J7uwDDCPvTxZ7-Wdii1qrbfFaQoRoqu6F929p4S', 'width': 4128}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ5UirfZNtwjERCZ0VBUhds5k
OPERATIONAL,"P796+GC, Kiabu, South Siantan, Kepulauan Anambas Regency, Riau Islands, Indonesia","{'location': {'lat': 2.7185958, 'lng': 106.2598833}, 'viewport': {'northeast': {'lat': 2.719945629892722, 'lng': 106.2612331298927}, 'southwest': {'lat': 2.717245970107277, 'lng': 106.2585334701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Lintang,,ChIJu7pZlm2XwjERO5TZaE1Yipg,3.0,ChIJu7pZlm2XwjERO5TZaE1Yipg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJu7pZlm2XwjERO5TZaE1Yipg
OPERATIONAL,"7756+M7, Teluk Siantan, Central Siantan, Kepulauan Anambas Regency, Riau Islands 29783, Indonesia","{'location': {'lat': 3.259144, 'lng': 106.260641}, 'viewport': {'northeast': {'lat': 3.260670329892722, 'lng': 106.2621992298927}, 'southwest': {'lat': 3.257970670107277, 'lng': 106.2594995701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Arung Tuampa,,ChIJ1QcF-uNtwjERmAaVpHCt3AA,0.0,ChIJ1QcF-uNtwjERmAaVpHCt3AA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101037668356044167706"">Kkokok Kusuma</a>'], 'photo_reference': 'AUGGfZkaUYoYTPYVgESpBIWiWI9zeJe-baCH3MWI-kN-naMwvsRxiOcC0URoMFUQBj00_i3HEhwIAjj7FUoURh0q0ZbnliFl8ynBMIo7JYGGnxzLE046BWjJDEQ3dvtWuP-Em3aNcNmQ5qeOoZ4E8l-IFSNASVNpWtnvh4ur6zYae49QpwHp', 'width': 3468}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ1QcF-uNtwjERmAaVpHCt3AA
OPERATIONAL,"795Q+CM9, Batu Belah, East Siantan, Kepulauan Anambas Regency, Riau Islands, Indonesia","{'location': {'lat': 3.2585298, 'lng': 106.3892266}, 'viewport': {'northeast': {'lat': 3.259879629892722, 'lng': 106.3905764298927}, 'southwest': {'lat': 3.257179970107277, 'lng': 106.3878767701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mengkian Panjang,,ChIJSwoW8nVzwjERnQ1LHHbDzWU,4.3,ChIJSwoW8nVzwjERnQ1LHHbDzWU,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 3639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110361613421618717755"">Dadam eri</a>'], 'photo_reference': 'AUGGfZkj44LkUf9JnqmZShHVLkYzetVHBBAYc6DpsmkGaqi5aeAQcJ9_GqU_7P9t3qMK78yXnyn6wWqaK6oFLin5YXB8WT3Sf61gA7ar-woFqGym1lT96iGKlt-BAhhDdJhTiXSWP3onjjrFnZawjVSHrJ05GHcj7R9pUzfmc1yHur8DYbXH', 'width': 4854}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJSwoW8nVzwjERnQ1LHHbDzWU
OPERATIONAL,"38MM+X76, Nyamuk, East Siantan, Kepulauan Anambas Regency, Riau Islands, Indonesia","{'location': {'lat': 3.0849118, 'lng': 106.3331345}, 'viewport': {'northeast': {'lat': 3.086261629892722, 'lng': 106.3344843298927}, 'southwest': {'lat': 3.083561970107278, 'lng': 106.3317846701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Playang,,ChIJX-soTgBlwjER3QUFUdqZlnM,0.0,ChIJX-soTgBlwjER3QUFUdqZlnM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJX-soTgBlwjER3QUFUdqZlnM
OPERATIONAL,"773G+69, Air Sena, Central Siantan, Kepulauan Anambas Regency, Riau Islands, Indonesia","{'location': {'lat': 3.2532293, 'lng': 106.276338}, 'viewport': {'northeast': {'lat': 3.254394179892722, 'lng': 106.2776584798927}, 'southwest': {'lat': 3.251694520107277, 'lng': 106.2749588201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Keramba tancap,,ChIJvxScJv5twjERqc0j27FXrNw,0.0,ChIJvxScJv5twjERqc0j27FXrNw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJvxScJv5twjERqc0j27FXrNw
OPERATIONAL,"3XM4+Q2, Telaga Kecil, South Siantan, Kepulauan Anambas Regency, Riau Islands, Indonesia","{'location': {'lat': 3.0841084, 'lng': 105.9543559}, 'viewport': {'northeast': {'lat': 3.085458229892723, 'lng': 105.9557057298927}, 'southwest': {'lat': 3.082758570107278, 'lng': 105.9530060701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Kawasan Telaga kecil,,ChIJq4TrqexRwjER2kiS2K_mCo0,5.0,ChIJq4TrqexRwjER2kiS2K_mCo0,"['park', 'point_of_interest', 'establishment']",1,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117275372046722608959"">A Google User</a>'], 'photo_reference': 'AUGGfZkgxehhjYzq2Dmq5hpjg2g-y9uTcqGZjbulb0kurJhOABNLLneFy6uWEqTCM10NPDYkOpNx4P-fRoV2Np3XEFi98gp4M95obJ7Q6zk36A_7XMxxMtxYrkj1hTMVlAi7AqSWMdSsQ12zMLlD2QB4jT59slz1XORvh4TqJy1SlRlDDMAC', 'width': 2160}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJq4TrqexRwjER2kiS2K_mCo0
OPERATIONAL,"46JX+CP9, Unnamed Road, Tiangau, South Siantan, Kepulauan Anambas Regency, Riau Islands 29791, Indonesia","{'location': {'lat': 3.1310283, 'lng': 106.2493556}, 'viewport': {'northeast': {'lat': 3.132378129892722, 'lng': 106.2507054298927}, 'southwest': {'lat': 3.129678470107277, 'lng': 106.2480057701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Bunyi Waterfall,,ChIJUROOD7RpwjERKDjZHfxAW0g,4.7,ChIJUROOD7RpwjERKDjZHfxAW0g,"['tourist_attraction', 'point_of_interest', 'establishment']",10,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118411794264371608027"">A Google User</a>'], 'photo_reference': 'AUGGfZkOSzgyq_fGEoUDcPq5qB_LOrL3GBWKDOj2DIuFDQXwPqMfGRZEGOZqfK004Xrs4MH6jXwqOOQ4jVE9cPh_4h-bUkV39bcD3FmFAncWy6EtCixmke-b-Q_of2gjRJuXn9rrSSfGVT7Gcs2py9qosp4M-T6oqIThcFzAgtuVvf300_Sx', 'width': 3264}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJUROOD7RpwjERKDjZHfxAW0g
OPERATIONAL,"57JF+C86, Tarempa Timur, Siantan, Kepulauan Anambas Regency, Riau Islands, Indonesia","{'location': {'lat': 3.1810469, 'lng': 106.2733157}, 'viewport': {'northeast': {'lat': 3.182243529892722, 'lng': 106.2751852298927}, 'southwest': {'lat': 3.179543870107278, 'lng': 106.2724855701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Temburun Waterfall,,ChIJA6YG67FuwjERdUo3vkl4upU,4.6,ChIJA6YG67FuwjERdUo3vkl4upU,"['tourist_attraction', 'point_of_interest', 'establishment']",127,"[{'height': 2600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100502161425466179776"">A Google User</a>'], 'photo_reference': 'AUGGfZndQLpQOGcTjoll9eskI1PaYoGYdLqsoS6TG9eU4YKoGvHMngCgkyaIowV3NowyBT4NVf-MAo9zUVRByMZjMjjJZ_3k9NFrqKiJG_9LGjKkDuDZMUqU3I_9zSv8gZRy_LvGGKGUgX7yZ_lFa6BtyNgLX3vy718NzHss65nI7nWZwEsc', 'width': 4624}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJA6YG67FuwjERdUo3vkl4upU
CLOSED_TEMPORARILY,"592P+RH, Batu Belah, East Siantan, Kepulauan Anambas Regency, Riau Islands, Indonesia","{'location': {'lat': 3.1521106, 'lng': 106.3863894}, 'viewport': {'northeast': {'lat': 3.153460429892722, 'lng': 106.3877392298927}, 'southwest': {'lat': 3.150760770107278, 'lng': 106.3850395701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Selat Rangsang,True,ChIJJyb9DNNxwjER-K37AeYFKxs,0.0,ChIJJyb9DNNxwjER-K37AeYFKxs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 381, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115775515202198173368"">A Google User</a>'], 'photo_reference': 'AUGGfZmhjs4sARTD-C4w31mQj7N-77nlT9V2I7dAMcTeUYVu9vRRgadM4ywCYD6iNLb3dC2G2uDzuhiy9VJRXE7EszDUqYr3zs5atAOp4NtTYCCJFEukd7WAE19fG6QNXhEMh9cbsdnjI_U8ASmEbblwzBJGCommrazxatasTfH-emjqImmw', 'width': 561}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJJyb9DNNxwjER-K37AeYFKxs
OPERATIONAL,"56Q5+C2X, South, Kec. Siantan, Kabupaten Kepulauan Anambas, Kepulauan Riau 29791, Indonesia","{'location': {'lat': 3.1886114, 'lng': 106.2076131}, 'viewport': {'northeast': {'lat': 3.189758779892722, 'lng': 106.2113937}, 'southwest': {'lat': 3.187059120107278, 'lng': 106.2063529}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Selantak Beach,,ChIJZ0e8ioxpwjERwloazEjcKCY,4.7,ChIJZ0e8ioxpwjERwloazEjcKCY,"['tourist_attraction', 'point_of_interest', 'establishment']",11,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100878934164859634252"">Lenny</a>'], 'photo_reference': 'AUGGfZnkR8pwG9FQ-wZxhWpo3LL2kEetAHTP6c0zWU5x_jRBW1ld7PO3p-4X0l77WsZwUwdQN5hDpTUGdY1fpJPVh6XemZS3G_2jRVRFb1f-Fsr5xp1kptgCX-N4LjAiNUmcMddTZh2xSomG_O5Ig6LOPUBhQ5x0lGxXSTaWCCYwBUDHSGXs', 'width': 4608}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJZ0e8ioxpwjERwloazEjcKCY
OPERATIONAL,"87W8+CVF, Batu Ampar, Kec. Kute Siantan, Kabupaten Kepulauan Anambas, Kepulauan Riau, Indonesia","{'location': {'lat': 3.346606, 'lng': 106.266887}, 'viewport': {'northeast': {'lat': 3.347926479892723, 'lng': 106.2682229298927}, 'southwest': {'lat': 3.345226820107278, 'lng': 106.2655232701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah lin,,ChIJy8kknOkTwjERq_RugDKAROs,0.0,ChIJy8kknOkTwjERq_RugDKAROs,"['point_of_interest', 'establishment']",0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117971310822792945643"">A Google User</a>'], 'photo_reference': 'AUGGfZkdJFI7NS4B_EnlC0jPnGk7QgLqCgYmihJ8ncrZWeXStgbYCH562PURDwpPV0pRetPmcLDpOgBoGEFY5nuFXCXU8fp1HNifIDRFp3AeZSQ7jJufMK3M8dvVjv4jtwWXRz8NijrKZbE1Vc-g60iqJPnyrYaQr67Wlz5hVIDRMB9uNDUd', 'width': 4608}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJy8kknOkTwjERq_RugDKAROs
