business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,plus_code,opening_hours,url
OPERATIONAL,"2RH4+GJM, Beting, Rangsang Pesisir, Kepulauan Meranti Regency, Riau, Indonesia","{'location': {'lat': 1.0288267, 'lng': 102.8065336}, 'viewport': {'northeast': {'lat': 1.03070575, 'lng': 102.80735}, 'southwest': {'lat': 1.02318955, 'lng': 102.8040844}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,rangsang pesisir,ChIJ95lAyWYn1zERDsNBIKbceDU,0.0,ChIJ95lAyWYn1zERDsNBIKbceDU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ95lAyWYn1zERDsNBIKbceDU
OPERATIONAL,"2QW4+XWC, Bokor, Rangsang Barat, Kepulauan Meranti Regency, Riau 28755, Indonesia","{'location': {'lat': 1.0474836, 'lng': 102.7572634}, 'viewport': {'northeast': {'lat': 1.048705479892722, 'lng': 102.7585901298927}, 'southwest': {'lat': 1.046005820107278, 'lng': 102.7558904701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Bokor,ChIJ_____6PX1jER6W-ygMPpcas,4.2,ChIJ_____6PX1jER6W-ygMPpcas,"['tourist_attraction', 'point_of_interest', 'establishment']",88,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115014558138208841670"">Fani Indra</a>'], 'photo_reference': 'AUGGfZmLPUbAZY_iCFfYEDqhyB76h0uq09d5cg4TFrdb0qbZ6EwdQUmUbswkaJ4l4Othdx3eIkwwawa9PfvsvFTizTK22U1cASGa5BPyFWZZB3g03agAHhUXzpsYJdB5wltLtfWdhgbuM02QjxQEnzQsxSqV3ObiIt3PqGBdeDlCzXtMitFM', 'width': 2048}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ_____6PX1jER6W-ygMPpcas
OPERATIONAL,"4QX2+8PG, Tempat istirahat yg damai dan tenag di desa, Kedabu Rapat, Kec. Rangsang Pesisir, Kabupaten Kepulauan Meranti, Riau 28755, Indonesia","{'location': {'lat': 1.1483092, 'lng': 102.7518352}, 'viewport': {'northeast': {'lat': 1.149668579892722, 'lng': 102.7532107798927}, 'southwest': {'lat': 1.146968920107278, 'lng': 102.7505111201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Kedabu Rapat,Parit Jang",ChIJgWQPbfnU1jERRnLZZeItyMk,4.0,ChIJgWQPbfnU1jERRnLZZeItyMk,"['tourist_attraction', 'point_of_interest', 'establishment']",8,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115871923092473536865"">A Google User</a>'], 'photo_reference': 'AUGGfZnobqIZzwHCmQm_ydopVLumvGiz5_1j8j4vNnAYZEGqoYW7BeGABb3-wmzsRVmSarR8Ruqz5iyczU0R-DrIYiCs09zAk7O8fozYGozMSfoja2prTtEWTUKCEYCabx9hW7rYCR1udQGcV6hRRyRhmEc-G_jMReSV_bMoRLeNCOyk96iB', 'width': 3120}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJgWQPbfnU1jERRnLZZeItyMk
CLOSED_TEMPORARILY,"2MG2+WG, Bantar, Rangsang Barat, Kepulauan Meranti Regency, Riau, Indonesia","{'location': {'lat': 1.027345, 'lng': 102.651329}, 'viewport': {'northeast': {'lat': 1.028575329892722, 'lng': 102.65465285}, 'southwest': {'lat': 1.025875670107278, 'lng': 102.65022105}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tepian laut bantar rangsang barat,ChIJWS_nI-zb1jERSru4hEoD3VQ,0.0,ChIJWS_nI-zb1jERSru4hEoD3VQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100960218703217425496"">Mhd Faisal</a>'], 'photo_reference': 'AUGGfZnctEYURnkaVcPmlvLS1b9TtKLw1nyhNs-4DXQFzwx8jIFc5_3PqNEbhsP_7qyTPlsKloHYeaUEaILtuGMgs4RYjbRKq-r1ECtYts8fNiCnliKxw03sp0N3o3JWN5z76mmrzC6umXly-wpPYEUZIbvKYemNjUfWoUZGCCsE1uOlHyF5', 'width': 3264}]",True,,,https://www.google.com/maps/place/?q=place_id:ChIJWS_nI-zb1jERSru4hEoD3VQ
CLOSED_TEMPORARILY,"Bantar, Rangsang Barat, Kepulauan Meranti Regency, Riau, Indonesia","{'location': {'lat': 1.0214333, 'lng': 102.6303956}, 'viewport': {'northeast': {'lat': 1.022330879892722, 'lng': 102.6324482}, 'southwest': {'lat': 1.019631220107278, 'lng': 102.6297114}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,desa permai,ChIJPaoM3hrb1jER14SX4MCbgQg,0.0,ChIJPaoM3hrb1jER14SX4MCbgQg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,"{'compound_code': '2JCJ+H5 Bantar, Kepulauan Meranti Regency, Riau, Indonesia', 'global_code': '6PH42JCJ+H5'}",,https://www.google.com/maps/place/?q=place_id:ChIJPaoM3hrb1jER14SX4MCbgQg
OPERATIONAL,"2M28+278, Unnamed Road, Insit, Kec. Tebing Tinggi Bar., Kabupaten Kepulauan Meranti, Riau, Indonesia","{'location': {'lat': 1.0000487, 'lng': 102.6656954}, 'viewport': {'northeast': {'lat': 1.00107395, 'lng': 102.6675411798927}, 'southwest': {'lat': 0.9969729500000003, 'lng': 102.6648415201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ekowisata Mangrove insit,ChIJxV5DwE7b1jERemDFrn4DE7I,4.0,ChIJxV5DwE7b1jERemDFrn4DE7I,"['tourist_attraction', 'point_of_interest', 'establishment']",10,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105312263960203277113"">Basuki Rahmat</a>'], 'photo_reference': 'AUGGfZlaaMBoxmCwYdApdxXBm3psePn501mS9tSs_rRkhgNMy9TzGyOJc4pGls_oqh05zkhlSrrC8OJC6q0FwXD3yT6Lrb0oaeoxxnYFrhHA4cZMXVWBGCy7BIcO8ZfuKln9ffiftpSiqTU8x0oSEEbFcU84qfFGDzA_361bgoSNDm_CYvnO', 'width': 4160}]",,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJxV5DwE7b1jERemDFrn4DE7I
OPERATIONAL,"XMVG+WPH, Insit, Tebing Tinggi Barat, Kepulauan Meranti Regency, Riau, Indonesia","{'location': {'lat': 0.9948121999999999, 'lng': 102.6768738}, 'viewport': {'northeast': {'lat': 0.996186679892722, 'lng': 102.6781919298927}, 'southwest': {'lat': 0.9934870201072779, 'lng': 102.6754922701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perjuangan Mini Farm,ChIJzao3km3b1jER4l_mfmGp1E0,5.0,ChIJzao3km3b1jER4l_mfmGp1E0,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103391057907152957798"">Eko Apriano</a>'], 'photo_reference': 'AUGGfZnC2455opKGhk2kXWVWKVN6D3l0RdNyloCAwKZnUg30TyMo_XFgdGyY3-6b1rPNrpQigPjn5i6NGP1IrOXyMFI3VTUvzK-jh1_0mwpl3MQXMkeQ8YxfS6cxHJWGhyaluNaV4-K1Vvf34bZq4YRWruxZBroFObx5PrScXiLr_jhUztI4', 'width': 1200}]",,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJzao3km3b1jER4l_mfmGp1E0
OPERATIONAL,"Sonde, Rangsang Barat, Kepulauan Meranti Regency, Riau, Indonesia","{'location': {'lat': 1.1445619, 'lng': 102.8237717}, 'viewport': {'northeast': {'lat': 1.145705929892722, 'lng': 102.8250075298927}, 'southwest': {'lat': 1.143006270107278, 'lng': 102.8223078701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Gelombang Cinta,ChIJ8Si9XTEr1zERqnHwq-pU330,4.1,ChIJ8Si9XTEr1zERqnHwq-pU330,"['tourist_attraction', 'point_of_interest', 'establishment']",9,"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116001358803121665638"">William MSS</a>'], 'photo_reference': 'AUGGfZlXMpIDp0yih6k6-hVZjNOxt9UhXYYVO4RO1r3iIii8ImQOabaghbOv_g7Wz_mFHkPC1mq9wfTB8116bHduH5BC6rjVXsUcMp0ByWLp-ILy1tM-xg4otrx9tPDW4CNhgYSUYfJbGC6ra4r9DekMFZsAOrvW0mZMIq7qxG4iQ0k8KFkH', 'width': 4000}]",,"{'compound_code': '4RVF+RG Sonde, Kepulauan Meranti Regency, Riau, Indonesia', 'global_code': '6PH44RVF+RG'}",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ8Si9XTEr1zERqnHwq-pU330
OPERATIONAL,"XJV9+GCM, Alai, Tebing Tinggi Barat, Kepulauan Meranti Regency, Riau, Indonesia","{'location': {'lat': 0.9939717999999998, 'lng': 102.6190669}, 'viewport': {'northeast': {'lat': 0.995272579892722, 'lng': 102.6203996798927}, 'southwest': {'lat': 0.9925729201072777, 'lng': 102.6177000201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BMH (Beach Man Hole),ChIJbc5pLwDF1jERl60lXHrgS_k,0.0,ChIJbc5pLwDF1jERl60lXHrgS_k,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3856, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111275182604513789553"">A Google User</a>'], 'photo_reference': 'AUGGfZnAE2EqtCOQ0yZt8ba_uyDToWvVt5LQnvl5SNGzPgS9KOMjFLC6e4zVPfuYfk8tbgtx7DYZAv7HPtb9Hh6WtCWN3wftd2SqLdpQZX92FnhyCzlBcsR4cn96otVj1RqZceiCukNjBeELlCU1C8UrhyMCOIFSkoRg0MSgWxq-vhdTcstC', 'width': 3024}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJbc5pLwDF1jERl60lXHrgS_k
OPERATIONAL,"2QX4+5V9, Bokor, Rangsang Barat, Kepulauan Meranti Regency, Riau 28755, Indonesia","{'location': {'lat': 1.0479229, 'lng': 102.7572446}, 'viewport': {'northeast': {'lat': 1.049278179892722, 'lng': 102.7584760298927}, 'southwest': {'lat': 1.046578520107278, 'lng': 102.7557763701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Sebrang,ChIJeXLeXtTX1jER6H_4HQW0-XE,0.0,ChIJeXLeXtTX1jER6H_4HQW0-XE,"['park', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJeXLeXtTX1jER6H_4HQW0-XE
