business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Jalan trans kalimantan, RT 02 taga kujau, kabupaten ketapang, Balai Pinang, hulu, kec:simpang hulu, Indonesia","{'location': {'lat': -0.5650398, 'lng': 110.4196137}, 'viewport': {'northeast': {'lat': -0.5637192701072778, 'lng': 110.4209532298927}, 'southwest': {'lat': -0.5664189298927224, 'lng': 110.4182535701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taga Balai Pinang Hulu,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106607300515297464454"">A Google User</a>'], 'photo_reference': 'AUGGfZm18b3EkwghiKgfIZ6ggcwAYHHvKNdxtntGLhrIV2lOnH_HK_E2rHs5vTN3AN6I6C9pfAf1NwX3gOW4IJC_pbzSO_g3B9oTYLDhtvlXNGlHAEQTTuMJvlRyoTdNMhGJRrPH2RtzexlZ86g-ExP4A3fE2hqLXy-YPyhb2vNx5dn161IB', 'width': 1080}]",ChIJ6weR8UqrAy4RUzIQl4olRMU,"{'compound_code': 'CCM9+XR Balai Pinang, Ketapang Regency, West Kalimantan, Indonesia', 'global_code': '6PFGCCM9+XR'}",5.0,ChIJ6weR8UqrAy4RUzIQl4olRMU,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJ6weR8UqrAy4RUzIQl4olRMU
OPERATIONAL,"F94R+XQX, Balai Pinang Hulu, Kec. Simpang Hulu, Kabupaten Ketapang, Kalimantan Barat, Indonesia","{'location': {'lat': -0.5425249999999999, 'lng': 110.3919822}, 'viewport': {'northeast': {'lat': -0.5407274201072777, 'lng': 110.3937479298927}, 'southwest': {'lat': -0.5434270798927222, 'lng': 110.3910482701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Gua Maria sikih, balai pinang",,ChIJ-VbClw9VAi4RH6fuEe5kyZQ,,5.0,ChIJ-VbClw9VAi4RH6fuEe5kyZQ,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJ-VbClw9VAi4RH6fuEe5kyZQ
OPERATIONAL,"9XGH+XH, Labai Hilir, Simpang Hulu, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.622514, 'lng': 109.9789525}, 'viewport': {'northeast': {'lat': -0.6211641701072779, 'lng': 109.9803023298927}, 'southwest': {'lat': -0.6238638298927224, 'lng': 109.9776026701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,P’de Bayu Fishing,,ChIJL2GyUgAfAy4RYVmf8ChVqSg,,0.0,ChIJL2GyUgAfAy4RYVmf8ChVqSg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJL2GyUgAfAy4RYVmf8ChVqSg
OPERATIONAL,"99C5+FJ, Semandang Kiri, Simpang Hulu, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.6287595, 'lng': 110.3590517}, 'viewport': {'northeast': {'lat': -0.6274096701072778, 'lng': 110.3604015298927}, 'southwest': {'lat': -0.6301093298927223, 'lng': 110.3577018701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Mentawa Kampung durian,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100747258081836645125"">A Google User</a>'], 'photo_reference': 'AUGGfZl06OcvCWm1_Hu6Le4UBUl8aPgSWhTyE8FbaZJ-FbM6IpZg7WEfGhR-cW7BRukJKSaMogJTugRRoABOHD5TLT5jXwidr8oeA9T5S3e4slA2Svacz4Yh17x-M_f8sKrGA8YztvdHgAHSRrVsY1OV4vUF1SHEXEEjOFoWxHTLVzlZbMox', 'width': 1944}]",ChIJ4f9tPgCrAy4RqdmL1IvNLuE,,1.0,ChIJ4f9tPgCrAy4RqdmL1IvNLuE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJ4f9tPgCrAy4RqdmL1IvNLuE
CLOSED_TEMPORARILY,"F9F8+H9V, Jl. Ahmad Yani, Balai Pinang, Kec. Simpang Hulu, Kabupaten Ketapang, Kalimantan Barat 78854, Indonesia","{'location': {'lat': -0.5259908, 'lng': 110.3659577}, 'viewport': {'northeast': {'lat': -0.5245276201072777, 'lng': 110.3672405798927}, 'southwest': {'lat': -0.5272272798927222, 'lng': 110.3645409201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Langka_Indra,,ChIJmUQvMkRVAi4R820Ox08EkgI,,0.0,ChIJmUQvMkRVAi4R820Ox08EkgI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJmUQvMkRVAi4R820Ox08EkgI
CLOSED_TEMPORARILY,"CGVH+CG, Semandang Hulu, Simpang Hulu, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.5565, 'lng': 110.5288657}, 'viewport': {'northeast': {'lat': -0.5551501701072779, 'lng': 110.5302155298927}, 'southwest': {'lat': -0.5578498298927224, 'lng': 110.5275158701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Lubang Kijang,,ChIJ151gJQVNAi4RnOjjhSFaZtg,,0.0,ChIJ151gJQVNAi4RnOjjhSFaZtg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJ151gJQVNAi4RnOjjhSFaZtg
CLOSED_TEMPORARILY,"8C3X+XJ, Paoh Concong, Simpang Hulu, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.6950033, 'lng': 110.4490599}, 'viewport': {'northeast': {'lat': -0.6936534701072777, 'lng': 110.4504097298927}, 'southwest': {'lat': -0.6963531298927221, 'lng': 110.4477100701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Labi bulan,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103255987160117133039"">Rusdianto Dede</a>'], 'photo_reference': 'AUGGfZliXgecwet5zREeClAaTwcy_uCn1TdMd2mSV8zyogFLaSEfF4jx1rjUnwoOjHbzpGfuGiRiK-2MmbOWF9qVvHJwEF0Q33tCEBEzGDqtuPu1nn8-D8e_TPjlyvRjzpJbgVefbCgpvIc2n3q-BGG2X6AVubix4LMeiDUG87K43kjSVIZV', 'width': 4000}]",ChIJ3aEZm7-vAy4RIrIK2XuIeWs,,0.0,ChIJ3aEZm7-vAy4RIrIK2XuIeWs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJ3aEZm7-vAy4RIrIK2XuIeWs
OPERATIONAL,"GH66+J24, Legong, Simpang Hulu, Ketapang Regency, West Kalimantan 78854, Indonesia","{'location': {'lat': -0.4884875, 'lng': 110.5600781}, 'viewport': {'northeast': {'lat': -0.4871376701072776, 'lng': 110.5614279298927}, 'southwest': {'lat': -0.4898373298927221, 'lng': 110.5587282701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Jembatan Gantung Desa Kualan Hulu,,ChIJSXpsYgBPAi4RBoI0u2ifuBA,,0.0,ChIJSXpsYgBPAi4RBoI0u2ifuBA,"['park', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJSXpsYgBPAi4RBoI0u2ifuBA
OPERATIONAL,"98VF+G9, Balai Pinang, Simpang Hulu, Ketapang Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.606236, 'lng': 110.323481}, 'viewport': {'northeast': {'lat': -0.6048861701072777, 'lng': 110.3248308298927}, 'southwest': {'lat': -0.6075858298927223, 'lng': 110.3221311701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Tanjakan kek Simpan,"[{'height': 2680, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113881307421188063077"">A Google User</a>'], 'photo_reference': 'AUGGfZl1qnPI4DOw_1OrEJ7OZ6nb_uU9_6wGc_JUXAuVFaaYnob2Qt_er6BN5_9_tg2fr6a5bsvuMcS16WJ-mmqeiN_HJoOyPmoF5H8h197eWPvA_uPcB3ctARFXCTgvR6_axHIS2CVh2Tc6q70Fbc8HhXyiv2HcNes7zTRdpt82uakgmvlr', 'width': 3152}]",ChIJuzep83MBAy4RccdlpMv5Kds,,5.0,ChIJuzep83MBAy4RccdlpMv5Kds,"['park', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJuzep83MBAy4RccdlpMv5Kds
OPERATIONAL,"67VR+34M, Semandang Kanan, Simpang Dua, Ketapang Regency, West Kalimantan 78854, Indonesia","{'location': {'lat': -0.757296, 'lng': 110.2903003}, 'viewport': {'northeast': {'lat': -0.7559461701072778, 'lng': 110.2916501298927}, 'southwest': {'lat': -0.7586458298927222, 'lng': 110.2889504701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Tempayan,,ChIJu3NoGAAJAy4Raebqssv2ey4,,0.0,ChIJu3NoGAAJAy4Raebqssv2ey4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJu3NoGAAJAy4Raebqssv2ey4
