business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"5V3Q+XQ4, Sekanak Raya, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.1548894, 'lng': 103.8894523}, 'viewport': {'northeast': {'lat': 1.156331979892722, 'lng': 103.8909998798927}, 'southwest': {'lat': 1.153632320107278, 'lng': 103.8883002201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pulau Belakang Padang, Batam","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114557880739733562339"">Endro Sulistyanto</a>'], 'photo_reference': 'AUGGfZkLRMdRRa9KtCPFeKQKQruOXvW-UriYtZguNOMX_GwzGiFoIhzV1URvSnYMLlKKlB8k8u2EWF-V9QGDvNbQ3a3RkMLYibuakZDtQFxLlh8Yl7O-bvJWwPEMqxghZmTz8woFttA2wh20drCK_2NPqgzQJ2uYUPJaisbYKeZanhS62E1X', 'width': 4032}]",ChIJb1gRvBX12TERcqqAAawnfbk,4.5,ChIJb1gRvBX12TERcqqAAawnfbk,"['tourist_attraction', 'point_of_interest', 'establishment']",286,,https://www.google.com/maps/place/?q=place_id:ChIJb1gRvBX12TERcqqAAawnfbk
OPERATIONAL,"4VVG+F5Q, Sekanak Raya, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.1437031, 'lng': 103.8754803}, 'viewport': {'northeast': {'lat': 1.145057279892722, 'lng': 103.8768558798927}, 'southwest': {'lat': 1.142357620107278, 'lng': 103.8741562201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Maskot Buaya Belakang Padang,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116718847157158363830"">muhammad bagas pratama</a>'], 'photo_reference': 'AUGGfZl7oZLO8s00XJHCcv-IwcqdaPZf6xmRXa_I5LJu0d_f70PhOUA1bMAb0YQEqm6km_0HidCCbiZ8_OKL56gs9QWY98iw8HnZIYFX2Ee80nz1zaAkNGTqetdfyddpSBxJ62Imeeyz7BXAvPs-baXwKE6gtsipqlMnUbT-yJXABc9ZoCPE', 'width': 2160}]",ChIJV1SbsRr12TERtQ9Yos8OlnI,4.7,ChIJV1SbsRr12TERtQ9Yos8OlnI,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,https://www.google.com/maps/place/?q=place_id:ChIJV1SbsRr12TERtQ9Yos8OlnI
OPERATIONAL,"4VWM+H26, Sekanak Raya, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.1464178, 'lng': 103.8825012}, 'viewport': {'northeast': {'lat': 1.148271529892722, 'lng': 103.8834141798927}, 'southwest': {'lat': 1.145571870107278, 'lng': 103.8807145201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waduk Belakang Padang,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106903418524574166244"">Aditya Wahyu Kusuma</a>'], 'photo_reference': 'AUGGfZlfiQJZ-UwmOY9NEKonCfwWwP7agdYU3NM17Xv1gt0h5b2OAU-teRS6aVrcK2cjrroOYlM1Ei4o1hOvfyMN2omzek8jHpOUPV5Uy7TqpvoUI9223xgACup2jwgS3FZ01Qj9yflo8Ho9txAQOqjHklnxoG_osFpnT6JwGLc7yag4e4cE', 'width': 1920}]",ChIJ83X281z12TERTlPMm7dbSb0,0.0,ChIJ83X281z12TERTlPMm7dbSb0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ83X281z12TERTlPMm7dbSb0
OPERATIONAL,"3VGJ+R5V, Kasu, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.077104, 'lng': 103.8804172}, 'viewport': {'northeast': {'lat': 1.078453829892722, 'lng': 103.8817670298927}, 'southwest': {'lat': 1.075754170107278, 'lng': 103.8790673701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Padi,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104039498981691265956"">Boydo Rajiv Hutagalung</a>'], 'photo_reference': 'AUGGfZmfsl82JynuuLwITXBIdHzIl2xKooc3Bbi-Gnqzgid6SNC_VC21OfYjurUfZ4mg0yp-pZSJt9KO3gup-EW41dK2R5ysyttYqzdcEGtHgvaWGZjLNDrkeLDkGgnVOOyvO1mguIHWlFOo711-jzeKt9sJVd8LnaR_qJSczzyzNRhmBY-Z', 'width': 4160}]",ChIJuSIj3PPz2TERg3pcKUH9PE4,3.0,ChIJuSIj3PPz2TERg3pcKUH9PE4,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJuSIj3PPz2TERg3pcKUH9PE4
OPERATIONAL,"3VGF+H4, Kasu, Belakang Padang, Batam City, Riau Islands 29472, Indonesia","{'location': {'lat': 1.0763754, 'lng': 103.8728138}, 'viewport': {'northeast': {'lat': 1.077725229892722, 'lng': 103.8741636298927}, 'southwest': {'lat': 1.075025570107278, 'lng': 103.8714639701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Jek Perwira,,ChIJPf9Tt-rz2TERsY_FYVlbHi8,5.0,ChIJPf9Tt-rz2TERsY_FYVlbHi8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJPf9Tt-rz2TERsY_FYVlbHi8
OPERATIONAL,"3R8X+J48, Kasu, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.0665479, 'lng': 103.8478325}, 'viewport': {'northeast': {'lat': 1.06738315, 'lng': 103.84872375}, 'southwest': {'lat': 1.064042149999999, 'lng': 103.84515875}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Marison Silaban,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106654148789001189798"">A Google User</a>'], 'photo_reference': 'AUGGfZmB3DDW9IvlGpCRQ6TZsZBg3y44Wja56RQws0WTPWlVb6wVdW9ZP3jK3iSi0owmihJLsASy44ZErt0n419QBep0-CkKBrs8j_hVVO2O2V9FfADan6bdFV6q3GRDryiNPH6ieM-UIEmeYWxQqToyVfY0gp6ts-xTf8zgbzIsplpQcH6i', 'width': 2076}]",ChIJgxNwVADz2TERpRGg7CK-N8s,5.0,ChIJgxNwVADz2TERpRGg7CK-N8s,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJgxNwVADz2TERpRGg7CK-N8s
OPERATIONAL,"4VH3+M46, Pulau layang, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.1291667, 'lng': 103.8527778}, 'viewport': {'northeast': {'lat': 1.130516529892722, 'lng': 103.8541276298927}, 'southwest': {'lat': 1.127816870107278, 'lng': 103.8514279701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PU. Layang,,ChIJpSVojPz12TERE4K5YWJy_Gk,0.0,ChIJpSVojPz12TERE4K5YWJy_Gk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJpSVojPz12TERE4K5YWJy_Gk
OPERATIONAL,"4VWH+VM8, Sekanak Raya, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.1468075, 'lng': 103.8804665}, 'viewport': {'northeast': {'lat': 1.148093379892722, 'lng': 103.8821250798927}, 'southwest': {'lat': 1.145393720107278, 'lng': 103.8794254201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DAM sekanak,,ChIJUww-JQD12TER67906L5A_Ew,1.0,ChIJUww-JQD12TER67906L5A_Ew,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJUww-JQD12TER67906L5A_Ew
OPERATIONAL,"3QXH+PM, Pemping, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.0993003, 'lng': 103.7791883}, 'viewport': {'northeast': {'lat': 1.100650129892722, 'lng': 103.7805381298927}, 'southwest': {'lat': 1.097950470107278, 'lng': 103.7778384701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Mamasuka,,ChIJndJAgnTx2TERPbi2uj3OOQE,5.0,ChIJndJAgnTx2TERPbi2uj3OOQE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJndJAgnTx2TERPbi2uj3OOQE
OPERATIONAL,"3QJJ+W5, Pemping, Belakang Padang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 1.0822707, 'lng': 103.7804315}, 'viewport': {'northeast': {'lat': 1.083620529892722, 'lng': 103.7817813298927}, 'southwest': {'lat': 1.080920870107278, 'lng': 103.7790816701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Shardul Nimbalkar Island,,ChIJnV0LOgDx2TERfEoTiKsk96g,0.0,ChIJnV0LOgDx2TERfEoTiKsk96g,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJnV0LOgDx2TERfEoTiKsk96g
