business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,plus_code,price_level,url
OPERATIONAL,"W3FC+MG6, Setokok Island, Bulang, Batam City, Riau Islands 29475, Indonesia","{'location': {'lat': 0.9241727000000001, 'lng': 104.0712628}, 'viewport': {'northeast': {'lat': 0.9255826298927221, 'lng': 104.0724138}, 'southwest': {'lat': 0.9228829701072778, 'lng': 104.0678098}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yang Agriculture,{'open_now': True},ChIJ_UmwT2mX2TERH31PwbalOnw,5.0,ChIJ_UmwT2mX2TERH31PwbalOnw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_UmwT2mX2TERH31PwbalOnw
OPERATIONAL,"W3M5+MXX, Unnamed Road, Pulau Setokok, Kec. Bulang, Kota Batam, Kepulauan Riau 29475, Indonesia","{'location': {'lat': 0.9342483, 'lng': 104.0599967}, 'viewport': {'northeast': {'lat': 0.9355167798927221, 'lng': 104.0613788298927}, 'southwest': {'lat': 0.9328171201072778, 'lng': 104.0586791701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak peduli,{'open_now': False},ChIJPSsqNHeX2TERYxG_yRWHCHE,5.0,ChIJPSsqNHeX2TERYxG_yRWHCHE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107062435512033508043"">A Google User</a>'], 'photo_reference': 'AUGGfZnJL_CIyzNZosks8RAHwbJF7o4gvgAyIHg-dk3k0Gs2rXbq3XXzbhmvE4dL78pd88smGkACdwykIb-azwMXhY1Oqzo1Ir8Gx6boIXnddjrIIkFA_5-qdRXTZVCSfLlDT-mHmz31lkIIi8swuBT93yFIl134C6-R0CDhBfS4PIipqM7m', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJPSsqNHeX2TERYxG_yRWHCHE
OPERATIONAL,"V2QP+2X, Setokok Island, Bulang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 0.8875137999999999, 'lng': 104.0374924}, 'viewport': {'northeast': {'lat': 0.8888636298927222, 'lng': 104.0388422298927}, 'southwest': {'lat': 0.8861639701072777, 'lng': 104.0361425701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Bagasta,{'open_now': False},ChIJRRxLXdmX2TERj25kNQ4v_9U,3.0,ChIJRRxLXdmX2TERj25kNQ4v_9U,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107651554026631240041"">A Google User</a>'], 'photo_reference': 'AUGGfZmxKMoy8WEqLX0WanwgAbE5qeqMpOpcPIZ1dFQwaSApIYNOMvgrka_kc3fnELqz2Q7a3eIcA4UU7fDAefYkUyFPy5tYRIGUBlWfIPIuYH8ZTzM0_1zoc9AFH_gEc5VSkj4NCA1vuq5cN7xgYy3vL4MLlZnM6gzpEXoaZ8OIOR7nXIrb', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJRRxLXdmX2TERj25kNQ4v_9U
OPERATIONAL,"X2MR+R43, Tembesi, Sagulung, Batam City, Riau Islands 29472, Indonesia","{'location': {'lat': 0.9845117999999999, 'lng': 104.0402913}, 'viewport': {'northeast': {'lat': 0.9858280298927221, 'lng': 104.0413820798927}, 'southwest': {'lat': 0.9831283701072779, 'lng': 104.0386824201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dendang Melayu,{'open_now': True},ChIJ6U7cNg-R2TERzOqeSTjeoBI,4.4,ChIJ6U7cNg-R2TERzOqeSTjeoBI,"['tourist_attraction', 'point_of_interest', 'establishment']",1911,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111225042385558818790"">Bustomi Tomi</a>'], 'photo_reference': 'AUGGfZnqspKANI5WoktFKsg5wFeAYNCn-WQfq5txaMG-eXG-NPwUdSGYtTCbwbArgZd-gZDwqUjiP0la9zSnED2STCQDFvUmu5sRYoAe0t_RcWVEfHsiKdvnpNYiLblZyuq0LBFfJM5Co99ZywWnHb9NcH_Tby30xn0ouWhs8U25SFwCf6CM', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ6U7cNg-R2TERzOqeSTjeoBI
OPERATIONAL,"W3J6+25Q, Setokok Island, Bulang, Batam City, Riau Islands 29475, Indonesia","{'location': {'lat': 0.9300973, 'lng': 104.0604843}, 'viewport': {'northeast': {'lat': 0.9313947798927222, 'lng': 104.0618076798927}, 'southwest': {'lat': 0.928695120107278, 'lng': 104.0591080201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jamil pearlheart,,ChIJWXv4TLaX2TERO7RgDVsCiiQ,4.0,ChIJWXv4TLaX2TERO7RgDVsCiiQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJWXv4TLaX2TERO7RgDVsCiiQ
OPERATIONAL,"W3PF+XH7, Setokok Island, Bulang, Batam City, Riau Islands 29475, Indonesia","{'location': {'lat': 0.9374241, 'lng': 104.0739118}, 'viewport': {'northeast': {'lat': 0.9387772298927222, 'lng': 104.0750499798927}, 'southwest': {'lat': 0.936077570107278, 'lng': 104.0723503201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Kabun Farmilis Sikumbang,,ChIJs9BMnR2X2TERQ1X_xTP7F_A,5.0,ChIJs9BMnR2X2TERQ1X_xTP7F_A,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110564157938139295460"">A Google User</a>'], 'photo_reference': 'AUGGfZn2eLNrpRM-REoLkUFlMhgVB_n4Px-TLil9w9ncCY96QBvIFJLBKEjOmhELgHKzZ-lQ3ZHDJyY6HvBnOcMHN8I7Kirj-Sq42AQX5ywlTt6d5X1o37R7PfGxsiVGszcnzyIoMvEXeg8MZ84oXSEKQb0fDEusr1y7nFz2qW00NkdUcp41', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJs9BMnR2X2TERQ1X_xTP7F_A
OPERATIONAL,"XXC4+QF, Batu Legong, Bulang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 0.9719283, 'lng': 103.9561903}, 'viewport': {'northeast': {'lat': 0.9732370298927221, 'lng': 103.9575151298927}, 'southwest': {'lat': 0.9705373701072778, 'lng': 103.9548154701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Mengkadah,,ChIJ6Zpb2qGT2TERJ_syv7-baAA,5.0,ChIJ6Zpb2qGT2TERJ_syv7-baAA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113712321430960791956"">Ellown Mutahang</a>'], 'photo_reference': 'AUGGfZlPrdJMNmGOMMGL3V9Kp27CBvZbehZmXKPPVC_osEISNc2w_iCFSDDbsUXFgYV5KrlFr4xWqaKkniUg5RELb1qgK6PBC0AfuIdphjwZgIGhaLD0thbi7uwZTTguAFlFx9UGlAQGBwY4i3qYac7PDX27Jasze1AHI7Mtnv1fNAbuwQCJ', 'width': 3072}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ6Zpb2qGT2TERJ_syv7-baAA
OPERATIONAL,"WW27+X8, Pantai Gelam, Kota Batam, Kepulauan Riau, Indonesia","{'location': {'lat': 0.9024975, 'lng': 103.9133658}, 'viewport': {'northeast': {'lat': 0.9038473298927221, 'lng': 103.9147156298927}, 'southwest': {'lat': 0.9011476701072778, 'lng': 103.9120159701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,penggadaian pulau,{'open_now': True},ChIJpdD6FEvr2TERHGurUQUfJ6o,0.0,ChIJpdD6FEvr2TERHGurUQUfJ6o,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJpdD6FEvr2TERHGurUQUfJ6o
OPERATIONAL,"X2MH+58H, Tembesi, Sagulung, Batam City, Riau Islands 29472, Indonesia","{'location': {'lat': 0.9823305, 'lng': 104.0282909}, 'viewport': {'northeast': {'lat': 0.983718429892722, 'lng': 104.0296599298927}, 'southwest': {'lat': 0.9810187701072777, 'lng': 104.0269602701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah pak pinci,{'open_now': False},ChIJUxrH9TSR2TERA1pLcZSYtFo,0.0,ChIJUxrH9TSR2TERA1pLcZSYtFo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJUxrH9TSR2TERA1pLcZSYtFo
OPERATIONAL,"X2JM+5JM, Jl. Trans Barelang, Tembesi, Kec. Sagulung, Kota Batam, Kepulauan Riau 29472, Indonesia","{'location': {'lat': 0.9804883, 'lng': 104.033559}, 'viewport': {'northeast': {'lat': 0.981838129892722, 'lng': 104.0349088298927}, 'southwest': {'lat': 0.9791384701072778, 'lng': 104.0322091701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jety,,ChIJjafVKSCR2TERFcrCsfSbOVs,0.0,ChIJjafVKSCR2TERFcrCsfSbOVs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113741846295295607940"">YUNYANG DU</a>'], 'photo_reference': 'AUGGfZnP5mCavGj4WYbW3Or_blHQ7f-1oYHxWBBTe3YXOn69V6pRuyMaMqQDtJi2j9JLFrMrTKEc2eC3xrv1btvmyVx6IcD7DlAdT0pj6BgYHGZNtuKsgIzTw15NAuofHX7G_PFwD77E8ypRlXs_yhW2lfG8m6VeFLVzXVsZQ53pvq0SBVrk', 'width': 4032}]",,,https://www.google.com/maps/place/?q=place_id:ChIJjafVKSCR2TERFcrCsfSbOVs
