business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,price_level,plus_code,permanently_closed,url
OPERATIONAL,"X2FH+PV, Setokok Island, Bulang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 0.9743125, 'lng': 104.0296875}, 'viewport': {'northeast': {'lat': 0.9756623298927223, 'lng': 104.0310373298927}, 'southwest': {'lat': 0.9729626701072781, 'lng': 104.0283376701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,pulau sekatak,ChIJOW9mIACR2TERx899LA3XCSc,0.0,ChIJOW9mIACR2TERx899LA3XCSc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJOW9mIACR2TERx899LA3XCSc
OPERATIONAL,"V2QP+2X, Setokok Island, Bulang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 0.8875137999999999, 'lng': 104.0374924}, 'viewport': {'northeast': {'lat': 0.8888636298927222, 'lng': 104.0388422298927}, 'southwest': {'lat': 0.8861639701072777, 'lng': 104.0361425701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Bagasta,ChIJRRxLXdmX2TERj25kNQ4v_9U,3.0,ChIJRRxLXdmX2TERj25kNQ4v_9U,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107651554026631240041"">A Google User</a>'], 'photo_reference': 'AUGGfZltwluYnMEX_fLGn50TiBrThKGbsKpFbbwAP4O6WpjyxQk1lwucNS_ccuX-CTIW-3fnUa09AiemaNUxLQjA1PX9UVTzDIF1RMqVfAklf5gdERXeCMQJkR4lZJGeRpVNoDmlwR3CDZOAtxsZ5Bl6dWkl1X0iLJgMakNeJt5SvioGVrXF', 'width': 4000}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJRRxLXdmX2TERj25kNQ4v_9U
OPERATIONAL,"W3FC+MG6, Setokok Island, Bulang, Batam City, Riau Islands 29475, Indonesia","{'location': {'lat': 0.9241727000000001, 'lng': 104.0712628}, 'viewport': {'northeast': {'lat': 0.9255826298927221, 'lng': 104.0724138}, 'southwest': {'lat': 0.9228829701072778, 'lng': 104.0678098}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yang Agriculture,ChIJ_UmwT2mX2TERH31PwbalOnw,5.0,ChIJ_UmwT2mX2TERH31PwbalOnw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_UmwT2mX2TERH31PwbalOnw
OPERATIONAL,"X4G4+HC, Setokok Island, Bulang, Batam City, Riau Islands, Indonesia","{'location': {'lat': 0.9762554, 'lng': 104.1057171}, 'viewport': {'northeast': {'lat': 0.977605229892722, 'lng': 104.1070669298927}, 'southwest': {'lat': 0.9749055701072779, 'lng': 104.1043672701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PANTAI AWI,ChIJezaqagCb2TERZE5RdTb7CTE,4.0,ChIJezaqagCb2TERZE5RdTb7CTE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115180168979313681413"">Randy Sunrise</a>'], 'photo_reference': 'AUGGfZmNgbQBNMM2u-gkTZ4YPfEUvkzDL2Mpw86yyT80IgZgpoOOQGZU6jXRaq0_NXdzVCZs6037I6gQ0n08BV5_ilgXf0O7p_zMWTPBboJoTJ50ImzxvY69H-t8ErkkHYlmB3m1fu1YYNVxII2-2sjeylzpjIOBWHS2GKVNe5O6dM3kJcFS', 'width': 2268}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJezaqagCb2TERZE5RdTb7CTE
OPERATIONAL,"X2MR+R43, Tembesi, Sagulung, Batam City, Riau Islands 29472, Indonesia","{'location': {'lat': 0.9845117999999999, 'lng': 104.0402913}, 'viewport': {'northeast': {'lat': 0.9858280298927221, 'lng': 104.0413820798927}, 'southwest': {'lat': 0.9831283701072779, 'lng': 104.0386824201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dendang Melayu,ChIJ6U7cNg-R2TERzOqeSTjeoBI,4.4,ChIJ6U7cNg-R2TERzOqeSTjeoBI,"['tourist_attraction', 'point_of_interest', 'establishment']",1911,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115854434631044398396"">Andri Hendriana</a>'], 'photo_reference': 'AUGGfZlOY6M46OJGdYmQlyId1fq_IwoepPE4HfjydR2YCKFbck2O6RsifxoAyglnRmY8-c3u8lGBROYiEUP3zhVqXbBe59R2iVBXnuMOO9jN16SLX2ZON98Xgk2SnIGA3B3pNNsAjom4uznHMMBawskXb-NfQ6Pfs0h5AdU-l6zp1q-JO3vI', 'width': 3840}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ6U7cNg-R2TERzOqeSTjeoBI
OPERATIONAL,"W3M5+MXX, Unnamed Road, Pulau Setokok, Kec. Bulang, Kota Batam, Kepulauan Riau 29475, Indonesia","{'location': {'lat': 0.9342483, 'lng': 104.0599967}, 'viewport': {'northeast': {'lat': 0.9355167798927221, 'lng': 104.0613788298927}, 'southwest': {'lat': 0.9328171201072778, 'lng': 104.0586791701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak peduli,ChIJPSsqNHeX2TERYxG_yRWHCHE,5.0,ChIJPSsqNHeX2TERYxG_yRWHCHE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107062435512033508043"">A Google User</a>'], 'photo_reference': 'AUGGfZmdLPYwdKoJaFy0WM8Iudjo_DdQo1wV01h89sfOQ6VSHb3O-NZmfO4qzAKYxVObGwXiwnTClLDiReAQtXFBOtWE3uzCEXQIDeEvEthMWMOTUAzeQrlqvNuyQj0L9GiFgOQExsPWEADZlS9FtPARNs_0ty-5kQkz9QiVjXNFTpjJlZCt', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJPSsqNHeX2TERYxG_yRWHCHE
OPERATIONAL,"W3PF+XH7, Setokok Island, Bulang, Batam City, Riau Islands 29475, Indonesia","{'location': {'lat': 0.9374241, 'lng': 104.0739118}, 'viewport': {'northeast': {'lat': 0.9387772298927222, 'lng': 104.0750499798927}, 'southwest': {'lat': 0.936077570107278, 'lng': 104.0723503201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Kabun Farmilis Sikumbang,ChIJs9BMnR2X2TERQ1X_xTP7F_A,5.0,ChIJs9BMnR2X2TERQ1X_xTP7F_A,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110564157938139295460"">A Google User</a>'], 'photo_reference': 'AUGGfZlOuewhzgEFFn_hzM0FHtL5exDBcA1aCHl2WaXpwjtNuOs2yLME8Ncc2dCaVRBGoHDRjPBqRxEBtaskaxuuV0xwKEjSes3255ReBv86DuUNC_L8aBrhOf9z4_x2ei7VNBk-Ltfavofzx1vtgq0-AA4ZwdPX_QT95Rs6I4D-5T4susDp', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJs9BMnR2X2TERQ1X_xTP7F_A
OPERATIONAL,"X2JM+5JM, Jl. Trans Barelang, Tembesi, Kec. Sagulung, Kota Batam, Kepulauan Riau 29472, Indonesia","{'location': {'lat': 0.9804883, 'lng': 104.033559}, 'viewport': {'northeast': {'lat': 0.981838129892722, 'lng': 104.0349088298927}, 'southwest': {'lat': 0.9791384701072778, 'lng': 104.0322091701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jety,ChIJjafVKSCR2TERFcrCsfSbOVs,0.0,ChIJjafVKSCR2TERFcrCsfSbOVs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113741846295295607940"">YUNYANG DU</a>'], 'photo_reference': 'AUGGfZmCkTjobD0sCO3gZwXrBF4DLU-Ow8wjwyVq-O40m9oa6t5ePsdcUPKW4GbzhEZoIddPA4tAFQxQIfnKMDyLzETb16m9g_XXGdEcIh9nkYE_l3JfA94e714N1cG0wMglHPVM1QKvMUZr-nTuvf8farMcML8l2FUprsurLjr1udK8XIXX', 'width': 4032}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJjafVKSCR2TERFcrCsfSbOVs
OPERATIONAL,"W3J6+25Q, Setokok Island, Bulang, Batam City, Riau Islands 29475, Indonesia","{'location': {'lat': 0.9300973, 'lng': 104.0604843}, 'viewport': {'northeast': {'lat': 0.9313947798927222, 'lng': 104.0618076798927}, 'southwest': {'lat': 0.928695120107278, 'lng': 104.0591080201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jamil pearlheart,ChIJWXv4TLaX2TERO7RgDVsCiiQ,4.0,ChIJWXv4TLaX2TERO7RgDVsCiiQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWXv4TLaX2TERO7RgDVsCiiQ
OPERATIONAL,"X3F4+F9F, Jl. Trans Barelang, Pulau Setokok, Kec. Bulang, Kota Batam, Kepulauan Riau, Indonesia","{'location': {'lat': 0.9736944000000001, 'lng': 104.0559229}, 'viewport': {'northeast': {'lat': 0.974942629892722, 'lng': 104.0571165798927}, 'southwest': {'lat': 0.9722429701072777, 'lng': 104.0544169201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"taman laut,Pemancingan dan Seafood restaurant",ChIJHxe6qtKR2TERN7x7i9Galtc,4.6,ChIJHxe6qtKR2TERN7x7i9Galtc,"['tourist_attraction', 'point_of_interest', 'establishment']",31,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105632696702386572684"">A Google User</a>'], 'photo_reference': 'AUGGfZkoovkeVD5RgIKoKTns6IKNO57FS5qOnCh-xj1pRxofZ5PIrt_8Y2hvG7Jwm2FPe6loR0Qet8udvSA7Dve4XUt46ijt53XV5GRU5j4WTMgSgczsYSk4lCw9-ihOvvibYWtLIPX9Zh8AP9ooK9TWFHA_wogjkjEFfj1T9AcYkHD_K7WG', 'width': 4032}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJHxe6qtKR2TERN7x7i9Galtc
