formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,plus_code,rating,user_ratings_total,opening_hours,permanently_closed,url
"Tangerang, Tangerang City, Banten, Indonesia","{'location': {'lat': -6.1701796, 'lng': 106.6403236}, 'viewport': {'northeast': {'lat': -6.097141, 'lng': 106.748612}, 'southwest': {'lat': -6.256234099999999, 'lng': 106.551456}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tangerang,"[{'height': 476, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117585798854402597720"">hanafi ingah</a>'], 'photo_reference': 'AUGGfZkLvHtQK7dDgrY84gcElBNgMUdAcgTdWufUdwTr3yTwsOBLjfATgJfanTK7g0MXXPEgmYj6xby6dfVeleAvCwlPPgnhKYomPpVcjlC42Jg9KxMczGsVBJJOActGt6TVG-oAA2pUsSKx475N14WpqNEFJ7JuhpSbMYRlFOc5Szykt0XG', 'width': 644}]",ChIJjePSU-j4aS4RwLn-FG1XAQM,ChIJjePSU-j4aS4RwLn-FG1XAQM,"['locality', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJjePSU-j4aS4RwLn-FG1XAQM
"Jl. Pintu Bar. Air No.41, RT.001/RW.003, Mekarsari, Kec. Neglasari, Kota Tangerang, Banten 15129, Indonesia","{'location': {'lat': -6.1638419, 'lng': 106.6322344}, 'viewport': {'northeast': {'lat': -6.162492070107278, 'lng': 106.6335842298927}, 'southwest': {'lat': -6.165191729892721, 'lng': 106.6308845701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Eco Park,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114033869364021786412"">Rakhmad Ramadhanjaya</a>'], 'photo_reference': 'AUGGfZmnclReG54YNr3PggrOaG8jKfCY4MwSf05dWO8Wn5wBY9qtr1tjeqZ5gFPXfJKEAK-BeNyOcYSypgfo5egpY3GoKXq9qXSHHvuZKK371e5zjAGca7phTt86W05GhJF27xBAtB9iF_Oc9mbkOFQk0yzr9InOWSouYmB9nl_e48yO56VS', 'width': 4096}]",ChIJ0-vdWMr4aS4RwJmqxf5a7u8,ChIJ0-vdWMr4aS4RwJmqxf5a7u8,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'RJPJ+FV Mekarsari, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJPJ+FV'}",4.5,744.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0-vdWMr4aS4RwJmqxf5a7u8
"Neglasari, Tangerang City, Banten, Indonesia","{'location': {'lat': -6.1444858, 'lng': 106.6261831}, 'viewport': {'northeast': {'lat': -6.138496900000001, 'lng': 106.632831}, 'southwest': {'lat': -6.1558189, 'lng': 106.617168}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Neglasari,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112696157646786930705"">Zahra Putri Locahita</a>'], 'photo_reference': 'AUGGfZmUM7_H7ZK_XFG0-rZzVDCABNbhvidjCZ6eyR4gPFga8mLRLhHgHzfxk0kuY7rBlGS3GTkf2pT0BqnaS3r3ihi8zUqp5r1HqFYtHAG6DdlAeRcl3CZVaB069kfE8qhjfH7p2LcgvHvj33i4btTOyhK8H4accCTa2IftJ_K-abi3EYCM', 'width': 3000}]",ChIJKy8-ilP_aS4Rj7AEYPVS3E8,ChIJKy8-ilP_aS4Rj7AEYPVS3E8,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJKy8-ilP_aS4Rj7AEYPVS3E8
"Daan Mogot Rd No.71, RT.001/RW.003, Sukaasih, Tangerang, Tangerang City, Banten 15111, Indonesia","{'location': {'lat': -6.1680121, 'lng': 106.6364212}, 'viewport': {'northeast': {'lat': -6.166727220107278, 'lng': 106.6377829798927}, 'southwest': {'lat': -6.169426879892722, 'lng': 106.6350833201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Scout Park,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107401586001307144140"">A Google User</a>'], 'photo_reference': 'AUGGfZnbrtZ_OYRvFypPcOXlhYRZbgSVuXARkUiaIO4cEZrep22KRPCDwlWseM3_yDpN2Ua7tdNhNAR4bCGivOj_20NPL0JM25ZweO6SD8wPn5OMwEQfXOXOUdwq-3bAXEy80pIxBXkjDD520jSw4nCA7gx_GYeLUVSHAwUEum8InBYSuLqs', 'width': 4160}]",ChIJHwSXuM74aS4RY5ksrIRu69s,ChIJHwSXuM74aS4RY5ksrIRu69s,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'RJJP+QH Sukaasih, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJJP+QH'}",4.5,509.0,,,https://www.google.com/maps/place/?q=place_id:ChIJHwSXuM74aS4RY5ksrIRu69s
"Sukarasa, Tangerang, Tangerang City, Banten, Indonesia","{'location': {'lat': -6.1702634, 'lng': 106.6342947}, 'viewport': {'northeast': {'lat': -6.168944720107278, 'lng': 106.6356182798927}, 'southwest': {'lat': -6.171644379892721, 'lng': 106.6329186201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kano Kota Tangerang,"[{'height': 441, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104721955844685644943"">Arie Abdillah</a>'], 'photo_reference': 'AUGGfZlYsRGsyrRpFEwS3_6DaU-ySOxsmOiJ6UOJao8zvfrCUdjIniLRuRqKdv_wsfK9B01gPIU9E6P973hrb_wu8dEegpdZdNLxPWCPCixQFbzQma48PFNEGHq7pc0K7kDEorR9gBLxa4jEvaNcQ8iS29cIaEy8jn5wThI7i_N_ViZEZIJJ', 'width': 696}]",ChIJBwuAiyj5aS4RvnJVZiL-fZs,ChIJBwuAiyj5aS4RvnJVZiL-fZs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'RJHM+VP Sukarasa, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJHM+VP'}",5.0,3.0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJBwuAiyj5aS4RvnJVZiL-fZs
"Jl. Darussalam Utara II No.161-173, RT.003/RW.006, Batusari, Kec. Batuceper, Kota Tangerang, Banten 15121, Indonesia","{'location': {'lat': -6.1511078, 'lng': 106.656373}, 'viewport': {'northeast': {'lat': -6.149775870107278, 'lng': 106.6577164798927}, 'southwest': {'lat': -6.152475529892722, 'lng': 106.6550168201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Batusari,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109067590253695718531"">arip gunawan</a>'], 'photo_reference': 'AUGGfZkqBEDfrRnUOiOCZy6ivEv1rXeCfWIyYmc7FgJNm-H2_BEQ8HxdeczeAgLLglaDyKTrTh0Hcgstr3V--QWOedOaZgnmPXD5TaWK-AlGPUXWLwCdeqK0d0ADgXXdLPole7jgqiA0QY0bOilghRnm_9zcNGAvplVnGo3PcV03ufpr8ZFs', 'width': 4160}]",ChIJ5-ChDU_5aS4RZkVKmB9VV_k,ChIJ5-ChDU_5aS4RZkVKmB9VV_k,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'RMX4+HG Batusari, Tangerang City, Banten, Indonesia', 'global_code': '6P58RMX4+HG'}",4.6,323.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ5-ChDU_5aS4RZkVKmB9VV_k
"Jl. Meteorlogi- Almuhajirin No.RT 03, RT.004/RW.009, Tanah Tinggi, Kec. Tangerang, Kota Tangerang, Banten 15119, Indonesia","{'location': {'lat': -6.1698533, 'lng': 106.6490443}, 'viewport': {'northeast': {'lat': -6.168504020107277, 'lng': 106.6503967798927}, 'southwest': {'lat': -6.171203679892721, 'lng': 106.6476971201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Rumah Kita(Kampung pink),"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118436321997111795901"">A Google User</a>'], 'photo_reference': 'AUGGfZlZFmAfMRDwKBpOSdH6UNuXNCvirpso54OPQREU_hQFxTMqXY5DEMg1USYicEnWi6kzI6IydbJiXSQEJGqo4N2vEm6sptYwgXMxvlou8zHVr6vZpPLCPs4_Os46_OpojMDm35RxEL3ObLSlaA3CtwPi9ZJKrnRjS6XA_ZfWnEb01wag', 'width': 3504}]",ChIJRUt0Ubn5aS4R8pelaX-mIns,ChIJRUt0Ubn5aS4R8pelaX-mIns,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'RJJX+3J Tanah Tinggi, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJJX+3J'}",4.7,73.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJRUt0Ubn5aS4R8pelaX-mIns
"RJHH+29Q, Sepanjang, Jl. Benteng Jaya, RT.004/RW.005, Sukarasa, Kec. Tangerang, Kota Tangerang, Banten 15111, Indonesia","{'location': {'lat': -6.172402399999999, 'lng': 106.628482}, 'viewport': {'northeast': {'lat': -6.171020720107279, 'lng': 106.6300969298927}, 'southwest': {'lat': -6.173720379892723, 'lng': 106.6273972701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Cisadane Walk,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105640499653128315779"">A Google User</a>'], 'photo_reference': 'AUGGfZnh70gGfXO8l30JDZO18gNwG99WsJNg9vakrVWtDSav5E7ik4TJlZcdEbhwyoqIcWvmUvlGDr-w-cu7R2tLcghMNiHegL7KDnVzOQ6BSLwOh9W5n5X7iEAb16ktP7Fkqa--cYa5GAX3f3GC2mrUxqjJpTctj1ZeylbvZ5FOElCj4GR7', 'width': 2448}]",ChIJwSpXqjL_aS4R6oJ9R_MxAXQ,ChIJwSpXqjL_aS4R6oJ9R_MxAXQ,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.6,3832.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJwSpXqjL_aS4R6oJ9R_MxAXQ
"RJ7M+38C, Jl. Perintis Kemerdekaan, RT.001/RW.001, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia","{'location': {'lat': -6.1873102, 'lng': 106.6332586}, 'viewport': {'northeast': {'lat': -6.185967370107278, 'lng': 106.6346082298927}, 'southwest': {'lat': -6.188667029892722, 'lng': 106.6319085701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Bekelir,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100213147256148592370"">M Bahrun I Chourmain</a>'], 'photo_reference': 'AUGGfZnvDu1JzAhNk-n90V-YNHP15jGhtM4sIdkpwZvwWgn2SNeNMJMcKsnIVVJY-J5mZI6w4TOdwIlq3EV9faSSk5R21lBrHK3FeUWLKqFIjSkw7_v-v3mjTgDsK2F6u0lNAgj987yAoT8snqWvEni54z9PhOrupL9y20JxpVoX7ut2pkrP', 'width': 4032}]",ChIJqZKkjvj5aS4RzchmpwHCyWc,ChIJqZKkjvj5aS4RzchmpwHCyWc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.7,175.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJqZKkjvj5aS4RzchmpwHCyWc
"Daan Mogot Rd No.60, RT.001/RW.005, Sukarasa, Tangerang, Tangerang City, Banten 15111, Indonesia","{'location': {'lat': -6.1685197, 'lng': 106.634491}, 'viewport': {'northeast': {'lat': -6.167299370107278, 'lng': 106.6358990798927}, 'southwest': {'lat': -6.169999029892722, 'lng': 106.6331994201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Pintu Air,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111461755858890188373"">hendro kusumaperdana</a>'], 'photo_reference': 'AUGGfZkckcHESDULjwgl3LYpeCSXTYWYIbh514qMfbwR9ZnVE7t7kSeDB7qc_SsX075qDb75qZTLJ-6fyi-r09vyDHNbXvNn9op6qXUiAFRHZsdYBsfQU2wMtbN8xgO90j9-ADDxdeqkNmFky__COMRIImtYhs4m9MiYEZyajH_fXpVNHGEo', 'width': 1600}]",ChIJV_cMIcz4aS4RRSeiogbi47Y,ChIJV_cMIcz4aS4RRSeiogbi47Y,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'RJJM+HQ Sukarasa, Tangerang City, Banten, Indonesia', 'global_code': '6P58RJJM+HQ'}",4.4,556.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJV_cMIcz4aS4RRSeiogbi47Y
