business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,price_level,url
OPERATIONAL,"Gg. Kelurahan No.39, RT.4/RW.1, Pinang, Kec. Pinang, Kota Tangerang, Banten 15145, Indonesia","{'location': {'lat': -6.2140881, 'lng': 106.6847293}, 'viewport': {'northeast': {'lat': -6.212837270107277, 'lng': 106.6861054298927}, 'southwest': {'lat': -6.215536929892721, 'lng': 106.6834057701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Wisata Jati Pinang,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109173173056720771971"">Adi Zazuli</a>'], 'photo_reference': 'AUGGfZnSj_kcU2ZtoB6i5t0CM9yCftVdVCyDcgqJdkfbJ81ENUSgsXUXN8E32mM9Sx7H0norjGqcU5c2jJl3GnxmMbhGcNze-i5C93dmuibDBHJJthRa3RktW9VjbKbE91y4_8H30yz9fHtyvbbrPGNfRSLsUiOlVHhMq_65bIg9yRBSBeJ2', 'width': 2448}]",ChIJ5RxJ5Iv5aS4RVmi02uMflRI,"{'compound_code': 'QMPM+9V Pinang, Tangerang City, Banten, Indonesia', 'global_code': '6P58QMPM+9V'}",3.6,ChIJ5RxJ5Iv5aS4RVmi02uMflRI,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ5RxJ5Iv5aS4RVmi02uMflRI
OPERATIONAL,"QJJV+553, North Panunggangan, Pinang, Tangerang City, Banten, Indonesia","{'location': {'lat': -6.219612799999999, 'lng': 106.6429162}, 'viewport': {'northeast': {'lat': -6.218145920107277, 'lng': 106.6442789798927}, 'southwest': {'lat': -6.220845579892721, 'lng': 106.6415793201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ekowisata Terpadu Kampung Hijrah,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110834400702017732188"">Karen OF</a>'], 'photo_reference': 'AUGGfZlpLZ6i40TzR0fteCGg94PBX0E2apdvgM6fwU1i8BgPo9eGog-OOx_S82FhvOCXT3SIBOMGb8A7eUYAp-B6Ti9Z3QslUqdftmLLRWPzpmhLMet1-Uq4z5WuSgimxSO9mLWJh7Igwt_GScpKhn_zp2rdlhpsB1Cxt-vZNzlEErV2ewy_', 'width': 960}]",ChIJefrixcn5aS4RkHCmBlgFhPU,,5.0,ChIJefrixcn5aS4RkHCmBlgFhPU,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJefrixcn5aS4RkHCmBlgFhPU
CLOSED_TEMPORARILY,"Jalan Sindang sana.rt/RW.02/04, Indonesia","{'location': {'lat': -6.2024621, 'lng': 106.6527263}, 'viewport': {'northeast': {'lat': -6.201092770107278, 'lng': 106.6540745798927}, 'southwest': {'lat': -6.203792429892721, 'lng': 106.6513749201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ko.sindang sana,,ChIJI6mo0p75aS4RaXdJvQJ23FQ,"{'compound_code': 'QMX3+23 Cipete, Tangerang City, Banten, Indonesia', 'global_code': '6P58QMX3+23'}",0.0,ChIJI6mo0p75aS4RaXdJvQJ23FQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJI6mo0p75aS4RaXdJvQJ23FQ
OPERATIONAL,"Jl. Rasuna Said No.33, RT.3/RW.002, Pakojan, Kec. Pinang, Kota Tangerang, Banten 15117, Indonesia","{'location': {'lat': -6.2070311, 'lng': 106.6466877}, 'viewport': {'northeast': {'lat': -6.205656420107278, 'lng': 106.6480388298927}, 'southwest': {'lat': -6.208356079892722, 'lng': 106.6453391701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NEW JBC BUARAN ENTERPRISE,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117992090731112386243"">Anan Jbc</a>'], 'photo_reference': 'AUGGfZkbqBFI-Qm5SA7VIwc5onXDtaADj02JI-08drihLC4qnkZZvs87mI_9CudguvJMUAurbXEJm4d5r6u_iHqI_XWw2UCmUVxvAgwdhqKrt92GrOu98fOJ3WVqyLrm7OIb2WH-6wth-pDwWkqMN1i-3GgnLtXZbLmXh-DOjvydfLt_zrqA', 'width': 3264}]",ChIJZ7k1gOj5aS4RD8isuTXotDE,"{'compound_code': 'QJVW+5M Pakojan, Tangerang City, Banten, Indonesia', 'global_code': '6P58QJVW+5M'}",4.4,ChIJZ7k1gOj5aS4RD8isuTXotDE,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ7k1gOj5aS4RD8isuTXotDE
OPERATIONAL,"Intramega Global. Pt, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143, Indonesia","{'location': {'lat': -6.2274541, 'lng': 106.6579448}, 'viewport': {'northeast': {'lat': -6.226092720107278, 'lng': 106.6593893798927}, 'southwest': {'lat': -6.228792379892722, 'lng': 106.6566897201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KARIANGAZ,,ChIJ9XHqDwD7aS4RnKWjAoEe9SA,"{'compound_code': 'QMF5+25 East Panunggangan, Tangerang City, Banten, Indonesia', 'global_code': '6P58QMF5+25'}",0.0,ChIJ9XHqDwD7aS4RnKWjAoEe9SA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9XHqDwD7aS4RnKWjAoEe9SA
OPERATIONAL,"Jl. Swadaya No.41, RT.2/RW.2, Panunggangan Utara, Kec. Pinang, Kota Tangerang, Banten 15143, Indonesia","{'location': {'lat': -6.2170608, 'lng': 106.6373498}, 'viewport': {'northeast': {'lat': -6.215593570107278, 'lng': 106.6386818798927}, 'southwest': {'lat': -6.218293229892722, 'lng': 106.6359822201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hatinya PKK,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111172934332513401521"">Isnaeni Mm</a>'], 'photo_reference': 'AUGGfZmsjEkL5lhZTJXJsmjPfZZij1nzNq_zIwTbkYQ8U1kgTYFZz3sIF-34sO2Jwusp9Wnov9ACiM5Tq5-J_bAmy06-JTwkVJKI21-BsAb1l305PtLGhcpeB0NK4KRvbQjpHiS9UC6G4uqPxo6K2jdABnvBmQ9J3bTEixzOxUsrvoLHVYGp', 'width': 1920}]",ChIJdcqvekj5aS4Rhe-AgXy6TJU,"{'compound_code': 'QJMP+5W North Panunggangan, Tangerang City, Banten, Indonesia', 'global_code': '6P58QJMP+5W'}",4.9,ChIJdcqvekj5aS4Rhe-AgXy6TJU,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0,,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJdcqvekj5aS4Rhe-AgXy6TJU
OPERATIONAL,"Jl. MH. Thamrin No.34, RT.004/RW.001, Panunggangan Utara, Kec. Pinang, Kota Tangerang, Banten 15143, Indonesia","{'location': {'lat': -6.216001899999999, 'lng': 106.6305063}, 'viewport': {'northeast': {'lat': -6.214640170107278, 'lng': 106.6318710798927}, 'southwest': {'lat': -6.217339829892722, 'lng': 106.6291714201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117586238750897085550"">Heru Darmawan</a>'], 'photo_reference': 'AUGGfZl2Js1pwivqVjvhGQpcu23jAhR0Zt6fdY_q5A8jIX2h6eXQ9ptysrLU9eOulGdDtJsH2t7R6ohAoWuvqeCGsNGJmmzHSe4I9fARiqRA6bGfkDnp9rh_KfQyxRoF4ug-97pU7pie6mhTzu6jtDiUxn09DobodAwNMMu0sSEdP5JgCEey', 'width': 4000}]",ChIJxda8n1v5aS4RUaYZ5rDv-jE,"{'compound_code': 'QJMJ+H6 North Panunggangan, Tangerang City, Banten, Indonesia', 'global_code': '6P58QJMJ+H6'}",4.7,ChIJxda8n1v5aS4RUaYZ5rDv-jE,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJxda8n1v5aS4RUaYZ5rDv-jE
OPERATIONAL,"No, Jl. Kp. Kebun Nanas No.202, RT.006/RW.001, Panunggangan Utara, Kec. Pinang, Kota Tangerang, Banten 15143, Indonesia","{'location': {'lat': -6.2169013, 'lng': 106.636266}, 'viewport': {'northeast': {'lat': -6.215547520107279, 'lng': 106.6376167798927}, 'southwest': {'lat': -6.218247179892723, 'lng': 106.6349171201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hatinya PKK RW 02 Panunggangan Utara,"[{'height': 1382, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118343815203195225128"">A Google User</a>'], 'photo_reference': 'AUGGfZnj4NPt2iwO3RpRO6PySOw-gI4jrGOUN2JCPngzVtuX2KZkHvU02MdAALSyunsxYYdZROamgnCH2ZmD_D81w0Wc3AsKEe_SDWkEuU2krdAHwt59z4fzwFttGBzPTWgL7PYYXvRDBrBRKFxizRNMVvseMaQ7uG_q49L63IdCmreZUUEh', 'width': 2864}]",ChIJ8Xq9X9z5aS4RmwA88hpRLzI,"{'compound_code': 'QJMP+6G North Panunggangan, Tangerang City, Banten, Indonesia', 'global_code': '6P58QJMP+6G'}",4.5,ChIJ8Xq9X9z5aS4RmwA88hpRLzI,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8Xq9X9z5aS4RmwA88hpRLzI
OPERATIONAL,"QJGH+PWM Jembatan Cisadane, Jl. Tol Jkt - Tangerang, RT.001/RW.002, Panunggangan Utara, Kec. Pinang, Kota Tangerang, Banten 15143, Indonesia","{'location': {'lat': -6.2227331, 'lng': 106.6295031}, 'viewport': {'northeast': {'lat': -6.221286720107278, 'lng': 106.6307965798927}, 'southwest': {'lat': -6.223986379892722, 'lng': 106.6280969201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot mancing sebrang istana nelayan,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101508849538502584427"">slamet riadi</a>'], 'photo_reference': 'AUGGfZnBTYvZfG0HlQjxlM4gFrqGDydA_cFJ-6lgQdLvojM9UU8YnSei4azXsVSiBHATqhoxUWtvtEOQyFbxojhcQkorP9FlhX6S57HvyN6jxWD5A_d7JZ7qmw2jr8L2bMuTqoOBiPsxcmFi4hQCePv5Ek8XFpKzbZQHuXjulwbo1-q9jPWJ', 'width': 2160}]",ChIJe_vVRgD5aS4RGoQ1FeZsG9Q,,0.0,ChIJe_vVRgD5aS4RGoQ1FeZsG9Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJe_vVRgD5aS4RGoQ1FeZsG9Q
CLOSED_TEMPORARILY,"QJMJ+CR6, Gg. H. Umar Mili, kebon, Kec. Pinang, Kota Tangerang, Banten 15143, Indonesia","{'location': {'lat': -6.216444399999999, 'lng': 106.6320316}, 'viewport': {'northeast': {'lat': -6.215105520107278, 'lng': 106.6333464298927}, 'southwest': {'lat': -6.217805179892722, 'lng': 106.6306467701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Giska,,ChIJ671_yUr5aS4RF1mlU-8EXwI,,1.0,ChIJ671_yUr5aS4RF1mlU-8EXwI,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ671_yUr5aS4RF1mlU-8EXwI
OPERATIONAL,"Gg. H. Marjuki Jl. Kunciran Induk/Raya Gempol, RT.004/RW.003, Kunciran, Kec. Pinang, Kota Tangerang, Banten 15144, Indonesia","{'location': {'lat': -6.220405599999999, 'lng': 106.6711291}, 'viewport': {'northeast': {'lat': -6.219049070107277, 'lng': 106.6724808798927}, 'southwest': {'lat': -6.221748729892721, 'lng': 106.6697812201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Gempol - Wisata Edukasi & Rekreasi,"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116389921997861176807"">Cahyo Wicaksono</a>'], 'photo_reference': 'AUGGfZlYmmT7UYUJ9J1o2CljKdzmPqv1z2D8wAmhkNjw0oT8Q6mTWGtDx6EnMuYmy9DJLV4x_pykun1LqN0e9j-MxgOuduasQFXoagrpLTQtFQbw4Z2WC6Y9KO_nRliib2flELuOBSbvRln-OqEFVSgirumSzSFhrblzN_JSTplAFZ_iDABd', 'width': 1040}]",ChIJT9uWzRD5aS4Re48sdrrts_I,"{'compound_code': 'QMHC+RF Kunciran, Tangerang City, Banten, Indonesia', 'global_code': '6P58QMHC+RF'}",4.6,ChIJT9uWzRD5aS4Re48sdrrts_I,"['tourist_attraction', 'point_of_interest', 'establishment']",199.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJT9uWzRD5aS4Re48sdrrts_I
OPERATIONAL,"QMW8+W2F, RT.003/RW.005, Cipete, Pinang, Tangerang City, Banten 15142, Indonesia","{'location': {'lat': -6.2026854, 'lng': 106.6650625}, 'viewport': {'northeast': {'lat': -6.201334870107278, 'lng': 106.6663992798927}, 'southwest': {'lat': -6.204034529892722, 'lng': 106.6636996201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Warung Awi,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109792237996403206939"">Muslim Norbek</a>'], 'photo_reference': 'AUGGfZkMFkGkVXoo2RURmZqwhm8DB_5biEylgUCfDkuwqBZh4fDW0ISOrt25j28i0BRCPLU-xRAx1RwACtMq5ksW80JgDyPdhUq5JU9Iv5QC5Uu73YHPV_HjDgkUgtDp_t3jR-fAF2R91JBceHSq1-hugrLIOpEZeLOHR0TDoGIuFQLSm_Nv', 'width': 4624}]",ChIJKU3p55z5aS4RxavSW1169hE,,5.0,ChIJKU3p55z5aS4RxavSW1169hE,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJKU3p55z5aS4RxavSW1169hE
OPERATIONAL,"QMHQ+4PQ, Jl. KH. Hasyim Ashari, RT.008/RW.002, Sudimara Pinang, Kec. Pinang, Kota Tangerang, Banten 15145, Indonesia","{'location': {'lat': -6.2221609, 'lng': 106.6893724}, 'viewport': {'northeast': {'lat': -6.220777220107278, 'lng': 106.6907288298927}, 'southwest': {'lat': -6.223476879892722, 'lng': 106.6880291701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Inspirasi,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108823093255580013661"">A Google User</a>'], 'photo_reference': 'AUGGfZksZ7ySqAkjmPqXJCJpZiPjQ2cljJqlfHtsYx7QZe90_u7T66EIUraSK8vlpUClOZXbjgOabdt7gtsK3Lc_AjMtuxMTkV2dJOKTDVhjNREaNEorWBfxv_iAN5lH2FUC1-9jkPbR8sonYDxsvoaETQ932m-on0eA1Rkf4USA9BXcy40', 'width': 720}]",ChIJyxszdHH7aS4RXxA6S3QMOtE,,4.8,ChIJyxszdHH7aS4RXxA6S3QMOtE,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJyxszdHH7aS4RXxA6S3QMOtE
OPERATIONAL,"QMX8+V87, RT.001/RW.003, Cipete, Pinang, Tangerang City, Banten, Indonesia","{'location': {'lat': -6.2003438, 'lng': 106.665784}, 'viewport': {'northeast': {'lat': -6.198802220107279, 'lng': 106.6672055798927}, 'southwest': {'lat': -6.201501879892723, 'lng': 106.6645059201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tashen fishing,,ChIJdbbyAgD5aS4RLiMk82Mc-ro,,0.0,ChIJdbbyAgD5aS4RLiMk82Mc-ro,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJdbbyAgD5aS4RLiMk82Mc-ro
