business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,photos,permanently_closed,url
OPERATIONAL,"Jl. SM Amin No.8d, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28293, Indonesia","{'location': {'lat': 0.4960083, 'lng': 101.3951166}, 'viewport': {'northeast': {'lat': 0.4973561298927221, 'lng': 101.3964496298927}, 'southwest': {'lat': 0.4946564701072776, 'lng': 101.3937499701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kandang macan,ChIJ4z2RewCp1TERYUkQ2WGRD2w,"{'compound_code': 'F9WW+C2 Simpang Baru, Pekanbaru City, Riau, Indonesia', 'global_code': '6PG3F9WW+C2'}",0.0,ChIJ4z2RewCp1TERYUkQ2WGRD2w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4z2RewCp1TERYUkQ2WGRD2w
OPERATIONAL,"FC79+G66, Jl. HR. Soebrantas, Sidomulyo Bar., Kec. Tampan, Kota Pekanbaru, Riau 28289, Indonesia","{'location': {'lat': 0.4637786, 'lng': 101.4180184}, 'viewport': {'northeast': {'lat': 0.4650969298927222, 'lng': 101.4193688798927}, 'southwest': {'lat': 0.4623972701072778, 'lng': 101.4166692201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,simpang LISTRIK AURI,ChIJY_WSbwCp1TERfVwGFhnNddg,,0.0,ChIJY_WSbwCp1TERfVwGFhnNddg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJY_WSbwCp1TERfVwGFhnNddg
OPERATIONAL,"F9WJ+P6Q, Jl. Semangka Jl. Melati, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28292, Indonesia","{'location': {'lat': 0.4968405, 'lng': 101.3806216}, 'viewport': {'northeast': {'lat': 0.4981649798927223, 'lng': 101.3820046298927}, 'southwest': {'lat': 0.4954653201072778, 'lng': 101.3793049701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Badnur Miniatur Riau,ChIJ_QYSzKCp1TERFt1tnwDBgO8,,4.2,ChIJ_QYSzKCp1TERFt1tnwDBgO8,"['tourist_attraction', 'point_of_interest', 'establishment']",70,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102476280388987342182"">A Google User</a>'], 'photo_reference': 'AUGGfZmKtuvhyBnPOV4nwW8Q4li9e1H11qtt55QjbF-DzWeawsfrs1ereMLJYXIXasDTRz96jMQdwJuwodqcxrwuf5Feergh7jIpYS4cPdFV3OxWBodLAEyzcNxQ4Slb5igFuRvjOk7vKAUecFSzLXVk4CppUq5_NZ8f8VtTMoOAIp-jM7WM', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJ_QYSzKCp1TERFt1tnwDBgO8
OPERATIONAL,"F97Q+J69, Tuah Karya, Tampan, Pekanbaru City, Riau 28293, Indonesia","{'location': {'lat': 0.464121, 'lng': 101.3880617}, 'viewport': {'northeast': {'lat': 0.4654708798927222, 'lng': 101.3894438298927}, 'southwest': {'lat': 0.4627712201072778, 'lng': 101.3867441701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SIMPANG KUALU,ChIJzflgPQCp1TERvJUO2sagwzc,,1.0,ChIJzflgPQCp1TERvJUO2sagwzc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJzflgPQCp1TERvJUO2sagwzc
OPERATIONAL,"F9QW+VWG, Jl. Rajawali Sakti, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28292, Indonesia","{'location': {'lat': 0.4896874, 'lng': 101.3973301}, 'viewport': {'northeast': {'lat': 0.4909679798927222, 'lng': 101.3986799798927}, 'southwest': {'lat': 0.4882683201072777, 'lng': 101.3959803201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Kurma Pak Hamdan,ChIJHZXVVNup1TERqFK-AaMoC_Q,,0.0,ChIJHZXVVNup1TERqFK-AaMoC_Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJHZXVVNup1TERqFK-AaMoC_Q
OPERATIONAL,"Jl. Kulim No.225, Tampan, Kec. Payung Sekaki, Kota Pekanbaru, Riau 28291, Indonesia","{'location': {'lat': 0.5449667, 'lng': 101.425107}, 'viewport': {'northeast': {'lat': 0.5462341798927223, 'lng': 101.4264405798927}, 'southwest': {'lat': 0.5435345201072779, 'lng': 101.4237409201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Galatama Ikan Mas,ChIJFaP5CIWr1TERGNfGKHlbL1s,"{'compound_code': 'GCVG+X2 Tampan, Pekanbaru City, Riau, Indonesia', 'global_code': '6PG3GCVG+X2'}",4.3,ChIJFaP5CIWr1TERGNfGKHlbL1s,"['tourist_attraction', 'point_of_interest', 'establishment']",84,{'open_now': False},"[{'height': 2464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108196376554067054563"">A Google User</a>'], 'photo_reference': 'AUGGfZnDI6vygQMEybvAP-ESJseDAYMUZ7935fdrEqc_alX2OlV8iJ3I7ExbQ1AEgk0UxhH2LsICVT1ACKhXBGgeDIkTpANxGMqciTQT-J8aHYVnUqFHewHllYZJZKF15_jEscx3kB_LTRVwkHg1qy1pWW3dkXZsP1teAdg8OX1yrbmtFNJP', 'width': 3280}]",,https://www.google.com/maps/place/?q=place_id:ChIJFaP5CIWr1TERGNfGKHlbL1s
OPERATIONAL,"Jl. Melati II No.50, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28292, Indonesia","{'location': {'lat': 0.4824092, 'lng': 101.3706965}, 'viewport': {'northeast': {'lat': 0.4837719298927223, 'lng': 101.3720497798927}, 'southwest': {'lat': 0.4810722701072778, 'lng': 101.3693501201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SURVEY,ChIJR5GePKOp1TERmmUgQQibox0,"{'compound_code': 'F9JC+W7 Simpang Baru, Pekanbaru City, Riau, Indonesia', 'global_code': '6PG3F9JC+W7'}",0.0,ChIJR5GePKOp1TERmmUgQQibox0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJR5GePKOp1TERmmUgQQibox0
OPERATIONAL,"F99F+HCV, Jl. Bangau Sakti, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28293, Indonesia","{'location': {'lat': 0.4689821, 'lng': 101.3734563}, 'viewport': {'northeast': {'lat': 0.4704016298927221, 'lng': 101.3748164298927}, 'southwest': {'lat': 0.4677019701072777, 'lng': 101.3721167701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolom renang dewasa,ChIJRaBJwNyp1TEReGRkLclKbLw,,0.0,ChIJRaBJwNyp1TEReGRkLclKbLw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJRaBJwNyp1TEReGRkLclKbLw
OPERATIONAL,"F98J+255, Jl. Binawidya UNRI, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28293, Indonesia","{'location': {'lat': 0.4650192, 'lng': 101.3804942}, 'viewport': {'northeast': {'lat': 0.4663726798927222, 'lng': 101.3815920298927}, 'southwest': {'lat': 0.4636730201072777, 'lng': 101.3788923701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Science Park Universitas Riau,ChIJiVfnhFuo1TERfkqrq0bFDVY,,4.4,ChIJiVfnhFuo1TERfkqrq0bFDVY,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",630,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111670350068942272204"">dedi kurniawan</a>'], 'photo_reference': 'AUGGfZkZGFxdiFVV3iJBvVzjWhR9lu7Ny1LfwdWSbasTzOmH1CouU9EZbIgtF17SpwjzdPNsRYCScq35WjkfSCtEMrXmIzKIftKKwF_-XKYRg5Vm5F0Spn-K4ZqaVEdfuxr1QE9i-_-ZOJ_ushnTgCjyPL3DLjqN2IHMo8ostjMIqk9pXGeh', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJiVfnhFuo1TERfkqrq0bFDVY
OPERATIONAL,"F9F9+RXJ, Jl. Teladan, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28293, Indonesia","{'location': {'lat': 0.4745769, 'lng': 101.3698907}, 'viewport': {'northeast': {'lat': 0.4759066798927222, 'lng': 101.3712472798927}, 'southwest': {'lat': 0.4732070201072778, 'lng': 101.3685476201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Teladan,ChIJD_tYTgCp1TERzqC8qxxRtKo,,0.0,ChIJD_tYTgCp1TERzqC8qxxRtKo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJD_tYTgCp1TERzqC8qxxRtKo
