formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,photos,business_status,rating,user_ratings_total,opening_hours,plus_code,url
"Candi Laras, Candi Laras Selatan, Tapin Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.8415839, 'lng': 114.9220214}, 'viewport': {'northeast': {'lat': -2.811834, 'lng': 114.945229}, 'southwest': {'lat': -2.8788501, 'lng': 114.907026}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Candi Laras,ChIJL2wskt-q5S0RhCejPFICb8A,ChIJL2wskt-q5S0RhCejPFICb8A,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJL2wskt-q5S0RhCejPFICb8A
"Tapin Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.9160746, 'lng': 115.0465991}, 'viewport': {'northeast': {'lat': -2.5214259, 'lng': 115.5075411}, 'southwest': {'lat': -3.212359, 'lng': 114.8022649}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tapin Regency,ChIJV2WhapCm5S0R2nRoTrVsTMg,ChIJV2WhapCm5S0R2nRoTrVsTMg,"['administrative_area_level_2', 'political']","[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105880008497030158891"">zulkifli alghazi</a>'], 'photo_reference': 'AUGGfZkKsmo8TlSC-Pc93WoQgQVWbeZqDjYqFqguwGgr8-bNZgwjeOmimAuW5R0qTV6lj8jNtSnoRxtO9ZDV0rflzQBEIvuhyIXHSmyUWr55jXDrHBalCBawoY07GnCulWaF0VAg-ZJDPBg3HqH4F2M4XCp53vx_O0EgQw0UZzvsq8I95Gft', 'width': 3000}]",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJV2WhapCm5S0R2nRoTrVsTMg
"4WGR+GVW, Baringin B, Candi Laras Selatan, Tapin Regency, South Kalimantan 71162, Indonesia","{'location': {'lat': -2.8736357, 'lng': 114.9422066}, 'viewport': {'northeast': {'lat': -2.871988270107277, 'lng': 114.9436403}, 'southwest': {'lat': -2.874687929892722, 'lng': 114.9379055}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Candi Laras,ChIJ12ceuYGr5S0ROtnQK7aX_7Q,ChIJ12ceuYGr5S0ROtnQK7aX_7Q,"['point_of_interest', 'establishment']",,OPERATIONAL,4.3,3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ12ceuYGr5S0ROtnQK7aX_7Q
"Candi Laras Selatan, Tapin Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.8555656, 'lng': 115.015675}, 'viewport': {'northeast': {'lat': -2.771886, 'lng': 115.0807241}, 'southwest': {'lat': -2.9754421, 'lng': 114.8882189}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Candi Laras Selatan,ChIJMeFwTfCr5S0RYAmFfKv5QUs,ChIJMeFwTfCr5S0RYAmFfKv5QUs,"['administrative_area_level_3', 'political']","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111838432023723199203"">A Google User</a>'], 'photo_reference': 'AUGGfZlpnxPPVFqp-Mc2decUP4z4IvH74MNH_-9NcaWThM8uGFi-nXcWKhtxAFdS1qVShsSyXigOOFvztKDn-5LXuZFmBnf6v6I_RzC1s6w3b-vXPIKJ-DfxlYb1m-33cMc1J5Ympb7LmgBXwamyy4Ke1ks886lVYbzCDolyceONmQWCMzjp', 'width': 1908}]",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJMeFwTfCr5S0RYAmFfKv5QUs
"X2QR+JP3, Tatakan, Tapin Selatan, Tapin Regency, South Kalimantan 71161, Indonesia","{'location': {'lat': -3.0110212, 'lng': 115.0417427}, 'viewport': {'northeast': {'lat': -3.009979720107278, 'lng': 115.0425603798927}, 'southwest': {'lat': -3.012679379892722, 'lng': 115.0398607201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ekowisata Bekantan,ChIJleJiQSGx5S0R28pe54Tdscw,ChIJleJiQSGx5S0R28pe54Tdscw,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107830805211778523648"">A Google User</a>'], 'photo_reference': 'AUGGfZneh8NkdrnKaqJkpItApXrmNbbvX5bayW33tLOvngw4KMxueq7r081SPcAkDxVKmf17cegAhrU5NohNTCnaI9HZ0MAk9emoVKgFXzXDfhg-RIX5VrlYKhV3pnz5O_wkfFYADJHB8YMq_cChCNOA-uUqmgHfdn7exmKKMmCFpBFP1hNX', 'width': 864}]",OPERATIONAL,4.8,30.0,,,https://www.google.com/maps/place/?q=place_id:ChIJleJiQSGx5S0R28pe54Tdscw
"4WR7+4FX, Baulin, Candi Laras Selatan, Tapin Regency, South Kalimantan 71171, Indonesia","{'location': {'lat': -2.8596361, 'lng': 114.9137231}, 'viewport': {'northeast': {'lat': -2.858387870107278, 'lng': 114.9151259798927}, 'southwest': {'lat': -2.861087529892723, 'lng': 114.9124263201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cemetery_grave-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cemetery_pinlet,Kubah Datu Muhammad Mahmud Al~Qabul,ChIJUUmU0TCr5S0RYzFT7fWsluM,ChIJUUmU0TCr5S0RYzFT7fWsluM,"['cemetery', 'tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104722078488028370748"">Taufik Hid4yat</a>'], 'photo_reference': 'AUGGfZkJrAE6BaK6okab9_oN-ooyHinlaiZfJjMF7HoOjLQMd-hc1IfDsPLDSaag_3Z5SVyhHrmx-VwRzAFAvtTwq_X6Fh3St2BJtZoV2RY3GFM5Mu9jeJhlDqjD7lrrCnTCtwjUF-SFe21ZMiaPfrWSLUHJwoEZLdTtB9aCSLnealNLHRUu', 'width': 3968}]",OPERATIONAL,4.5,361.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJUUmU0TCr5S0RYzFT7fWsluM
"R4WG+F6W, Kambang Kuning, Hatungun, Tapin Regency, South Kalimantan 71184, Indonesia","{'location': {'lat': -3.1537747, 'lng': 115.1255691}, 'viewport': {'northeast': {'lat': -3.152465420107277, 'lng': 115.1269205298927}, 'southwest': {'lat': -3.155165079892722, 'lng': 115.1242208701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Riam Mahoni,ChIJEaWJ-bfH5S0R9HZbFkUjIZ8,ChIJEaWJ-bfH5S0R9HZbFkUjIZ8,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109479119936807183800"">A Google User</a>'], 'photo_reference': 'AUGGfZl3BHCtv3zpH4RcW9tmHVvF1-qjDQDaBI70PoZZ1y0DvawT7gN_Kpkhoe53YzBZOqzp-cVWu3uQBKiy2N-jeFVa5Pvjvi-8sAXhrVkmba3AwZwjHLfV56GpDUKv3v_KcCTPLTz7-Tz0MV_wQ65w1XmLigQROQFQKCTt9rZpMF1Tg47J', 'width': 4160}]",OPERATIONAL,4.2,73.0,,,https://www.google.com/maps/place/?q=place_id:ChIJEaWJ-bfH5S0R9HZbFkUjIZ8
"4WCC+XG9, Jl. Desa Keladan, Margasari Ilir, Kec. Candi Laras Utara, Kabupaten Tapin, Kalimantan Selatan 71171, Indonesia","{'location': {'lat': -2.8775816, 'lng': 114.9213447}, 'viewport': {'northeast': {'lat': -2.876241670107278, 'lng': 114.9226904298927}, 'southwest': {'lat': -2.878941329892723, 'lng': 114.9199907701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai hamburusau,ChIJb-hwCtir5S0Rjguy-GlU_LU,ChIJb-hwCtir5S0Rjguy-GlU_LU,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116208695343739352346"">A Google User</a>'], 'photo_reference': 'AUGGfZlTr-7q7pFWYr4kzsaxTQ-g7wcALyIj4HayCAlo9to6mPrcsG5pbRQPbpi3dFn7my4dxod9vPaop1qPrgQVxW03-q5vS9D2lNctuDU-C6avXhnnaBJ5VX7Mt3qSebff-4UJ7tK228Cb3rdT3XoYzTnfQueHlsNM7ICQpprCK7tdAacs', 'width': 4000}]",OPERATIONAL,5.0,3.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJb-hwCtir5S0Rjguy-GlU_LU
"North Candi Laras, Tapin Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.763929, 'lng': 114.9359649}, 'viewport': {'northeast': {'lat': -2.5214259, 'lng': 115.014972}, 'southwest': {'lat': -3.0148701, 'lng': 114.8022649}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,North Candi Laras,ChIJvZ-cldYB5S0RDY7gTd1dd5g,ChIJvZ-cldYB5S0RDY7gTd1dd5g,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJvZ-cldYB5S0RDY7gTd1dd5g
"W4HJ+89P, Tatakan, Tapin Selatan, Tapin Regency, South Kalimantan 71185, Indonesia","{'location': {'lat': -3.0716521, 'lng': 115.130958}, 'viewport': {'northeast': {'lat': -3.070072720107277, 'lng': 115.1321908798927}, 'southwest': {'lat': -3.072772379892722, 'lng': 115.1294912201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Benteng Belanda Munggu Tayuh,ChIJO4XkjY-55S0RhIfSUrGYHRo,ChIJO4XkjY-55S0RhIfSUrGYHRo,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110849613565695012137"">A Google User</a>'], 'photo_reference': 'AUGGfZlHOQlaFs6ptzzfyS7jeNbzQFNhmjKVGcmqcLtEIEZBUPQwm3eAEBmmROjqlmC2_RslN9RWQfq2LBq6VUPLaNrQYJCakvcXQqGK89kx3EATYsBKrAjXBZSnyad35oKlSejJitP87qFm3R9Va4mrr9dDyrknLdyoq_-J0T9nMHYXpUxZ', 'width': 4160}]",OPERATIONAL,4.5,8.0,,,https://www.google.com/maps/place/?q=place_id:ChIJO4XkjY-55S0RhIfSUrGYHRo
