business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,url
CLOSED_TEMPORARILY,"57C3+7JX, Sumber Garunggung, Dusun Tengah, East Barito Regency, Central Kalimantan, Indonesia","{'location': {'lat': -1.8292655, 'lng': 115.2541233}, 'viewport': {'northeast': {'lat': -1.827915670107278, 'lng': 115.2554731298927}, 'southwest': {'lat': -1.830615329892722, 'lng': 115.2527734701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Malalin Sumber Garunggung,True,ChIJ87LCww3t-i0RLNDir1Wrfn0,0.0,ChIJ87LCww3t-i0RLNDir1Wrfn0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ87LCww3t-i0RLNDir1Wrfn0
OPERATIONAL,"V48W+WX9, Sarapat (Ex Harara), Dusun Timur, East Barito Regency, Central Kalimantan 73671, Indonesia","{'location': {'lat': -2.1327181, 'lng': 115.1474865}, 'viewport': {'northeast': {'lat': -2.131391870107278, 'lng': 115.1488220798928}, 'southwest': {'lat': -2.134091529892722, 'lng': 115.1461224201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RUHUT PARK,,ChIJZdI8zU3P-i0R7ddP-hGIyTs,3.5,ChIJZdI8zU3P-i0R7ddP-hGIyTs,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111471547942582579449"">Amang Ledui</a>'], 'photo_reference': 'AUGGfZk2l47xmSbL8JqyUPKYzNRWqaasg7gepaHlFS34VqXM551UXEbOwc5-Dx5ROfT65H6WJ3xcTqU6awO07Bat_0GgfdHvMKxdzcifFfvCRNX8T7T3gaEpYCZbngIKgIks6AnSLLAjhN-T67nGTLMYPShIICqWsg6-zfXpZYAPoorfpeZV', 'width': 1872}]",,https://www.google.com/maps/place/?q=place_id:ChIJZdI8zU3P-i0R7ddP-hGIyTs
OPERATIONAL,"V4Q9+M8W, Sarapat (Ex Harara), Dusun Timur, East Barito Regency, Central Kalimantan 73617, Indonesia","{'location': {'lat': -2.1107716, 'lng': 115.1183262}, 'viewport': {'northeast': {'lat': -2.109456870107278, 'lng': 115.1196831798927}, 'southwest': {'lat': -2.112156529892722, 'lng': 115.1169835201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek Wisata Sarapat,,ChIJzZ3uZq3P-i0RWxvZil_fHdw,5.0,ChIJzZ3uZq3P-i0RWxvZil_fHdw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118337438107437021584"">A Google User</a>'], 'photo_reference': 'AUGGfZluVdVHHBG51a6Icara9K5JzMj5si0dwjIBOYlToc_7eQLhO6db_6bhD1_kRJYG5nSCLJUgzLWnbWlN4sSxGyEteww0YTgkKnDJcgu8c3yZu56UKZLkp8ko-vLxnTOTL1bekHiorZrqmGrVQt3BFPMhHfzBoxk0ZyuSilryECHMjipx', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJzZ3uZq3P-i0RWxvZil_fHdw
OPERATIONAL,"348G+5VG, Tampa, Kec. Paku, Kab. Bartim, Prov. Kalteng, Tampa, Kec. Paku, Kabupaten Barito Timur, Kalimantan Tengah 73652, Indonesia","{'location': {'lat': -1.9345648, 'lng': 115.1271892}, 'viewport': {'northeast': {'lat': -1.933100220107278, 'lng': 115.1285439298927}, 'southwest': {'lat': -1.935799879892722, 'lng': 115.1258442701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Tampa,,ChIJIc0DGSXo-i0RBQK9Jzqjq04,3.7,ChIJIc0DGSXo-i0RBQK9Jzqjq04,"['tourist_attraction', 'point_of_interest', 'establishment']",69,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103763488494696008882"">radiansyah dian</a>'], 'photo_reference': 'AUGGfZk1bERIcrKftH2nbWMJ_9st9IGbhZnKQaC9OOq8ScPtdVUrQoOYXOS3V_xVaxy7v3w7pj0Qbfkqv46GooRZNNaEu9q4zc9D4RLrzzwgn6-N1iXSi2qnWwlbPl-Lh5ZcAdqlL73LMKSuN2lImSM_aEVwWVkkyWivtMtpG7htWm5MXfkd', 'width': 4608}]",,https://www.google.com/maps/place/?q=place_id:ChIJIc0DGSXo-i0RBQK9Jzqjq04
OPERATIONAL,"8534+2Q8, Unsum, Raren Batuah, East Barito Regency, Central Kalimantan 73652, Indonesia","{'location': {'lat': -1.6974588, 'lng': 115.1569466}, 'viewport': {'northeast': {'lat': -1.6962592, 'lng': 115.1582879500001}, 'southwest': {'lat': -1.7010576, 'lng': 115.15292255}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Turan Amis,,ChIJMefmJqX3-i0RNr3a_VDSz0M,5.0,ChIJMefmJqX3-i0RNr3a_VDSz0M,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116599983589427750809"">ari handrino</a>'], 'photo_reference': 'AUGGfZmnvmpaBnMBsMBIYk2pVIT3KbFs-2ewbuI3NrCl5vxh9jumEUbdixbDff39ljjF2eOP6OqK23nEkaN62esaqQfhJsiM6o4HBO2zFCu1uRG2cwqoceSPF49yPbIF4bS3PNpyjkAV9tCHM5abKPPGiA1IY6Yot6oGFAizuRqb3NqSzZpe', 'width': 4000}]",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJMefmJqX3-i0RNr3a_VDSz0M
OPERATIONAL,"X46J+HR, Jaweten, Dusun Timur, East Barito Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.0378327, 'lng': 115.1330024}, 'viewport': {'northeast': {'lat': -2.036926270107278, 'lng': 115.1345157298927}, 'southwest': {'lat': -2.039625929892722, 'lng': 115.1318160701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,OBJEK WISATA ALAM BANSE ( BANSE DANCE CAFE ),,ChIJ_5PeHLjF-i0R4ql4PL-YCw8,3.7,ChIJ_5PeHLjF-i0R4ql4PL-YCw8,"['tourist_attraction', 'point_of_interest', 'establishment']",30,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113537619509675589616"">julian patrajaya</a>'], 'photo_reference': 'AUGGfZnkSSPtT1xanKF-KbJ-ImT_uJhGd2TY7NSENiQNhB4Glz5BzHI5gng4rETw9s-bCW4Q646W2YXOkXIvIhqHtYAr0mu51L2hlBCNyRJJzhKQ2ijk2P3r8NexuYDY3q4u2mMfoSBHma-Pwi7FWLcwa2r7aOU0pacZvbd_ejmJe8KD7OxW', 'width': 3840}]",,https://www.google.com/maps/place/?q=place_id:ChIJ_5PeHLjF-i0R4ql4PL-YCw8
OPERATIONAL,"R6HF+X7H, Jaar, Dusun Timur, East Barito Regency, Central Kalimantan 73661, Indonesia","{'location': {'lat': -2.170061, 'lng': 115.2232324}, 'viewport': {'northeast': {'lat': -2.168783670107278, 'lng': 115.2245383298927}, 'southwest': {'lat': -2.171483329892722, 'lng': 115.2218386701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bundaran Gunung Perak,,ChIJgSgK9AnL-i0R3DYLxDj6gzM,4.6,ChIJgSgK9AnL-i0R3DYLxDj6gzM,"['tourist_attraction', 'point_of_interest', 'establishment']",207,"[{'height': 2661, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106830721919136074463"">Arif Arahman</a>'], 'photo_reference': 'AUGGfZn6Mdspxjk0nj8GUb33bmBUeIFmhkUyDI7M-BbxgMFrGSpvkslkNNrAmUkPD1K2ZxPZJmf_Ug3wVLJ759EsS8UeHuwutTe28p19FQoGqhcZkpj3YHUg307GI3_F6wBJeiNtkwo5Hp-eQVi0HPgjlhwxLeoaEnvbO4jUicfJtGaCtxHL', 'width': 1496}]",,https://www.google.com/maps/place/?q=place_id:ChIJgSgK9AnL-i0R3DYLxDj6gzM
CLOSED_TEMPORARILY,"6RCF+G62, Danau Sadar, South Dusun, South Barito Regency, Central Kalimantan 73751, Indonesia","{'location': {'lat': -1.7787352, 'lng': 114.8230285}, 'viewport': {'northeast': {'lat': -1.777345320107278, 'lng': 114.8243327298927}, 'southwest': {'lat': -1.780044979892722, 'lng': 114.8216330701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA MANCING BUMDES SUMBER KARYA,True,ChIJ17nDYi8D-y0R53CtMMXt7uI,0.0,ChIJ17nDYi8D-y0R53CtMMXt7uI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ17nDYi8D-y0R53CtMMXt7uI
OPERATIONAL,"6RHJ+W5Q, Danau Sadar, South Dusun, South Barito Regency, Central Kalimantan 73751, Indonesia","{'location': {'lat': -1.7701604, 'lng': 114.8304786}, 'viewport': {'northeast': {'lat': -1.768844920107278, 'lng': 114.8319115298927}, 'southwest': {'lat': -1.771544579892722, 'lng': 114.8292118701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA MANCING BUMDES SUMBER KARYA DESA DANAU SADAR,,ChIJYeTO-v4D-y0Rw_1r08_SMPY,1.0,ChIJYeTO-v4D-y0Rw_1r08_SMPY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107267617387749940052"">muhamad ilham</a>'], 'photo_reference': 'AUGGfZmStUNjt1yCa9ny1HKh24ekcnseFZApfqV0YYTDgBjSyhmrKJxxZS5guTH29ylAFl_YP0yUPSog7NgYD0ISxIBFhlyDaJMcgsBcnJ4FW35seGc-zWQAEoYG5hywvctyn5ntYKczgnLyIuulI-HH11iFPihPPXLzlc8ZTnO0tD448Cjk', 'width': 640}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJYeTO-v4D-y0Rw_1r08_SMPY
OPERATIONAL,"V573+5JP, Jl. Magantis, Magantis, Kec. Dusun Tim., Kabupaten Barito Timur, Kalimantan Tengah 73671, Indonesia","{'location': {'lat': -2.136988, 'lng': 115.1540458}, 'viewport': {'northeast': {'lat': -2.134273450000001, 'lng': 115.1556083298927}, 'southwest': {'lat': -2.13795965, 'lng': 115.1529086701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Danau diaren,,ChIJ472-9evP-i0Roufo0yAusT4,3.0,ChIJ472-9evP-i0Roufo0yAusT4,"['cafe', 'food', 'point_of_interest', 'establishment']",2,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102871771326326229954"">A Google User</a>'], 'photo_reference': 'AUGGfZnCAhz_qkTzACCFeERN11NsvNGBM9b0uZyl2AVOKk5RgGc3KdzX3--BwVqAHBWE1JHcJLeSCzKYsfIiL3oGCvKY-KnT6s4CNTpia2z33TQclmHvbl2nFesQqJVrSQhbdGwDW1fD2Wxs1XxhEvhBbIXm7cG1-YhiXJd_wUcLJvu4CgMk', 'width': 1944}]",,https://www.google.com/maps/place/?q=place_id:ChIJ472-9evP-i0Roufo0yAusT4
