formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,plus_code,opening_hours,permanently_closed,url
"West Bojong, Bojong, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.707191799999999, 'lng': 107.5046602}, 'viewport': {'northeast': {'lat': -6.697649999999999, 'lng': 107.5115099}, 'southwest': {'lat': -6.715008999999999, 'lng': 107.499526}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,West Bojong,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109954807822491256807"">A Google User</a>'], 'photo_reference': 'AUGGfZlsmAp6z54uzg3O9eq34s1kZRdpxuPSW8yuyNvNhB8XYoyHTidUpjWgj5S7ayymf_LxdMUH9rio7bM2qkzRmyArYjPQfBuqMG2SG2E7m75b1lL6DLfTtaA1GGpbQlGmMo0XC2SD_WARb2Q-VBx9G2oBpuxfSqrnWi8308vHww9FkKJP', 'width': 4128}]",ChIJUy-x0eocaS4Rmqronzr998M,ChIJUy-x0eocaS4Rmqronzr998M,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJUy-x0eocaS4Rmqronzr998M
"East Bojong, Bojong, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.7434971, 'lng': 107.5298055}, 'viewport': {'northeast': {'lat': -6.7091701, 'lng': 107.5555401}, 'southwest': {'lat': -6.774823, 'lng': 107.509}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,East Bojong,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109522451573413352908"">A Google User</a>'], 'photo_reference': 'AUGGfZnicmF_FGzsuf_JCytOIDEuzJDhjdqYJVlr9ge_P_QQEtNQsCqfoLGG2vcyWrcygX8CHe3GPKJlTgn7cfGtEnWUkTJVd_BVW1ozsJUwgqHgzJgJsF-juaLJ9Ts4FCI654wWGv086PySjwVSP0ME50pv8S-nLRTNAyhyoUcpitG8pd_M', 'width': 3264}]",ChIJY-2wXaEdaS4RsWROQVqO8As,ChIJY-2wXaEdaS4RsWROQVqO8As,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJY-2wXaEdaS4RsWROQVqO8As
"Bojong, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.7098214, 'lng': 107.5017194}, 'viewport': {'northeast': {'lat': -6.62911, 'lng': 107.5790791}, 'southwest': {'lat': -6.776847999999999, 'lng': 107.46721}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bojong,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109348027515532882617"">Didit SK</a>'], 'photo_reference': 'AUGGfZm2zyYLOg995Z9-GKJd0R8P9c7WAmKjcuFQVnAcSbeddjw6V6ripDav18G5R6x5qqCyDgAHri97tMKXVsffQpAADU_7LQ1dx2k5Xzoe3SlnWeL0pmh701sIru5uGkemFKrFzuAbExPcnTX3BpN5w9KvNCKTGvvI1SR_oU3D07EreVl1', 'width': 4000}]",ChIJ5WdbLpEcaS4RQNEo_PHoAQQ,ChIJ5WdbLpEcaS4RQNEo_PHoAQQ,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ5WdbLpEcaS4RQNEo_PHoAQQ
"8FQV+2R, Kertasari, Bojong, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.662458, 'lng': 107.4946188}, 'viewport': {'northeast': {'lat': -6.661108170107277, 'lng': 107.4959686298927}, 'southwest': {'lat': -6.663807829892721, 'lng': 107.4932689701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Panorama Buah Gede Pamalayan,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106118502357111881592"">IT Staff Workshop</a>'], 'photo_reference': 'AUGGfZlpSo0uDutxHBKKvhLnEUzToYS8FWzWRbbhvbTOdiSuStPJZd30YznILLNkbjV_rNpRMcpTzaXnfRSAfaFFHHFN0ncEa9DE6zBRrsrbyNHj-MSfrfzcjXqJhNZ-b_8cTOjbl-IgyPVWJ1OjkJbyDqCci0N0WOHydFlMaszAramRj0Zl', 'width': 3264}]",ChIJqb8mnTYbaS4RbD_Vg3PFfTU,ChIJqb8mnTYbaS4RbD_Vg3PFfTU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,6.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJqb8mnTYbaS4RbD_Vg3PFfTU
"8F9H+J47, Cileunca, Bojong, Purwakarta Regency, West Java 41164, Indonesia","{'location': {'lat': -6.6818069, 'lng': 107.4773497}, 'viewport': {'northeast': {'lat': -6.680437120107278, 'lng': 107.4786510298927}, 'southwest': {'lat': -6.683136779892722, 'lng': 107.4759513701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cileunca Waterpark,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103840980182806513017"">Leo Arga</a>'], 'photo_reference': 'AUGGfZkvdFrdgIHZhtttGcz7EW1WjtOpVZBiA9PDRf5pW5y2TXf5VnMrR0aCoQbIEv9-AqIQEseMqakydPQAZ4AATGYJos7JB7luh6T98g1iFk1Ef0UQSnAyn9h95_snOIsJQVnrfcZ1ZRHop980_XenNdxS2I-TUR_cRHkFOjurRaXS6TAI', 'width': 4000}]",ChIJT5exCAAFaS4RH7uNCgwsaxs,ChIJT5exCAAFaS4RH7uNCgwsaxs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,68.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJT5exCAAFaS4RH7uNCgwsaxs
"Sindangpanon, Bojong, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.6693912, 'lng': 107.5209304}, 'viewport': {'northeast': {'lat': -6.65681, 'lng': 107.53477}, 'southwest': {'lat': -6.695183999999999, 'lng': 107.5027199}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sindangpanon,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111160275585305905810"">Deni Setiawan</a>'], 'photo_reference': 'AUGGfZk-kA7XeCwecjnaGEDgTEJb1YEOTSeJwXOHHvGWgCPKpFBeP9KyufN2GYmoNPbElcUYmPVq26OF2HbbKvxmGV-_IvETcl351-3PJtrtqKLwP67aZu2sR4yIZmiPjj1UB7vk3zvUtZZEV5SwqYDO4Mi2ntXzwKq8sAPH2DBP5M-LfNaQ', 'width': 4160}]",ChIJ303OQnobaS4RawNQDgvzrzs,ChIJ303OQnobaS4RawNQDgvzrzs,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ303OQnobaS4RawNQDgvzrzs
"Jalan, Girang, Cikeris, Bojong, Purwakarta Regency, West Java 41164, Indonesia","{'location': {'lat': -6.7055655, 'lng': 107.5238901}, 'viewport': {'northeast': {'lat': -6.704282520107278, 'lng': 107.5252062298927}, 'southwest': {'lat': -6.706982179892722, 'lng': 107.5225065701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,MULYA TIRTA,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115523964914589845646"">A Google User</a>'], 'photo_reference': 'AUGGfZnJTVvArkp2yslDMvMfFuJ4vRd0mUWCGwFYFc0XS8X82H4oOmtBNCnpTypu6Vtq3QTVanEziecXYKj49PyWiSQ-pKjxs-n4iRHYfUs4KAfKZvvqVfLpPkNZj3Y84_FT9KPr-yhWFceZDKhjaFsZp8drkG-d6FFIQ9Qou1gm4ImOVGkA', 'width': 1080}]",ChIJ4z_Z5lgdaS4RligITyDSKS8,ChIJ4z_Z5lgdaS4RligITyDSKS8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,"{'compound_code': '7GVF+QH Cikeris, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P597GVF+QH'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ4z_Z5lgdaS4RligITyDSKS8
"7GV7+95G, Pawenang, Bojong, Purwakarta Regency, West Java 41164, Indonesia","{'location': {'lat': -6.7057847, 'lng': 107.5141735}, 'viewport': {'northeast': {'lat': -6.704959420107278, 'lng': 107.5149762798927}, 'southwest': {'lat': -6.707659079892722, 'lng': 107.5122766201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung balong,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114756527778722712142"">A Google User</a>'], 'photo_reference': 'AUGGfZkbB-dCig_YesOCoOt44_3sRec6kt3iy6TkhViy_8VGqDAXJmG4PB6VPUGJlzFs-8-HLR2WR2SRwJpmTX6N2OB0xXwZOs-ZeUzm6XgFeflWqUn7cxj6SAoDbMNaPxvh76PZ7I7R0J5XDj26WUi31tWmZw-JEqoK_anH8OFgxZQ7Nv0N', 'width': 8000}]",ChIJJXS0XwAdaS4Rn56tNcYJN_k,ChIJJXS0XwAdaS4Rn56tNcYJN_k,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJXS0XwAdaS4Rn56tNcYJN_k
"Kp. Depok Pasir 06/03, Bojong Tim., Kec. Bojong, Kabupaten Purwakarta, Jawa Barat 41164, Indonesia","{'location': {'lat': -6.715039, 'lng': 107.515929}, 'viewport': {'northeast': {'lat': -6.713478070107278, 'lng': 107.5173870298927}, 'southwest': {'lat': -6.716177729892722, 'lng': 107.5146873701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Cibaros,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104974105639999066888"">A Google User</a>'], 'photo_reference': 'AUGGfZlovKnqqzmmHW4x6q1MZ_oJ05CLIvJYvzQxMfPUgIISXcvAd88BJELhYSEs4qzq0mcaiFDs26Q-TzOdKh2aVUMtT087iKuHzl432vr8Tk6dwAUPY5ewmBnaSwh8vtis3inSQGPIbocW8b6jy_ifFExPNhA_f_Rzq7m9y6e1HotWR6py', 'width': 4000}]",ChIJ2bdgtKodaS4Rjdb8-Ljsqts,ChIJ2bdgtKodaS4Rjdb8-Ljsqts,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,"{'compound_code': '7GM8+X9 East Bojong, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P597GM8+X9'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ2bdgtKodaS4Rjdb8-Ljsqts
"8GF3+2JV, Unnamed Road, Cipeundeuy, Kec. Bojong, Kabupaten Purwakarta, Jawa Barat 41164, Indonesia","{'location': {'lat': -6.6773793, 'lng': 107.5040605}, 'viewport': {'northeast': {'lat': -6.675477670107279, 'lng': 107.5057501}, 'southwest': {'lat': -6.678177329892723, 'lng': 107.4989917}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung DanDik,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115980050345532907168"">pdkb 2004</a>'], 'photo_reference': 'AUGGfZmiKqvyb-RNAuLUkamGaWzhuIUyor5QZ6MJrLtHQ2B1BAPpySdA8NWW7lSkKDvYzkNmOCoTSySgASLf6zrTCdf36Gbc1jgE59a60FG7BjMrysjG6rwKV39BnFSSZRgsYWSdHJmHrh6S_EEPG5b0GUD5-sE6eEW6vJ5TxMJoJ44wkATt', 'width': 4000}]",ChIJ6zva0i8baS4R58wAFy31AzU,ChIJ6zva0i8baS4R58wAFy31AzU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJ6zva0i8baS4R58wAFy31AzU
