formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,business_status,opening_hours,plus_code,permanently_closed,url
"Situ Wanayasa, Wanasari, Wanayasa, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.6772222, 'lng': 107.5561111}, 'viewport': {'northeast': {'lat': -6.6661398, 'lng': 107.5721185}, 'southwest': {'lat': -6.6883044, 'lng': 107.5401037}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Wanayasa,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104776335770030670831"">Moh Arisyabana</a>'], 'photo_reference': 'AUGGfZksm_t88iJxhmX3CPRpmbrVSbdmwnpC676L_JIC3T2wpIPja03ysYes3UTQywXQ798Xn75zA6I9_UHi2w_9s_dvcARiAwHw11ng18NV9fzJDQpqQHnZgaySDqBusm1Rbrl_quTb9TE_ccaSarhReQFJDGqXEg324fDD6lNSQ_Mf3Ac_', 'width': 4000}]",ChIJhw7a4PMbaS4RDtExXnpRGvo,4.5,ChIJhw7a4PMbaS4RDtExXnpRGvo,"['natural_feature', 'establishment']",830.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJhw7a4PMbaS4RDtExXnpRGvo
"8HF4+4C9, Situ, Wanasari, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41174, Indonesia","{'location': {'lat': -6.6772222, 'lng': 107.5561111}, 'viewport': {'northeast': {'lat': -6.676015570107277, 'lng': 107.5570678798927}, 'southwest': {'lat': -6.678715229892721, 'lng': 107.5543682201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wanayasa Lake,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103672936146700269470"">asep setiawan</a>'], 'photo_reference': 'AUGGfZkaCAoYF-9eUkSmLI3e6K-H-AfzxsfYEFnDFLB3jHUr2_0Ps_0sDJmWpFq1OeUbTJqnOa6dpUActIhnIUDe1_7Z27pPpzeD8ojBrs9n8UJQtkp7LIVMY6TzD0Mcg2GJFVGRKu5Mg_-h8g6csSkWg-z7mouWuC1VtOl2rJ2wzphv8TPV', 'width': 4000}]",ChIJGUpBkvAbaS4R1QRehUj5oGc,4.7,ChIJGUpBkvAbaS4R1QRehUj5oGc,"['tourist_attraction', 'point_of_interest', 'establishment']",502.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJGUpBkvAbaS4R1QRehUj5oGc
"8HG2+R4G, Wanasari, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.6729407, 'lng': 107.5503267}, 'viewport': {'northeast': {'lat': -6.671637720107278, 'lng': 107.5518864298927}, 'southwest': {'lat': -6.674337379892722, 'lng': 107.5491867701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Batu Apung Alam Hijau,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115806969917436652725"">Radio backpackers</a>'], 'photo_reference': 'AUGGfZnVEuVzmAKZhe8mRhgdnfKDHH989RqH8SZZT1-VYv7MYQjgeVCDQCPuxWJFSuf7pe3C07Z3xUKpipPFQXv6_EJY4oOYOGZ6aHHq7IuTp1e6H_T7SdgAOPHfuWGuuSy9A3xd78tA4bbJ8Fb40NmvZ87txxX9J0dYntDWEOFN49LQAuJW', 'width': 720}]",ChIJd8-prZIbaS4RxSDgf85haXg,4.1,ChIJd8-prZIbaS4RxSDgf85haXg,"['tourist_attraction', 'point_of_interest', 'establishment']",1091.0,OPERATIONAL,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJd8-prZIbaS4RxSDgf85haXg
"Wanasari, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.6781939, 'lng': 107.5565932}, 'viewport': {'northeast': {'lat': -6.676827470107277, 'lng': 107.5579353798927}, 'southwest': {'lat': -6.679527129892721, 'lng': 107.5552357201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Wanayasa Purwakarta,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110285766971526992103"">A Google User</a>'], 'photo_reference': 'AUGGfZnWaeew-K7r2RzPKnH2VCPxX3M0YGcCY9WHAu2GBkQBX6flq4Xjx8I-u7O4wKeJtz-iMh-noVE8upjfLgYv2USCSeeQqWOpgaQRKrKbCj1KN2xXuRy2JT7KHGnPZuOlODbtLZxXhbxSC82fNYfJk3xBterCYtmjc-AIU3KbhvLnKv7d', 'width': 4768}]",ChIJqajtKzIbaS4RsmVN4wpGdVE,4.6,ChIJqajtKzIbaS4RsmVN4wpGdVE,"['tourist_attraction', 'point_of_interest', 'establishment']",240.0,OPERATIONAL,{'open_now': False},"{'compound_code': '8HC4+PJ Wanasari, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P598HC4+PJ'}",,https://www.google.com/maps/place/?q=place_id:ChIJqajtKzIbaS4RsmVN4wpGdVE
"Wanayasa, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.706035099999999, 'lng': 107.5712266}, 'viewport': {'northeast': {'lat': -6.67814, 'lng': 107.5848401}, 'southwest': {'lat': -6.7301599, 'lng': 107.5513}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wanayasa,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112525514910963975561"">Aki Gumaki</a>'], 'photo_reference': 'AUGGfZldexCHWrNG_LyLZLvWKHUaLtWzANgxvrAE4J5cvzXMs6pXJECdenaOJeUrBp16QQa5f8C_3n1k1LVBpe2b_KXf-7XstzG52wF7K5X0Ia6RpCDEnninKJmVnIQfhmbyR-Iie4ObThUSP2h0xtaA1x_Ms5QJ8OKYNsSUGxt7cpvLwMRu', 'width': 3456}]",ChIJCcwhAyIcaS4RAyH-S_wi_Ds,,ChIJCcwhAyIcaS4RAyH-S_wi_Ds,"['administrative_area_level_4', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJCcwhAyIcaS4RAyH-S_wi_Ds
"Jl. Raya No.KM 23, Wanasari, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41174, Indonesia","{'location': {'lat': -6.672912699999999, 'lng': 107.5513776}, 'viewport': {'northeast': {'lat': -6.671586620107277, 'lng': 107.5527676798927}, 'southwest': {'lat': -6.674286279892721, 'lng': 107.5500680201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Makan Batu Apung Alam Hijau,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111307917590394309391"">Sandi Sono</a>'], 'photo_reference': 'AUGGfZnN2jxp_bcahyRjEpQIpECd5qZKT7zgC-yGcCPcNQofsRxKx4h88uPXFYxO1sVcKtvOVANRadwVtRVo5tq0RmzakoqYiCSe0wWn4TzavUXuhpdHf491M1ceaOWcg2wGMPSMI-l4J0k2hIPv_4dkVuL1aAuO2Bg0Vi-vRMFDwXoKepr4', 'width': 6000}]",ChIJfYetW-0baS4R0_--oB2qGxE,4.1,ChIJfYetW-0baS4R0_--oB2qGxE,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",439.0,OPERATIONAL,{'open_now': False},"{'compound_code': '8HG2+RG Wanasari, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P598HG2+RG'}",,https://www.google.com/maps/place/?q=place_id:ChIJfYetW-0baS4R0_--oB2qGxE
"8H94+9GC, Jl.alun alun, Wanayasa, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41164, Indonesia","{'location': {'lat': -6.6815628, 'lng': 107.5562697}, 'viewport': {'northeast': {'lat': -6.680196720107277, 'lng': 107.5574919298927}, 'southwest': {'lat': -6.682896379892721, 'lng': 107.5547922701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Wisata kuliner wanayasa,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107802146068905209098"">Lee wa Oel</a>'], 'photo_reference': 'AUGGfZkU1ee3bhOjH3XzOBhWSUSCSb7RMcC-jVsNEuwPEPWug3xTj0vbHIsZoDnej8uvhOV-HMdYx8fWET99zMXGCX0vnCICwtJHli5O-aJX6-ZAizV_Baqk8iG9Umjw2lLXbrP4G0-hTl37lfvcjqBZmwhlQVdbfykp9YKAJgdciu-v6a2K', 'width': 4000}]",ChIJc6mN1_UbaS4RVP8U9Anexek,4.5,ChIJc6mN1_UbaS4RVP8U9Anexek,"['park', 'point_of_interest', 'establishment']",1278.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJc6mN1_UbaS4RVP8U9Anexek
"Kp. Cileungsing, Wanayasa, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41174, Indonesia","{'location': {'lat': -6.6936189, 'lng': 107.5656692}, 'viewport': {'northeast': {'lat': -6.692252770107277, 'lng': 107.5670748298927}, 'southwest': {'lat': -6.694952429892721, 'lng': 107.5643751701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,d'Forest cuLture Wanayasa,"[{'height': 392, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107299057146942228205"">A Google User</a>'], 'photo_reference': 'AUGGfZna6flhePzqVodDYKS3Ghc6o_cH9LJK-NTNUqiDo_MBhdXr32Jra7EIjoy4JfCjtwiXEGV9uC0gQYsrnHBdqEG2PhdhgN9-iAR35uGh7EVFJ9j6yUSkZ1tY3J2A_0nHle4W0DVQ_Uo9SRzorBd06T9V2D3MyPZkFOEhzW9wY5YyYchg', 'width': 280}]",ChIJcxFSLI0daS4RlTedIG09wpY,5.0,ChIJcxFSLI0daS4RlTedIG09wpY,"['tourist_attraction', 'food', 'point_of_interest', 'establishment']",2.0,OPERATIONAL,,"{'compound_code': '8H48+H7 Wanayasa, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P598H48+H7'}",,https://www.google.com/maps/place/?q=place_id:ChIJcxFSLI0daS4RlTedIG09wpY
"7HV8+62J, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.706906699999999, 'lng': 107.5650264}, 'viewport': {'northeast': {'lat': -6.70305995, 'lng': 107.5666071798927}, 'southwest': {'lat': -6.70818895, 'lng': 107.5639075201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Curug Cipurut, Gunung Burangrang","[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101460296053980443645"">A Google User</a>'], 'photo_reference': 'AUGGfZmQi3hkjL43Mh40zToBU0r6dw5sZ8WVMR6SSTrHvhLRqEDpzhHVyA6ftxBhO9vnmKun2WjdJ6zKtVCZvWaeykj81P4J7rWR_nVcPad3UimIv8kMNOxPQuLpChJaQYheFyDXpQbzPGjtKdEnD-d4O2WN08H6A1H-wYHn8LzOiH3ABE7L', 'width': 3096}]",ChIJh1YaXzIdaS4Rp2X5jSleYEI,4.5,ChIJh1YaXzIdaS4Rp2X5jSleYEI,"['tourist_attraction', 'point_of_interest', 'establishment']",149.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJh1YaXzIdaS4Rp2X5jSleYEI
"Pasirmuncang, Wanayasa, Purwakarta Regency, West Java 41175, Indonesia","{'location': {'lat': -6.6944013, 'lng': 107.5722896}, 'viewport': {'northeast': {'lat': -6.693039270107279, 'lng': 107.5736064298927}, 'southwest': {'lat': -6.695738929892722, 'lng': 107.5709067701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ujung Aspal - Pasirmuncang,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107488255041615936456"">A Google User</a>'], 'photo_reference': 'AUGGfZlKLbjtzdVkn53lIoVb8dL6YoDpagypDRvl7cL2qQL-hIPwjnsyDqJMyriUAnxgHiVxQoz5gp_xQF-iphaShadgAwXyx8TdShtuDBmU9ieaEby1Fi0HC9ZN9vwLtOiTYBTFI4FWIIkt4LuXl9P1VCfV6N0GZSlFXPMfWFqmszSZjnKM', 'width': 1620}]",ChIJ5-1kzREdaS4RKllO73jq4ek,4.3,ChIJ5-1kzREdaS4RKllO73jq4ek,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1410.0,OPERATIONAL,{'open_now': True},"{'compound_code': '8H4C+6W Babakan, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P598H4C+6W'}",,https://www.google.com/maps/place/?q=place_id:ChIJ5-1kzREdaS4RKllO73jq4ek
