business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"Gang Perjuangan No.RT.28, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115, Indonesia","{'location': {'lat': -1.2627384, 'lng': 116.9134311}, 'viewport': {'northeast': {'lat': -1.260878870107278, 'lng': 116.9141640798927}, 'southwest': {'lat': -1.263578529892722, 'lng': 116.9114644201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Seraya Balikpapan,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102851765912592173244"">ndian sah</a>'], 'photo_reference': 'AUGGfZmwj2AnfffVaBDe4vIJrFfGLmmh4Dl5m813y43DtMD-kNZaidrxG-_tuVjrM1j8rGHjGnJnNBr6qhF0GjI9MI6emDCc39LaQWFjD2HWEY5DA5ft8vdGyVQsexBFkbUQOGn9Q7x-Zncgj3yV2FDHJoYD5BFSqofCaHKyg2m8V6V5CKnu', 'width': 4000}]",ChIJsZt18rpF8S0RgHTT8F4ZN6g,"{'compound_code': 'PWP7+W9 Sepinggan, Balikpapan City, East Kalimantan, Indonesia', 'global_code': '6PCRPWP7+W9'}",1.0,4.5,ChIJsZt18rpF8S0RgHTT8F4ZN6g,"['tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']",517,,https://www.google.com/maps/place/?q=place_id:ChIJsZt18rpF8S0RgHTT8F4ZN6g
OPERATIONAL,"Pantai seraya Sepinggan Raya, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur, Indonesia","{'location': {'lat': -1.2625621, 'lng': 116.9127176}, 'viewport': {'northeast': {'lat': -1.261141470107278, 'lng': 116.9144725798927}, 'southwest': {'lat': -1.263841129892722, 'lng': 116.9117729201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pokmaswas/KUB MINA SARI,,,ChIJVXlTYABF8S0Rb3QJ-LDZhqE,,,0.0,ChIJVXlTYABF8S0Rb3QJ-LDZhqE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJVXlTYABF8S0Rb3QJ-LDZhqE
OPERATIONAL,"QW56+898, Jl. Bendali V, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76116, Indonesia","{'location': {'lat': -1.2416569, 'lng': 116.9109584}, 'viewport': {'northeast': {'lat': -1.240042670107278, 'lng': 116.9119834298927}, 'southwest': {'lat': -1.242742329892722, 'lng': 116.9092837701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendali V Papan Lestari,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116577679505278509417"">Teddy Raditio</a>'], 'photo_reference': 'AUGGfZmIjnUDJGzq_iMYBJKspeFNZ2eD0IEztj1G9v6GAfCvtmmklAjUU8L9tZHICQwWEfjotQlva34Xs1Zz0GKGkTsTY-7l-4ENKWce5lZHh9_HmR6rsE0ucKwQB5ICPC01aU4o3lGzuGLT2Q5oWNO4A9gNkF5-6rfc_SVF2xiJxlS2u01d', 'width': 3264}]",ChIJeTgVgtdF8S0RyiOfRL0y2Ac,,,4.0,ChIJeTgVgtdF8S0RyiOfRL0y2Ac,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,https://www.google.com/maps/place/?q=place_id:ChIJeTgVgtdF8S0RyiOfRL0y2Ac
OPERATIONAL,"Jl. Sepinggan Baru No.31, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115, Indonesia","{'location': {'lat': -1.2365045, 'lng': 116.8948749}, 'viewport': {'northeast': {'lat': -1.235163970107278, 'lng': 116.8962155298927}, 'southwest': {'lat': -1.237863629892722, 'lng': 116.8935158701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Irsil Travel, tour and travel guide",{'open_now': True},,ChIJAYarhnJF8S0Re80h12rF-8w,"{'compound_code': 'QV7V+CX Sepinggan, Balikpapan City, East Kalimantan, Indonesia', 'global_code': '6PCRQV7V+CX'}",,5.0,ChIJAYarhnJF8S0Re80h12rF-8w,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJAYarhnJF8S0Re80h12rF-8w
OPERATIONAL,"QV8X+5V3 Prum mawija Rt37, Jl. Safir VI Jl. Sepinggan Baru, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76116, Indonesia","{'location': {'lat': -1.2346017, 'lng': 116.8996781}, 'viewport': {'northeast': {'lat': -1.233290620107278, 'lng': 116.9010311298927}, 'southwest': {'lat': -1.235990279892722, 'lng': 116.8983314701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan prusda,{'open_now': True},"[{'height': 4064, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104542317950960762060"">abidin gondrong</a>'], 'photo_reference': 'AUGGfZkmbWaEPPpiA0_umbaZDaAYhABNDgE-ms_H6q42c-aFZNeIPUG5IL6SmzUYMdiuHF-beYimSRCFmj5Fy4tMNr4i34WegwFbdEXb15ZdihXSMUU5nhQWMNAzOy6iE8ISjrB_x46-dU5kIUbQZ7LDlq10VcWUQNFapNzqfBtVg2DhzV9j', 'width': 3048}]",ChIJK8EzgNtH8S0R1uL1K93k1dk,,,4.6,ChIJK8EzgNtH8S0R1uL1K93k1dk,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,https://www.google.com/maps/place/?q=place_id:ChIJK8EzgNtH8S0R1uL1K93k1dk
OPERATIONAL,"PVXC+28P, Gn. Samarinda, Balikpapan Selatan, Balikpapan City, East Kalimantan, Indonesia","{'location': {'lat': -1.2524218, 'lng': 116.8708172}, 'viewport': {'northeast': {'lat': -1.251084520107278, 'lng': 116.8721567298927}, 'southwest': {'lat': -1.253784179892722, 'lng': 116.8694570701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balikpapan,,,ChIJ6S6WOwBH8S0Rx3e3YdZBtng,,,0.0,ChIJ6S6WOwBH8S0Rx3e3YdZBtng,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ6S6WOwBH8S0Rx3e3YdZBtng
OPERATIONAL,"Jl. Jenderal Sudirman No.15, Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114, Indonesia","{'location': {'lat': -1.2750404, 'lng': 116.8671526}, 'viewport': {'northeast': {'lat': -1.273693670107278, 'lng': 116.8685028798927}, 'southwest': {'lat': -1.276393329892722, 'lng': 116.8658032201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Temanku tajungkang disini,,,ChIJxZbCJABH8S0RUNQc8NEHl3U,"{'compound_code': 'PVF8+XV Gunung Bahagia, Balikpapan City, East Kalimantan, Indonesia', 'global_code': '6PCRPVF8+XV'}",,0.0,ChIJxZbCJABH8S0RUNQc8NEHl3U,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJxZbCJABH8S0RUNQc8NEHl3U
OPERATIONAL,"PWQ9+WF7, Sepinggan, Balikpapan Selatan, Balikpapan City, East Kalimantan, Indonesia","{'location': {'lat': -1.2602188, 'lng': 116.9186581}, 'viewport': {'northeast': {'lat': -1.258875520107278, 'lng': 116.9200106798927}, 'southwest': {'lat': -1.261575179892722, 'lng': 116.9173110201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Auri Sepinggan,,"[{'height': 1952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116466574702878095479"">Aby Kembar</a>'], 'photo_reference': 'AUGGfZkMfwmz5vP5XLBjELHp-nBa_QHiWmerFdtW8btBaqHN_SuXlgy_W4oED7LS8zTRNWWDrFq6GS-utCWUoIgxV_rkrIuTc-h0T5He9hoIrh0tupLYs7Wh8zH-XR1gZWg1Pc5XVL3tLPC_r8HXoHalXN_0ogSfmqzPZiRkvEfrToGnLAFI', 'width': 2592}]",ChIJ50I3fUhE8S0RgSd2Bmytiqo,,,4.1,ChIJ50I3fUhE8S0RgSd2Bmytiqo,"['tourist_attraction', 'point_of_interest', 'establishment']",501,,https://www.google.com/maps/place/?q=place_id:ChIJ50I3fUhE8S0RgSd2Bmytiqo
OPERATIONAL,"QW82+VFR, Sepinggan, Balikpapan Selatan, Balikpapan City, East Kalimantan 76116, Indonesia","{'location': {'lat': -1.2327729, 'lng': 116.9011499}, 'viewport': {'northeast': {'lat': -1.231656770107278, 'lng': 116.9025125798927}, 'southwest': {'lat': -1.234356429892722, 'lng': 116.8998129201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Pengendali II,,"[{'height': 1189, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106181492347760457347"">Tia Julianti</a>'], 'photo_reference': 'AUGGfZkdWfeLlCUCtvqBnKVK8qP3fdlcZesAJ8V2S1p5XSNYIOCQZTZeWx8gq8S1SIeDHCfaJlC4GV14kBnpV_oNJog2ZrR4OKMqeqVhsvymRviaGNcwBTZ7YAQEa2ryMLeAhzjrGrF4mDvA-P9yTrQxrPohjiIzmNCwAPRtSCUDH_13vs79', 'width': 2643}]",ChIJm-ziRuZF8S0RDh5PQagx9Oc,,,4.0,ChIJm-ziRuZF8S0RDh5PQagx9Oc,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJm-ziRuZF8S0RDh5PQagx9Oc
OPERATIONAL,"Gang Arema No.2, Damai, Balikpapan Kota, Balikpapan City, East Kalimantan 76114, Indonesia","{'location': {'lat': -1.2707378, 'lng': 116.8588545}, 'viewport': {'northeast': {'lat': -1.269405670107278, 'lng': 116.8601934298927}, 'southwest': {'lat': -1.272105329892722, 'lng': 116.8574937701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara arema,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102089729349069654680"">Dinda Faridha</a>'], 'photo_reference': 'AUGGfZl-CYfgX-YbKg6zdfvJP3VCkWV5asQShZ2spgt1q-MDnB6KOocWlJ5AM1nVRs7oPOzLyHySPpIr6q0bhBYoDflBXHMXWTgJxpNi4N8sSBlCpHalj67PTZ02cClethfouh12Tbi8-cCXsWOwDvAGxucnjUF5z4ntOjvNXw7B6JxomdfT', 'width': 2268}]",ChIJ4fEOnU5H8S0RipkP7dN3dtI,"{'compound_code': 'PVH5+PG Damai, Balikpapan City, East Kalimantan, Indonesia', 'global_code': '6PCRPVH5+PG'}",,3.7,ChIJ4fEOnU5H8S0RipkP7dN3dtI,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,https://www.google.com/maps/place/?q=place_id:ChIJ4fEOnU5H8S0RipkP7dN3dtI
