business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,photos,url
OPERATIONAL,"GMCV+4JW, Harjosari II, Medan Amplas, Medan City, North Sumatra, Indonesia","{'location': {'lat': 3.5203579, 'lng': 98.6940918}, 'viewport': {'northeast': {'lat': 3.521602879892722, 'lng': 98.69543257989272}, 'southwest': {'lat': 3.518903220107278, 'lng': 98.69273292010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam pancing simbolom,ChIJq3ePWg47MTAR45fcGhvh98g,5.0,ChIJq3ePWg47MTAR45fcGhvh98g,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJq3ePWg47MTAR45fcGhvh98g
OPERATIONAL,"Makmur Cv. (Harjosari II), Harjosari II, Kec. Medan Amplas, Kota Medan, Sumatera Utara, Indonesia","{'location': {'lat': 3.5373294, 'lng': 98.7058892}, 'viewport': {'northeast': {'lat': 3.538676879892722, 'lng': 98.70725382989272}, 'southwest': {'lat': 3.535977220107278, 'lng': 98.70455417010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,bambu kuning Pantoloan,ChIJx4fnVAA7MTARGU_5elQXpAw,0.0,ChIJx4fnVAA7MTARGU_5elQXpAw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'GPP4+W8 Harjosari II, Medan City, North Sumatra, Indonesia', 'global_code': '6MMWGPP4+W8'}",,,https://www.google.com/maps/place/?q=place_id:ChIJx4fnVAA7MTARGU_5elQXpAw
OPERATIONAL,"GPP7+FQ8, Gg. Kamboja, Harjosari II, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20148, Indonesia","{'location': {'lat': 3.5361722, 'lng': 98.7144563}, 'viewport': {'northeast': {'lat': 3.537510779892722, 'lng': 98.71577667989273}, 'southwest': {'lat': 3.534811120107277, 'lng': 98.71307702010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,OLIKAb BC,ChIJ8ygS8ng7MTAR3vKLTdU7XP4,5.0,ChIJ8ygS8ng7MTAR3vKLTdU7XP4,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111433536685204921191"">A Google User</a>'], 'photo_reference': 'AUGGfZlhObMfkytHPNGn5n93oEa6xleVTAcYfSDRcJDYvsMk1fJcfL6OaCZ3MpLVpBYN8YZ53XXoUC0Or-XrdM5qidvDCdZsC1g5_-kWyJMukugXlOUJNqzg-wpQASdu4YqWtD4y6tAoyE0rTPkV4VHtNjLblBdjkibOaw9bwJhNpZ3xaWsN', 'width': 1080}]",https://www.google.com/maps/place/?q=place_id:ChIJ8ygS8ng7MTAR3vKLTdU7XP4
OPERATIONAL,"JL SM Raja, No. 18, Sp Marendal, Harjosari II, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20228, Indonesia","{'location': {'lat': 3.5416431, 'lng': 98.6987427}, 'viewport': {'northeast': {'lat': 3.543009629892723, 'lng': 98.70014512989273}, 'southwest': {'lat': 3.540309970107278, 'lng': 98.69744547010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JOP SEMBIRING travel,ChIJCfj4M38wMTARUDXOxqdPje8,5.0,ChIJCfj4M38wMTARUDXOxqdPje8,"['tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",1,"{'compound_code': 'GMRX+MF Harjosari II, Medan City, North Sumatra, Indonesia', 'global_code': '6MMWGMRX+MF'}",{'open_now': True},"[{'height': 899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114905689269459429060"">A Google User</a>'], 'photo_reference': 'AUGGfZkxkAf1BLw5w82AbevdbyPPYLLlGsytynzAywZpMbz9ozCcvYeMUmcvOB7mlHxnNizxZHDscMMyTSdmc-ndhDb1x2kK74NEIAvgXsuxcJFYCoOD5UIAGMB7Sa2vNaBMlyrIWPOeEW0q-kbjctUCuAV4ibfUIYzAv5P_PyCIHiDhPtGy', 'width': 1599}]",https://www.google.com/maps/place/?q=place_id:ChIJCfj4M38wMTARUDXOxqdPje8
OPERATIONAL,"Jl. Sisingamangaraja No.39-40, Teladan Bar., Kec. Medan Kota, Kota Medan, Sumatera Utara 20214, Indonesia","{'location': {'lat': 3.5655077, 'lng': 98.69213140000001}, 'viewport': {'northeast': {'lat': 3.566863829892722, 'lng': 98.69350057989271}, 'southwest': {'lat': 3.564164170107278, 'lng': 98.69080092010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BOLA PALEM,ChIJbVA3HAAxMTARXGneHjdp3kE,0.0,ChIJbVA3HAAxMTARXGneHjdp3kE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'HM8R+6V West Teladan, Medan City, North Sumatra, Indonesia', 'global_code': '6MMWHM8R+6V'}",,,https://www.google.com/maps/place/?q=place_id:ChIJbVA3HAAxMTARXGneHjdp3kE
OPERATIONAL,"HM4Q+GGW, Unnamed Road, Kampung Baru, Medan Maimun, Medan City, North Sumatra, Indonesia","{'location': {'lat': 3.5563578, 'lng': 98.688831}, 'viewport': {'northeast': {'lat': 3.557709379892722, 'lng': 98.69013962989271}, 'southwest': {'lat': 3.555009720107277, 'lng': 98.68743997010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Monument van Smalspoorlok Du Croo & Braun,ChIJ6yBWwVYxMTARanaFfNHQXWw,5.0,ChIJ6yBWwVYxMTARanaFfNHQXWw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,"[{'height': 496, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118191644398748127902"">A Google User</a>'], 'photo_reference': 'AUGGfZkiLIbIBkNkscAnHd4CRai7TwiL8D1k01NIUzeL3phxihVMptBrlxRDDTR7tRSBqSUyjVnCQTlIOM_LfhgmttCwh-c2qf4YHnfFxNRWJbuWZblemg_N98YSp_DppHmhr2L6i8m5SK5gmcXEA_nHk29speklMV1e0eaZEjA8jAzQj3OB', 'width': 1280}]",https://www.google.com/maps/place/?q=place_id:ChIJ6yBWwVYxMTARanaFfNHQXWw
OPERATIONAL,"Jl. Selamat No.137, Sitirejo III, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20219, Indonesia","{'location': {'lat': 3.5495571, 'lng': 98.7075773}, 'viewport': {'northeast': {'lat': 3.550926929892722, 'lng': 98.70892762989273}, 'southwest': {'lat': 3.548227270107277, 'lng': 98.70622797010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Balai Besar Taman Nasional Gunung Leuser,ChIJb89uz2IwMTAR2_YZcXkUK7k,4.4,ChIJb89uz2IwMTAR2_YZcXkUK7k,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",390,"{'compound_code': 'GPX5+R2 Sitirejo III, Medan City, North Sumatra, Indonesia', 'global_code': '6MMWGPX5+R2'}",{'open_now': True},"[{'height': 484, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112588978958795835134"">Kristianto Simamora</a>'], 'photo_reference': 'AUGGfZlSdMAYg-3NrTe8wAN2FURCKxiz7ut_yd6-3fB555OVOihso1ixfJCu6qqjZ5QuVVoOzpa7d_K98FvOr4cxY5rOXuqFZQcce6cEMPyl5E6jdCWoAF7rTnP7iaEls0mJdeZaWvg4gSGS8N7oYKVGVUah1Pb4mfWkwq-dSXinj2f8L3le', 'width': 860}]",https://www.google.com/maps/place/?q=place_id:ChIJb89uz2IwMTAR2_YZcXkUK7k
OPERATIONAL,"Jl. Jend. Ahmad Yani No.105, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia","{'location': {'lat': 3.5853632, 'lng': 98.6802316}, 'viewport': {'northeast': {'lat': 3.586704329892721, 'lng': 98.68155617989272}, 'southwest': {'lat': 3.584004670107277, 'lng': 98.67885652010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Tjong A Fie Mansion,ChIJZ4ThickxMTARvvjDDIvvrcw,4.6,ChIJZ4ThickxMTARvvjDDIvvrcw,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",3067,"{'compound_code': 'HMPJ+43 Kesawan, Medan City, North Sumatra, Indonesia', 'global_code': '6MMWHMPJ+43'}",{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104904197890225957462"">zacky blpc</a>'], 'photo_reference': 'AUGGfZkhyxWbk7S5leLmgYyd0ptZwRP_qwSPHO04ujwQMcxIQkLjcuODmwhQ-zGD4A_ZGF2HQFGdeWDFatui3cRIwGJcjIfKrTd9UbeMh58Tpe1egVIC3yYDglwdG4pg4l2wDIF6XUJ7Rfv6ztFE_iAI59WoqurxzRowJX7sZ3XcMTdAKyOX', 'width': 4160}]",https://www.google.com/maps/place/?q=place_id:ChIJZ4ThickxMTARvvjDDIvvrcw
OPERATIONAL,"GPH9+MF5, Jl. Pertahanan, Patumbak Kp., Kec. Patumbak, Kota Medan, Sumatera Utara 20361, Indonesia","{'location': {'lat': 3.5291329, 'lng': 98.7187172}, 'viewport': {'northeast': {'lat': 3.530488129892722, 'lng': 98.72012727989272}, 'southwest': {'lat': 3.527788470107278, 'lng': 98.71742762010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata indonesia,ChIJaQok1Ok7MTARKrJotBtrBvU,0.0,ChIJaQok1Ok7MTARKrJotBtrBvU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJaQok1Ok7MTARKrJotBtrBvU
OPERATIONAL,"Jl. Sisingamangaraja No.7, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20148, Indonesia","{'location': {'lat': 3.561069, 'lng': 98.6933524}, 'viewport': {'northeast': {'lat': 3.562423429892723, 'lng': 98.69471827989273}, 'southwest': {'lat': 3.559723770107278, 'lng': 98.69201862010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JUBAH BOLA,ChIJrzDvPAAxMTARON9vz7Nf7OQ,0.0,ChIJrzDvPAAxMTARON9vz7Nf7OQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'HM6V+C8 Siti Rejo I, Medan City, North Sumatra, Indonesia', 'global_code': '6MMWHM6V+C8'}",,,https://www.google.com/maps/place/?q=place_id:ChIJrzDvPAAxMTARON9vz7Nf7OQ
