business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,url
CLOSED_TEMPORARILY,"R4M7+QG6, Jl. Raya Desa Betung, Karang Agung, Abab, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan 31315, Indonesia","{'location': {'lat': -3.1655863, 'lng': 104.1137513}, 'viewport': {'northeast': {'lat': -3.164369470107278, 'lng': 104.1152815798927}, 'southwest': {'lat': -3.167069129892722, 'lng': 104.1125819201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Water Mamang Selalung Permai,True,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116289518618103500229"">Ridho Handayani</a>'], 'photo_reference': 'AUGGfZnA6OBAAdgz5VpNq6rqSwf92L9e9IF_TRlcfH7c8xbWI6Azj5Kgu-tPywiO0lf4ZXFSOZr3suam_uNtQA70qhH_WrmoLY5DaAL8GALGmtFtLfLK8eKj_kzIEWiy0IVstTqo8IcXZv0DgAjTZ9S2Qw3s4utXY2uz-BUrcEYiXEYrVfYo', 'width': 3000}]",ChIJx2yE6XFPOi4RK4iFTus6Y5g,5.0,ChIJx2yE6XFPOi4RK4iFTus6Y5g,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJx2yE6XFPOi4RK4iFTus6Y5g
OPERATIONAL,"South Talang Ubi, Talang Ubi, Muara Enim Regency, South Sumatra 31212, Indonesia","{'location': {'lat': -3.2915625, 'lng': 103.8224375}, 'viewport': {'northeast': {'lat': -3.290161770107277, 'lng': 103.8238664798927}, 'southwest': {'lat': -3.292861429892722, 'lng': 103.8211668201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung walet pendopo PALI,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100770620281174008801"">Agus Harianto</a>'], 'photo_reference': 'AUGGfZk03hrKXAM3SIj9_zUBQcuhjUYeKPS5NoyVGEfSLBCki-qMnFPqQDmu5Zy8pyyz4YLJz0Les-wZY7zcnmyffWus2iywoDKz0ywgnIb6x6V4uZkHIrzb7dEAM7Or2pKzOdWmHCtWZepEI_XfqincuBcVHJSsg3r6yOpeNc442FzITY1z', 'width': 3000}]",ChIJf7dJxvdrOi4Ra4Zd_TxNwi8,4.8,ChIJf7dJxvdrOi4Ra4Zd_TxNwi8,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"{'compound_code': 'PR5C+9X South Talang Ubi, Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P85PR5C+9X'}",,https://www.google.com/maps/place/?q=place_id:ChIJf7dJxvdrOi4Ra4Zd_TxNwi8
CLOSED_TEMPORARILY,"H2Q5+62P, Unnamed Road, Dalam, Kec. Gn. Megang, Kabupaten Muara Enim, Sumatera Selatan 31172, Indonesia","{'location': {'lat': -3.4119151, 'lng': 104.0075915}, 'viewport': {'northeast': {'lat': -3.410313670107278, 'lng': 104.0088760798927}, 'southwest': {'lat': -3.413013329892723, 'lng': 104.0061764201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pengkalan kaye,True,,ChIJGdN6vuU7Oi4Rr_Nz67el3Yc,5.0,ChIJGdN6vuU7Oi4Rr_Nz67el3Yc,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJGdN6vuU7Oi4Rr_Nz67el3Yc
CLOSED_TEMPORARILY,"Unnamed Road, Karta Dewa, Talang Ubi, Penukal Abab Lematang Ilir Regency, South Sumatra 31214, Indonesia","{'location': {'lat': -3.3325608, 'lng': 103.9951001}, 'viewport': {'northeast': {'lat': -3.331360120107278, 'lng': 103.9964954298927}, 'southwest': {'lat': -3.334059779892723, 'lng': 103.9937957701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek Wisata Danau Batanghari Siku,True,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103981118803202794071"">Locinero Andriansyah</a>'], 'photo_reference': 'AUGGfZlEsV6EhLUcO1YVU-SvBRtQAhRwtRFK9JdBqAT8lwxGzT-ueLYLBs3OXBTOQA8vsyPsMOmnRkcT6NZGRrtWVR1SXqVB8N9dZ6cieMGtMgw4ZutlxbZZyLSRqNsViB44Di5OTEYZKUcoFLq2e_VBcueVtMa1OhqcAS9J47eYx5XLON51', 'width': 4640}]",ChIJy5k_BV0_Oi4R2n9k_xYNoss,4.3,ChIJy5k_BV0_Oi4R2n9k_xYNoss,"['tourist_attraction', 'point_of_interest', 'establishment']",12.0,"{'compound_code': 'MX8W+X2 Karta Dewa, Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P85MX8W+X2'}",,https://www.google.com/maps/place/?q=place_id:ChIJy5k_BV0_Oi4R2n9k_xYNoss
OPERATIONAL,"Komplek, Handayani Mulya, Kec. Talang Ubi, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan 31212, Indonesia","{'location': {'lat': -3.2939744, 'lng': 103.8499594}, 'viewport': {'northeast': {'lat': -3.292618270107277, 'lng': 103.8513518798927}, 'southwest': {'lat': -3.295317929892722, 'lng': 103.8486522201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Pak Ngaliman Handayani Mulya,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109984101756797684180"">A Google User</a>'], 'photo_reference': 'AUGGfZnjw7D75riyiP1eADZlIXn2yWr61seHAAEoiCcPAe6RZxgDqjuCGvNHq5nGzgS0zTckoM6sN3ib9ERxbj5duqffnnxAXsLpAzM2nHB9BHOS9s5FtmeVF6G0K4l6uKK60kUtT3UmuZbOYDIE4HKdraXHy7_VIQqdbOfx7TMFzhMQkMjU', 'width': 4000}]",ChIJ2V3pnrtrOi4RNF1jVDm3v3c,4.8,ChIJ2V3pnrtrOi4RNF1jVDm3v3c,"['tourist_attraction', 'point_of_interest', 'establishment']",20.0,"{'compound_code': 'PR4X+CX Handayani Mulya, Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P85PR4X+CX'}",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ2V3pnrtrOi4RNF1jVDm3v3c
OPERATIONAL,"P43F+785, Jalan, Purun, Tanah Abang, Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.296851, 'lng': 104.1233667}, 'viewport': {'northeast': {'lat': -3.295501170107277, 'lng': 104.1247165298927}, 'southwest': {'lat': -3.298200829892722, 'lng': 104.1220168701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KM Fruit Garden,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103124082599361756658"">setiawan aska</a>'], 'photo_reference': 'AUGGfZm972aPfYGJvmBN8-wF6MFaMqgpKnb5mt-02-cyaOLh1m-4M9JDvzFTVn6bh06Ok8CmLdW7Bk-f3ptaf06CxWCLFKtmqqGaPC4jJu0c-YeeLYKkkJZx5nTevCtvO7neHE_nq_NL9bJrXnaxRQqHbLb0AVqDpn024n0GT1KPOeskjqV2', 'width': 4608}]",ChIJt5vDMB9JOi4R12p_gkgsY4w,5.0,ChIJt5vDMB9JOi4R12p_gkgsY4w,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,,,https://www.google.com/maps/place/?q=place_id:ChIJt5vDMB9JOi4R12p_gkgsY4w
CLOSED_TEMPORARILY,"6FC5+9G9, Tanjung Beringin, Gumay Talang, Lahat Regency, South Sumatra 31419, Indonesia","{'location': {'lat': -3.7790826, 'lng': 103.4588465}, 'viewport': {'northeast': {'lat': -3.777732770107279, 'lng': 103.4601963298927}, 'southwest': {'lat': -3.780432429892723, 'lng': 103.4574966701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LUBUK KILING,True,,ChIJvTLNaEFXNy4RFdqtMaTPYZU,5.0,ChIJvTLNaEFXNy4RFdqtMaTPYZU,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJvTLNaEFXNy4RFdqtMaTPYZU
CLOSED_TEMPORARILY,"HXMG+3Q7, Belimbing, Gunung Megang, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -3.4173292, 'lng': 103.9769074}, 'viewport': {'northeast': {'lat': -3.416152120107277, 'lng': 103.9782045298927}, 'southwest': {'lat': -3.418851779892722, 'lng': 103.9755048701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tebat Kelumpang Belimbing,True,,ChIJY1zraVM9Oi4Rmzw8te7_cFM,5.0,ChIJY1zraVM9Oi4Rmzw8te7_cFM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJY1zraVM9Oi4Rmzw8te7_cFM
OPERATIONAL,"Danau Pulun Lestari No.Desa, Lubuk Mumpo, Kec. Gn. Megang, Kabupaten Muara Enim, Sumatera Selatan 31352, Indonesia","{'location': {'lat': -3.4300058, 'lng': 103.9111822}, 'viewport': {'northeast': {'lat': -3.428535320107278, 'lng': 103.9129247798927}, 'southwest': {'lat': -3.431234979892722, 'lng': 103.9102251201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Wisata Pulun Lestari,,"[{'height': 575, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108971105663255541248"">A Google User</a>'], 'photo_reference': 'AUGGfZnCaXdlzipz5-ux7VwxhLU_fuEEA0Jx-I7yaf8G9GN4az4rhGWp2b9xlNGN6cYl1fUUAIjoXoX_xoK6ABCy7IJ1wkBmHkGwnUgR1Ic9Zc_nJ2VNfk8FIJVnPXPPfUgHqrbbkkv0tOfmpYcFhZxsaRpf8JY_79_QAavFMcntrAUwSjtf', 'width': 1024}]",ChIJnWs5VmwXOi4R0yttfWrjJkk,4.7,ChIJnWs5VmwXOi4R0yttfWrjJkk,"['tourist_attraction', 'point_of_interest', 'establishment']",10.0,"{'compound_code': 'HW96+XF Lubuk Mumpo, Muara Enim Regency, South Sumatra, Indonesia', 'global_code': '6P85HW96+XF'}",,https://www.google.com/maps/place/?q=place_id:ChIJnWs5VmwXOi4R0yttfWrjJkk
OPERATIONAL,"R427+V6, South Betung, Abab, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -3.1978129, 'lng': 104.1130777}, 'viewport': {'northeast': {'lat': -3.195635049999999, 'lng': 104.1150617}, 'southwest': {'lat': -3.19853885, 'lng': 104.1071257}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai biru,,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102619630616997798913"">Betra Dp</a>'], 'photo_reference': 'AUGGfZkcL59ykQn4S8nGYKrBI9aswgApv_Y3WshnoP-U8WzUGeGI8JUiGHqMuidti0KSVpZVlaAOd1CdG5wrN3KJGU-TqTLcz5T4lpfF0hJSJLCJ-Z7CY2uqBLRi4S6E26XiA8yNtlo4g7ZXGLrcWxFK2nDIYSj-zOvQiSi2cqBxvtLifa9m', 'width': 3072}]",ChIJ2b7HXWNPOi4R_imNlffUBy4,4.8,ChIJ2b7HXWNPOi4R_imNlffUBy4,"['tourist_attraction', 'point_of_interest', 'establishment']",37.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ2b7HXWNPOi4R_imNlffUBy4
