formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,opening_hours,plus_code,rating,user_ratings_total,photos,permanently_closed,url
"Tanjung Batu, Tulung Selapan, Ogan Komering Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.2853739, 'lng': 105.2136302}, 'viewport': {'northeast': {'lat': -3.2492289, 'lng': 105.2269969}, 'southwest': {'lat': -3.3197899, 'lng': 105.1903019}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Batu,ChIJ1YB6RqNyPC4RDR1qVfOCd3o,ChIJ1YB6RqNyPC4RDR1qVfOCd3o,"['administrative_area_level_4', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1YB6RqNyPC4RDR1qVfOCd3o
"Jln 1, RT./rw/RW.004/002, Tj. Batu, Kec. Tulung Selapan, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30655, Indonesia","{'location': {'lat': -3.250271, 'lng': 105.2293916}, 'viewport': {'northeast': {'lat': -3.248975920107278, 'lng': 105.2306913798927}, 'southwest': {'lat': -3.251675579892722, 'lng': 105.2279917201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Desa Tanjung Batu,ChIJCYSbiY1tPC4RYKv_292VoKs,ChIJCYSbiY1tPC4RYKv_292VoKs,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"{'compound_code': 'P6XH+VQ Tanjung Batu, Ogan Komering Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P87P6XH+VQ'}",5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJCYSbiY1tPC4RYKv_292VoKs
"Kayu Ara, Tulung Selapan, Ogan Komering Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.247211, 'lng': 105.2683048}, 'viewport': {'northeast': {'lat': -3.245635270107278, 'lng': 105.2696346298927}, 'southwest': {'lat': -3.248334929892723, 'lng': 105.2669349701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muhammad Fartum Hilber,ChIJq8TmdgBvPC4R-PlLK1aca5I,ChIJq8TmdgBvPC4R-PlLK1aca5I,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"{'compound_code': 'Q739+48 Kayu Ara, Ogan Komering Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P87Q739+48'}",0.0,0.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102830037259524188969"">A Google User</a>'], 'photo_reference': 'AUGGfZnULm1d0RU-amBimfK_pxcgA69jupcw-s7ivEdHI91fiH89tWZFap3_GByqTKJDjiMEnYtKo_XmS0O8mOAdadwnGqJbE9pdqCjymO83lvMt-GAv5di9N7J2QfTVCzpd-b-goElewrDOdPckDXNZvXTYWRmC4wbp2Ep36smlbJio9BgC', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJq8TmdgBvPC4R-PlLK1aca5I
"M3H4+67H, Lubuk 3, Jungkal, Kec. Pampangan, Kabupaten Ogan Komering Ilir, Sumatera Selatan, Indonesia","{'location': {'lat': -3.3219337, 'lng': 105.0557415}, 'viewport': {'northeast': {'lat': -3.320583870107277, 'lng': 105.0570913298927}, 'southwest': {'lat': -3.323283529892722, 'lng': 105.0543916701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Menara pantau 02 pt.ags,ChIJXbsKjWELPC4Rkz9SyDHVwkk,ChIJXbsKjWELPC4Rkz9SyDHVwkk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},,0.0,0.0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117055541570996080344"">Andi Andikasastra</a>'], 'photo_reference': 'AUGGfZlxxHAADz8pHeUo02h6ZVvC2ESd0Dssm1ooXLyd8z0S2VT5MxgUNby3Y2tR7upNTplhptSm8UAo84r8M_1nRO1JYEF7CqL9tFb_s0DM0oW2tleflFjKleKiw52r66SZk3RxlkVKgQlvx6MRfMyDsOv_LtjQA0M6gSKByx7mmMosPTtK', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJXbsKjWELPC4Rkz9SyDHVwkk
"R2WR+JM, Jermun, Pampangan, Ogan Komering Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.1534125, 'lng': 105.0416629}, 'viewport': {'northeast': {'lat': -3.15232475, 'lng': 105.0425651798927}, 'southwest': {'lat': -3.156675749999999, 'lng': 105.0398655201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Laut Leban,ChIJWftnn8h3PC4RIHDujhCSuww,ChIJWftnn8h3PC4RIHDujhCSuww,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJWftnn8h3PC4RIHDujhCSuww
"H6C2+94P, Pancawarna, Pedamaran Timur, Ogan Komering Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.4290457, 'lng': 105.2003343}, 'viewport': {'northeast': {'lat': -3.427695870107277, 'lng': 105.2016841298927}, 'southwest': {'lat': -3.430395529892722, 'lng': 105.1989844701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah pak Yadi sawah bacang,ChIJj23LcwAPPC4RvNuUXjnMfcM,ChIJj23LcwAPPC4RvNuUXjnMfcM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJj23LcwAPPC4RvNuUXjnMfcM
"QXF2+FJ2, Layang Island, Pampangan, Ogan Komering Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.2263586, 'lng': 104.9515292}, 'viewport': {'northeast': {'lat': -3.225008770107277, 'lng': 104.9528790298927}, 'southwest': {'lat': -3.227708429892722, 'lng': 104.9501793701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau kerikil,ChIJ4djkhSCLOy4R8-RpAdrVy1c,ChIJ4djkhSCLOy4R8-RpAdrVy1c,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},,3.6,11.0,"[{'height': 1575, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105819145495056562625"">A Google User</a>'], 'photo_reference': 'AUGGfZnu8x6H97xAvAzxBkugNLVUHtvCuD9seYsCPpFZVOq_WB9meQx9qYVRo_tEgPtqloUCd9Et-5B1d8DLD8l5KFW3Jriwe0hDN4dWk6BTHvp3k4Pt_Msgk7aP9hKPp5FTR46gDuxcS1JuKTJoyoas5lYTuqDoMY8d6BQfV9LB0ZV-i3Z5', 'width': 1839}]",,https://www.google.com/maps/place/?q=place_id:ChIJ4djkhSCLOy4R8-RpAdrVy1c
"P6XJ+G34, Tanjung Batu, Tulung Selapan, Ogan Komering Ilir Regency, South Sumatra 30659, Indonesia","{'location': {'lat': -3.2512483, 'lng': 105.2302117}, 'viewport': {'northeast': {'lat': -3.249943470107278, 'lng': 105.2314799798927}, 'southwest': {'lat': -3.252643129892722, 'lng': 105.2287803201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nangsi nirawati,ChIJ7QIvXoFtPC4RrLk0aBt6PWs,ChIJ7QIvXoFtPC4RrLk0aBt6PWs,"['lodging', 'point_of_interest', 'establishment']",OPERATIONAL,,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ7QIvXoFtPC4RrLk0aBt6PWs
"R56X+X4V, Toman, Tulung Selapan, Ogan Komering Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.1875087, 'lng': 105.1977875}, 'viewport': {'northeast': {'lat': -3.186229320107278, 'lng': 105.1989445798927}, 'southwest': {'lat': -3.188928979892722, 'lng': 105.1962449201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jeramba panjang(hp),ChIJ6eY1saxxPC4Ri-zvrMLV9N8,ChIJ6eY1saxxPC4Ri-zvrMLV9N8,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,,0.0,0.0,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111716552253577237946"">A Google User</a>'], 'photo_reference': 'AUGGfZkqCvM6YZbcJCHK_SXzzfai8bU6TmzEikHuLGsXy6INapfnIcQYnNeDJtyNNZFJJbnTlHxHC1LqKUi2kF7bBunkJzt3fuFEdS5if3s8AdXZOFO7LfYYYCoqhk75rLn9QAYMVDfMqSsD97Fy9JZm12_XOCZQAwesLFw6dstGQIEOKpeH', 'width': 720}]",True,https://www.google.com/maps/place/?q=place_id:ChIJ6eY1saxxPC4Ri-zvrMLV9N8
"Q6G7+7MW, Toman, Tulung Selapan, Ogan Komering Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.2242722, 'lng': 105.214197}, 'viewport': {'northeast': {'lat': -3.222922370107277, 'lng': 105.2155468298927}, 'southwest': {'lat': -3.225622029892722, 'lng': 105.2128471701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kawah candra dimuka,ChIJE9T5iSVzPC4REoubDBDpJqY,ChIJE9T5iSVzPC4REoubDBDpJqY,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,,5.0,1.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110283241395599167209"">A Google User</a>'], 'photo_reference': 'AUGGfZkc9d3H35gHO6IRhro8shk3WdzUbQwyOTa-LwnRyWHMB2GSy2nTR_Lg5NDWKJiqZ1ZcvKHEhlgr8HBVsvsHjrlaz3KaR-YBfs2SCL_Fj_-kkRKA164Zzggrq_Iwp2mmbJARBLQDfr_Vi-31tyj4PuQNs3OwyeoOhulGSaYR8z3qgWT0', 'width': 3024}]",True,https://www.google.com/maps/place/?q=place_id:ChIJE9T5iSVzPC4REoubDBDpJqY
