business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,plus_code,url
OPERATIONAL,"M8QH+7JW, Banding Agung, Suoh, West Lampung Regency, Lampung 34875, Indonesia","{'location': {'lat': -5.3117318, 'lng': 104.3290335}, 'viewport': {'northeast': {'lat': -5.310379370107278, 'lng': 104.3303837798927}, 'southwest': {'lat': -5.313079029892722, 'lng': 104.3276841201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,NAW HOTEL,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102439144444016341632"">Basuki Liwa</a>'], 'photo_reference': 'AUGGfZmYec8jXsqVNh3X8-jC3p03M5wPszI4Napdc-RZpX7AKSr7BHFM0DwW9lW0s3d0XJ3MZP9x6PupcWABRnhYrkb357LxXOOgd5JTz_-VbInhRfQndwdpXKJjxOx4xTq-TrjHIygjs-C7Dl0GtFLP7qsqeOAOqwAcqp6uYbWoKdiQijHS', 'width': 4160}]",ChIJuwAVRNgJRy4RLWVdyPvDKcY,4.1,ChIJuwAVRNgJRy4RLWVdyPvDKcY,"['lodging', 'point_of_interest', 'establishment']",14,,https://www.google.com/maps/place/?q=place_id:ChIJuwAVRNgJRy4RLWVdyPvDKcY
OPERATIONAL,"M8XG+7JX, Unnamed Road, Tugu Ratu, Kec. Suoh, Kabupaten Lampung Barat, Lampung 35686, Indonesia","{'location': {'lat': -5.301773799999999, 'lng': 104.3265973}, 'viewport': {'northeast': {'lat': -5.299242699999998, 'lng': 104.3274215798927}, 'southwest': {'lat': -5.302617499999999, 'lng': 104.3247219201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand JONO,"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111830458715885159595"">Agung Purnomo</a>'], 'photo_reference': 'AUGGfZmqREUf13a3oV2vlH5dZJGCdDHVTFxTDJwhgXYGusuffuKM77l4q9snLKCn2aI-VpImIJWfVXpRSOrFuod5RO6qpGmDXkBqtYwSkqmDpLicJxxR2GSKW-fzK0MVEV9qRiQOnncyFEDl_6KSgYDD0XKKa8r2ymVXJMnnFc60OPobHHKl', 'width': 576}]",ChIJeUbTnEwLRy4RGYrAGlyxslY,4.3,ChIJeUbTnEwLRy4RGYrAGlyxslY,"['lodging', 'point_of_interest', 'establishment']",8,,https://www.google.com/maps/place/?q=place_id:ChIJeUbTnEwLRy4RGYrAGlyxslY
OPERATIONAL,"P9GG+PV, Roworejo, Suoh, West Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.2739997, 'lng': 104.3766641}, 'viewport': {'northeast': {'lat': -5.272685670107278, 'lng': 104.3779950298927}, 'southwest': {'lat': -5.275385329892722, 'lng': 104.3752953701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tekor jaya,,ChIJbWX3B04LRy4RlUZ-owZCKIs,0.0,ChIJbWX3B04LRy4RlUZ-owZCKIs,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJbWX3B04LRy4RlUZ-owZCKIs
OPERATIONAL,"Q7VP+4HJ, Unnamed Road, Gn. Ratu, Kec. Semaka, Kabupaten Tanggamus, Lampung 34872, Indonesia","{'location': {'lat': -5.2071504, 'lng': 104.2863798}, 'viewport': {'northeast': {'lat': -5.205847970107278, 'lng': 104.2876889298927}, 'southwest': {'lat': -5.208547629892721, 'lng': 104.2849892701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,D2 Hotel,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110543596605852255908"">anisa putri</a>'], 'photo_reference': 'AUGGfZnx4NO36ELK3ObRQfeVwviR2G6XBdB5zk0EZ1EUv75Zik8J07V4fcBgvqAFLCuiAHtD39nROXGmF3lGOBFxfaOCXCeLhu0Irzk5ZR_sLKy3dGyHsJsp4WbEgK8nurciHGoEU5gAg6R_St_MBDh8OHLFpT0PxzRnBtYnB5oukOSP7MX5', 'width': 3264}]",ChIJT-NFOWd1Ry4RUc3WjptLFP0,4.8,ChIJT-NFOWd1Ry4RUc3WjptLFP0,"['lodging', 'point_of_interest', 'establishment']",9,,https://www.google.com/maps/place/?q=place_id:ChIJT-NFOWd1Ry4RUc3WjptLFP0
OPERATIONAL,"V94M+P5X, Sumber Alam, Air Hitam, West Lampung Regency, Lampung 34884, Indonesia","{'location': {'lat': -5.143126, 'lng': 104.3829777}, 'viewport': {'northeast': {'lat': -5.141776170107278, 'lng': 104.3843275298927}, 'southwest': {'lat': -5.144475829892722, 'lng': 104.3816278701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lek nor keple,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112357037055194181905"">hasim cis Cah Kene Wae</a>'], 'photo_reference': 'AUGGfZnkJNevaqyKBw5praTmxZFedURlKnFEijX25Nrs45G8jauPmIS-zwkC13QJjzFdJg_DzsrzoNL8o-BY-XIwcL7-FH2ryeSeRd5eBJrwsWPc_U9SVD7vxoZpe0r5_AAm-lZZhFwPO1MjOzGGs5nNuX6IJqLJ285wpXvnZ99gnySpZ7xU', 'width': 1600}]",ChIJf_nNVBlxRy4R5pETqR6exNU,5.0,ChIJf_nNVBlxRy4R5pETqR6exNU,"['lodging', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJf_nNVBlxRy4R5pETqR6exNU
OPERATIONAL,"QC56+897, Rejosari, Ulubelu, Tanggamus Regency, Lampung 35686, Indonesia","{'location': {'lat': -5.2423964, 'lng': 104.410763}, 'viewport': {'northeast': {'lat': -5.241036820107278, 'lng': 104.4121315298927}, 'southwest': {'lat': -5.243736479892722, 'lng': 104.4094318701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Rest area ,gardu sidorejo",,ChIJIXvCLmYNRy4Ric2fXJkxxd8,0.0,ChIJIXvCLmYNRy4Ric2fXJkxxd8,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJIXvCLmYNRy4Ric2fXJkxxd8
OPERATIONAL,"W9PH+34F, Tanjung Raya, Way Tenong, West Lampung Regency, Lampung 34884, Indonesia","{'location': {'lat': -5.0648231, 'lng': 104.3778495}, 'viewport': {'northeast': {'lat': -5.063562370107278, 'lng': 104.3793313298927}, 'southwest': {'lat': -5.066262029892722, 'lng': 104.3766316701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pak Jok,,ChIJ9zYJBcR3Ry4Rn5xYeYkwSyk,0.0,ChIJ9zYJBcR3Ry4Rn5xYeYkwSyk,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ9zYJBcR3Ry4Rn5xYeYkwSyk
OPERATIONAL,"Gunung Ratu, Suoh, West Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.2199083, 'lng': 104.2977067}, 'viewport': {'northeast': {'lat': -5.218628320107278, 'lng': 104.2989866298927}, 'southwest': {'lat': -5.221327979892722, 'lng': 104.2962869701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel antara provinsi,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101904002850981479959"">A Google User</a>'], 'photo_reference': 'AUGGfZnhREs_qyZDPVuLHKpnbpHiqDrrrPZGZHuI6EKm9H-DrdDsNTfaKuFZoI3rwXB0mnxjJRb3fl7v8HZ6hCsX53lYQFIPYm_4Qd11vKj7M-r78GAuPZSboTnMjN_quNBG6_TOesqZPhCA_Lal1ukuToec7WxHQjO_PiCIFSSgt2hq_Xek', 'width': 2080}]",ChIJm0vXL4x1Ry4RM5fsC_VSkSY,0.0,ChIJm0vXL4x1Ry4RM5fsC_VSkSY,"['lodging', 'point_of_interest', 'establishment']",0,"{'compound_code': 'Q7JX+23 Gunung Ratu, Tanggamus Regency, Lampung, Indonesia', 'global_code': '6P66Q7JX+23'}",https://www.google.com/maps/place/?q=place_id:ChIJm0vXL4x1Ry4RM5fsC_VSkSY
OPERATIONAL,"Q7MV+F97, Margomulyo, Kec. Semaka, Kabupaten Tanggamus, Lampung, Indonesia","{'location': {'lat': -5.216330200000001, 'lng': 104.2934328}, 'viewport': {'northeast': {'lat': -5.215002220107278, 'lng': 104.2947640298927}, 'southwest': {'lat': -5.217701879892722, 'lng': 104.2920643701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Villa Tharista,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112660064831632259015"">A Google User</a>'], 'photo_reference': 'AUGGfZmCyVV6VVX7PXfkmt5Uwm9lvItiPva5dg15JtlyJDMgWPSWyTFWjX-ecRSuj3_yrgZfjZXy-clyvO_BSV8YnNvaXNaUWJqh8o8VI4JTbVlPeqJ5edSRuaQRqKLBKFZab66k8GnWePqnbThBUvadsuJ3vmMrFdlzmGmt_sarP1S3pCyd', 'width': 1600}]",ChIJ4ZplKqd1Ry4RIteUHWFoUM4,0.0,ChIJ4ZplKqd1Ry4RIteUHWFoUM4,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ4ZplKqd1Ry4RIteUHWFoUM4
OPERATIONAL,"W5C8+665, Kota Besi, Batu Brak, West Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.0795137, 'lng': 104.1655198}, 'viewport': {'northeast': {'lat': -5.078166970107279, 'lng': 104.1668946798927}, 'southwest': {'lat': -5.080866629892723, 'lng': 104.1641950201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,pak rete bumbon,,ChIJGfdaLQCbRy4RWjiLzjvJCw8,0.0,ChIJGfdaLQCbRy4RWjiLzjvJCw8,"['lodging', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJGfdaLQCbRy4RWjiLzjvJCw8
