business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,photos,plus_code,opening_hours,url
OPERATIONAL,"5QJ6+4VX, Jl. Poros Boepinang-Bambaea, Teppoe, Kec. Poleang Tim., Kabupaten Bombana, Sulawesi Tenggara 93773, Indonesia","{'location': {'lat': -4.819634199999999, 'lng': 121.762224}, 'viewport': {'northeast': {'lat': -4.818153270107278, 'lng': 121.7636322798927}, 'southwest': {'lat': -4.820852929892721, 'lng': 121.7609326201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Poktan Mattirowalie II,ChIJPTapjPrXoi0RrcGyvqEqxNE,4.0,ChIJPTapjPrXoi0RrcGyvqEqxNE,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,,https://www.google.com/maps/place/?q=place_id:ChIJPTapjPrXoi0RrcGyvqEqxNE
CLOSED_TEMPORARILY,"5R94+RWR, Jl. Poros Poleang Timur-Poleang Tenggara, Puu Lemo, Kec. Poleang Tim., Kabupaten Bombana, Sulawesi Tenggara 93773, Indonesia","{'location': {'lat': -4.8303787, 'lng': 121.8072527}, 'viewport': {'northeast': {'lat': -4.829034720107278, 'lng': 121.8087065798927}, 'southwest': {'lat': -4.831734379892722, 'lng': 121.8060069201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RTH,ChIJhU-nyE7Xoi0RdwN393Ath1I,0.0,ChIJhU-nyE7Xoi0RdwN393Ath1I,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114690605400481848223"">A Google User</a>'], 'photo_reference': 'AUGGfZknA7_dGfH0EEbQU-8SG0Olitg6_6KWWcDI8uPLxLg7vb3togD97yiiV26wRVM1RyDTlxGY5Pmx9lX_jCzApvr3p2oRRTfdZUsZRUFcGs8RIL7RwfNGu5ggw0vXO05Qwv29IQffaw9O2aZg9ooEP5hggL2EziGpjSS-svUI1P1CXJdN', 'width': 720}]",,,https://www.google.com/maps/place/?q=place_id:ChIJhU-nyE7Xoi0RdwN393Ath1I
OPERATIONAL,"5Q5M+3FV, Bambaea, Poleang Timur, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.842268799999999, 'lng': 121.7836749}, 'viewport': {'northeast': {'lat': -4.840918970107278, 'lng': 121.7850247298927}, 'southwest': {'lat': -4.843618629892722, 'lng': 121.7823250701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjong'e,ChIJtdxa1XzXoi0R0I7R9EUwHfQ,3.3,ChIJtdxa1XzXoi0R0I7R9EUwHfQ,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,,https://www.google.com/maps/place/?q=place_id:ChIJtdxa1XzXoi0R0I7R9EUwHfQ
CLOSED_TEMPORARILY,"6P6P+M8G, Biru, Poleang Timur, Bombana Regency, South East Sulawesi 93773, Indonesia","{'location': {'lat': -4.7883018, 'lng': 121.7358367}, 'viewport': {'northeast': {'lat': -4.786313370107278, 'lng': 121.7376939798927}, 'southwest': {'lat': -4.789013029892722, 'lng': 121.7349943201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Tapparang Ma, bombang",ChIJIdaEDpnRoi0RG6wsi1BUAto,0.0,ChIJIdaEDpnRoi0RG6wsi1BUAto,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJIdaEDpnRoi0RG6wsi1BUAto
OPERATIONAL,"7QM4+2H9, Unnamed Road, Tanah Poleang, Poleang Utara, Bombana Regency, South East Sulawesi 93773, Indonesia","{'location': {'lat': -4.7174657, 'lng': 121.7564834}, 'viewport': {'northeast': {'lat': -4.715931370107279, 'lng': 121.7580112298927}, 'southwest': {'lat': -4.718631029892723, 'lng': 121.7553115701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Adat Moronene Kemokolean Poleang,ChIJ649Wuy7Poi0Rk4KBi7IFs8k,4.7,ChIJ649Wuy7Poi0Rk4KBi7IFs8k,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114754448071097118136"">A Google User</a>'], 'photo_reference': 'AUGGfZmlOwRZDFDFpD9gmYn-OjN8Uw30xloCkueROFPGOKzL8rk2gZl4IqNe4ZRjkYFj0edo6qnOj-CmmzIcrLFuyFL1pSW2YRx8d4FqZy2Q4VEs2ZjYZwMGBYOYu_g0z6E1Dlubp_rnLiaVAaGdqoc9GNKBmVXqPw-Zf30DP0MkwbcJRdNB', 'width': 960}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ649Wuy7Poi0Rk4KBi7IFs8k
CLOSED_TEMPORARILY,"5PQG+J35, La Ea, Poleang Selatan, Bombana Regency, South East Sulawesi 93773, Indonesia","{'location': {'lat': -4.8109783, 'lng': 121.7252457}, 'viewport': {'northeast': {'lat': -4.809595370107277, 'lng': 121.7264907298927}, 'southwest': {'lat': -4.812295029892721, 'lng': 121.7237910701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Cinta,ChIJwV0W0FfXoi0RL4N-A6E0tZ4,0.0,ChIJwV0W0FfXoi0RL4N-A6E0tZ4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJwV0W0FfXoi0RL4N-A6E0tZ4
OPERATIONAL,"Unnamed Road, Puu Lemo, Kec. Poleang Tim., Kabupaten Bombana, Sulawesi Tenggara 93773, Indonesia","{'location': {'lat': -4.8315715, 'lng': 121.8442657}, 'viewport': {'northeast': {'lat': -4.830221670107277, 'lng': 121.8456155298927}, 'southwest': {'lat': -4.832921329892721, 'lng': 121.8429158701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Puncak Harapan,ChIJCysTt9jZoi0RDGhqGbu6HfY,4.5,ChIJCysTt9jZoi0RDGhqGbu6HfY,"['park', 'point_of_interest', 'establishment']",25,,"[{'height': 1260, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110040780179866512254"">A Google User</a>'], 'photo_reference': 'AUGGfZn4DHSMAjkhXMDLhgWh0biEwRlpBXB7yT_loS2_CyT2qfNBGYeXJ1DGEoOjOEPXpl7zNdigHddJ7PLYC7q8FaJGUbK1BveduqZioOLMLQ-Y4XMO3PSFMy17DK3QWagyuw7T8tggOZE9kyzzvGN8cywf6eGaCwB9PhUR0tZu4y3A06Uh', 'width': 2244}]","{'compound_code': '5R9V+9P Puu Lemo, Bombana Regency, South East Sulawesi, Indonesia', 'global_code': '6Q735R9V+9P'}",,https://www.google.com/maps/place/?q=place_id:ChIJCysTt9jZoi0RDGhqGbu6HfY
OPERATIONAL,"4VP4+FFQ, Marampuka, Poleang Tenggara, Bombana Regency, South East Sulawesi 93773, Indonesia","{'location': {'lat': -4.8637936, 'lng': 121.856228}, 'viewport': {'northeast': {'lat': -4.862207270107278, 'lng': 121.8577475298927}, 'southwest': {'lat': -4.864906929892722, 'lng': 121.8550478701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai poltra,ChIJGV6OnI_Zoi0RtNUsZxeCNPs,5.0,ChIJGV6OnI_Zoi0RtNUsZxeCNPs,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,"[{'height': 2238, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109857322033426067635"">A Google User</a>'], 'photo_reference': 'AUGGfZlgvXYiDnS6uzwq9trXzFgJ1E585u-zDITtJNMZUP9dSw4Smdhw2j__TFcWRJSggBpN1fZZJYzDB0RuAdbkjSyLFCiLmE5zlCJ5OpHgTdDyS7X3Emm0oKFoMLy6QhaaBNB6JJn4JjOZ9mnsTnRZVKnSaETXP_PTPC31NbQ_VpEDZVfj', 'width': 3000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJGV6OnI_Zoi0RtNUsZxeCNPs
CLOSED_TEMPORARILY,"6H9M+563, Jl. Merdeka, Boepinang Bar., Kec. Poleang, Kabupaten Bombana, Sulawesi Tenggara, Indonesia","{'location': {'lat': -4.7821055, 'lng': 121.5830534}, 'viewport': {'northeast': {'lat': -4.780763220107278, 'lng': 121.5844621798927}, 'southwest': {'lat': -4.783462879892721, 'lng': 121.5817625201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,POJELA - poleang jelajah alam,ChIJEWSemistvS0RFzQ04ystrRs,0.0,ChIJEWSemistvS0RFzQ04ystrRs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJEWSemistvS0RFzQ04ystrRs
OPERATIONAL,"5MHR+8C7, Waemputang, Poleang Selatan, Bombana Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.821718199999999, 'lng': 121.6910426}, 'viewport': {'northeast': {'lat': -4.818268649999998, 'lng': 121.6923878798927}, 'southwest': {'lat': -4.82286805, 'lng': 121.6896882201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cagar budaya bunker,ChIJwYLCDQDVoi0Rw0spna5toPs,0.0,ChIJwYLCDQDVoi0Rw0spna5toPs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJwYLCDQDVoi0Rw0spna5toPs
