business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,plus_code,price_level,url
OPERATIONAL,"RHHM+6C9, Fontein, Kota Raja, Kupang City, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.1716185, 'lng': 123.5833671}, 'viewport': {'northeast': {'lat': -10.17016017010728, 'lng': 123.5845062298927}, 'southwest': {'lat': -10.17285982989272, 'lng': 123.5818065701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jaga sungai dendeng,ChIJlVDe7emdViwRULfAiTabsOE,0.0,ChIJlVDe7emdViwRULfAiTabsOE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlVDe7emdViwRULfAiTabsOE
OPERATIONAL,"RHFR+4VQ, Jl. Banteng, RT.19/RW.04, Nunleu, Kec. Kota Raja, Kota Kupang, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.1771533, 'lng': 123.5922372}, 'viewport': {'northeast': {'lat': -10.17578997010728, 'lng': 123.5935583298927}, 'southwest': {'lat': -10.17848962989272, 'lng': 123.5908586701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali Sembunyi,ChIJrcZdNKGdViwR2ewJJ2baKDY,3.0,ChIJrcZdNKGdViwR2ewJJ2baKDY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4599, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103131968821444061676"">A Google User</a>'], 'photo_reference': 'AUGGfZmcu8ZIRA6qNiMhh-qnoxuKjxaL0jLTfN3apFNUF5cuOSkcZ3NGC7thCr7yw0-SZRMKv2gB-EQ00U8sWJ8x57CiEVwWHJ_-6nEsc7jvjTwbO5rfbAN-etAYmf00Jz_rR_BUlcxCj8R1UUMXoZWnmJ4KSh-umRV2qbqmeuLa7AxOIPXB', 'width': 3450}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJrcZdNKGdViwR2ewJJ2baKDY
OPERATIONAL,"RHMC+V6V, Nunhila, Alak, Kupang City, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.1652714, 'lng': 123.5705344}, 'viewport': {'northeast': {'lat': -10.16397242010728, 'lng': 123.5719224798927}, 'southwest': {'lat': -10.16667207989272, 'lng': 123.5692228201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Kepala Beach,ChIJjQHGpmGcViwRI-Yx40z8YE4,4.3,ChIJjQHGpmGcViwRI-Yx40z8YE4,"['tourist_attraction', 'point_of_interest', 'establishment']",278,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113432950181563121653"">Palti</a>'], 'photo_reference': 'AUGGfZnI6F1Tyd1Zp58xfgGF8wmBiPhtfJ269LDLZ6Xm2ucslGKhVqDrNyoy4VLXAs8z-3edi_qt1IExS-3-gLC-SsQg6jQeAG8HM19rEOK3-l0fkwdmGOIdZFRXJ364HUMrCo19okCrSHBJzrrR14Pm1GuzNbSlF7lG_wnQxBz46AEoT7TE', 'width': 4000}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJjQHGpmGcViwRI-Yx40z8YE4
OPERATIONAL,"Jl. Pahlawan No.24, Nunhila, Kec. Alak, Kota Kupang, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.1650774, 'lng': 123.5701606}, 'viewport': {'northeast': {'lat': -10.16387542010728, 'lng': 123.5717355798927}, 'southwest': {'lat': -10.16657507989272, 'lng': 123.5690359201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jojo Spot,ChIJZXo6HxidViwRiFa6XIWZhv4,5.0,ChIJZXo6HxidViwRiFa6XIWZhv4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113432950181563121653"">Palti</a>'], 'photo_reference': 'AUGGfZla7PMO207V1q5DxADCLo9_8oYwynsFD-mvv4I00isdZqWibXVYhZ1N1Z1mEa9Vunz11PGtciaGs21Nsn8l9yjNl_BsL2cyeVVvW7FLksZ_ThjO53_eef8Cl1hzkfIaGOLP5F6JPECNiuylxE7uxmk5xdR8iTPa-rRUCWiTxvOAfN2U', 'width': 4000}]",{'open_now': True},"{'compound_code': 'RHMC+X3 Nunhila, Kupang City, East Nusa Tenggara, Indonesia', 'global_code': '5QX5RHMC+X3'}",,https://www.google.com/maps/place/?q=place_id:ChIJZXo6HxidViwRiFa6XIWZhv4
OPERATIONAL,"Jl. Terusan Timor Raya No.45, Pasir Panjang, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.1506927, 'lng': 123.6025328}, 'viewport': {'northeast': {'lat': -10.14964252010728, 'lng': 123.6040947798927}, 'southwest': {'lat': -10.15234217989272, 'lng': 123.6013951201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasir Panjang Beach,ChIJQRCpqVedViwRpP0ipxEjs_0,4.5,ChIJQRCpqVedViwRpP0ipxEjs_0,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111119274023756878449"">A Google User</a>'], 'photo_reference': 'AUGGfZlYMjx507tHexVFeeS6kvlE9IWdxAhgQ5iNdDwDe-_B7Rl8Gz6JDLX8c6zLBYRkfhuRaqvejMGcaTG2zFMrsCbBwTvyonkQLh7OMGodGN4nxfTU88c_mokEjjnO4UJcQ1RSLsm3fdSJuRQtkJnaG7_FIUty93YXYIZmNwdOlx6WX4dH', 'width': 3024}]",,"{'compound_code': 'RJX3+P2 Pasir Panjang, Kupang City, East Nusa Tenggara, Indonesia', 'global_code': '5QX5RJX3+P2'}",,https://www.google.com/maps/place/?q=place_id:ChIJQRCpqVedViwRpP0ipxEjs_0
OPERATIONAL,"RHVM+8X2, Jl. Sumatera, Todekisar, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.1567279, 'lng': 123.5848816}, 'viewport': {'northeast': {'lat': -10.15551442010728, 'lng': 123.5862816798927}, 'southwest': {'lat': -10.15821407989272, 'lng': 123.5835820201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ketapang Satu Beach,ChIJPUy0fOucViwRyPG3LP_q0cY,4.3,ChIJPUy0fOucViwRyPG3LP_q0cY,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1205,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108402259755511260288"">java 08</a>'], 'photo_reference': 'AUGGfZnwp4uxioOJzOINX2Isn8OsjKIXpvjFuDDMvYSg7lDET30xVBcYiAjzJBeDZBA-ZUVJT9MlQrWP_2B6R2outSyiDxn4GiP-i5pkDPdLV18P_-0GWH0dhf5ZO0CaB98iTq8P6YZJbXp_JJCw33PuooNUN_gVVYoDuaxFuh9zuknJZMzz', 'width': 4032}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJPUy0fOucViwRyPG3LP_q0cY
OPERATIONAL,"RH5R+4GG, Bakunase II, Kota Raja, Kupang City, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.1921845, 'lng': 123.5913308}, 'viewport': {'northeast': {'lat': -10.19085072010728, 'lng': 123.5926530798927}, 'southwest': {'lat': -10.19355037989272, 'lng': 123.5899534201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanty Taylor,ChIJ4W4L9lCbViwR2MMlUXHksx8,0.0,ChIJ4W4L9lCbViwR2MMlUXHksx8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4W4L9lCbViwR2MMlUXHksx8
OPERATIONAL,"RH4P+WVW, Bakunase, Kota Raja, Kupang City, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.1926422, 'lng': 123.5872007}, 'viewport': {'northeast': {'lat': -10.19114982010728, 'lng': 123.5885442798927}, 'southwest': {'lat': -10.19384947989272, 'lng': 123.5858446201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PH Bakunase,ChIJK00oNwCbViwRuplf-C4gSH0,0.0,ChIJK00oNwCbViwRuplf-C4gSH0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJK00oNwCbViwRuplf-C4gSH0
OPERATIONAL,"QHXJ+HHG, Jl. Air Sagu, RT.12/RW.05, Batuplat, Kec. Alak, Kota Kupang, Nusa Tenggara Tim. 85111, Indonesia","{'location': {'lat': -10.2010734, 'lng': 123.5814625}, 'viewport': {'northeast': {'lat': -10.19993442010728, 'lng': 123.5826735298927}, 'southwest': {'lat': -10.20263407989272, 'lng': 123.5799738701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Sagu - Kupang,ChIJ88dyuA6bViwRc_pJkj9qIak,4.4,ChIJ88dyuA6bViwRc_pJkj9qIak,"['tourist_attraction', 'point_of_interest', 'establishment']",114,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106090648986639629205"">A Google User</a>'], 'photo_reference': 'AUGGfZmZKrNQRp4g0h1vxkq-aB9-BhncbVFyQXOE4OZQzMQrOs9uQh1A4y3MSbh7jEZXo48Yszx3ODT0cTUf-dYtEg6qa9wRO2P002CGW2rstVRp_pvT4mfsS0CxefrCYo2vWR7O8HYgcc_-1RrxuZzEAq3POdSLTfiAO3v25G0rDV3Sj7wL', 'width': 4608}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ88dyuA6bViwRc_pJkj9qIak
OPERATIONAL,"QHWX+9M3, Batuplat, Alak, Kupang City, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.2041248, 'lng': 123.5991717}, 'viewport': {'northeast': {'lat': -10.20272037010728, 'lng': 123.6002958298927}, 'southwest': {'lat': -10.20542002989272, 'lng': 123.5975961701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata Air OeLeu Sikumana,ChIJO9Ndh8-bViwRLEV36H2xNYY,4.0,ChIJO9Ndh8-bViwRLEV36H2xNYY,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117952288908895387259"">A Google User</a>'], 'photo_reference': 'AUGGfZlsS-4xmKcnWynsBmL8bU6iBFcwJcAOjzu17tYOnuFuc5G1sPSwxROqZjoVhgE5pEG2Gq1bKERJdU7AslQCOx0RM4kWClGRZPcelWwxDfbHkfe9GC4-o_e9s-HTxxY2NysbTmXH36TzbZIGR7Bx4vWJtAeQs2ojBbkQeUrImTjpBgBV', 'width': 2250}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJO9Ndh8-bViwRLEV36H2xNYY
