User_Id,Location,Age,Preferences
1,"Semarang, Jawa Tengah",20,"['travel_agency', 'establishment', 'bar', 'local_government_office']"
2,"Bekasi, Jawa Barat",21,['cafe']
3,"Cirebon, Jawa Barat",23,"['establishment', 'place_of_worship', 'museum', 'bar', 'restaurant']"
4,"Bekasi, Jawa Barat",21,"['amusement_park', 'cafe', 'local_government_office', 'museum']"
5,"Lampung, Sumatera Selatan",20,"['point_of_interest', 'food']"
6,"Jakarta Utara, DKI Jakarta",18,"['travel_agency', 'rv_park', 'bar', 'tourist_attraction', 'store']"
7,"Jakarta Selatan, DKI Jakarta",39,['amusement_park']
8,"Bandung, Jawa Barat",40,['restaurant']
9,"Surabaya, Jawa Timur",38,"['food', 'rv_park', 'store', 'establishment']"
10,"Bekasi, Jawa Barat",39,"['park', 'cafe']"
11,"Yogyakarta, DIY",20,"['park', 'store']"
12,"Bogor, Jawa Barat",37,"['park', 'store', 'amusement_park']"
13,"Depok, Jawa Barat",18,"['food', 'establishment', 'bar', 'amusement_park']"
14,"Jakarta Pusat, DKI Jakarta",26,"['store', 'travel_agency', 'tourist_attraction']"
15,"Jakarta Timur, DKI Jakarta",34,"['rv_park', 'point_of_interest', 'restaurant']"
16,"Bekasi, Jawa Barat",40,"['restaurant', 'lodging', 'travel_agency', 'rv_park']"
17,"Semarang, Jawa Tengah",31,"['establishment', 'bar']"
18,"Yogyakarta, DIY",39,['night_club']
19,"Cirebon, Jawa Barat",26,['travel_agency']
20,"Lampung, Sumatera Selatan",30,"['lodging', 'travel_agency', 'store', 'tourist_attraction', 'spa']"
21,"Semarang, Jawa Tengah",30,"['night_club', 'travel_agency']"
22,"Subang, Jawa Barat",25,['store']
23,"Jakarta Barat, DKI Jakarta",37,"['establishment', 'food']"
24,"Bekasi, Jawa Barat",36,"['cafe', 'point_of_interest']"
25,"Lampung, Sumatera Selatan",40,"['cafe', 'point_of_interest', 'place_of_worship']"
26,"Palembang, Sumatera Selatan",38,"['lodging', 'rv_park']"
27,"Bogor, Jawa Barat",22,"['cafe', 'bar', 'food', 'tourist_attraction', 'amusement_park']"
28,"Sragen, Jawa Tengah",38,"['travel_agency', 'store', 'lodging']"
29,"Ponorogo, Jawa Timur",34,['museum']
30,"Depok, Jawa Barat",30,['rv_park']
31,"Jakarta Selatan, DKI Jakarta",26,['amusement_park']
32,"Bekasi, Jawa Barat",34,"['lodging', 'store', 'tourist_attraction', 'point_of_interest', 'night_club']"
33,"Ponorogo, Jawa Timur",24,"['point_of_interest', 'tourist_attraction', 'rv_park', 'amusement_park', 'spa']"
34,"Sragen, Jawa Tengah",31,"['place_of_worship', 'restaurant', 'bar']"
35,"Klaten, Jawa Tengah",24,"['museum', 'bar', 'amusement_park', 'cafe']"
36,"Solo, Jawa Tengah",20,"['store', 'tourist_attraction']"
37,"Tanggerang, Banten",21,"['amusement_park', 'travel_agency']"
38,"Serang, Banten",26,"['local_government_office', 'food', 'bar']"
39,"Cilacap, Jawa Tengah",32,"['museum', 'place_of_worship']"
40,"Semarang, Jawa Tengah",27,"['cafe', 'point_of_interest', 'establishment', 'place_of_worship', 'night_club']"
41,"Yogyakarta, DIY",24,"['establishment', 'bar', 'night_club']"
42,"Kota Gede, DIY",37,"['local_government_office', 'spa']"
43,"Cirebon, Jawa Barat",33,"['tourist_attraction', 'park', 'night_club', 'food']"
44,"Subang, Jawa Barat",21,"['tourist_attraction', 'lodging', 'rv_park', 'spa', 'establishment']"
45,"Karawang, Jawa Barat",25,"['local_government_office', 'night_club', 'cafe', 'restaurant']"
46,"Purwakarat, Jawa Barat",38,['park']
47,"Jakarta Utara, DKI Jakarta",31,['store']
48,"Jakarta Selatan, DKI Jakarta",35,"['place_of_worship', 'lodging', 'rv_park', 'travel_agency']"
49,"Jakarta Pusat, DKI Jakarta",24,"['museum', 'establishment', 'lodging', 'food']"
50,"Bekasi, Jawa Barat",19,['place_of_worship']
51,"Bogor, Jawa Barat",29,"['food', 'cafe', 'bar', 'restaurant']"
52,"Karawang, Jawa Barat",18,"['point_of_interest', 'restaurant', 'travel_agency', 'food', 'spa']"
53,"Subang, Jawa Barat",28,['store']
54,"Serang, Banten",31,"['spa', 'bar', 'tourist_attraction', 'restaurant']"
55,"Tanggerang, Banten",19,"['bar', 'establishment']"
56,"Kota Gede, DIY",18,"['cafe', 'spa', 'establishment']"
57,"Yogyakarta, DIY",21,"['store', 'tourist_attraction', 'amusement_park']"
58,"Lampung, Sumatera Selatan",21,"['store', 'establishment', 'tourist_attraction', 'restaurant']"
59,"Ponorogo, Jawa Timur",26,"['night_club', 'park', 'lodging', 'local_government_office', 'tourist_attraction']"
60,"Surabaya, Jawa Timur",25,['point_of_interest']
61,"Nganjuk, Jawa Timur",23,"['cafe', 'point_of_interest']"
62,"Madura, Jawa Timur",36,"['local_government_office', 'park']"
63,"Semarang, Jawa Tengah",35,['place_of_worship']
64,"Bandung, Jawa Barat",38,"['restaurant', 'rv_park', 'place_of_worship']"
65,"Yogyakarta, DIY",22,"['point_of_interest', 'bar', 'store', 'restaurant', 'amusement_park']"
66,"Bekasi, Jawa Barat",33,"['travel_agency', 'rv_park']"
67,"Surabaya, Jawa Timur",25,"['local_government_office', 'store', 'establishment', 'food']"
68,"Kota Gede, DIY",37,"['lodging', 'store']"
69,"Bekasi, Jawa Barat",24,['travel_agency']
70,"Bogor, Jawa Barat",21,['food']
71,"Depok, Jawa Barat",39,"['store', 'amusement_park']"
72,"Tanggerang, Banten",19,"['lodging', 'museum']"
73,"Serang, Banten",29,"['local_government_office', 'restaurant', 'establishment', 'store']"
74,"Semarang, Jawa Tengah",30,"['rv_park', 'spa', 'establishment', 'food', 'night_club']"
75,"Bekasi, Jawa Barat",19,['night_club']
76,"Cirebon, Jawa Barat",19,"['store', 'point_of_interest', 'cafe']"
77,"Bekasi, Jawa Barat",34,"['establishment', 'tourist_attraction', 'travel_agency']"
78,"Lampung, Sumatera Selatan",22,"['place_of_worship', 'restaurant']"
79,"Jakarta Utara, DKI Jakarta",31,"['bar', 'rv_park', 'local_government_office', 'lodging', 'spa']"
80,"Jakarta Selatan, DKI Jakarta",32,['point_of_interest']
81,"Bandung, Jawa Barat",29,"['store', 'bar', 'local_government_office', 'spa']"
82,"Surabaya, Jawa Timur",24,"['establishment', 'restaurant']"
83,"Bekasi, Jawa Barat",32,['museum']
84,"Yogyakarta, DIY",35,"['amusement_park', 'tourist_attraction']"
85,"Bogor, Jawa Barat",31,"['park', 'tourist_attraction', 'local_government_office']"
86,"Depok, Jawa Barat",32,"['store', 'travel_agency', 'night_club']"
87,"Jakarta Pusat, DKI Jakarta",30,"['cafe', 'travel_agency', 'tourist_attraction', 'bar']"
88,"Jakarta Timur, DKI Jakarta",27,"['establishment', 'rv_park', 'travel_agency']"
89,"Bekasi, Jawa Barat",35,"['establishment', 'store', 'travel_agency', 'tourist_attraction', 'museum']"
90,"Semarang, Jawa Tengah",29,"['place_of_worship', 'point_of_interest', 'amusement_park']"
91,"Yogyakarta, DIY",32,"['rv_park', 'restaurant', 'travel_agency', 'amusement_park', 'food']"
92,"Cirebon, Jawa Barat",39,"['restaurant', 'local_government_office']"
93,"Lampung, Sumatera Selatan",18,"['food', 'establishment', 'point_of_interest', 'museum']"
94,"Semarang, Jawa Tengah",34,"['museum', 'place_of_worship', 'rv_park', 'amusement_park', 'spa']"
95,"Subang, Jawa Barat",27,"['point_of_interest', 'store']"
96,"Jakarta Barat, DKI Jakarta",19,"['museum', 'park', 'local_government_office']"
97,"Bekasi, Jawa Barat",38,"['amusement_park', 'place_of_worship', 'establishment']"
98,"Lampung, Sumatera Selatan",28,"['spa', 'point_of_interest', 'amusement_park', 'rv_park']"
99,"Palembang, Sumatera Selatan",33,"['local_government_office', 'spa']"
100,"Bogor, Jawa Barat",28,"['restaurant', 'establishment', 'place_of_worship', 'point_of_interest', 'rv_park']"
101,"Sragen, Jawa Tengah",39,"['museum', 'place_of_worship']"
102,"Ponorogo, Jawa Timur",21,"['night_club', 'museum', 'rv_park', 'spa']"
103,"Depok, Jawa Barat",30,['food']
104,"Jakarta Selatan, DKI Jakarta",27,"['amusement_park', 'establishment', 'restaurant']"
105,"Bekasi, Jawa Barat",37,"['place_of_worship', 'store', 'restaurant', 'point_of_interest']"
106,"Ponorogo, Jawa Timur",32,['amusement_park']
107,"Sragen, Jawa Tengah",24,"['restaurant', 'travel_agency', 'tourist_attraction', 'point_of_interest']"
108,"Klaten, Jawa Tengah",33,"['rv_park', 'travel_agency', 'food', 'amusement_park']"
109,"Solo, Jawa Tengah",18,"['establishment', 'amusement_park', 'night_club', 'food']"
110,"Tanggerang, Banten",39,"['tourist_attraction', 'park', 'restaurant']"
111,"Serang, Banten",38,"['point_of_interest', 'tourist_attraction', 'lodging']"
112,"Cilacap, Jawa Tengah",18,"['rv_park', 'park']"
113,"Semarang, Jawa Tengah",38,"['night_club', 'establishment', 'travel_agency', 'place_of_worship']"
114,"Yogyakarta, DIY",39,['spa']
115,"Kota Gede, DIY",26,['museum']
116,"Cirebon, Jawa Barat",23,['cafe']
117,"Subang, Jawa Barat",30,['cafe']
118,"Karawang, Jawa Barat",32,"['travel_agency', 'museum', 'establishment']"
119,"Purwakarat, Jawa Barat",25,"['amusement_park', 'place_of_worship', 'lodging', 'restaurant']"
120,"Jakarta Utara, DKI Jakarta",32,"['point_of_interest', 'restaurant', 'cafe', 'spa']"
121,"Jakarta Selatan, DKI Jakarta",35,"['travel_agency', 'amusement_park', 'food']"
122,"Jakarta Pusat, DKI Jakarta",24,"['restaurant', 'food', 'local_government_office']"
123,"Bekasi, Jawa Barat",32,"['point_of_interest', 'food']"
124,"Bogor, Jawa Barat",22,['place_of_worship']
125,"Karawang, Jawa Barat",24,"['travel_agency', 'park', 'lodging']"
126,"Subang, Jawa Barat",32,"['night_club', 'museum', 'cafe', 'spa', 'amusement_park']"
127,"Serang, Banten",38,"['travel_agency', 'establishment']"
128,"Tanggerang, Banten",28,"['lodging', 'night_club']"
129,"Kota Gede, DIY",29,"['cafe', 'amusement_park', 'restaurant', 'museum']"
130,"Yogyakarta, DIY",27,['museum']
131,"Lampung, Sumatera Selatan",21,['tourist_attraction']
132,"Ponorogo, Jawa Timur",31,"['museum', 'rv_park', 'store', 'spa', 'point_of_interest']"
133,"Surabaya, Jawa Timur",29,"['travel_agency', 'tourist_attraction']"
134,"Nganjuk, Jawa Timur",27,"['cafe', 'rv_park', 'tourist_attraction', 'night_club']"
135,"Madura, Jawa Timur",22,"['cafe', 'store', 'bar', 'place_of_worship']"
136,"Semarang, Jawa Tengah",35,"['park', 'store', 'lodging', 'restaurant', 'cafe']"
137,"Bandung, Jawa Barat",28,['amusement_park']
138,"Yogyakarta, DIY",25,"['tourist_attraction', 'food', 'point_of_interest']"
139,"Bekasi, Jawa Barat",33,"['establishment', 'restaurant', 'point_of_interest', 'park']"
140,"Surabaya, Jawa Timur",25,"['museum', 'lodging']"
141,"Kota Gede, DIY",34,['place_of_worship']
142,"Bekasi, Jawa Barat",29,"['place_of_worship', 'night_club']"
143,"Bogor, Jawa Barat",25,"['place_of_worship', 'rv_park', 'bar']"
144,"Depok, Jawa Barat",18,['night_club']
145,"Tanggerang, Banten",37,['cafe']
146,"Serang, Banten",38,"['park', 'establishment', 'spa']"
147,"Semarang, Jawa Tengah",18,"['establishment', 'food', 'local_government_office', 'store', 'amusement_park']"
148,"Bekasi, Jawa Barat",33,"['place_of_worship', 'local_government_office', 'establishment']"
149,"Cirebon, Jawa Barat",30,"['establishment', 'food', 'rv_park']"
150,"Bekasi, Jawa Barat",40,['amusement_park']
151,"Lampung, Sumatera Selatan",36,"['place_of_worship', 'bar', 'lodging', 'travel_agency']"
152,"Jakarta Utara, DKI Jakarta",25,"['amusement_park', 'local_government_office', 'establishment']"
153,"Jakarta Selatan, DKI Jakarta",39,['night_club']
154,"Bandung, Jawa Barat",31,"['park', 'amusement_park', 'cafe', 'spa']"
155,"Surabaya, Jawa Timur",37,"['food', 'museum']"
156,"Bekasi, Jawa Barat",31,"['lodging', 'rv_park']"
157,"Yogyakarta, DIY",28,['amusement_park']
158,"Bogor, Jawa Barat",23,"['tourist_attraction', 'cafe', 'store', 'restaurant', 'place_of_worship']"
159,"Depok, Jawa Barat",20,"['point_of_interest', 'place_of_worship']"
160,"Jakarta Pusat, DKI Jakarta",36,"['lodging', 'amusement_park', 'food', 'travel_agency']"
161,"Jakarta Timur, DKI Jakarta",33,['rv_park']
162,"Bekasi, Jawa Barat",25,['rv_park']
163,"Semarang, Jawa Tengah",40,"['amusement_park', 'local_government_office']"
164,"Yogyakarta, DIY",19,"['museum', 'store']"
165,"Cirebon, Jawa Barat",23,['food']
166,"Lampung, Sumatera Selatan",26,"['establishment', 'food']"
167,"Semarang, Jawa Tengah",19,"['travel_agency', 'park', 'point_of_interest', 'night_club']"
168,"Subang, Jawa Barat",38,['store']
169,"Jakarta Barat, DKI Jakarta",18,['restaurant']
170,"Bekasi, Jawa Barat",19,"['point_of_interest', 'store', 'tourist_attraction']"
171,"Lampung, Sumatera Selatan",33,['spa']
172,"Palembang, Sumatera Selatan",34,"['amusement_park', 'spa', 'park']"
173,"Bogor, Jawa Barat",29,"['food', 'park', 'place_of_worship']"
174,"Sragen, Jawa Tengah",32,"['restaurant', 'travel_agency', 'food']"
175,"Ponorogo, Jawa Timur",36,"['museum', 'establishment']"
176,"Depok, Jawa Barat",31,"['spa', 'park', 'place_of_worship']"
177,"Jakarta Selatan, DKI Jakarta",35,"['restaurant', 'store']"
178,"Bekasi, Jawa Barat",33,['restaurant']
179,"Ponorogo, Jawa Timur",27,"['local_government_office', 'cafe']"
180,"Sragen, Jawa Tengah",24,"['museum', 'spa', 'point_of_interest', 'night_club']"
181,"Klaten, Jawa Tengah",29,"['restaurant', 'local_government_office', 'food', 'establishment']"
182,"Solo, Jawa Tengah",34,"['restaurant', 'place_of_worship', 'travel_agency', 'park']"
183,"Tanggerang, Banten",37,"['store', 'point_of_interest']"
184,"Serang, Banten",30,"['amusement_park', 'establishment']"
185,"Cilacap, Jawa Tengah",33,"['point_of_interest', 'restaurant', 'local_government_office', 'amusement_park']"
186,"Semarang, Jawa Tengah",28,"['point_of_interest', 'museum']"
187,"Yogyakarta, DIY",25,"['museum', 'spa']"
188,"Kota Gede, DIY",37,"['local_government_office', 'place_of_worship', 'bar', 'food']"
