business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,permanently_closed,photos,plus_code,url
OPERATIONAL,"9W9V+J2V, Selatan, Nginamanu, Kec. Riung Bar., Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.630890299999999, 'lng': 120.9425586}, 'viewport': {'northeast': {'lat': -8.629540470107276, 'lng': 120.9439084298927}, 'southwest': {'lat': -8.63224012989272, 'lng': 120.9412087701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Wolomeze,ChIJ3x3UA279si0REEjXEEwQVQM,0,ChIJ3x3UA279si0REEjXEEwQVQM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3x3UA279si0REEjXEEwQVQM
OPERATIONAL,"83VH+2PX desa KAI, Nginamanu, Wolomeze, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.657381899999999, 'lng': 121.0793705}, 'viewport': {'northeast': {'lat': -8.656493020107277, 'lng': 121.08020355}, 'southwest': {'lat': -8.65919267989272, 'lng': 121.07687135}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NTT .,ChIJbZ75dgDlsi0RhmLnrE91QCA,0,ChIJbZ75dgDlsi0RhmLnrE91QCA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJbZ75dgDlsi0RhmLnrE91QCA
OPERATIONAL,"8XM6+JP6, Nginamanu, Wolomeze, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6659621, 'lng': 120.9617713}, 'viewport': {'northeast': {'lat': -8.664602970107278, 'lng': 120.9631264298928}, 'southwest': {'lat': -8.667302629892722, 'lng': 120.9604267701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Manu meze,ChIJYTt0ZQD9si0RDVKUM5jy4wo,0,ChIJYTt0ZQD9si0RDVKUM5jy4wo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJYTt0ZQD9si0RDVKUM5jy4wo
OPERATIONAL,"82P8+JX, Nginamanu, Wolomeze, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6634647, 'lng': 121.0173906}, 'viewport': {'northeast': {'lat': -8.66198367010728, 'lng': 121.0186863798927}, 'southwest': {'lat': -8.664683329892723, 'lng': 121.0159867201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Persawahan Malato'e,ChIJRYeQCgDlsi0RfKXQNsmzviI,0,ChIJRYeQCgDlsi0RfKXQNsmzviI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJRYeQCgDlsi0RfKXQNsmzviI
OPERATIONAL,"83VH+2PX, Nginamanu, Wolomeze, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.657381899999999, 'lng': 121.0793705}, 'viewport': {'northeast': {'lat': -8.656493020107277, 'lng': 121.08020355}, 'southwest': {'lat': -8.65919267989272, 'lng': 121.07687135}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ridwan haramau.. Monu romba rara,ChIJZd3iFADlsi0RwghHQn4GzbE,5,ChIJZd3iFADlsi0RwghHQn4GzbE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJZd3iFADlsi0RwghHQn4GzbE
CLOSED_TEMPORARILY,"83VH+2PX, Nginamanu, Wolomeze, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.657381899999999, 'lng': 121.0793705}, 'viewport': {'northeast': {'lat': -8.656493020107277, 'lng': 121.08020355}, 'southwest': {'lat': -8.65919267989272, 'lng': 121.07687135}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wolowaru,ChIJte_zWaXlsi0R6CaI8pmcyRc,0,ChIJte_zWaXlsi0R6CaI8pmcyRc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJte_zWaXlsi0R6CaI8pmcyRc
CLOSED_TEMPORARILY,"93PJ+G7, Denatana, Wolomeze, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6136994, 'lng': 121.0807404}, 'viewport': {'northeast': {'lat': -8.612535070107276, 'lng': 121.0824015}, 'southwest': {'lat': -8.61523472989272, 'lng': 121.0757571}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Persawahan Maladoro,ChIJn5XXOUPxsi0RFw2VVa9F0_A,5,ChIJn5XXOUPxsi0RFw2VVa9F0_A,"['tourist_attraction', 'point_of_interest', 'establishment']",2,True,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106044546460537245738"">A Google User</a>'], 'photo_reference': 'AUGGfZnKdqcKnOnAoH1dweSJUndqA_2nmt9LEN-qfD8HgbbOaUmiEwfrPcwruGXkvMbZMw3h65wiJYDtgPBlr1YLOK6YsP4j9uRuUG5NgwaHJ-bV16EkoeeAcyAMywQ1dsOVzWmb2vEYkVzGqefMJzbfyNxDDRM2uGYJo1DR3TFbvCpfmdE', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJn5XXOUPxsi0RFw2VVa9F0_A
CLOSED_TEMPORARILY,"932H+PV, Denatana, Wolomeze, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.648147699999999, 'lng': 121.0796577}, 'viewport': {'northeast': {'lat': -8.646416499999997, 'lng': 121.08069565}, 'southwest': {'lat': -8.6533413, 'lng': 121.07654385}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Persawahan Aeja,ChIJLQzyB1Lxsi0RkZUhIOHvxUE,0,ChIJLQzyB1Lxsi0RkZUhIOHvxUE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJLQzyB1Lxsi0RkZUhIOHvxUE
OPERATIONAL,"83VH+2PX, Pulau Flores, Nginamanu, Kec. Wolomeze, Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.657381899999999, 'lng': 121.0793705}, 'viewport': {'northeast': {'lat': -8.656493020107277, 'lng': 121.08020355}, 'southwest': {'lat': -8.65919267989272, 'lng': 121.07687135}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Flores Island,ChIJhc3pjajlsi0ReYACU2I8Z_k,5,ChIJhc3pjajlsi0ReYACU2I8Z_k,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104911161141919288962"">yigalzures</a>'], 'photo_reference': 'AUGGfZk0_W5iGPSXINiXEfRJ7skxx9co9dZxF6VSzZva5UKG_XS2T-cIWaGlZAywMYEP-8LC7rJQAkyIvRj6q5xK7JIyl1qdjWhwI2JPoWp0Ul53nP67qDFuB4vUWDdIz8UT5qVx0hHCH2BJLMeCKAFV5wljaVUvlNfG9X0StZl08jr4A3Qa', 'width': 2992}]",,https://www.google.com/maps/place/?q=place_id:ChIJhc3pjajlsi0ReYACU2I8Z_k
CLOSED_TEMPORARILY,"83VH+2PX, Nginamanu, Wolomeze, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.657381899999999, 'lng': 121.0793705}, 'viewport': {'northeast': {'lat': -8.656493020107277, 'lng': 121.08020355}, 'southwest': {'lat': -8.65919267989272, 'lng': 121.07687135}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lelokasen,ChIJ5VxNKlXlsi0RNptvbo88ae8,0,ChIJ5VxNKlXlsi0RNptvbo88ae8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ5VxNKlXlsi0RNptvbo88ae8
