business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,plus_code,url
OPERATIONAL,"7X4Q+Q3J, Inelika, North Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7430424, 'lng': 120.9876321}, 'viewport': {'northeast': {'lat': -8.741423970107277, 'lng': 120.99222045}, 'southwest': {'lat': -8.744123629892721, 'lng': 120.98610265}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ngada,ChIJcWW2NQDhsi0RWwZ4yByPkSw,0.0,ChIJcWW2NQDhsi0RWwZ4yByPkSw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJcWW2NQDhsi0RWwZ4yByPkSw
OPERATIONAL,"62G5+FVW, Faobata, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.773766799999999, 'lng': 121.0097148}, 'viewport': {'northeast': {'lat': -8.772359920107277, 'lng': 121.0113455798927}, 'southwest': {'lat': -8.775059579892721, 'lng': 121.0086459201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Ogi,ChIJMza6zNHmsi0RXRhYho-IUyQ,4.3,ChIJMza6zNHmsi0RXRhYho-IUyQ,"['tourist_attraction', 'point_of_interest', 'establishment']",238,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100672633948220602159"">A Google User</a>'], 'photo_reference': 'AUGGfZkyTujZEVY_zrccaPyq2OVJWpJmllbUZy5QDwts43djVZLItyABhKDgzaxOWnoSq8-xkEbJZWSOmhUjppZcz113xeyq8gLiuuisRH77mkh7z60Q1lEkWy_ofDcTkGnxpf590UuFSHJGA4yCHAyFdsID81X6yvkYYC8smE02hXdiIy63', 'width': 1600}]",,,https://www.google.com/maps/place/?q=place_id:ChIJMza6zNHmsi0RXRhYho-IUyQ
OPERATIONAL,"7X5G+PR7, Ngoranale, Inelika, Kec. Bajawa Utara, Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.740716899999999, 'lng': 120.9770354}, 'viewport': {'northeast': {'lat': -8.739367070107276, 'lng': 120.9783852298927}, 'southwest': {'lat': -8.74206672989272, 'lng': 120.9756855701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wawomudha Lake,ChIJGyzMxfzjsi0Ro54dOkZL-0Y,4.3,ChIJGyzMxfzjsi0Ro54dOkZL-0Y,"['tourist_attraction', 'point_of_interest', 'establishment']",23,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113261660264829706135"">Rezki Windarta</a>'], 'photo_reference': 'AUGGfZnmrcVUpxl4F24Xan3_JjUqQbPwcrxdt_Wb6hxo09tYSrT6pkDKpO5F009tQdkSBmQaJf-Bco3R3rgsd4nwLmXZV8M7Zno4JexsAygbhXKnQryWaqyfZ0gfQ-g6wh70uRXLy5Q0LLwZQMmpdqXaNXhMmVxg_i8BwLGvdXkgHWNVjbOg', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJGyzMxfzjsi0Ro54dOkZL-0Y
OPERATIONAL,"9V2V+5X, Uluwae, North Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6495912, 'lng': 120.8949149}, 'viewport': {'northeast': {'lat': -8.648241370107279, 'lng': 120.8962647298927}, 'southwest': {'lat': -8.650941029892723, 'lng': 120.8935650701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Bpk Darius Mbolang,ChIJ22G1RQADsy0RBkbcXp5KeoU,0.0,ChIJ22G1RQADsy0RBkbcXp5KeoU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ22G1RQADsy0RBkbcXp5KeoU
OPERATIONAL,"62PM+C3G, Faobata, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7639255, 'lng': 121.0327124}, 'viewport': {'northeast': {'lat': -8.762751470107276, 'lng': 121.0337143798927}, 'southwest': {'lat': -8.76545112989272, 'lng': 121.0310147201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Waeseso,ChIJs_pgEPbmsi0RAsad1dfIlz0,3.0,ChIJs_pgEPbmsi0RAsad1dfIlz0,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102953515178681373900"">A Google User</a>'], 'photo_reference': 'AUGGfZmzpLEf3i2J58nqmcyIx4RgsldzYQ_oxSvvD8-qsggpCfuK-G5VNhc4uCN3NesQgVVhVy0DNqPd5rK0mw9lncWlCtse1AqpCf6GxpFDpucN2p_Hx_eIuiZJ4NOYaezn0Iw1DvwYfD18Ysk6EnrgPysxhadJc-rSl1RyosmmoB3X8XLk', 'width': 3120}]",,,https://www.google.com/maps/place/?q=place_id:ChIJs_pgEPbmsi0RAsad1dfIlz0
OPERATIONAL,"62H8+CR4, Faobata, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.771486399999999, 'lng': 121.0170848}, 'viewport': {'northeast': {'lat': -8.77012887010728, 'lng': 121.0184358798927}, 'southwest': {'lat': -8.772828529892724, 'lng': 121.0157362201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,OGI,ChIJw2lmLS3nsi0RYdsS-Sr7oDM,4.0,ChIJw2lmLS3nsi0RYdsS-Sr7oDM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106836564573390655805"">Jan Siderius</a>'], 'photo_reference': 'AUGGfZmnZyGRp7YihIvx3biMJiXl2mXOQBLafoPXCNNNEAN0TOYffEPHs-DldSkekwe2_xPbOM8CNpkv5Unq9X1r2Pw2VY2Aq16VpApMedmR3dF4ZIKdiqs_vZ3PqT8sagxlrQ8uktXqE3Uo7T0oIztvEmIAS-bpEMsw1oX4qALcYBy5JpnC', 'width': 3000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJw2lmLS3nsi0RYdsS-Sr7oDM
OPERATIONAL,"62H9+FVR, Faobata, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.771270399999999, 'lng': 121.0196366}, 'viewport': {'northeast': {'lat': -8.769832420107278, 'lng': 121.0209762298928}, 'southwest': {'lat': -8.772532079892722, 'lng': 121.0182765701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Desa Pape kec. Bajawa kabupaten Ngada,ChIJf3kriKznsi0Rht8TK27mbqA,4.7,ChIJf3kriKznsi0Rht8TK27mbqA,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105068973380272925490"">A Google User</a>'], 'photo_reference': 'AUGGfZnEhZuKmGyOFzr_qSu18We6Rkl-xByU9MqZaFtvdj5xJT3EnQaEaO0h5cOeJ_rmhgbFd5jPC7em1-CH7RBlqFtvJQSunFZS-Vod8EWHMT7FMyQkScB8jzl4C5Yv31RA71CkiXL-tbLnCZemEkPlnUgRNnwCQY6oyr3WBgrK4bkkYZSr', 'width': 1920}]",,,https://www.google.com/maps/place/?q=place_id:ChIJf3kriKznsi0Rht8TK27mbqA
OPERATIONAL,"6X7G+M69 Sei Bangek, Bajawa, Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.7858305, 'lng': 120.975606}, 'viewport': {'northeast': {'lat': -8.78447087010728, 'lng': 120.9769855798927}, 'southwest': {'lat': -8.787170529892723, 'lng': 120.9742859201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Budidaya Galo2,ChIJKUecdgXhsi0RZ-iyaq6CBfs,0.0,ChIJKUecdgXhsi0RZ-iyaq6CBfs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJKUecdgXhsi0RZ-iyaq6CBfs
OPERATIONAL,"6W7M+5WX, Beiwali, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7870124, 'lng': 120.9348748}, 'viewport': {'northeast': {'lat': -8.785673420107278, 'lng': 120.9367996798927}, 'southwest': {'lat': -8.788373079892722, 'lng': 120.9341000201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sunset Sunrise Nya wolo Ata Ga e Beiposo,ChIJu7kyePjhsi0RTmqWTUwhwcU,5.0,ChIJu7kyePjhsi0RTmqWTUwhwcU,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108270946372130477453"">garren basan</a>'], 'photo_reference': 'AUGGfZmajL83_R3AtXSsJFC2KUKUttNUsuDEV7nURwAqQQ7hBJZePxgg_nn081PJ5_W741txZVTBd3SF4pcRHZApNtxRXdYSrA-e3moXxHypVYxvXgibIeh0QPF8B2d6FtjGvZhJDusSd7luoWlFFkVr4vWQGFxTkKGRAEQgelZkCbXtvZqB', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJu7kyePjhsi0RTmqWTUwhwcU
OPERATIONAL,"7352+PR, Tarawaja, Soa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.740739099999999, 'lng': 121.0520736}, 'viewport': {'northeast': {'lat': -8.739389070107276, 'lng': 121.0534591798927}, 'southwest': {'lat': -8.74208872989272, 'lng': 121.0507595201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Radawea,ChIJFd-EzZznsi0R7OfjJyPIpaA,5.0,ChIJFd-EzZznsi0R7OfjJyPIpaA,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105460300140619912044"">Peter Lalu Podhi</a>'], 'photo_reference': 'AUGGfZk0w7wDTSl6cVr3ybDOxFWqVgBU2IqCf72zLhKe1MGm_XZoCa2CalWBkHMqsRHRv_XT1FGE7A7d2y6C4lrrEtUIMjuIb6-RfQ5cNDcyLa7-uKQZ7ZQSek0H8qIFp0XWuWwd7uX5i0notDa58uYDIquzXM9NyBYhKJUg5-4cFOXPILl0', 'width': 1836}]",,,https://www.google.com/maps/place/?q=place_id:ChIJFd-EzZznsi0R7OfjJyPIpaA
