business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,plus_code,price_level,url
OPERATIONAL,"62G5+FVW, Faobata, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.773766799999999, 'lng': 121.0097148}, 'viewport': {'northeast': {'lat': -8.772359920107277, 'lng': 121.0113455798927}, 'southwest': {'lat': -8.775059579892721, 'lng': 121.0086459201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Ogi,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100672633948220602159"">A Google User</a>'], 'photo_reference': 'AUGGfZkM_bB_qO7SdqrtbCFIIxvZrLxB93vPRWHsiDr8ybMgIxF2JrPxF7QFh6So00eA5DL7EAbX7LbiR-niJwVp79ImP0yYsDX_-hTq3Ot2HbU1mUbZzlTRq7eE2QsjZhLFM6opqw-AsNeEJgG9J-k6-WEm5Nn8RNZ92HhgpYKfexSGNb_I', 'width': 1600}]",ChIJMza6zNHmsi0RXRhYho-IUyQ,4.3,ChIJMza6zNHmsi0RXRhYho-IUyQ,"['tourist_attraction', 'point_of_interest', 'establishment']",238,,,,,https://www.google.com/maps/place/?q=place_id:ChIJMza6zNHmsi0RXRhYho-IUyQ
OPERATIONAL,"6X72+V5F, Wawowae, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7855285, 'lng': 120.9505506}, 'viewport': {'northeast': {'lat': -8.78412827010728, 'lng': 120.9518692798927}, 'southwest': {'lat': -8.786827929892723, 'lng': 120.9491696201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,watu ata,"[{'height': 589, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103065250160742652736"">A Google User</a>'], 'photo_reference': 'AUGGfZk5bhxmnmnt0wAQMU5zRvM944Zxs_wahKa5umK9_a37g13JMQfj_62eKT6IfSrWrF_N_xrpfhfLSbuy8mDdeqtH9HIOMkNeDtND_BENHY0wMWsCAcbqQPKZb9n-yDtiUXIKKVax5XEvKjFqAuWwApwfbYDdI7hVTPDzUjtIvcvH4L2V', 'width': 1280}]",ChIJXSpyYxzhsi0RlTybhBpx_ak,5.0,ChIJXSpyYxzhsi0RlTybhBpx_ak,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,,https://www.google.com/maps/place/?q=place_id:ChIJXSpyYxzhsi0RlTybhBpx_ak
CLOSED_TEMPORARILY,"6X56+369, Malapedho, Bajawa, Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.792325, 'lng': 120.960602}, 'viewport': {'northeast': {'lat': -8.790482270107276, 'lng': 120.9665309000001}, 'southwest': {'lat': -8.79318192989272, 'lng': 120.9586257}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Maghilewa Traditional Village,"[{'height': 2941, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117479269610733792917"">Arsen Crescendo</a>'], 'photo_reference': 'AUGGfZlVV7LHohKItwkg1V5771H7AH1shd8zzztdPlEqWSBug148go5p4XOo2vLxgWnqv18heswheHgCOaY5MvHmb_pAPw_5wJrHJg7KCKAEkjDdDWJq_EMCvTPgyRgbTC_6qGRxaJt80569nlFeueGRjumGEidAiZ-o2fahtNjYJQWjoLiv', 'width': 3865}]",ChIJuzyZIYLhsi0RcXh7ob2iQNM,5.0,ChIJuzyZIYLhsi0RcXh7ob2iQNM,"['tourist_attraction', 'point_of_interest', 'establishment']",4,True,,,,https://www.google.com/maps/place/?q=place_id:ChIJuzyZIYLhsi0RcXh7ob2iQNM
OPERATIONAL,"6X7G+M69 Sei Bangek, Bajawa, Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.7858305, 'lng': 120.975606}, 'viewport': {'northeast': {'lat': -8.78447087010728, 'lng': 120.9769855798927}, 'southwest': {'lat': -8.787170529892723, 'lng': 120.9742859201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Budidaya Galo2,,ChIJKUecdgXhsi0RZ-iyaq6CBfs,0.0,ChIJKUecdgXhsi0RZ-iyaq6CBfs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJKUecdgXhsi0RZ-iyaq6CBfs
OPERATIONAL,"5X7J+VGF, Unnamed Road, Beja, Bajawa, Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.8353214, 'lng': 120.9813048}, 'viewport': {'northeast': {'lat': -8.833971570107279, 'lng': 120.9826546298927}, 'southwest': {'lat': -8.836671229892723, 'lng': 120.9799549701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Flores above the clouds,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110313213243457163871"">A Google User</a>'], 'photo_reference': 'AUGGfZktc-HrWWvSpTiQi-yz8ZbpvVS9nNv36lGU9Vl8UHzZnpoaAg51nJPZddbkNzFrqysXCpiU4zy3BILcGFLLEp-Pm8wrdNkW-cbmnyLxmZFu6OPkLtRuw4rBRH2WX-4IgtI7QcjXGCliW16wgiB-Jd6Wdl6d-kgQODxtyx5U1GLpOoTZ', 'width': 960}]",ChIJhduLbazfsi0RH68mOLJ4SD0,4.7,ChIJhduLbazfsi0RH68mOLJ4SD0,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,,https://www.google.com/maps/place/?q=place_id:ChIJhduLbazfsi0RH68mOLJ4SD0
OPERATIONAL,"5XH5+9VF, Borani, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8215643, 'lng': 120.9596644}, 'viewport': {'northeast': {'lat': -8.820343999999997, 'lng': 120.9609378298927}, 'southwest': {'lat': -8.825225200000002, 'lng': 120.9582381701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata Air Tudha Radja,"[{'height': 2880, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106525022602409388306"">A Google User</a>'], 'photo_reference': 'AUGGfZlOpsjUPzaW0kXZh-GfTmCj2boHYXvoFR1LXk-GEDhHqN7Uy_HBB5hpLUv5Qi_ZaB605rkJsv3m88n-EUKeEToQG0oqdA7LHyVygNu2oee0dElrxj1RR_IdkzQ9VynkGJYJrwr0wwZBKJR53R0YBCp1ARP80b3SKjCoJtm7oY0kcvtN', 'width': 2160}]",ChIJlyQXBcPhsi0RJy5YWf7fxmE,3.6,ChIJlyQXBcPhsi0RJy5YWf7fxmE,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlyQXBcPhsi0RJy5YWf7fxmE
OPERATIONAL,"7X5G+PR7, Ngoranale, Inelika, Kec. Bajawa Utara, Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.740716899999999, 'lng': 120.9770354}, 'viewport': {'northeast': {'lat': -8.739367070107276, 'lng': 120.9783852298927}, 'southwest': {'lat': -8.74206672989272, 'lng': 120.9756855701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wawomudha Lake,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113261660264829706135"">Rezki Windarta</a>'], 'photo_reference': 'AUGGfZmtoOLlp5afWCCy8yiC7y4m08xnAmJcY3_DPanjNc8g3AZ__8jDMtK_Hl3LiqEqyBxEhs2G2wema15bjPI05Kecfg03tEHYdCqMLdZlvyC5dWWAE5bDFSvOJ4krAPqcoQr0OvKqeeeFmfKCbtvzyQYFUWuUocVh53dl3jAPn7ckhSCz', 'width': 4160}]",ChIJGyzMxfzjsi0Ro54dOkZL-0Y,4.3,ChIJGyzMxfzjsi0Ro54dOkZL-0Y,"['tourist_attraction', 'point_of_interest', 'establishment']",23,,,,,https://www.google.com/maps/place/?q=place_id:ChIJGyzMxfzjsi0Ro54dOkZL-0Y
OPERATIONAL,"6W7M+5WX, Beiwali, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7870124, 'lng': 120.9348748}, 'viewport': {'northeast': {'lat': -8.785673420107278, 'lng': 120.9367996798927}, 'southwest': {'lat': -8.788373079892722, 'lng': 120.9341000201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sunset Sunrise Nya wolo Ata Ga e Beiposo,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108270946372130477453"">garren basan</a>'], 'photo_reference': 'AUGGfZmpIN8TpYYPJJScy_37KtfNYy_o5e2kZnJjUXEkiHWV7PChzmSANeqC7B8BgrPIJdtTTNPUOIJsiqeIfLvjigNM0dFPFKRQyQlqoNN62IKC2izWBYMxRDi8oZAcamQqHh1pedU0Jtnx1MT3aIhsW2bnOgecVIxITpdf_QUHxsWN3aY6', 'width': 4000}]",ChIJu7kyePjhsi0RTmqWTUwhwcU,5.0,ChIJu7kyePjhsi0RTmqWTUwhwcU,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,,https://www.google.com/maps/place/?q=place_id:ChIJu7kyePjhsi0RTmqWTUwhwcU
OPERATIONAL,"6WGV+HR9 @gamail.com, Beiwali, Bajawa, Kabupaten Ngada, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.7735753, 'lng': 120.9446058}, 'viewport': {'northeast': {'lat': -8.772225470107276, 'lng': 120.9459556298927}, 'southwest': {'lat': -8.77492512989272, 'lng': 120.9432559701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ratusemesta alam Beiwali,,ChIJ71q1SQDhsi0RVdTyBoECvdQ,0.0,ChIJ71q1SQDhsi0RVdTyBoECvdQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ71q1SQDhsi0RVdTyBoECvdQ
OPERATIONAL,"5XF6+WH7, Bomari, Bajawa, Ngada Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.8252057, 'lng': 120.9614367}, 'viewport': {'northeast': {'lat': -8.823855870107277, 'lng': 120.9627865298927}, 'southwest': {'lat': -8.82655552989272, 'lng': 120.9600868701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BOMUZI COOL,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111110680305520569099"">A Google User</a>'], 'photo_reference': 'AUGGfZlrfasuGgKR1URU3FR3AgRwUra0lYKZrUOMDUGMEacTM5hE0m0wt04Y1pYN3P0lcHaJZAjsWGY3L8IJls-BQX3KsUfLTyiOl6B0BImXWiyVLqg4VGxgv68cQnQ7cONJi74QAHZGiBHm0xP8oTwC1Vh4qoKQfVtS84KVGIfRLnmEc04I', 'width': 1952}]",ChIJY_Cl3Bffsi0RBgeI66wPZzU,4.9,ChIJY_Cl3Bffsi0RBgeI66wPZzU,"['tourist_attraction', 'point_of_interest', 'establishment']",10,,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJY_Cl3Bffsi0RBgeI66wPZzU
