business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,plus_code,url
OPERATIONAL,"G74R+3H9, Tulabolo, Suwawa Timur, Bone Bolango Regency, Gorontalo 96584, Indonesia","{'location': {'lat': 0.5051694, 'lng': 123.2914982}, 'viewport': {'northeast': {'lat': 0.5070675798927222, 'lng': 123.2927532798927}, 'southwest': {'lat': 0.5043679201072777, 'lng': 123.2900536201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek Wisata Hungayono,"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100919650160419332483"">aditya putra</a>'], 'photo_reference': 'AUGGfZkEvIZ8boScKL7fGGa-GH6pJ51u5_rTS9bdIbZr8ncu9C14Yoy4yjeBGUnP08B9A6FFqKOmMHoPVD-9_SOHFOz5j7E-PgkFEdU2ytnO6nDIlYVeOGtG6CDR2WkKW5RpNzVqleDXU6yt736JXLjSqi2fTh7XnFRd8T74jP8j_pCMzilb', 'width': 4640}]",ChIJ1_STcXfYfjIR93zmCskIs10,4.8,ChIJ1_STcXfYfjIR93zmCskIs10,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1_STcXfYfjIR93zmCskIs10
OPERATIONAL,"G5JF+CM2, Dusun II Baleya, Molintogupo, Kec. Suwawa Sel., Indonesia","{'location': {'lat': 0.5310182999999999, 'lng': 123.174131}, 'viewport': {'northeast': {'lat': 0.5327323798927223, 'lng': 123.1753977798927}, 'southwest': {'lat': 0.5300327201072779, 'lng': 123.1726981201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wombohe li Opa Kumis to Baleya,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114291912156289911544"">Irwan Bumulo</a>'], 'photo_reference': 'AUGGfZm3g0k8ajrFtNVrDGS_xx1sbvXBBjxAy-OxESfTTyIXOTwAGFJCgfT5aXTgQfM6wB_NfEZCyo1jZC4yQN9CNftF4eGNMDKMI3FfY3yMaPZ-LWQ6PY1Z9Ap7Uvny67emB4dwkKznB0uk1k7DTGEPkXW4BeBXSb9KS4_Mj8DR_gnV1qGB', 'width': 2136}]",ChIJVxt-QQ7XfjIRufgG8xpvPIw,5.0,ChIJVxt-QQ7XfjIRufgG8xpvPIw,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJVxt-QQ7XfjIRufgG8xpvPIw
OPERATIONAL,"G4WV+HV4, Huluduotamo, Suwawa, Bone Bolango Regency, Gorontalo 96121, Indonesia","{'location': {'lat': 0.5463861999999999, 'lng': 123.1447086}, 'viewport': {'northeast': {'lat': 0.5472687798927223, 'lng': 123.1459282798927}, 'southwest': {'lat': 0.5445691201072778, 'lng': 123.1432286201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perintis Lake,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110142291019240929196"">Riezky Polapa</a>'], 'photo_reference': 'AUGGfZnV32zJfZj9GMUYanHmKFKIon4eXOUQuFsgelcNHyxsEpjZUKOF5882Xjf_oXf6yE-3BhINdXjGzPMCTn1JuMIG6VsY_2fJDWqMxZEfVxQrs43pMpxtd3YUoqETIZzpz7RDrZcGP6tGfvt8p3fXaAz0vvJjr7wS0-LIaaeSuzMmowHP', 'width': 3024}]",ChIJ-QCKPkfUfjIRZwOmnMLlA5Q,4.5,ChIJ-QCKPkfUfjIRZwOmnMLlA5Q,"['tourist_attraction', 'point_of_interest', 'establishment']",1058,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ-QCKPkfUfjIRZwOmnMLlA5Q
OPERATIONAL,"G73Q+QH, Tulabolo, Suwawa Timur, Bone Bolango Regency, Gorontalo, Indonesia","{'location': {'lat': 0.504467, 'lng': 123.288935}, 'viewport': {'northeast': {'lat': 0.5072942, 'lng': 123.2907626298927}, 'southwest': {'lat': 0.5035246, 'lng': 123.2880629701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Camping ground Cantuary hungayono TNBW,"[{'height': 3048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100287850094638580446"">A Google User</a>'], 'photo_reference': 'AUGGfZkuscdzdPA19Iz1K_3hW_k6vHIKt-M47fIWCrgTlQL5SE1nDRlP03wET534I7OWzqTxufMimlb7b1euA_cWBGk8yTXLVca9XcEJffc_L9nki_vA70cwCq018koBF6LqtewgjrJDd4ow4GJVdvVwC1DQC6te6lyJQ9fZt6A7YGuekzqC', 'width': 4064}]",ChIJ-S2RMgDZfjIROCsIZ_CPC5c,0.0,ChIJ-S2RMgDZfjIROCsIZ_CPC5c,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-S2RMgDZfjIROCsIZ_CPC5c
OPERATIONAL,"G5J9+W6R, Alale, Suwawa Tengah, Bone Bolango Regency, Gorontalo 96583, Indonesia","{'location': {'lat': 0.5323538, 'lng': 123.1680083}, 'viewport': {'northeast': {'lat': 0.5337142298927221, 'lng': 123.1691624798927}, 'southwest': {'lat': 0.5310145701072777, 'lng': 123.1664628201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam BUNTHO ALALE,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114790133765697312053"">ajin tangge</a>'], 'photo_reference': 'AUGGfZlxX7tD1ONN68ZK7iKy-RteBykfME7t3wkVl0aofHta3kGZU-P7s4O6xmMi6CI7IL-OOCkKRVLSGL4suxAox6O6nAld1TS0UBlG6wzLD1p8Gn39JCoGAtvbzUE2lezXss8ZDbzJI6_AaEYL0E1F5-a1C9ixl43xKWiuv-qfRVY7_1xO', 'width': 3024}]",ChIJiT2AwubVfjIRI1w_NlGqxkg,4.7,ChIJiT2AwubVfjIRI1w_NlGqxkg,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJiT2AwubVfjIRI1w_NlGqxkg
OPERATIONAL,"G68F+4GC, Dumbayabulan, Suwawa Timur, Bone Bolango Regency, Gorontalo, Indonesia","{'location': {'lat': 0.5153104, 'lng': 123.2237526}, 'viewport': {'northeast': {'lat': 0.5166502798927223, 'lng': 123.2251308798927}, 'southwest': {'lat': 0.5139506201072778, 'lng': 123.2224312201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,W,,ChIJkaYliAbXfjIRm_LXhq9GHyM,0.0,ChIJkaYliAbXfjIRm_LXhq9GHyM,"['park', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJkaYliAbXfjIRm_LXhq9GHyM
OPERATIONAL,"H55W+GCW, Tapadaa, Suwawa Tengah, Bone Bolango Regency, Gorontalo 96583, Indonesia","{'location': {'lat': 0.5588562, 'lng': 123.1960852}, 'viewport': {'northeast': {'lat': 0.5602060298927223, 'lng': 123.1974350298927}, 'southwest': {'lat': 0.5575063701072778, 'lng': 123.1947353701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lombongo Waterfall,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111384271519703020443"">Taufiq Anugrah Ramadhan</a>'], 'photo_reference': 'AUGGfZkxYJkc7yBYyZQCKKPPjwP_RhBKihO3PHOmqHSmcZyriIWoV8HuAmgRSTpZvcGzgxCUDsuzQ-Fly6i7MpvG_NHm58TSl8kgwzQ95ejDbisbOyZhtFiFpKheAuQv8nkqvUR_5RvT4ubVdp0leQHtQxzUK6HYFSqWdVoGxNlmt6UPo4M0', 'width': 3000}]",ChIJ75F7p8jWfjIRGdY0IrWvhAc,4.4,ChIJ75F7p8jWfjIRGdY0IrWvhAc,"['tourist_attraction', 'point_of_interest', 'establishment']",31,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ75F7p8jWfjIRGdY0IrWvhAc
OPERATIONAL,"G5X7+F38, Unnamed Road, Alale, Kecamatan Suwawa Tengah, Kabupaten Bone Bolango, Gorontalo 96121, Indonesia","{'location': {'lat': 0.5486744, 'lng': 123.1627078}, 'viewport': {'northeast': {'lat': 0.5500141298927222, 'lng': 123.1641732298927}, 'southwest': {'lat': 0.5473144701072779, 'lng': 123.1614735701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agrowisata Mekar Jaya Farm,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110747920619561184873"">Victor Lie</a>'], 'photo_reference': 'AUGGfZmmBIx80wf8i8lIii3Wfa2rKpH6jfG7lGKilKadHV9B2ez16VuixGplhmWfvvEUyE5KkBE8IN-1rd3eBSz6TgrHoqoTWBWAa8MClLIPgZqWYEm91_wyz7slOxw19UKtsyxGhrbBK_HntiFxMikxGJ1YhI1IAipx3QwcOlZY3jJO5wPD', 'width': 1920}]",ChIJ-Zvv3c3VfjIRZH-5F6QIi3Q,4.0,ChIJ-Zvv3c3VfjIRZH-5F6QIi3Q,"['tourist_attraction', 'point_of_interest', 'establishment']",9,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ-Zvv3c3VfjIRZH-5F6QIi3Q
CLOSED_TEMPORARILY,"G64J+VHM, West Tulabolo, Suwawa Timur, Bone Bolango Regency, Gorontalo 96583, Indonesia","{'location': {'lat': 0.5072033, 'lng': 123.2314333}, 'viewport': {'northeast': {'lat': 0.5087034798927221, 'lng': 123.2327693798927}, 'southwest': {'lat': 0.5060038201072776, 'lng': 123.2300697201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Kios Dua Basudara,, Amira Rizky","[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108175442547968423667"">A Google User</a>'], 'photo_reference': 'AUGGfZlKQj-bVZDdfOzxRwEgvnLTczNiqH7VTV_5FVi6rtXsMJbyROGVzlLDbDuU0ezgPjbjV0pXJCbazd8xktD_yY6jO1p42GySMCd9B1ZzyfnLiZeOsjNxLUU0IJBLP4Op8gqmH7dFv1G_r9u0bWWGLYp0J3YXcSN4yFWkbPzmO7M6G5bf', 'width': 1440}]",ChIJ7ce8nlbXfjIRxJBLPABN7cQ,0.0,ChIJ7ce8nlbXfjIRxJBLPABN7cQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJ7ce8nlbXfjIRxJBLPABN7cQ
OPERATIONAL,"H53P+5CH, Jl. Natsir Mooduto Desa, Tapadaa, Kec. Suwawa, Kabupaten Bone Bolango, Gorontalo 96113, Indonesia","{'location': {'lat': 0.5529495999999999, 'lng': 123.1861239}, 'viewport': {'northeast': {'lat': 0.5542994298927222, 'lng': 123.1874737298927}, 'southwest': {'lat': 0.5515997701072777, 'lng': 123.1847740701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Lombongo 1,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100757889585366159671"">Yusra Febriani</a>'], 'photo_reference': 'AUGGfZlALzC125JXzEVQvJTsW2DKdNt4WXbIK729Khyov4ahGcQ23ouMKuZiPseLpMB8Jkddubue2tvLpmvBg9vj5Np8AeVKEce7_L5Bt8BDiHzvYrtUyvmbj0vx2xJJpzClQcbTH4u-Crh5DH1tC-I6zobXvr5E5lE7QnYLdOdYN16Ogjt-', 'width': 1536}]",ChIJ7RD6uMrVfjIR70MrupQryi8,4.1,ChIJ7RD6uMrVfjIR70MrupQryi8,"['tourist_attraction', 'point_of_interest', 'establishment']",26,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7RD6uMrVfjIR70MrupQryi8
