formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,photos,rating,user_ratings_total,opening_hours,plus_code,permanently_closed,url
"Kepulauan Marore, Sangihe Islands Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.6413429, 'lng': 125.6259517}, 'viewport': {'northeast': {'lat': 4.74831, 'lng': 125.714136}, 'southwest': {'lat': 4.462319, 'lng': 125.408038}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kepulauan Marore,ChIJW5KVwq309DIRyha97fqdLjo,ChIJW5KVwq309DIRyha97fqdLjo,"['administrative_area_level_3', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJW5KVwq309DIRyha97fqdLjo
"CMMR+VVG, Bahu, North Tabukan, Sangihe Islands Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.4346812, 'lng': 125.6922009}, 'viewport': {'northeast': {'lat': 4.436031029892722, 'lng': 125.6935507298927}, 'southwest': {'lat': 4.433331370107278, 'lng': 125.6908510701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kepulauan Matutuang,ChIJObikDPuX9DIR2Xn3-F_2Uhw,ChIJObikDPuX9DIR2Xn3-F_2Uhw,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108469449809787589690"">A Google User</a>'], 'photo_reference': 'AUGGfZlfcWcLs3WK9zSUNFopx8rHeciHMW90WHHh-cSLC_FOyfkDe360ON3FDVqUiVswjV35ys7GV9XBpSOLY6FAr15EkkG9YtTQ0WVcSMic5yJm7GWJQrZDCybFB4Rbc1B5BmNdrit3b0H_SBtNTahkXu_PvPTcI4GA5LKT4q3-L4hzoZhh', 'width': 2252}]",4.8,5.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJObikDPuX9DIR2Xn3-F_2Uhw
"PFMJ+M57, Pulau, Marore, Kepulauan Marore, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia","{'location': {'lat': 4.7341586, 'lng': 125.4804306}, 'viewport': {'northeast': {'lat': 4.735508429892721, 'lng': 125.4817804298927}, 'southwest': {'lat': 4.732808770107277, 'lng': 125.4790807701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Mercusuar Marore indonesia,ChIJG028MgBf9DIRzSjIsH_jRK4,ChIJG028MgBf9DIRzSjIsH_jRK4,"['point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJG028MgBf9DIRzSjIsH_jRK4
"PFHG+XH3, Marore, Sangihe Islands Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.7298772, 'lng': 125.4764199}, 'viewport': {'northeast': {'lat': 4.731227029892722, 'lng': 125.4777697298927}, 'southwest': {'lat': 4.728527370107278, 'lng': 125.4750700701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Dermaga Pulau Marore,ChIJJRrYnwdZ9DIRZ6PY3Zj094c,ChIJJRrYnwdZ9DIRZ6PY3Zj094c,"['point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102546717453156855878"">MUHAMMAD NAUFAL JALADIKA</a>'], 'photo_reference': 'AUGGfZmwX9zwZCJhrdYHrZU7VPLCpIWbJ8l7z1210SlSdwopZmuhMRf8YZA01njxCvUnsoFmYDtPGbYGNa5WlOzsx6AS8nWdTwutn6iUgDq6KCaPoLUW99TmumiXzvwjVOCzM4bCJsq9187aofqQkYf0o7ENpvmGEJXp9DOR3HsUMF1L1OhJ', 'width': 4000}]",5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJRrYnwdZ9DIRZ6PY3Zj094c
"Marore, Kepulauan Marore, Sangihe Islands Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.73634, 'lng': 125.5083136}, 'viewport': {'northeast': {'lat': 4.74831, 'lng': 125.521525}, 'southwest': {'lat': 4.668750999999999, 'lng': 125.428884}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Marore,ChIJm7kfqStZ9DIRzqwi5h6Rv_s,ChIJm7kfqStZ9DIRzqwi5h6Rv_s,"['administrative_area_level_4', 'political']",,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107535435878271563215"">A Google User</a>'], 'photo_reference': 'AUGGfZk5JhLSrfD691yJ8wDejHFCFjmIm60aunBs3ta-2rxXlfGFDJsWlzzoT-xlHXmcZUIEK3uxlVOSsaRXmoBohXZMx2vb8njLpoCuTc4no1e-IiJVMb34ZWV4dl379Dh35BBy1nju04cA4CFdYYIOvsaxwuPEZMhiN5lK2lHDlW5mybKV', 'width': 4128}]",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJm7kfqStZ9DIRzqwi5h6Rv_s
"68MC+P2V, Kawaluso, Kendahe, Sangihe Islands Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.234357999999999, 'lng': 125.3200582}, 'viewport': {'northeast': {'lat': 4.235707829892721, 'lng': 125.3214080298927}, 'southwest': {'lat': 4.233008170107277, 'lng': 125.3187083701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Kawaluso,ChIJt4gY5IrR9DIRKTOfpojma0Q,ChIJt4gY5IrR9DIRKTOfpojma0Q,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100092535909854346741"">Sesar Dwi</a>'], 'photo_reference': 'AUGGfZnAsQlwYhhm6MfO6Wnlk_Ukw9IGUv7cvnUbOEBUhH9LhH73ZBmejEOQnglQcncvCy350tUXOFWTz4zDDiToR65B2aRA6Vy8-rCqNW3jRCGYTYrTJ_Z-qYpQ3hs-y68z_6RU55BRIQGHlx4aQaFjWvvIL71Nm-ZRjD2e0ETO_TFW0q1m', 'width': 4128}]",4.9,8.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJt4gY5IrR9DIRKTOfpojma0Q
"Matutuang, Kepulauan Marore, Sangihe Islands Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.6413429, 'lng': 125.6259517}, 'viewport': {'northeast': {'lat': 4.65272, 'lng': 125.714136}, 'southwest': {'lat': 4.5765459, 'lng': 125.616743}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Matutuang,ChIJqXF6a2-J9DIRlC48U0RG5Tg,ChIJqXF6a2-J9DIRlC48U0RG5Tg,"['administrative_area_level_4', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJqXF6a2-J9DIRlC48U0RG5Tg
"PFPM+MWC, Pulau Maru, Marore, Kepulauan Marore, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia","{'location': {'lat': 4.7366917, 'lng': 125.4847554}, 'viewport': {'northeast': {'lat': 4.738041529892722, 'lng': 125.4861052298927}, 'southwest': {'lat': 4.735341870107278, 'lng': 125.4834055701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Pulau Marore,ChIJ32h3WJ1f9DIR-0iTM63ZIdo,ChIJ32h3WJ1f9DIR-0iTM63ZIdo,"['point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ32h3WJ1f9DIR-0iTM63ZIdo
"Pulau Ariaga, Marore, Kepulauan Marore, Sangihe Islands Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.7333333, 'lng': 125.4833333}, 'viewport': {'northeast': {'lat': 4.744453099999999, 'lng': 125.4993407}, 'southwest': {'lat': 4.7222133, 'lng': 125.4673259}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Ariaga,ChIJPz541K1e9DIRLWR3BGc-Qvk,ChIJPz541K1e9DIRLWR3BGc-Qvk,"['natural_feature', 'establishment']",,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110780295194459033271"">Rhoman Dwi F</a>'], 'photo_reference': 'AUGGfZltbxYVS60QhmpQJ1nXT5rhUlfSnV9WMYtm6Cdldb6Hf-qRLeb6THiMP4cvLAJMhrkuK9Yo75bnxGr6HtCVC0C1d-ZgpBF1sQIfXOPZkE0JT1SQ3I-Mlq3sRpa6YduGdLE663uhWQxO74sGmeoADKr3S_-ITg9L7bKD0ipd-c-SMj2t', 'width': 1000}]",4.5,37.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJPz541K1e9DIRLWR3BGc-Qvk
"HJQH+V9W, Matutuang, Kepulauan Marore, Sangihe Islands Regency, North Sulawesi, Indonesia","{'location': {'lat': 4.5897453, 'lng': 125.6284459}, 'viewport': {'northeast': {'lat': 4.591095129892723, 'lng': 125.6297957298927}, 'southwest': {'lat': 4.588395470107279, 'lng': 125.6270960701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Celebes sea Indonesia,ChIJ__sNEFON9DIRHClU0A-xbOs,ChIJ__sNEFON9DIRHClU0A-xbOs,"['point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116557920439104087624"">A Google User</a>'], 'photo_reference': 'AUGGfZm8SpkG9sW5ztysN0YXsXRVNQaV83RHxhY6ZIr50TGxynQtX9YOk5icoW7M3PZs6RqXbWTCDI1jh19KiU-t8_hVvCP99hUJufYsxtSzgLV9-0ddxihI62TCHT_zwq4PjDHFnrELNCQdTYw3VGA2GQMCYMlIY3cWT-8pRTUiYMWDGIlM', 'width': 1080}]",5.0,3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ__sNEFON9DIRHClU0A-xbOs
