business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,price_level,plus_code,permanently_closed,url
OPERATIONAL,"856F+C7J, Sawah,Ladang, Karangbenda, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271, Indonesia","{'location': {'lat': -7.6889144, 'lng': 109.1731519}, 'viewport': {'northeast': {'lat': -7.6880556, 'lng': 109.1752942}, 'southwest': {'lat': -7.691490799999997, 'lng': 109.1724378}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Selok Ayu,{'open_now': False},"[{'height': 6944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116915732306078444368"">mukmin nurohman</a>'], 'photo_reference': 'AUGGfZmyj8tE8aCWt0mTRFwm1R3Pa6iLndsIYTcA5UyWyAkLogeVEZR7lDibpqQBab0wO8o6vLbMB8jNIaJFDvJj5jRYMXi1ccbOv5REUMqPowuxu_pIi3IbV8KLbfU_T3vPEVe8a0X8ECFeiwO_cJRg_agqT0H1b2BTgFth-bZ267gN3XkU', 'width': 9248}]",ChIJNXj3J00VZS4R9bxOcurc0qE,4.3,ChIJNXj3J00VZS4R9bxOcurc0qE,"['tourist_attraction', 'point_of_interest', 'establishment']",426,,,,https://www.google.com/maps/place/?q=place_id:ChIJNXj3J00VZS4R9bxOcurc0qE
OPERATIONAL,"857F+Q43, Sawah,Ladang, Karangbenda, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271, Indonesia","{'location': {'lat': -7.685622999999999, 'lng': 109.1727962}, 'viewport': {'northeast': {'lat': -7.684282870107277, 'lng': 109.1741718798927}, 'southwest': {'lat': -7.686982529892721, 'lng': 109.1714722201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Gunung Selok,{'open_now': False},"[{'height': 2620, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116422029543258973820"">opick yayat</a>'], 'photo_reference': 'AUGGfZlVCa0cGqhYdlJq9JEGQ4aih4D9ZUT4-9N5D5U5MOZxiheZjLGvjsPJqs4zixKt9Bm2ke407NiLwayLmvnxmGYXzUKgNPR-USFFNjWAyiupfgEf2TrMhIjhPQINYmovwtV34g3pxfuLuR3Ym1BuTvYgwnwJDLBUzaAMI9ygclOLCtq0', 'width': 4656}]",ChIJWeHAb00VZS4RfTFCqAu3R6g,4.2,ChIJWeHAb00VZS4RfTFCqAu3R6g,"['tourist_attraction', 'point_of_interest', 'establishment']",657,,,,https://www.google.com/maps/place/?q=place_id:ChIJWeHAb00VZS4RfTFCqAu3R6g
OPERATIONAL,"8586+9GR, Sawangan, Bunton, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271, Indonesia","{'location': {'lat': -7.6840202, 'lng': 109.1612576}, 'viewport': {'northeast': {'lat': -7.682675670107279, 'lng': 109.1625901798927}, 'southwest': {'lat': -7.685375329892723, 'lng': 109.1598905201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pinggir Kali,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110600040545975063796"">Wily Taqwa</a>'], 'photo_reference': 'AUGGfZnMGCvuVXB5v3e9vjYbv0dSaD7P1ses-FPmYZo7HZcaHCYqkGEPTPN6LCsbYi37Q-JgRkQdguRLYIHkDsoW0Ue3CNPzi4Kl0rv8Cp9zA0kWxIryO2-l2Kcc2BSzCPx9LPRBfzfH2MdldNx6XRrgGsLeBS6106zsv9kGL5Dx1lHlGv5S', 'width': 4032}]",ChIJ99HIVq9rZS4Rzzq3u928EQI,4.5,ChIJ99HIVq9rZS4Rzzq3u928EQI,"['tourist_attraction', 'point_of_interest', 'establishment']",428,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ99HIVq9rZS4Rzzq3u928EQI
OPERATIONAL,"854R+R3J, Sawah,Ladang, Karangbenda, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271, Indonesia","{'location': {'lat': -7.6929208, 'lng': 109.1901521}, 'viewport': {'northeast': {'lat': -7.691262070107278, 'lng': 109.1914313798927}, 'southwest': {'lat': -7.693961729892722, 'lng': 109.1887317201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Srandil,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101824819920366816958"">joni joni</a>'], 'photo_reference': 'AUGGfZkZS3rfXlhVLDPSsLIdRECguCTgF7UTksDiyMps8s6blwRhTwLiUYfJ45FcZPnkqyAKjoThYMsAusMM2RZncRrE7JL8aU2B-rzfqafZu2zR1ZwJYfZX50F5OBtzb7ZJgldIcxo0bv-pM3unISqV30b-LIXo_01KF0ESkPruMIhq_q_p', 'width': 4128}]",ChIJv6D0I00VZS4RR-5BCjMM7Cs,4.2,ChIJv6D0I00VZS4RR-5BCjMM7Cs,"['tourist_attraction', 'point_of_interest', 'establishment']",474,,,,https://www.google.com/maps/place/?q=place_id:ChIJv6D0I00VZS4RR-5BCjMM7Cs
OPERATIONAL,"855G+F58, Jl. Laut, Sawah,Ladang, Karangbenda, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271, Indonesia","{'location': {'lat': -7.6913293, 'lng': 109.1754562}, 'viewport': {'northeast': {'lat': -7.689919670107278, 'lng': 109.1768773298927}, 'southwest': {'lat': -7.692619329892722, 'lng': 109.1741776701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sodong,{'open_now': False},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115639300930339852935"">andry azka</a>'], 'photo_reference': 'AUGGfZmGe5gPBSVhs2MZsdsjn7HNdasyDmbV7VT_Un_qtEEMQ3Bka69dqBY6I8tx3DV6YDlOob3pVrcT-3JMHfIWna6HQrY6aBt5SfB-lncvJ-kr4Lc71qSYiuRjQQxM2Vy0DANGewErPYhggBk6CuGfiXa0K3sXohQV_Pycr6h3w0k3YmuS', 'width': 4640}]",ChIJZS78Ck0VZS4RNqMfp0BpAP0,4.1,ChIJZS78Ck0VZS4RNqMfp0BpAP0,"['tourist_attraction', 'point_of_interest', 'establishment']",5402,,,,https://www.google.com/maps/place/?q=place_id:ChIJZS78Ck0VZS4RNqMfp0BpAP0
OPERATIONAL,"8557+QPJ, Unnamed Road, Area Sawah/ Ladang, Bunton, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271, Indonesia","{'location': {'lat': -7.6905335, 'lng': 109.1642758}, 'viewport': {'northeast': {'lat': -7.689080220107276, 'lng': 109.1656845798927}, 'southwest': {'lat': -7.69177987989272, 'lng': 109.1629849201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Cemara Sewu,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103991238206883532388"">nur arifin</a>'], 'photo_reference': 'AUGGfZnI2GFKpaLwJ92FkeTIO70Dk98IX8LM2DLiSwKeEKqQWc0g9wmjgA-3pNIvJIxAk18CVbnLNwfzLzVWdc7PitfylxmbtAf1JXL8nROm_4GpmpL_mJAeisW-TXqAPWa8GEr2Q-dvH8qt4eGXDhsgCIJ9l547uDKSFtATUkFeV9l-8H4x', 'width': 2252}]",ChIJEw4K2dwVZS4RSc9glbD2pDk,4.6,ChIJEw4K2dwVZS4RSc9glbD2pDk,"['tourist_attraction', 'point_of_interest', 'establishment']",32,,,,https://www.google.com/maps/place/?q=place_id:ChIJEw4K2dwVZS4RSc9glbD2pDk
OPERATIONAL,"858R+3G8, Sawah,Ladang, Glempangpasir, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271, Indonesia","{'location': {'lat': -7.6848436, 'lng': 109.1913372}, 'viewport': {'northeast': {'lat': -7.683358220107277, 'lng': 109.1928329298927}, 'southwest': {'lat': -7.686057879892721, 'lng': 109.1901332701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Srandil,,"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112551300187191390326"">El Hidayat</a>'], 'photo_reference': 'AUGGfZkmuD0U97Q72k0WcyTRh1hx7kPTN8mM2Hh3sxOKmkx_YwTr-j8yRpZM3yo9WvLy6KGv7is761UNcaSyov3zmZ2afTw5jBUDpdkCqhDjxGf85y8Lsz8IBh5lrBkrMRXhtvqnTDM8PVwiwMIhMTUsuI718T6SesK-hlGtBo1MEElCfOW4', 'width': 4208}]",ChIJsZ90EAFAZS4R6VNJdJtQPl0,4.5,ChIJsZ90EAFAZS4R6VNJdJtQPl0,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",409,,,,https://www.google.com/maps/place/?q=place_id:ChIJsZ90EAFAZS4R6VNJdJtQPl0
OPERATIONAL,"944H+VR, Sawah,Ladang, Penggalang, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah, Indonesia","{'location': {'lat': -7.6428482, 'lng': 109.1295123}, 'viewport': {'northeast': {'lat': -7.641976000000002, 'lng': 109.1306386298927}, 'southwest': {'lat': -7.645464799999998, 'lng': 109.1279389701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Persawahan,,,ChIJERtzt8drZS4RmICJqJO2uKs,0.0,ChIJERtzt8drZS4RmICJqJO2uKs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJERtzt8drZS4RmICJqJO2uKs
OPERATIONAL,"846V+887, Area Sawah/ Ladang dan Laut, Area Sawah/ Ladang, Bunton, Kec. Adipala, Kabupaten Cilacap, Jawa Tengah 53271, Indonesia","{'location': {'lat': -7.689201499999999, 'lng': 109.1432885}, 'viewport': {'northeast': {'lat': -7.687664720107277, 'lng': 109.1445965298927}, 'southwest': {'lat': -7.690364379892721, 'lng': 109.1418968701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Bunton,{'open_now': False},"[{'height': 1816, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107023654454700733353"">Mona Tamara</a>'], 'photo_reference': 'AUGGfZnxQgzOV6vF0mjFZlUsmIQ7GrizZdoJLvGMJB9X0Id_YQzV332c48qO_Crc5vWiF6eCEXUlBsoMSHU7WQhQ3QfLSHXP4MKsuSn0Tf7eAz8QhJARSH9H2pzYVzBJKmR7f4SvZQKNaVEgi_WGTeMRba-3aC-UM0yGGONjloXEq2xD7eJP', 'width': 4032}]",ChIJSz6WKdVqZS4RxxV1c-DTvIE,4.2,ChIJSz6WKdVqZS4RxxV1c-DTvIE,"['tourist_attraction', 'point_of_interest', 'establishment']",614,,,,https://www.google.com/maps/place/?q=place_id:ChIJSz6WKdVqZS4RxxV1c-DTvIE
OPERATIONAL,"Sondong, Sodong, Adipala, Cilacap Regency, Central Java 53271, Indonesia","{'location': {'lat': -7.6874409, 'lng': 109.1849375}, 'viewport': {'northeast': {'lat': -7.686095170107277, 'lng': 109.1863030298927}, 'southwest': {'lat': -7.688794829892721, 'lng': 109.1836033701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pantai Sodong,{'open_now': False},"[{'height': 1758, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109456394784402636691"">anak rantau</a>'], 'photo_reference': 'AUGGfZnuc7LTeZIt4l8MXi3R2CWpGYJBvNQGfef5hdy2prGWa79AtaA2CT9zhGGgeb5S7_FsEwaLIm5XcvU5MbBIRNShPcMjuWTJ5OEVOn-dE7q02k67KryQu1KQChEVqySvNuOQfQdkrth6g9lvaxrg36Tuf3tgwPMbNZYPiyzBvXJ5nM29', 'width': 2304}]",ChIJP3HPzYprZS4R8wGiDAre-74,4.5,ChIJP3HPzYprZS4R8wGiDAre-74,"['tourist_attraction', 'point_of_interest', 'establishment']",52,,"{'compound_code': '857M+2X Karangbenda, Cilacap Regency, Central Java, Indonesia', 'global_code': '6P4F857M+2X'}",,https://www.google.com/maps/place/?q=place_id:ChIJP3HPzYprZS4R8wGiDAre-74
