business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,plus_code,url
OPERATIONAL,"PG5J+VRH, Krajan Lor, Balung Kulon, Kec. Balung, Kabupaten Jember, Jawa Timur 68161, Indonesia","{'location': {'lat': -8.290599, 'lng': 113.5320815}, 'viewport': {'northeast': {'lat': -8.289244120107279, 'lng': 113.5334048798927}, 'southwest': {'lat': -8.291943779892723, 'lng': 113.5307052201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah D family,{'open_now': True},ChIJpXZNG9eF1i0R6BrLggAttB8,5.0,ChIJpXZNG9eF1i0R6BrLggAttB8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJpXZNG9eF1i0R6BrLggAttB8
OPERATIONAL,"PGPV+QPG, Kebonsari, Balung Lor, Kec. Balung, Kabupaten Jember, Jawa Timur 68161, Indonesia","{'location': {'lat': -8.263073, 'lng': 113.5443325}, 'viewport': {'northeast': {'lat': -8.26171427010728, 'lng': 113.5456892798927}, 'southwest': {'lat': -8.264413929892724, 'lng': 113.5429896201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dam Jeding,,ChIJCTKMboiP1i0RlD6BA1BfD0g,5.0,ChIJCTKMboiP1i0RlD6BA1BfD0g,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 607, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102601673375942409602"">A Google User</a>'], 'photo_reference': 'AUGGfZk2gchhEQeH2sk6XV5TnfaEYwkX0rZPqnHkTUjlGWj8Ay8FEsRnTIBMXjQdNC9i_5Q_OgeFWSie8frIEj34ZOdGQO4oUnflw7O0QrBbQSfYLXGhFTPND3bd1F2eg3exaVGVVyotxhGH2fSdUNMaHGB0pDngi1wzPSUJeDerpZNI7WsP', 'width': 718}]",,https://www.google.com/maps/place/?q=place_id:ChIJCTKMboiP1i0RlD6BA1BfD0g
OPERATIONAL,"PFMJ+W55, Krajan I, Karangduren, Kec. Balung, Kabupaten Jember, Jawa Timur 68161, Indonesia","{'location': {'lat': -8.2652302, 'lng': 113.4804993}, 'viewport': {'northeast': {'lat': -8.263813320107278, 'lng': 113.4817720298927}, 'southwest': {'lat': -8.266512979892722, 'lng': 113.4790723701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gumuk Pecah,{'open_now': False},ChIJ9xzchG6P1i0Roj6o5m3_xyk,4.3,ChIJ9xzchG6P1i0Roj6o5m3_xyk,"['tourist_attraction', 'point_of_interest', 'establishment']",160,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102422922909795673679"">Erlangga Basudewa</a>'], 'photo_reference': 'AUGGfZlh58AnHu8CAT90gvRjib5EbbuHnym10Vy7_VkgI2vBdvAwXQEqq0PlhZWwJ__vVEVGciIStVtqdVLbXEaKYsayfPdePEE7HpxXrfkvrlFWcrcpyczlqVq51P-jPy-gazftqE_W-ma9SiV-JLrDLGzn8xc42BgRA_WxIUS1DNfceSrX', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJ9xzchG6P1i0Roj6o5m3_xyk
OPERATIONAL,"PG9H+46X, Krajan Lor, Balung Kulon, Kec. Balung, Kabupaten Jember, Jawa Timur 68161, Indonesia","{'location': {'lat': -8.2821369, 'lng': 113.5281171}, 'viewport': {'northeast': {'lat': -8.280843520107277, 'lng': 113.5305024}, 'southwest': {'lat': -8.283543179892721, 'lng': 113.527322}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Dira Balung,{'open_now': False},ChIJH9jkSkeF1i0RazFK7npSbec,4.7,ChIJH9jkSkeF1i0RazFK7npSbec,"['tourist_attraction', 'point_of_interest', 'establishment']",60,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117142401207552414726"">Rahmawati Oktriana</a>'], 'photo_reference': 'AUGGfZn0GCYMnav1BUKuZYAfOlo8U6mkEyquBcVd_rB663jMyfnwiCfw238mgWjctcDccKtaAfwsJxX8FuVBSXr7gFy-SWZKiWPLr41RVQ7rykXRDeweic_YFlxrdBcUQV_X9cnoe5SlJ6QKdCfieQv3MEukrthFflYKqUgCfhvmtyL5AV05', 'width': 2992}]",,https://www.google.com/maps/place/?q=place_id:ChIJH9jkSkeF1i0RazFK7npSbec
OPERATIONAL,"PGWR+2H3, Krajan Kidul, Gumelar, Kec. Balung, Kabupaten Jember, Jawa Timur 68161, Indonesia","{'location': {'lat': -8.25499, 'lng': 113.541431}, 'viewport': {'northeast': {'lat': -8.253770899999996, 'lng': 113.5443173}, 'southwest': {'lat': -8.2586473, 'lng': 113.5404689}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Basecamp Kolpoh,,ChIJQc1EFwCP1i0RMgvgDfIjRaY,5.0,ChIJQc1EFwCP1i0RMgvgDfIjRaY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109814369874627582291"">Nafi&#39; HR</a>'], 'photo_reference': 'AUGGfZnCyQLwyOyy1BjqLfKw06umQj_KSdGTk2l8SPWMJmU6MK8u4gCFqHCUGcyfyxQxZXBJYWgWBcVpPVQiMxouDOAbwRgJe7gM_IvpMnLE1GODEtiWPfNxod9D3C_ys693mPHifxtmUzhm4nhtgwpA-rT6nHbJQN_BUZGS1bTY5RHU5GZ6', 'width': 3472}]",,https://www.google.com/maps/place/?q=place_id:ChIJQc1EFwCP1i0RMgvgDfIjRaY
OPERATIONAL,"PGV8+3G3, RT.015/RW.008, Kedung Nilo, Karang Semanding, Kec. Balung, Kabupaten Jember, Jawa Timur 68161, Indonesia","{'location': {'lat': -8.2573653, 'lng': 113.516303}, 'viewport': {'northeast': {'lat': -8.256117170107279, 'lng': 113.5179281298927}, 'southwest': {'lat': -8.258816829892723, 'lng': 113.5152284701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Siliwangi,,ChIJz81UVgCP1i0RzJhopM32kus,0.0,ChIJz81UVgCP1i0RzJhopM32kus,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJz81UVgCP1i0RzJhopM32kus
OPERATIONAL,"Unnamed Road, Jatilawang, Tegalwangi, Kec. Umbulsari, Kabupaten Jember, Jawa Timur 68166, Indonesia","{'location': {'lat': -8.259523399999999, 'lng': 113.4661622}, 'viewport': {'northeast': {'lat': -8.258186920107278, 'lng': 113.4674373298927}, 'southwest': {'lat': -8.260886579892722, 'lng': 113.4647376701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mutiara park,{'open_now': False},ChIJ1R4QHq6J1i0R6wqEvqLnU5g,4.5,ChIJ1R4QHq6J1i0R6wqEvqLnU5g,"['tourist_attraction', 'point_of_interest', 'establishment']",857,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106044562159819006130"">A Google User</a>'], 'photo_reference': 'AUGGfZmKvfmPkFtlYK5kDgm3C1yeKkpj4HQrBcuZnTjqC4p5PNIZupCZYCGhJPFU6WtIb1EPLXwj1ZZXZxl7b2-N-SHvYROSbud-OYX2-S5KIOYO-JHZarKISx57kVWCXY0nw-M81SxdZGbmpS521YIDmfsZgvZdmjTl5dBowKElSYRZvBs6', 'width': 1088}]","{'compound_code': 'PFR8+5F Tegalwangi, Jember Regency, East Java, Indonesia', 'global_code': '6P3MPFR8+5F'}",https://www.google.com/maps/place/?q=place_id:ChIJ1R4QHq6J1i0R6wqEvqLnU5g
OPERATIONAL,"Krangkongan, Tegalwangi, Umbulsari, Jember Regency, East Java 68166, Indonesia","{'location': {'lat': -8.2607086, 'lng': 113.4794425}, 'viewport': {'northeast': {'lat': -8.258880999999995, 'lng': 113.48184415}, 'southwest': {'lat': -8.2661914, 'lng': 113.47864195}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gumuk Martokantong,{'open_now': True},ChIJc6czyICP1i0R8SwOhP6ZpAQ,5.0,ChIJc6czyICP1i0R8SwOhP6ZpAQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102479957118685151909"">A Google User</a>'], 'photo_reference': 'AUGGfZl-bvzMksIeZbNzsYVSR9_Vyku8KDQO1eEbPNfJEe_WOC5oHigmrwt6BnrabkQ7QMt6VTLsvpVot9megMYrLLJt89rnIyEUxKpa6pKgWwgbf4GOzFMGlFqGVLpunDkEc1nQ_TPNFDxRs3BFRu30w4U76TE5ZUboF0Xf2yRFO4QVwhHm', 'width': 4080}]","{'compound_code': 'PFQH+PQ Tegalwangi, Jember Regency, East Java, Indonesia', 'global_code': '6P3MPFQH+PQ'}",https://www.google.com/maps/place/?q=place_id:ChIJc6czyICP1i0R8SwOhP6ZpAQ
OPERATIONAL,"QH38+QGQ Baja Al Istiqomah, Jembatan, Gumuksari, Curahmalang, Rambipuji, Jember Regency, East Java 68152, Indonesia","{'location': {'lat': -8.2453784, 'lng': 113.5666926}, 'viewport': {'northeast': {'lat': -8.244046070107277, 'lng': 113.5680752798927}, 'southwest': {'lat': -8.246745729892721, 'lng': 113.5653756201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saluran Siphon Curahmalang,,ChIJsZMBQiuP1i0R07JGy7t3Fsk,0.0,ChIJsZMBQiuP1i0R07JGy7t3Fsk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102601673375942409602"">A Google User</a>'], 'photo_reference': 'AUGGfZmoXRcOtCgO-c-MGW4qgaDty4h0gAYyRPJAura0Oq_eweX-x18UXhsHwIUTZlcnzv7tpe37B4JMuHVQAy0K6uyJ5T629HAyZrZgRfxVrOmuy6LJfuGtPqFiku0LqLFOuDPSz0VaEWTw-fasyzmCnfrgHnUmUeg9r2S8x9C3RBkFHUB2', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJsZMBQiuP1i0R07JGy7t3Fsk
OPERATIONAL,"PF3M+WQQ, Jl. Bagon, Sumur, Bagon, Kec. Puger, Kabupaten Jember, Jawa Timur 68164, Indonesia","{'location': {'lat': -8.2951619, 'lng': 113.4844827}, 'viewport': {'northeast': {'lat': -8.293790520107278, 'lng': 113.4858047798927}, 'southwest': {'lat': -8.296490179892722, 'lng': 113.4831051201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,panorama persawahan,,ChIJDcjVOwCF1i0RnxKUfTJAiDA,0.0,ChIJDcjVOwCF1i0RnxKUfTJAiDA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJDcjVOwCF1i0RnxKUfTJAiDA
